from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,AT,RH,WS,WD,VWS,RF,SR,to date,BP,station
01-Dec-2019 - 00:00,48.55,6.33,54.88,49.46,17.46,0.75,36.69,95.55,174.27,5.92,,69.56,0.73,149.16,-0.08,0.0,117.91,02-Dec-2019 - 00:00,998.93,"Asansol Court Area, Asansol - WBPCB"
02-Dec-2019 - 00:00,46.21,6.92,53.11,46.37,10.77,0.69,36.82,78.44,145.84,3.94,,64.11,0.78,109.48,-0.05,0.0,118.59,03-Dec-2019 - 00:00,999.2,"Asansol Court Area, Asansol - WBPCB"
03-Dec-2019 - 00:00,49.44,4.42,53.85,51.64,10.68,0.85,43.59,97.35,173.0,4.58,,72.42,0.73,159.04,0.03,0.0,99.42,04-Dec-2019 - 00:00,999.01,"Asansol Court Area, Asansol - WBPCB"
04-Dec-2019 - 00:00,41.02,9.0,49.94,46.21,9.11,0.64,33.65,85.19,153.56,3.32,,63.13,0.85,105.76,0.03,0.0,112.98,05-Dec-2019 - 00:00,999.71,"Asansol Court Area, Asansol - WBPCB"
05-Dec-2019 - 00:00,35.32,3.73,39.03,41.12,10.51,0.71,13.55,91.77,155.48,3.46,,63.54,0.95,98.33,0.05,0.0,118.8,06-Dec-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
06-Dec-2019 - 00:00,37.87,15.48,51.76,53.32,11.44,0.95,14.96,81.8,147.55,4.12,,66.07,0.89,109.65,0.04,0.0,121.86,07-Dec-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
07-Dec-2019 - 00:00,56.59,18.45,75.05,66.26,16.1,0.95,16.37,111.06,214.11,7.37,,72.26,0.6,184.4,0.05,0.0,98.91,08-Dec-2019 - 00:00,999.53,"Asansol Court Area, Asansol - WBPCB"
08-Dec-2019 - 00:00,50.51,7.64,58.15,54.13,13.11,0.81,16.03,105.28,183.45,6.03,,71.09,0.73,165.82,0.04,0.0,74.02,09-Dec-2019 - 00:00,999.24,"Asansol Court Area, Asansol - WBPCB"
09-Dec-2019 - 00:00,50.0,17.2,67.2,59.79,13.9,0.92,17.16,89.63,162.67,4.76,,67.11,0.69,142.36,0.04,0.0,99.2,10-Dec-2019 - 00:00,999.15,"Asansol Court Area, Asansol - WBPCB"
10-Dec-2019 - 00:00,32.84,6.43,39.27,33.33,14.09,0.74,17.83,90.64,168.21,9.49,,65.83,0.75,151.26,0.04,0.0,90.2,11-Dec-2019 - 00:00,998.26,"Asansol Court Area, Asansol - WBPCB"
11-Dec-2019 - 00:00,36.32,6.26,42.46,31.81,13.98,0.73,16.15,122.18,215.89,10.92,,72.14,0.71,159.43,0.04,0.0,68.16,12-Dec-2019 - 00:00,997.98,"Asansol Court Area, Asansol - WBPCB"
12-Dec-2019 - 00:00,40.86,3.8,44.66,27.53,7.32,0.54,12.86,105.88,188.4,7.93,,75.71,0.68,209.43,0.03,0.0,62.32,13-Dec-2019 - 00:00,998.97,"Asansol Court Area, Asansol - WBPCB"
13-Dec-2019 - 00:00,42.9,3.86,46.73,18.5,9.28,0.59,11.06,112.88,199.92,9.36,,75.93,0.79,139.55,0.03,0.0,73.43,14-Dec-2019 - 00:00,999.72,"Asansol Court Area, Asansol - WBPCB"
14-Dec-2019 - 00:00,39.1,8.54,47.64,18.29,5.58,0.69,9.07,89.03,153.99,10.56,,80.71,0.89,158.79,0.02,0.0,83.44,15-Dec-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
15-Dec-2019 - 00:00,27.51,5.06,32.57,14.62,3.99,0.27,9.01,78.66,128.89,4.98,,81.89,1.0,30.43,0.02,0.0,62.92,16-Dec-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
16-Dec-2019 - 00:00,21.63,5.31,26.94,9.58,4.85,0.52,8.89,52.57,96.49,7.48,,86.33,0.82,105.67,0.03,0.01,54.78,17-Dec-2019 - 00:00,999.9,"Asansol Court Area, Asansol - WBPCB"
17-Dec-2019 - 00:00,13.1,3.65,16.75,2.41,4.67,0.37,8.75,62.74,112.33,4.49,,78.41,0.85,86.61,0.03,0.0,56.28,18-Dec-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
18-Dec-2019 - 00:00,16.65,5.3,21.88,5.53,2.25,0.23,12.14,57.83,92.72,3.03,,70.26,1.15,18.32,0.04,0.0,131.91,19-Dec-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
19-Dec-2019 - 00:00,25.07,8.6,33.63,10.54,2.48,0.46,11.92,64.12,109.62,3.23,,72.88,0.98,29.12,0.05,0.0,134.03,20-Dec-2019 - 00:00,999.18,"Asansol Court Area, Asansol - WBPCB"
20-Dec-2019 - 00:00,32.73,9.22,41.85,9.41,6.67,0.67,10.64,82.19,140.74,3.5,,75.76,0.71,119.82,0.04,0.0,97.12,21-Dec-2019 - 00:00,998.87,"Asansol Court Area, Asansol - WBPCB"
21-Dec-2019 - 00:00,43.96,9.15,51.96,10.08,9.64,0.62,9.17,109.0,219.35,5.33,,74.51,0.65,186.17,0.04,0.0,116.06,22-Dec-2019 - 00:00,999.16,"Asansol Court Area, Asansol - WBPCB"
22-Dec-2019 - 00:00,42.2,33.44,75.18,12.75,9.57,1.7,8.78,211.09,346.79,17.01,,83.84,0.63,178.39,0.04,0.0,75.0,23-Dec-2019 - 00:00,999.25,"Asansol Court Area, Asansol - WBPCB"
23-Dec-2019 - 00:00,42.42,14.12,56.52,23.1,7.8,0.83,13.3,152.89,261.35,12.0,,82.16,0.69,159.94,0.05,0.0,66.05,24-Dec-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
24-Dec-2019 - 00:00,70.48,19.94,90.42,32.48,9.78,1.23,26.35,122.43,210.92,7.57,,70.89,0.76,149.0,0.05,0.0,108.58,25-Dec-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
25-Dec-2019 - 00:00,88.07,17.25,105.32,28.8,9.57,1.36,22.52,118.98,206.62,6.5,,75.12,0.62,159.52,0.05,0.0,47.43,26-Dec-2019 - 00:00,999.61,"Asansol Court Area, Asansol - WBPCB"
26-Dec-2019 - 00:00,90.69,15.15,105.84,28.71,9.3,0.86,10.25,116.0,182.4,9.73,,89.48,0.65,147.92,0.04,0.06,30.44,27-Dec-2019 - 00:00,999.81,"Asansol Court Area, Asansol - WBPCB"
27-Dec-2019 - 00:00,95.75,14.3,110.05,29.65,7.39,0.58,36.93,82.86,137.52,4.55,,70.1,1.09,29.81,0.04,0.0,113.37,28-Dec-2019 - 00:00,999.6,"Asansol Court Area, Asansol - WBPCB"
28-Dec-2019 - 00:00,100.67,14.11,114.78,30.28,7.3,0.62,44.55,80.08,132.82,2.86,,65.62,1.02,47.37,0.05,0.0,131.1,29-Dec-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
29-Dec-2019 - 00:00,103.2,14.37,117.57,30.76,7.5,0.71,45.91,88.52,141.12,3.09,,62.21,1.02,48.98,0.05,0.0,135.83,30-Dec-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
30-Dec-2019 - 00:00,112.84,14.05,110.64,32.39,7.74,0.69,42.18,91.53,145.52,3.37,,74.45,0.9,29.43,0.05,0.0,120.37,31-Dec-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
31-Dec-2019 - 00:00,48.94,14.49,63.42,53.35,6.9,0.77,38.81,101.75,162.75,4.52,,85.73,0.74,23.04,0.06,0.0,5.6,01-Jan-2020 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
