from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,AT,RH,WS,WD,VWS,RF,SR,to date,BP,station
27-Feb-2019 - 00:00,16.81,7.51,23.45,17.25,2.93,0.34,12.55,32.57,44.53,6.54,,92.47,0.84,145.03,0.18,0.22,68.02,28-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
28-Feb-2019 - 00:00,26.14,24.15,43.92,26.68,4.88,0.37,18.32,33.91,58.7,5.68,,76.53,0.95,219.56,0.17,0.0,93.79,01-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
01-Mar-2019 - 00:00,65.37,25.67,90.65,4.1,9.85,0.64,29.16,50.46,83.7,14.02,,52.01,0.91,252.4,0.18,0.0,222.12,02-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
02-Mar-2019 - 00:00,66.52,17.84,85.89,1.55,18.73,0.79,30.14,84.83,115.51,12.54,,46.49,0.83,224.02,0.18,0.0,196.49,03-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
03-Mar-2019 - 00:00,67.81,8.79,76.06,1.09,22.83,0.62,25.94,87.15,133.13,12.85,,47.88,0.79,229.02,0.16,0.0,160.23,04-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
04-Mar-2019 - 00:00,54.27,8.62,62.53,22.56,16.8,0.57,18.85,74.64,116.31,7.08,,62.9,0.81,167.15,0.17,0.0,151.81,05-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
05-Mar-2019 - 00:00,40.17,5.58,45.25,12.51,9.17,0.7,20.36,99.41,136.33,11.1,24.09,61.4,0.88,240.37,0.07,0.0,149.13,06-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
06-Mar-2019 - 00:00,44.32,6.96,50.69,14.18,10.06,0.53,19.04,80.5,127.93,13.52,23.67,51.95,1.04,279.82,-0.0,0.0,174.41,07-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
07-Mar-2019 - 00:00,45.97,5.44,50.77,14.55,13.94,0.44,21.1,56.33,97.81,8.53,22.5,43.56,0.96,279.97,-0.0,0.06,162.02,08-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
08-Mar-2019 - 00:00,49.55,4.32,53.14,19.83,15.4,0.44,18.44,64.73,111.55,11.39,22.72,37.94,0.91,259.81,0.0,0.0,206.83,09-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
