from date,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,AT,Rack Temp,Benzene,Toluene,Xylene,RH,WS,WD,SR,BP,VWS,to date,station
18-Feb-2019 - 00:00,0.6,34.81,2.44,37.91,22.15,5.22,63.34,26.21,26.79,1.0,8.24,0.31,56.3,0.89,114.44,148.82,714.08,0.75,19-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
19-Feb-2019 - 00:00,0.56,29.01,2.38,32.62,19.29,3.78,59.27,27.16,26.92,1.19,5.29,0.19,55.97,0.91,130.02,160.19,715.77,0.74,20-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
20-Feb-2019 - 00:00,0.55,21.18,2.37,23.83,14.61,3.62,38.75,26.6,27.77,0.29,1.63,0.07,59.1,1.07,132.38,161.0,720.9,0.73,21-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
21-Feb-2019 - 00:00,0.54,27.62,2.46,32.13,19.1,4.07,41.16,27.12,27.38,0.3,1.63,0.08,50.3,0.87,136.54,164.47,723.61,0.74,22-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
22-Feb-2019 - 00:00,0.77,30.54,4.72,44.82,27.68,3.87,48.32,28.36,27.26,0.58,2.88,0.16,43.1,0.83,189.51,158.29,720.26,0.74,23-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
23-Feb-2019 - 00:00,0.72,42.12,4.37,43.48,26.68,5.9,58.17,28.79,27.48,0.18,1.71,0.07,41.76,0.89,191.97,147.09,716.53,0.74,24-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
24-Feb-2019 - 00:00,0.68,34.91,3.91,38.62,23.72,5.13,51.6,29.12,26.98,0.07,0.33,0.01,38.65,0.98,224.47,165.68,713.38,0.76,25-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
25-Feb-2019 - 00:00,0.49,40.15,1.36,30.93,17.56,9.96,52.64,28.79,26.18,0.03,0.38,0.0,37.26,1.56,204.79,156.12,711.65,0.82,26-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
26-Feb-2019 - 00:00,0.42,36.15,2.66,27.76,16.91,8.0,50.27,27.31,27.21,0.49,1.9,0.03,45.67,1.14,115.25,163.16,710.23,0.76,27-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
27-Feb-2019 - 00:00,0.52,31.68,1.55,23.75,13.89,6.36,52.01,26.09,26.91,0.51,4.06,0.06,60.34,1.12,117.66,138.06,709.5,0.75,28-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
28-Feb-2019 - 00:00,0.43,36.94,2.12,25.4,15.19,8.67,45.67,26.32,27.46,0.25,4.09,0.09,50.78,1.36,109.64,161.83,711.99,0.76,01-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
01-Mar-2019 - 00:00,0.46,27.8,1.72,29.37,17.02,5.79,54.03,26.71,26.48,0.83,5.32,0.13,55.62,0.95,130.32,148.01,713.16,0.76,02-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
02-Mar-2019 - 00:00,0.36,21.5,1.97,19.76,12.1,4.01,34.06,26.85,26.57,1.64,3.34,0.1,59.38,1.14,137.21,161.9,714.88,0.74,03-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
03-Mar-2019 - 00:00,0.39,25.75,1.73,18.59,11.29,4.12,35.05,27.54,26.71,1.43,1.84,0.05,54.49,1.03,185.9,150.05,712.88,0.74,04-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
04-Mar-2019 - 00:00,0.33,36.22,2.72,27.55,16.87,9.57,43.33,28.72,27.41,0.0,0.0,0.0,48.71,1.39,197.5,162.68,709.44,0.76,05-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
05-Mar-2019 - 00:00,0.43,32.97,2.41,29.74,17.77,11.17,53.56,27.8,26.59,0.02,0.13,0.0,47.6,1.44,119.2,166.0,709.3,0.8,06-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
06-Mar-2019 - 00:00,0.56,40.14,5.82,38.38,25.13,21.35,61.51,27.3,27.2,0.11,1.83,0.0,36.73,1.19,115.95,177.28,711.09,0.77,07-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
07-Mar-2019 - 00:00,0.77,48.39,11.15,51.37,36.19,33.93,69.81,27.34,26.71,0.92,15.27,0.13,37.26,1.09,113.17,168.58,711.04,0.78,08-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
08-Mar-2019 - 00:00,0.59,33.83,2.17,37.85,21.88,15.14,68.31,27.71,26.85,0.44,8.38,0.13,45.93,1.07,122.6,145.62,714.81,0.77,09-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
09-Mar-2019 - 00:00,0.5,27.34,3.09,36.41,21.88,6.64,53.73,28.52,26.27,0.25,3.4,0.05,51.27,0.87,169.88,162.08,715.82,0.77,10-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
10-Mar-2019 - 00:00,0.27,28.25,8.46,31.73,23.74,5.85,47.59,28.82,26.53,0.37,3.84,0.08,53.23,0.96,141.67,165.6,716.11,0.75,11-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
11-Mar-2019 - 00:00,0.34,25.38,8.4,31.25,23.44,6.27,41.38,28.79,26.43,0.34,3.95,0.11,51.44,1.12,161.97,157.31,717.08,0.77,12-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
12-Mar-2019 - 00:00,0.33,29.39,3.46,32.66,20.17,6.29,44.22,29.15,25.82,0.39,5.31,0.1,47.54,1.1,156.51,166.67,717.23,0.8,13-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
13-Mar-2019 - 00:00,0.45,33.33,2.09,32.31,18.89,6.57,43.3,29.42,26.48,0.54,1.79,0.05,39.92,1.32,206.29,159.69,717.36,0.78,14-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
14-Mar-2019 - 00:00,0.57,30.24,3.84,40.47,24.63,8.37,47.4,29.6,26.17,0.75,2.25,0.08,37.02,1.28,201.18,168.76,717.93,0.8,15-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
15-Mar-2019 - 00:00,0.57,34.15,4.9,36.33,23.29,9.17,50.19,29.61,26.71,0.28,2.18,0.1,36.21,1.16,192.18,171.23,717.92,0.78,16-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
16-Mar-2019 - 00:00,0.62,32.76,2.14,31.25,18.34,6.56,45.83,29.22,26.55,0.25,1.75,0.05,36.05,1.07,176.73,174.8,717.49,0.78,17-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
17-Mar-2019 - 00:00,0.59,30.86,1.71,25.26,14.8,4.59,40.99,28.48,27.28,0.0,0.0,0.0,45.81,1.03,157.41,176.61,717.44,0.76,18-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
18-Mar-2019 - 00:00,0.6,34.63,2.68,33.9,20.18,8.51,42.98,27.94,26.58,0.73,1.83,0.02,43.09,1.01,136.35,175.84,715.73,0.79,19-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
19-Mar-2019 - 00:00,0.69,29.68,1.93,25.74,15.26,5.44,40.8,28.21,25.53,0.59,3.47,0.09,51.02,1.13,173.52,168.91,712.47,0.81,20-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
20-Mar-2019 - 00:00,0.71,26.41,2.15,28.2,16.74,5.53,51.33,28.36,26.46,0.48,5.4,0.1,55.36,1.14,152.36,153.52,711.66,0.76,21-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
21-Mar-2019 - 00:00,0.7,31.62,1.33,22.15,12.86,5.98,46.83,28.59,26.53,0.41,5.64,0.03,52.79,1.13,164.02,160.39,713.96,0.76,22-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
22-Mar-2019 - 00:00,0.69,36.5,1.73,25.45,14.95,7.68,43.15,28.77,26.66,0.41,3.29,0.11,50.64,1.07,154.32,164.52,715.51,0.76,23-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
23-Mar-2019 - 00:00,0.82,34.36,2.09,36.11,20.89,7.08,46.56,29.82,26.65,0.6,4.49,0.18,48.27,0.85,139.75,158.08,714.92,0.74,24-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
24-Mar-2019 - 00:00,0.77,37.2,2.35,32.3,19.08,8.15,56.79,30.32,26.53,0.71,5.49,0.22,45.55,0.83,137.36,161.5,714.04,0.77,25-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
25-Mar-2019 - 00:00,0.83,31.09,4.71,40.09,25.16,8.33,51.86,30.04,26.06,0.63,4.77,0.21,45.35,0.88,129.9,168.38,714.34,0.78,26-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
