from date,AT,BP,PM10,PM2.5,RH,SR,WS,WD,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
19-Mar-2019 - 00:00,23.4,985.64,221.55,106.81,48.14,230.63,0.6,232.54,5.38,38.04,49.95,51.12,76.93,69.96,1.49,38.33,19.16,20-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
20-Mar-2019 - 00:00,25.41,984.24,208.4,84.15,41.25,200.19,1.2,139.72,4.09,24.6,48.85,35.25,70.2,81.73,1.31,23.9,24.64,21-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
21-Mar-2019 - 00:00,24.59,987.15,187.36,109.66,45.39,210.61,0.67,286.93,5.01,17.73,51.61,23.41,42.05,46.96,1.38,54.82,23.58,22-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
22-Mar-2019 - 00:00,23.98,989.25,107.91,33.88,35.6,248.63,1.03,270.1,2.21,11.91,39.42,4.77,22.85,39.4,0.73,55.64,18.22,23-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
23-Mar-2019 - 00:00,24.11,988.47,115.73,41.52,38.6,234.51,1.12,267.52,2.08,12.98,39.19,3.71,20.13,35.91,0.76,67.08,16.05,24-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
24-Mar-2019 - 00:00,24.86,986.8,131.55,54.5,42.24,223.82,0.9,269.39,2.51,13.86,41.64,8.39,27.54,42.66,0.82,45.93,23.77,25-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
25-Mar-2019 - 00:00,23.83,987.11,144.16,63.8,50.28,202.65,1.02,277.16,2.69,13.56,41.06,7.51,27.01,43.06,0.97,38.59,22.49,26-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
26-Mar-2019 - 00:00,23.89,988.53,,72.39,48.09,214.2,0.87,268.57,3.48,22.52,39.24,12.15,35.77,52.37,1.08,46.09,22.49,27-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
27-Mar-2019 - 00:00,24.71,989.21,,94.85,44.48,193.04,0.69,255.61,5.27,27.34,41.47,31.91,58.12,64.08,1.53,49.43,23.49,28-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
28-Mar-2019 - 00:00,26.87,987.17,,105.56,44.83,199.49,0.46,233.23,5.52,44.38,47.06,70.73,96.07,78.52,1.86,60.2,27.22,29-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
