from date,PM10,PM2.5,AT,BP,SR,RH,WD,RF,NO,NOx,NO2,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,to date,station
05-Sep-2019 - 00:00,62.0,30.94,30.67,978.97,183.46,80.81,63.54,,1.42,20.39,36.16,23.38,11.49,0.76,21.77,0.82,26.33,2.41,,06-Sep-2019 - 00:00,"Alipur, Delhi - DPCC"
06-Sep-2019 - 00:00,77.96,32.04,31.24,977.99,178.53,77.62,88.55,,2.37,23.23,40.02,21.82,12.24,0.69,28.07,1.45,32.63,5.03,,07-Sep-2019 - 00:00,"Alipur, Delhi - DPCC"
07-Sep-2019 - 00:00,74.04,33.74,30.56,978.63,141.85,78.68,80.48,,2.73,24.06,41.11,22.04,10.84,0.82,41.56,1.11,28.14,6.43,,08-Sep-2019 - 00:00,"Alipur, Delhi - DPCC"
08-Sep-2019 - 00:00,44.38,25.31,30.46,980.28,180.57,79.82,109.11,,1.27,15.03,26.31,18.34,11.29,0.56,22.38,0.37,16.68,1.22,,09-Sep-2019 - 00:00,"Alipur, Delhi - DPCC"
09-Sep-2019 - 00:00,100.56,51.6,31.21,978.84,169.96,74.77,154.6,,1.48,16.84,29.39,26.07,13.39,0.72,32.5,0.32,16.04,1.08,,10-Sep-2019 - 00:00,"Alipur, Delhi - DPCC"
10-Sep-2019 - 00:00,93.81,51.48,31.35,978.42,196.35,71.5,93.74,,3.21,19.87,32.44,27.49,10.85,0.77,34.54,0.62,15.92,1.83,,11-Sep-2019 - 00:00,"Alipur, Delhi - DPCC"
11-Sep-2019 - 00:00,147.5,74.12,32.15,979.66,170.28,72.31,62.49,,2.31,22.78,39.25,29.75,11.69,1.06,49.44,0.27,19.83,3.02,,12-Sep-2019 - 00:00,"Alipur, Delhi - DPCC"
12-Sep-2019 - 00:00,106.4,51.23,31.45,981.08,141.49,76.15,69.7,,1.62,25.56,45.58,30.66,10.03,0.7,33.48,0.14,20.68,2.55,,13-Sep-2019 - 00:00,"Alipur, Delhi - DPCC"
13-Sep-2019 - 00:00,71.94,32.65,31.51,982.07,187.12,72.41,65.1,,1.34,20.55,36.56,23.0,11.35,0.72,33.77,0.38,18.27,1.53,,14-Sep-2019 - 00:00,"Alipur, Delhi - DPCC"
14-Sep-2019 - 00:00,48.53,23.83,30.46,982.85,173.71,72.13,66.36,,1.24,15.24,26.75,19.39,10.05,0.67,28.76,0.29,12.59,1.01,,15-Sep-2019 - 00:00,"Alipur, Delhi - DPCC"
15-Sep-2019 - 00:00,50.62,30.59,29.4,982.76,116.38,80.85,67.47,0.5,1.47,15.59,27.04,18.58,9.45,0.63,20.0,0.21,9.48,0.8,,16-Sep-2019 - 00:00,"Alipur, Delhi - DPCC"
16-Sep-2019 - 00:00,101.52,50.65,30.56,981.39,162.03,75.88,100.6,,6.52,24.77,36.59,28.32,10.13,0.84,37.61,0.16,19.56,2.15,,17-Sep-2019 - 00:00,"Alipur, Delhi - DPCC"
17-Sep-2019 - 00:00,104.67,52.34,30.62,982.29,178.7,71.76,78.08,,1.97,20.16,34.89,26.1,10.25,0.72,45.07,0.61,18.75,1.8,,18-Sep-2019 - 00:00,"Alipur, Delhi - DPCC"
18-Sep-2019 - 00:00,69.82,31.49,29.61,986.33,185.46,68.07,70.75,,1.23,17.02,30.12,20.8,13.82,0.55,41.42,1.15,18.49,1.64,,19-Sep-2019 - 00:00,"Alipur, Delhi - DPCC"
19-Sep-2019 - 00:00,41.02,17.52,28.12,988.56,140.63,73.27,66.24,,1.04,11.86,20.7,16.66,13.8,0.5,29.78,0.6,16.21,0.72,,20-Sep-2019 - 00:00,"Alipur, Delhi - DPCC"
20-Sep-2019 - 00:00,81.24,40.25,28.5,986.76,153.15,74.12,57.85,,1.74,17.81,30.84,22.45,16.39,0.66,39.97,1.48,18.25,1.21,,21-Sep-2019 - 00:00,"Alipur, Delhi - DPCC"
21-Sep-2019 - 00:00,101.76,60.21,28.84,985.74,160.22,76.17,104.19,,5.69,25.15,38.5,27.27,14.34,0.84,34.83,1.25,26.87,4.67,,22-Sep-2019 - 00:00,"Alipur, Delhi - DPCC"
22-Sep-2019 - 00:00,49.07,29.24,25.6,987.56,109.61,84.24,68.98,,4.5,28.56,46.34,29.75,10.32,0.54,20.89,2.43,21.29,4.17,,23-Sep-2019 - 00:00,"Alipur, Delhi - DPCC"
23-Sep-2019 - 00:00,46.73,25.96,27.48,988.83,155.58,76.25,70.21,,1.32,21.04,37.52,24.11,12.2,0.83,30.57,1.5,14.52,2.27,,24-Sep-2019 - 00:00,"Alipur, Delhi - DPCC"
24-Sep-2019 - 00:00,58.45,27.94,28.17,988.92,148.03,73.44,75.9,,4.59,24.14,38.78,22.89,9.75,0.82,21.91,2.47,31.13,5.32,,25-Sep-2019 - 00:00,"Alipur, Delhi - DPCC"
25-Sep-2019 - 00:00,59.67,27.96,28.59,990.16,188.23,71.65,63.09,,2.26,21.75,37.43,22.11,9.58,0.78,22.72,2.55,29.42,5.02,,26-Sep-2019 - 00:00,"Alipur, Delhi - DPCC"
26-Sep-2019 - 00:00,41.19,19.75,28.41,990.48,144.24,73.81,64.69,,1.25,16.6,29.29,20.83,10.31,0.71,12.71,2.14,30.77,2.99,,27-Sep-2019 - 00:00,"Alipur, Delhi - DPCC"
27-Sep-2019 - 00:00,30.31,13.98,27.51,989.35,133.64,74.96,65.22,,1.07,11.78,20.5,18.12,12.39,0.58,12.75,1.19,22.61,0.79,,28-Sep-2019 - 00:00,"Alipur, Delhi - DPCC"
28-Sep-2019 - 00:00,39.07,19.07,26.66,987.66,137.13,79.13,57.67,0.5,1.84,13.23,22.05,18.34,13.22,0.79,13.51,1.69,18.88,1.6,,29-Sep-2019 - 00:00,"Alipur, Delhi - DPCC"
29-Sep-2019 - 00:00,31.6,16.6,26.68,988.29,142.7,78.48,63.09,,1.35,12.63,21.68,18.11,14.17,0.66,19.56,0.39,3.0,0.21,,30-Sep-2019 - 00:00,"Alipur, Delhi - DPCC"
30-Sep-2019 - 00:00,64.02,32.17,26.69,987.13,115.83,78.41,72.4,,2.01,15.06,25.22,17.71,13.55,0.82,34.86,0.68,6.99,0.88,,01-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
01-Oct-2019 - 00:00,80.69,39.25,27.24,986.48,136.49,76.73,72.49,,4.05,21.84,34.86,19.86,13.68,0.92,29.53,0.89,9.13,1.6,,02-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
02-Oct-2019 - 00:00,69.48,40.53,26.95,987.73,152.61,75.88,63.66,,6.53,22.83,32.91,23.95,17.59,0.97,24.73,0.58,6.56,1.41,,03-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
03-Oct-2019 - 00:00,92.62,45.42,26.23,987.72,85.84,78.45,77.37,,2.74,21.91,36.9,25.3,16.83,0.76,26.81,0.57,5.08,0.67,,04-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
04-Oct-2019 - 00:00,78.75,39.76,25.85,988.62,161.12,77.58,189.89,0.75,3.66,22.92,36.12,22.31,13.87,0.77,33.0,0.41,6.21,0.58,,05-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
05-Oct-2019 - 00:00,92.56,37.67,25.35,988.49,151.63,70.86,192.61,,6.3,22.98,33.56,17.37,11.76,0.79,21.17,0.43,4.78,0.75,,06-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
06-Oct-2019 - 00:00,112.46,50.97,24.77,988.91,92.95,79.77,151.28,,2.06,21.6,37.38,21.55,11.25,0.85,,0.48,2.95,0.29,,07-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
07-Oct-2019 - 00:00,106.46,44.74,26.38,990.16,153.64,68.92,245.47,,1.31,17.7,31.26,20.68,12.51,0.73,,0.61,3.21,0.08,,08-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
08-Oct-2019 - 00:00,93.04,38.85,25.42,989.64,183.13,56.06,215.09,,1.72,15.57,26.61,16.99,11.24,0.62,,0.5,5.42,0.25,,09-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
09-Oct-2019 - 00:00,135.19,74.02,25.16,989.66,151.95,69.15,54.28,,2.77,18.11,29.8,20.83,16.02,0.88,68.15,1.08,4.42,0.74,,10-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
10-Oct-2019 - 00:00,203.69,109.83,25.08,989.2,134.86,72.04,88.4,,28.41,47.03,44.93,25.24,19.87,1.08,48.75,1.29,12.66,1.26,,11-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
11-Oct-2019 - 00:00,210.64,104.51,25.27,988.71,140.81,43.16,124.38,,19.45,43.04,51.09,26.08,15.86,1.03,47.38,1.18,11.76,2.26,,12-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
12-Oct-2019 - 00:00,194.95,104.72,26.38,989.53,172.85,49.17,76.0,,23.0,43.02,45.77,26.54,18.5,1.05,49.83,0.9,9.99,1.69,,13-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
13-Oct-2019 - 00:00,249.5,135.53,25.51,990.07,134.54,65.7,152.16,,20.7,45.98,54.16,28.77,17.47,1.13,37.8,1.46,20.51,3.28,,14-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
14-Oct-2019 - 00:00,245.1,125.85,25.84,990.84,144.29,49.74,189.36,,16.53,41.99,53.61,27.53,15.43,1.36,37.89,1.33,16.11,2.79,,15-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
15-Oct-2019 - 00:00,263.56,139.85,26.01,991.49,120.42,50.57,65.74,,20.75,49.99,62.19,30.71,16.2,1.61,50.26,1.81,17.44,5.76,,16-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
16-Oct-2019 - 00:00,238.9,144.42,26.2,991.84,120.84,68.39,74.34,,3.45,30.17,51.43,33.67,14.32,1.3,52.36,0.84,4.84,1.01,,17-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
17-Oct-2019 - 00:00,212.6,128.06,26.18,991.53,122.15,66.72,73.26,,1.44,28.21,50.84,33.0,14.61,1.17,57.23,1.27,5.22,0.68,,18-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
18-Oct-2019 - 00:00,201.9,111.1,26.39,991.67,143.28,61.25,92.15,0.83,1.55,31.35,56.55,33.63,15.39,1.09,56.11,1.2,7.21,0.68,,19-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
19-Oct-2019 - 00:00,129.16,72.0,24.56,993.13,147.15,59.07,120.33,,7.86,40.46,64.04,28.52,16.26,1.04,38.23,0.76,11.74,0.89,,20-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
20-Oct-2019 - 00:00,168.95,89.41,24.25,992.66,167.38,55.85,268.77,,12.56,41.43,58.38,27.33,14.28,0.98,30.51,0.78,10.44,1.15,,21-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
21-Oct-2019 - 00:00,217.58,114.41,23.28,990.97,176.34,61.71,244.63,,12.89,41.26,57.92,28.24,15.46,1.11,38.19,0.99,10.68,1.08,,22-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
22-Oct-2019 - 00:00,226.08,108.31,23.05,988.15,166.26,28.83,254.42,,10.68,41.82,62.74,26.15,20.69,1.15,37.41,1.11,23.23,2.05,,23-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
23-Oct-2019 - 00:00,263.18,131.48,23.3,987.52,181.26,59.66,204.57,,22.54,58.47,75.43,28.54,18.85,1.18,39.51,1.44,17.8,2.42,,24-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
24-Oct-2019 - 00:00,266.24,175.02,23.04,988.71,155.86,70.5,68.71,,7.48,40.04,63.72,38.56,20.08,1.39,50.1,1.71,5.67,1.75,,25-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
25-Oct-2019 - 00:00,223.93,143.57,23.03,990.12,152.14,63.39,66.86,,3.45,40.49,70.96,37.91,18.15,1.21,53.68,1.61,6.67,1.22,,26-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
26-Oct-2019 - 00:00,278.51,169.96,22.73,991.37,126.24,49.31,59.55,,32.77,68.3,78.2,40.12,16.53,1.76,53.87,1.94,11.57,2.5,,27-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
27-Oct-2019 - 00:00,311.42,198.69,23.51,990.71,160.82,32.83,182.75,,20.86,51.76,65.33,38.61,18.97,1.6,46.51,1.86,9.22,3.18,,28-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
28-Oct-2019 - 00:00,312.8,218.55,23.11,991.42,129.87,35.53,196.1,,5.75,35.15,57.27,35.83,21.1,1.58,47.51,1.63,4.89,1.65,,29-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
29-Oct-2019 - 00:00,432.35,302.19,22.99,992.11,83.01,74.33,74.99,,14.71,54.06,78.08,52.82,17.36,2.25,26.77,2.23,15.37,4.26,,30-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
30-Oct-2019 - 00:00,514.75,331.75,23.55,990.74,95.28,70.39,199.96,,59.78,100.84,98.04,54.88,18.81,2.72,24.7,2.73,31.8,5.77,,31-Oct-2019 - 00:00,"Alipur, Delhi - DPCC"
31-Oct-2019 - 00:00,561.26,354.31,22.41,990.11,100.07,50.29,182.17,,64.75,107.06,104.36,57.66,22.91,2.76,6.06,2.98,51.73,7.13,,01-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
01-Nov-2019 - 00:00,535.62,356.35,23.86,990.14,115.09,51.74,142.6,,13.6,56.53,85.46,55.29,21.68,1.83,46.07,2.24,22.62,3.0,,02-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
02-Nov-2019 - 00:00,479.33,337.23,23.12,991.84,81.16,49.51,253.62,,11.31,49.96,76.59,47.05,24.39,0.56,29.54,1.79,12.58,2.25,,03-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
03-Nov-2019 - 00:00,771.79,715.04,21.71,992.68,55.72,65.1,201.03,,18.69,58.67,80.96,72.63,20.24,0.56,1.26,2.89,19.16,3.93,,04-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
04-Nov-2019 - 00:00,463.42,335.7,23.59,992.16,139.29,38.13,255.38,,1.99,25.1,44.3,40.04,20.87,0.63,25.08,1.64,28.43,1.76,,05-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
05-Nov-2019 - 00:00,349.75,220.5,22.91,989.3,153.18,38.66,243.55,,11.72,43.24,62.87,30.8,21.52,0.58,,1.43,19.42,1.88,,06-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
06-Nov-2019 - 00:00,238.78,118.66,22.37,987.32,133.74,29.39,139.57,,24.47,62.57,80.17,25.35,18.46,0.68,2.9,1.97,15.18,4.49,,07-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
07-Nov-2019 - 00:00,259.67,170.84,19.79,989.02,55.28,70.42,83.31,0.5,5.65,40.91,68.24,36.94,21.26,0.26,,1.75,7.04,2.59,,08-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
08-Nov-2019 - 00:00,211.3,125.1,21.45,991.56,130.01,43.24,76.25,,19.97,54.48,71.8,39.03,21.67,0.56,3.25,1.32,13.59,1.91,,09-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
09-Nov-2019 - 00:00,217.65,135.95,21.75,992.0,160.68,57.02,244.11,,9.19,37.97,57.29,36.4,20.36,0.45,1.51,0.94,6.23,1.42,,10-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
10-Nov-2019 - 00:00,296.49,193.61,20.39,992.08,134.5,47.28,218.12,,8.61,43.17,67.93,36.82,24.54,0.56,1.42,1.23,19.56,1.13,,11-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
11-Nov-2019 - 00:00,388.21,261.42,19.38,990.96,125.11,47.93,226.9,,17.61,57.61,81.43,41.49,25.89,0.63,1.46,1.41,8.06,1.65,,12-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
12-Nov-2019 - 00:00,541.0,390.74,18.3,991.82,124.3,25.93,184.54,,37.72,78.28,88.91,48.75,22.19,0.64,1.45,1.96,39.26,2.93,,13-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
13-Nov-2019 - 00:00,515.25,363.85,19.41,993.84,104.68,55.24,206.48,,29.67,74.04,94.43,51.03,25.97,0.43,1.4,2.12,20.93,2.69,,14-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
14-Nov-2019 - 00:00,478.58,296.84,20.17,994.55,94.19,60.86,170.14,,55.71,98.28,99.31,55.25,24.66,1.08,1.57,2.06,16.77,3.45,,15-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
15-Nov-2019 - 00:00,531.02,368.98,21.02,993.63,108.64,60.09,185.81,,28.76,74.38,95.81,53.1,19.06,0.78,1.56,2.17,14.96,2.9,,16-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
16-Nov-2019 - 00:00,258.25,144.54,21.76,993.35,137.8,27.57,255.38,,4.32,32.66,54.68,32.18,19.41,0.43,2.84,1.0,7.02,0.86,,17-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
17-Nov-2019 - 00:00,164.45,98.77,21.47,993.33,152.7,37.48,254.12,,2.35,23.02,39.62,18.46,17.79,0.29,18.95,0.94,8.39,0.36,,18-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
18-Nov-2019 - 00:00,216.27,129.36,19.59,992.75,133.13,29.75,254.41,,7.57,33.13,50.66,15.58,16.76,0.38,30.83,1.08,18.4,1.16,,19-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
19-Nov-2019 - 00:00,273.83,146.26,21.87,992.12,125.82,51.43,286.79,1.0,27.62,59.38,69.25,16.37,19.56,0.71,30.27,1.44,27.94,2.64,,20-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
20-Nov-2019 - 00:00,335.88,192.78,26.62,992.74,118.41,72.46,335.31,,36.67,64.99,66.05,8.84,22.2,0.7,48.1,2.33,19.68,3.73,,21-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
21-Nov-2019 - 00:00,317.48,192.39,27.89,994.7,101.99,73.18,335.27,,10.9,44.48,66.96,16.31,20.72,0.33,49.06,2.03,7.67,1.59,,22-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
22-Nov-2019 - 00:00,382.83,211.02,28.36,994.71,100.64,69.65,335.18,,38.16,78.97,90.0,20.05,26.88,0.74,49.04,2.35,35.73,4.7,,23-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
23-Nov-2019 - 00:00,200.1,111.94,28.88,994.13,88.73,66.41,335.23,,4.21,31.16,52.13,14.75,18.7,0.31,28.18,1.13,16.64,1.02,,24-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
24-Nov-2019 - 00:00,153.79,83.85,29.15,993.49,112.54,65.53,335.17,,2.45,25.43,44.05,13.75,15.99,0.36,37.52,0.85,13.82,0.53,,25-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
25-Nov-2019 - 00:00,188.31,104.04,28.48,994.14,105.27,69.42,335.14,,8.83,33.01,48.51,12.6,18.43,0.38,37.45,1.02,5.69,0.69,,26-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
26-Nov-2019 - 00:00,168.56,88.08,28.93,993.71,87.81,67.37,335.14,,4.39,27.97,45.86,11.36,27.74,0.28,42.77,1.39,3.16,0.51,,27-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
27-Nov-2019 - 00:00,90.31,44.75,28.3,993.67,81.32,76.78,318.75,4.25,3.79,22.2,35.92,13.48,19.25,0.27,36.28,0.55,2.85,0.16,,28-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
28-Nov-2019 - 00:00,47.69,26.21,27.51,994.63,75.6,82.32,334.78,0.5,2.26,15.01,24.74,15.98,9.74,0.29,38.96,0.26,1.34,0.13,,29-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
29-Nov-2019 - 00:00,82.12,43.21,27.33,994.95,130.94,84.47,335.19,,11.54,31.5,41.53,18.17,8.24,0.42,27.7,0.69,11.99,0.71,,30-Nov-2019 - 00:00,"Alipur, Delhi - DPCC"
30-Nov-2019 - 00:00,158.46,86.12,26.95,994.94,115.8,87.64,335.29,,11.92,38.65,54.28,17.15,11.92,0.77,21.63,1.04,15.48,1.09,,01-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
01-Dec-2019 - 00:00,209.35,113.0,25.9,994.59,90.74,86.46,335.36,,4.74,33.27,58.17,14.24,9.09,0.81,23.76,0.9,7.97,0.35,,02-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
02-Dec-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
03-Dec-2019 - 00:00,257.1,150.33,27.26,993.66,120.78,66.9,335.56,,41.55,87.59,100.92,22.32,14.67,1.62,41.78,1.61,50.57,2.63,,04-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
04-Dec-2019 - 00:00,326.98,209.72,26.14,996.36,119.46,77.98,335.16,,52.2,92.42,93.77,30.21,23.67,1.38,40.36,1.83,15.11,2.57,,05-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
05-Dec-2019 - 00:00,409.7,279.06,26.07,998.1,107.83,78.42,335.2,,84.32,132.42,119.7,42.86,19.28,2.07,41.1,2.5,21.7,4.36,,06-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
06-Dec-2019 - 00:00,375.46,262.09,26.77,997.54,108.25,83.72,335.21,,47.9,97.71,110.42,37.89,28.79,1.39,30.35,1.8,30.46,3.21,,07-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
07-Dec-2019 - 00:00,327.74,172.63,26.8,996.76,114.62,83.58,335.14,,46.7,81.67,81.95,34.5,19.1,2.12,30.7,1.61,14.11,2.48,,08-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
08-Dec-2019 - 00:00,412.27,268.24,26.59,996.49,110.44,81.52,335.13,,87.84,117.28,86.34,38.52,17.38,2.3,28.59,2.53,33.78,6.47,,09-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
09-Dec-2019 - 00:00,362.55,226.76,26.23,995.76,111.2,77.67,335.17,,78.83,111.31,88.34,34.62,16.22,2.34,36.37,2.06,25.97,3.25,,10-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
10-Dec-2019 - 00:00,381.49,249.62,22.28,993.07,105.33,79.18,335.17,,46.28,84.92,88.73,28.65,14.21,1.84,35.44,1.91,26.32,2.85,,11-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
11-Dec-2019 - 00:00,457.33,338.12,20.78,991.77,74.38,76.42,335.1,,20.78,62.78,86.13,27.46,17.95,2.68,37.65,2.53,22.91,3.99,,12-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
12-Dec-2019 - 00:00,379.18,292.39,21.36,990.71,46.42,71.23,335.13,1.12,3.75,40.05,69.92,31.45,19.96,1.71,39.06,2.07,6.7,1.23,,13-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
13-Dec-2019 - 00:00,109.56,85.73,21.03,991.23,42.44,80.26,333.04,0.69,2.37,21.73,37.21,23.16,13.41,0.96,35.91,0.81,3.5,0.34,,14-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
14-Dec-2019 - 00:00,98.2,59.83,18.68,997.25,86.18,78.82,334.93,,13.55,31.27,37.34,22.7,11.89,0.92,22.13,0.64,3.8,0.36,,15-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
15-Dec-2019 - 00:00,130.33,86.69,18.11,997.05,108.33,77.9,335.08,,7.51,26.16,37.63,23.1,13.11,0.89,22.93,0.83,10.58,0.3,,16-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
16-Dec-2019 - 00:00,103.62,72.56,17.27,997.64,25.23,81.45,335.19,,2.3,24.52,42.58,27.29,10.92,0.87,24.25,0.71,6.01,0.01,,17-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
17-Dec-2019 - 00:00,135.48,104.48,17.08,998.45,39.32,78.71,335.25,,12.15,44.3,64.77,26.08,11.24,1.21,23.62,0.81,3.07,0.24,,18-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
18-Dec-2019 - 00:00,163.85,131.0,17.11,997.44,112.91,77.56,335.27,,3.58,35.83,61.79,27.48,11.2,1.02,32.96,0.92,6.13,0.14,,19-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
19-Dec-2019 - 00:00,390.53,315.53,16.42,996.04,76.23,85.53,335.35,,22.1,62.2,83.07,21.43,11.53,2.16,14.2,2.3,7.2,1.96,,20-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
20-Dec-2019 - 00:00,417.09,307.92,17.16,993.78,71.56,82.99,335.35,,19.02,65.57,94.18,22.47,15.58,2.25,16.86,2.79,21.02,3.28,,21-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
21-Dec-2019 - 00:00,289.65,203.21,17.49,994.71,67.13,82.37,335.2,,10.09,67.85,112.11,49.57,10.57,1.56,9.76,1.66,12.42,0.77,,22-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
22-Dec-2019 - 00:00,165.02,126.75,16.92,995.98,35.57,84.6,335.21,,6.56,48.53,81.22,44.56,9.5,1.25,18.57,1.21,4.53,0.15,,23-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
23-Dec-2019 - 00:00,214.69,171.81,16.41,995.18,55.81,83.04,335.27,,19.5,53.89,71.43,32.12,10.43,1.8,15.79,1.39,7.62,0.54,,24-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
24-Dec-2019 - 00:00,304.02,212.72,16.57,996.85,76.02,82.31,335.27,,19.68,54.22,71.78,35.16,13.23,1.84,14.89,1.83,18.98,1.27,,25-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
25-Dec-2019 - 00:00,183.49,127.53,13.05,995.99,66.97,82.72,335.3,,4.34,36.1,61.1,37.99,,0.97,16.27,0.97,3.99,0.15,,26-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
26-Dec-2019 - 00:00,217.79,157.42,10.92,995.37,67.97,80.9,335.31,,2.92,37.27,65.74,40.58,,1.15,23.03,0.99,6.18,0.19,,27-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
27-Dec-2019 - 00:00,312.09,193.14,10.58,996.27,39.25,85.52,335.34,,8.79,38.71,59.16,30.42,10.94,1.2,7.58,1.3,4.8,0.21,,28-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
28-Dec-2019 - 00:00,303.81,216.47,10.11,996.86,72.17,85.96,335.38,,32.34,55.71,55.15,30.53,11.74,1.18,11.81,1.85,6.14,1.05,,29-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
29-Dec-2019 - 00:00,353.35,245.57,8.46,997.22,96.95,80.27,335.32,,7.37,35.45,55.37,21.74,10.6,1.55,25.17,1.73,4.65,0.42,,30-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
30-Dec-2019 - 00:00,315.16,243.46,5.43,996.56,22.75,89.86,335.35,,25.57,55.8,65.61,18.5,9.65,2.44,3.91,2.55,8.4,1.32,,31-Dec-2019 - 00:00,"Alipur, Delhi - DPCC"
31-Dec-2019 - 00:00,277.0,188.0,5.5,997.0,4.65,84.55,335.3,,6.65,38.15,61.4,16.9,10.1,1.8,3.35,1.8,3.3,0.45,,01-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
