from date,SR,PM10,Temp,VWS,RH,PM2.5,CO,Ozone,NO2,NO,NH3,Benzene,SO2,to date,BP,station
19-Mar-2019 - 00:00,296.38,115.85,27.93,-2.1,49.3,60.21,0.0,21.99,9.65,9.21,6.24,,9.34,20-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
20-Mar-2019 - 00:00,323.95,127.4,27.95,-2.09,32.6,67.36,0.0,29.23,9.61,9.19,6.32,,11.47,21-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
21-Mar-2019 - 00:00,387.6,130.91,31.65,-2.07,34.64,69.85,0.0,119.41,9.66,8.89,6.26,,10.57,22-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
22-Mar-2019 - 00:00,249.41,89.96,29.59,-2.08,48.01,38.27,0.0,21.22,9.51,9.32,6.31,,9.11,23-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
23-Mar-2019 - 00:00,351.07,95.85,28.76,-2.2,32.05,46.01,0.0,21.96,9.4,8.86,6.31,,6.72,24-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
24-Mar-2019 - 00:00,331.17,142.23,29.08,-2.11,24.55,62.18,0.0,20.51,9.41,9.08,6.31,,10.34,25-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
25-Mar-2019 - 00:00,325.8,160.4,30.21,-2.13,31.35,70.44,0.0,25.23,9.49,9.01,6.29,,9.96,26-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
26-Mar-2019 - 00:00,235.22,199.79,26.71,-2.05,48.7,83.63,0.0,12.18,9.95,9.19,6.21,,10.28,27-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
27-Mar-2019 - 00:00,306.5,118.6,28.63,-2.04,53.26,55.67,0.0,21.74,9.74,9.11,6.29,,11.19,28-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
28-Mar-2019 - 00:00,319.88,154.69,29.28,-2.07,37.05,70.81,0.0,19.37,9.76,9.23,6.32,,15.89,29-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
29-Mar-2019 - 00:00,631.12,173.35,32.51,-1.99,33.95,102.34,0.0,27.05,9.68,9.01,6.29,,11.38,30-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
30-Mar-2019 - 00:00,,,,,,,,,,,,,,31-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
31-Mar-2019 - 00:00,,,,,,,,,,,,,,01-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
