from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,Toluene,Xylene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
02-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
03-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,04-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
04-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,05-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
05-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,06-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
06-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,07-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
07-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,08-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
08-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,09-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
09-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,10-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,11-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
12-Feb-2019 - 00:00,97.14,230.26,30.69,4.82,20.62,33.82,10.29,1.06,36.62,7.88,11.58,,7.36,16.92,68.75,0.95,252.78,21.64,0.0,13-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
13-Feb-2019 - 00:00,140.62,266.29,34.38,11.49,27.89,33.08,15.5,1.28,35.7,10.47,16.3,,8.24,17.63,82.28,0.85,143.37,106.86,0.0,14-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
14-Feb-2019 - 00:00,109.88,179.25,28.46,4.65,19.32,30.99,15.0,0.71,37.32,6.51,11.62,0.24,5.44,11.44,65.33,3.32,111.52,42.56,0.0,15-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
