from date,NOx,NO2,NO,PM2.5,PM10,SO2,to date,station
12-Apr-2019 - 00:00,25.14,21.5,3.64,39.03,121.53,3.83,13-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Apr-2019 - 00:00,23.69,20.66,3.03,45.94,137.84,4.02,14-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Apr-2019 - 00:00,28.07,23.78,4.29,57.99,131.2,3.86,15-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Apr-2019 - 00:00,38.97,34.58,4.44,55.87,147.73,4.28,16-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Apr-2019 - 00:00,39.76,32.05,9.19,31.87,111.5,4.59,17-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Apr-2019 - 00:00,18.54,14.91,3.63,34.21,79.62,3.52,18-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Apr-2019 - 00:00,21.03,16.96,4.08,39.3,116.92,3.51,19-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Apr-2019 - 00:00,26.98,23.25,3.73,32.9,81.77,3.55,20-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Apr-2019 - 00:00,35.11,31.33,3.78,37.11,78.41,4.2,21-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Apr-2019 - 00:00,27.69,24.07,3.62,29.73,76.01,3.65,22-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-Apr-2019 - 00:00,16.83,13.07,3.76,47.39,109.57,3.66,23-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-Apr-2019 - 00:00,29.62,23.78,5.84,37.19,103.51,3.52,24-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-Apr-2019 - 00:00,25.42,21.77,3.65,41.44,106.34,3.47,25-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
