from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,O Xylene,AT,WS,WD,RH,BP,SR,RF,to date,station
22-Nov-2019 - 00:00,9.97,12.93,1.45,0.48,0.53,1.48,3.32,0.29,8.56,0.46,1.09,0.76,0.26,0.3,5.65,1.91,75.08,34.9,,14.0,0.0,23-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
23-Nov-2019 - 00:00,6.54,8.7,0.96,0.29,0.35,0.98,2.1,0.06,9.0,0.12,0.08,0.07,0.03,0.02,3.6,1.46,55.7,21.54,,33.39,0.0,24-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
24-Nov-2019 - 00:00,12.42,18.59,1.8,0.57,0.71,1.84,3.89,0.14,15.32,0.26,0.34,0.24,0.08,0.09,6.83,1.96,93.2,42.09,,46.73,0.0,25-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
25-Nov-2019 - 00:00,12.72,17.13,1.7,0.53,0.68,1.78,3.76,0.18,11.66,0.3,0.42,0.31,0.09,0.11,6.63,1.92,82.82,41.86,,33.41,0.0,26-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
26-Nov-2019 - 00:00,16.64,22.34,1.83,0.59,0.71,1.95,4.25,0.19,16.29,0.31,0.44,0.34,0.12,0.13,8.21,2.3,107.33,42.51,,71.87,0.0,27-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
27-Nov-2019 - 00:00,13.7,18.51,1.72,0.56,0.59,1.74,3.79,0.19,12.01,0.27,0.23,0.19,0.06,0.06,7.03,2.13,89.7,36.79,,57.82,0.0,28-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
28-Nov-2019 - 00:00,11.75,17.83,1.9,0.61,0.77,1.94,4.34,0.11,19.94,0.48,0.2,0.15,0.05,0.05,8.54,3.4,120.29,21.87,,41.0,0.0,29-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
29-Nov-2019 - 00:00,4.14,2.87,2.58,0.85,0.93,2.65,5.89,0.17,31.84,0.5,0.27,0.18,0.07,0.06,11.14,5.33,161.82,26.42,,91.59,0.0,30-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
30-Nov-2019 - 00:00,0.81,3.02,2.51,0.8,1.11,2.61,5.87,0.18,30.93,0.34,0.25,0.21,0.06,0.07,10.64,4.19,152.34,34.58,,102.81,0.0,01-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
01-Dec-2019 - 00:00,,,2.44,0.77,1.08,2.48,5.57,0.19,36.66,0.32,0.21,0.16,0.03,0.04,8.87,3.99,147.22,42.24,,91.72,0.0,02-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
02-Dec-2019 - 00:00,,,2.47,0.77,1.1,2.53,5.6,0.26,25.47,0.43,0.45,0.34,0.09,0.11,8.02,3.31,120.09,51.59,,73.23,0.0,03-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
03-Dec-2019 - 00:00,5.92,9.08,1.89,0.6,0.74,1.98,4.5,0.21,15.67,0.35,0.51,0.4,0.12,0.15,5.39,2.34,87.91,46.76,,43.2,0.0,04-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
04-Dec-2019 - 00:00,4.28,2.05,1.25,0.41,0.51,1.3,3.01,0.14,9.67,0.21,0.36,0.31,0.08,0.11,4.97,1.87,69.71,31.39,,10.23,0.0,05-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
05-Dec-2019 - 00:00,2.5,4.21,1.88,0.57,0.85,1.94,4.4,0.15,24.99,0.26,0.26,0.21,0.05,0.07,7.29,3.87,89.33,27.0,,76.91,0.0,06-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
06-Dec-2019 - 00:00,1.03,1.75,1.88,0.6,0.82,1.93,4.34,0.15,27.71,0.22,0.18,0.16,0.06,0.06,7.38,3.11,102.96,23.83,,71.69,0.0,07-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
07-Dec-2019 - 00:00,2.69,4.74,1.69,0.55,0.71,1.75,3.96,0.13,23.29,0.19,0.14,0.12,0.04,0.04,6.62,3.17,87.03,26.52,,66.17,0.0,08-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
08-Dec-2019 - 00:00,13.22,2.08,1.81,0.58,0.78,1.84,4.15,0.14,23.72,0.19,0.17,0.1,0.01,0.02,6.09,2.76,96.54,32.78,,55.29,0.0,09-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
09-Dec-2019 - 00:00,7.98,9.74,1.86,0.6,0.79,1.9,4.28,0.33,22.44,0.42,0.98,0.69,0.2,0.27,5.92,2.59,112.01,39.56,,40.38,0.01,10-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
10-Dec-2019 - 00:00,11.58,13.08,1.63,0.51,0.72,1.68,3.79,0.2,14.39,0.35,0.28,0.19,0.05,0.06,4.78,1.74,95.19,39.27,,20.74,0.0,11-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
11-Dec-2019 - 00:00,20.26,9.35,1.69,0.53,0.73,1.75,3.96,0.39,18.08,0.52,0.88,0.6,0.18,0.22,4.88,2.0,97.13,40.04,,33.58,0.0,12-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
12-Dec-2019 - 00:00,13.41,8.72,1.61,0.52,0.68,1.66,3.72,0.15,17.42,0.28,0.22,0.15,0.02,0.02,4.75,2.15,71.86,35.92,,40.37,0.0,13-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
13-Dec-2019 - 00:00,2.76,4.68,2.29,0.73,1.01,2.31,5.33,0.17,29.17,0.25,0.13,0.09,0.02,0.01,7.51,4.55,115.38,42.89,,71.08,0.0,14-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
14-Dec-2019 - 00:00,3.71,6.12,2.06,0.67,0.88,2.11,5.09,0.18,27.36,0.28,0.15,0.11,0.03,0.03,7.2,3.17,132.26,32.44,,57.73,0.0,15-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
15-Dec-2019 - 00:00,18.32,20.64,2.1,0.68,0.87,2.13,5.25,0.23,24.1,0.35,0.16,0.11,0.02,0.0,6.83,2.79,117.91,48.2,,34.8,0.0,16-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
16-Dec-2019 - 00:00,7.87,12.72,1.89,0.61,0.81,1.93,4.79,0.22,26.83,0.27,0.29,0.2,0.07,0.07,6.0,2.92,116.91,39.16,,30.8,0.01,17-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
17-Dec-2019 - 00:00,12.77,14.36,2.03,0.65,0.87,2.13,5.08,0.24,27.19,0.32,0.33,0.24,0.07,0.08,6.01,2.98,119.43,35.7,,53.69,0.0,18-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
18-Dec-2019 - 00:00,12.63,20.75,1.99,0.63,0.86,2.03,4.76,0.16,24.28,0.28,0.14,0.11,0.01,0.0,5.37,2.94,81.8,39.24,,65.98,0.0,19-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
19-Dec-2019 - 00:00,4.95,5.46,1.71,0.56,0.73,1.76,4.12,0.17,17.05,0.31,0.15,0.09,0.01,0.02,4.78,2.18,73.71,34.93,,54.85,0.0,20-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
20-Dec-2019 - 00:00,4.97,6.56,1.61,0.51,0.7,1.66,3.99,0.2,19.11,0.3,0.25,0.19,0.04,0.06,4.65,1.87,76.43,30.58,,46.68,0.0,21-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
21-Dec-2019 - 00:00,2.03,3.45,0.78,0.25,0.31,0.8,1.96,0.09,9.43,0.17,0.15,0.07,0.02,0.03,2.12,0.86,40.68,13.05,,23.01,0.0,22-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
22-Dec-2019 - 00:00,4.09,2.17,0.82,0.28,0.31,0.86,2.11,0.1,10.05,0.16,0.15,0.09,0.02,0.03,2.56,1.01,51.55,14.19,,28.52,0.0,23-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
23-Dec-2019 - 00:00,8.53,10.96,1.43,0.46,0.61,1.48,3.58,0.18,13.82,0.27,0.33,0.21,0.06,0.07,3.79,1.39,71.37,30.43,,30.28,0.0,24-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
24-Dec-2019 - 00:00,20.9,24.28,2.23,0.72,0.96,2.31,5.66,0.25,22.83,0.42,0.27,0.17,0.02,0.03,6.18,2.61,135.63,51.48,,59.84,0.0,25-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
25-Dec-2019 - 00:00,25.72,39.93,2.88,0.9,1.27,2.97,7.33,0.26,35.97,0.39,0.18,0.11,0.0,0.01,7.54,4.21,169.63,58.29,,121.42,0.0,26-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
26-Dec-2019 - 00:00,12.52,12.57,2.13,0.66,0.94,2.21,5.4,0.18,37.15,0.25,0.11,0.07,0.01,0.01,4.79,4.13,137.38,39.23,,56.0,0.0,27-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
27-Dec-2019 - 00:00,9.52,,2.28,0.71,0.98,2.32,5.69,0.19,33.33,0.24,0.1,0.07,0.0,0.0,4.6,3.25,132.73,51.35,,22.3,0.03,28-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
28-Dec-2019 - 00:00,12.2,,2.25,0.72,0.95,2.35,5.76,0.16,30.97,0.23,0.12,0.07,0.01,0.01,5.1,2.76,100.86,48.89,,83.18,0.0,29-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
29-Dec-2019 - 00:00,8.77,,2.25,0.71,0.97,2.33,5.8,0.17,35.27,0.2,0.12,0.08,0.0,0.01,6.59,3.6,102.52,31.73,,92.36,0.0,30-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
30-Dec-2019 - 00:00,6.27,,2.04,0.64,0.88,2.11,5.24,0.14,37.67,0.15,0.18,0.06,0.01,0.01,6.26,3.96,101.91,29.21,,81.41,0.0,31-Dec-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
31-Dec-2019 - 00:00,,,,,,,,,,,,,,,,,118.78,,,,,01-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
