from date,NOx,NO,NH3,SO2,CO,Ozone,PM10,PM2.5,Benzene,Toluene,AT,WS,RH,WD,BP,SR,RF,to date,station
22-Nov-2019 - 00:00,35.7,6.26,33.88,24.48,1.57,,,,0.39,1.82,18.06,0.36,49.38,48.24,741.0,43.41,,23-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
23-Nov-2019 - 00:00,36.28,8.88,36.02,16.18,1.66,18.79,,,0.35,2.08,17.4,0.34,58.68,112.73,741.0,35.24,,24-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
24-Nov-2019 - 00:00,25.82,3.99,36.1,18.14,1.04,26.09,,,0.28,1.64,19.12,0.4,53.57,122.89,741.0,46.55,,25-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
25-Nov-2019 - 00:00,35.26,7.58,33.46,19.12,1.45,24.99,,,0.35,3.48,19.77,0.36,46.59,66.24,741.0,45.79,,26-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
26-Nov-2019 - 00:00,29.85,6.09,33.55,21.73,0.97,22.63,,,0.32,1.78,19.49,0.68,48.89,79.94,741.0,32.97,,27-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
27-Nov-2019 - 00:00,26.64,6.63,32.14,18.13,1.37,19.03,,,0.25,1.59,17.53,0.37,60.47,145.84,741.0,25.67,1.0,28-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
28-Nov-2019 - 00:00,17.94,4.38,27.91,13.02,0.43,19.52,,,0.09,0.59,13.49,0.92,69.92,109.79,741.0,10.94,1.0,29-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
29-Nov-2019 - 00:00,32.73,7.54,35.98,18.54,1.13,19.11,,,0.28,1.86,17.24,0.3,61.08,79.06,741.0,13.06,,30-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
30-Nov-2019 - 00:00,29.02,7.35,33.58,16.54,2.01,9.33,,,0.28,1.6,15.2,0.3,64.9,141.67,741.0,48.65,,01-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
01-Dec-2019 - 00:00,27.82,5.78,30.49,20.58,1.85,15.24,,,0.25,1.39,13.94,0.32,61.09,228.67,741.0,48.54,,02-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
02-Dec-2019 - 00:00,32.13,6.15,35.64,14.48,2.0,23.44,,,0.26,1.46,13.47,0.3,57.74,234.09,741.0,47.16,,03-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
03-Dec-2019 - 00:00,39.13,8.18,46.92,28.67,2.19,16.07,,,0.35,1.89,12.96,0.31,59.26,240.45,741.0,47.7,,04-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
04-Dec-2019 - 00:00,35.77,18.7,26.45,29.14,3.07,,,,0.63,3.15,12.54,0.3,60.69,160.19,741.04,40.47,,05-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
05-Dec-2019 - 00:00,19.67,14.25,11.4,20.39,2.74,2.5,,,0.61,3.03,13.78,0.3,64.23,88.76,741.45,40.44,,06-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
06-Dec-2019 - 00:00,13.06,9.33,8.73,37.11,2.49,2.57,,,0.61,2.4,14.67,0.3,63.69,43.28,741.25,38.22,,07-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
07-Dec-2019 - 00:00,12.88,9.03,7.79,19.28,1.97,2.53,,,0.43,1.87,15.62,0.3,58.98,80.04,741.14,42.29,,08-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
08-Dec-2019 - 00:00,13.35,8.91,7.44,27.71,1.94,2.55,,,0.46,1.64,14.62,0.3,58.71,63.31,741.1,40.84,,09-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
09-Dec-2019 - 00:00,9.69,8.19,6.45,21.31,1.81,2.89,,,0.35,1.78,13.62,0.3,57.09,108.86,741.07,39.61,,10-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
10-Dec-2019 - 00:00,11.45,6.7,7.77,22.46,2.07,2.54,,,0.41,1.92,13.2,0.3,58.28,132.62,741.0,40.44,,11-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
11-Dec-2019 - 00:00,13.77,12.29,5.45,22.36,2.75,2.59,,,0.66,2.81,12.69,0.3,60.23,76.12,741.0,34.04,,12-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
12-Dec-2019 - 00:00,7.75,7.63,5.18,24.26,1.68,2.65,,,0.41,1.13,13.26,0.48,64.22,166.7,741.0,16.2,2.0,13-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
13-Dec-2019 - 00:00,6.5,5.14,5.99,16.07,1.04,2.73,,,0.13,0.58,10.43,0.81,72.76,92.48,740.94,17.71,2.17,14-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
14-Dec-2019 - 00:00,9.62,5.73,6.24,25.97,1.37,2.75,,,0.2,1.19,11.45,0.3,67.93,98.61,741.23,45.38,,15-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
15-Dec-2019 - 00:00,9.03,4.01,6.96,25.06,1.37,2.77,,,0.24,1.23,12.15,0.3,65.92,233.73,741.08,43.32,,16-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
16-Dec-2019 - 00:00,9.39,3.83,8.64,9.81,1.39,2.79,,,0.23,1.26,8.16,0.35,73.05,236.85,741.02,11.75,,17-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
17-Dec-2019 - 00:00,11.18,3.42,10.81,15.1,1.79,2.79,,,0.28,1.36,7.25,0.39,71.09,241.14,741.26,17.78,,18-Dec-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
