from date,CO,Ozone,SO2,NO2,NO,NOx,NH3,PM10,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,Temp,WS,VWS,WD,RH,SR,RF,to date,BP,station
24-Jul-2019 - 00:00,0.15,22.72,4.94,28.82,9.03,37.84,9.0,60.06,24.24,2.68,13.03,0.55,1.53,30.23,0.6,-0.01,210.76,70.61,154.68,,25-Jul-2019 - 00:00,997.32,"Rabindra Bharati University, Kolkata - WBPCB"
25-Jul-2019 - 00:00,0.36,32.8,9.9,51.37,7.16,58.53,9.51,95.84,53.31,9.22,21.66,1.25,3.18,29.28,0.32,0.0,214.73,75.23,119.75,,26-Jul-2019 - 00:00,996.99,"Rabindra Bharati University, Kolkata - WBPCB"
26-Jul-2019 - 00:00,0.29,21.59,4.41,40.4,8.12,48.52,12.14,71.72,45.98,5.09,13.76,0.82,2.35,27.7,0.34,0.0,153.32,84.52,87.31,,27-Jul-2019 - 00:00,994.77,"Rabindra Bharati University, Kolkata - WBPCB"
27-Jul-2019 - 00:00,0.23,22.23,2.87,29.86,7.07,36.93,13.94,50.15,29.79,5.57,14.22,0.85,2.22,28.41,0.23,0.0,149.84,80.31,137.66,,28-Jul-2019 - 00:00,994.08,"Rabindra Bharati University, Kolkata - WBPCB"
28-Jul-2019 - 00:00,0.13,19.84,2.15,13.96,5.7,19.65,13.81,26.7,14.11,1.17,5.72,0.3,0.67,27.95,0.84,-0.02,53.32,84.03,130.51,,29-Jul-2019 - 00:00,994.77,"Rabindra Bharati University, Kolkata - WBPCB"
29-Jul-2019 - 00:00,0.16,24.14,1.83,17.66,9.13,26.79,12.5,27.73,13.58,1.49,9.22,0.39,0.97,27.2,0.4,-0.01,144.6,87.21,128.93,,30-Jul-2019 - 00:00,996.16,"Rabindra Bharati University, Kolkata - WBPCB"
30-Jul-2019 - 00:00,0.24,17.82,1.18,33.62,13.0,46.62,10.82,62.49,29.66,8.91,20.25,1.02,2.7,28.43,0.52,0.0,210.29,80.27,126.39,,31-Jul-2019 - 00:00,998.07,"Rabindra Bharati University, Kolkata - WBPCB"
31-Jul-2019 - 00:00,0.26,22.28,1.93,40.45,10.22,50.67,12.62,78.43,34.9,8.78,19.86,1.16,3.06,29.09,0.44,-0.0,213.78,74.91,110.11,,01-Aug-2019 - 00:00,996.86,"Rabindra Bharati University, Kolkata - WBPCB"
01-Aug-2019 - 00:00,0.2,27.33,3.36,33.24,9.78,43.01,13.7,68.97,32.62,6.24,14.65,0.78,2.17,29.72,0.37,-0.0,188.59,71.28,156.48,,02-Aug-2019 - 00:00,995.68,"Rabindra Bharati University, Kolkata - WBPCB"
02-Aug-2019 - 00:00,0.21,18.24,1.3,23.44,9.53,32.97,16.17,42.82,21.97,6.26,15.37,0.89,2.18,28.79,0.4,-0.0,112.31,79.48,125.32,,03-Aug-2019 - 00:00,994.34,"Rabindra Bharati University, Kolkata - WBPCB"
03-Aug-2019 - 00:00,0.3,8.1,1.0,36.33,13.89,50.22,17.76,51.2,32.14,9.7,21.37,1.33,3.37,28.5,0.33,0.0,132.97,83.37,97.41,,04-Aug-2019 - 00:00,993.57,"Rabindra Bharati University, Kolkata - WBPCB"
04-Aug-2019 - 00:00,0.38,16.22,1.46,46.29,13.21,59.51,16.64,89.44,50.2,5.55,11.24,1.15,3.08,28.94,0.32,-0.0,218.19,82.43,128.03,,05-Aug-2019 - 00:00,992.44,"Rabindra Bharati University, Kolkata - WBPCB"
05-Aug-2019 - 00:00,0.34,15.28,1.54,32.82,13.26,46.01,13.81,84.79,40.43,5.78,11.77,1.1,2.94,30.13,0.44,-0.0,162.86,77.84,154.59,,06-Aug-2019 - 00:00,990.35,"Rabindra Bharati University, Kolkata - WBPCB"
06-Aug-2019 - 00:00,0.24,10.99,3.53,29.55,13.06,42.6,18.6,59.83,32.41,4.55,12.17,0.8,2.23,28.63,0.83,-0.02,96.09,81.19,110.26,,07-Aug-2019 - 00:00,988.5,"Rabindra Bharati University, Kolkata - WBPCB"
07-Aug-2019 - 00:00,0.13,27.28,3.2,14.06,8.6,22.65,13.76,20.14,9.84,1.24,5.6,0.3,0.7,26.98,1.16,-0.08,86.98,88.33,105.18,,08-Aug-2019 - 00:00,986.7,"Rabindra Bharati University, Kolkata - WBPCB"
08-Aug-2019 - 00:00,0.18,20.24,3.46,24.33,11.9,36.22,11.89,24.43,14.47,5.25,17.09,0.75,1.74,26.42,0.46,0.0,212.56,91.61,100.57,,09-Aug-2019 - 00:00,990.21,"Rabindra Bharati University, Kolkata - WBPCB"
09-Aug-2019 - 00:00,0.36,24.98,60.72,40.78,5.85,47.26,11.86,86.0,35.32,9.92,14.4,1.32,3.17,27.73,0.31,-0.0,176.68,74.43,103.3,,10-Aug-2019 - 00:00,995.24,"Rabindra Bharati University, Kolkata - WBPCB"
10-Aug-2019 - 00:00,0.57,27.43,16.78,57.86,20.42,78.29,12.53,143.06,72.22,8.29,24.08,2.15,5.16,30.45,0.29,-0.0,212.33,72.73,214.23,,11-Aug-2019 - 00:00,994.82,"Rabindra Bharati University, Kolkata - WBPCB"
11-Aug-2019 - 00:00,0.49,20.8,16.67,48.74,32.61,81.36,13.62,123.95,68.18,14.61,22.06,3.11,7.26,30.35,0.39,-0.0,155.43,75.61,152.31,,12-Aug-2019 - 00:00,993.86,"Rabindra Bharati University, Kolkata - WBPCB"
12-Aug-2019 - 00:00,0.41,12.57,17.38,27.32,10.23,37.54,14.16,81.5,45.26,5.9,10.25,0.76,2.1,28.35,0.45,-0.0,155.37,85.33,85.28,,13-Aug-2019 - 00:00,992.94,"Rabindra Bharati University, Kolkata - WBPCB"
13-Aug-2019 - 00:00,0.21,24.41,16.74,22.22,8.06,30.27,8.39,40.24,19.77,2.92,15.28,0.54,1.46,27.29,0.48,0.0,179.82,86.72,56.91,,14-Aug-2019 - 00:00,995.02,"Rabindra Bharati University, Kolkata - WBPCB"
14-Aug-2019 - 00:00,0.22,25.35,16.08,31.8,9.23,41.04,7.82,98.49,41.74,4.59,15.32,0.92,2.53,28.37,0.51,0.0,219.06,81.54,96.33,,15-Aug-2019 - 00:00,998.31,"Rabindra Bharati University, Kolkata - WBPCB"
15-Aug-2019 - 00:00,0.25,25.59,17.15,29.55,11.52,41.07,7.84,55.75,34.02,3.52,9.52,0.58,1.72,26.76,0.46,-0.0,226.88,90.81,85.59,,16-Aug-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
16-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,17-Aug-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
17-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,18-Aug-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
18-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,19-Aug-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
19-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,20-Aug-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
20-Aug-2019 - 00:00,0.35,27.01,4.95,55.58,12.64,64.15,17.47,116.31,66.28,6.86,13.62,1.42,2.9,29.24,0.35,-0.01,164.89,80.04,83.62,,21-Aug-2019 - 00:00,998.38,"Rabindra Bharati University, Kolkata - WBPCB"
21-Aug-2019 - 00:00,0.21,9.89,4.56,23.57,13.85,37.42,14.21,82.64,45.91,4.27,8.33,0.67,1.61,25.82,0.23,-0.0,193.52,72.44,160.68,,22-Aug-2019 - 00:00,997.63,"Rabindra Bharati University, Kolkata - WBPCB"
22-Aug-2019 - 00:00,0.25,10.11,5.67,23.15,14.33,37.48,15.06,78.19,51.25,3.72,7.41,0.59,1.44,25.39,0.56,-0.0,127.26,73.88,153.36,,23-Aug-2019 - 00:00,997.23,"Rabindra Bharati University, Kolkata - WBPCB"
23-Aug-2019 - 00:00,0.26,7.14,5.91,21.25,14.76,36.01,15.1,45.95,26.2,3.38,8.75,0.71,1.64,28.68,0.63,-0.0,150.31,80.72,162.46,,24-Aug-2019 - 00:00,997.57,"Rabindra Bharati University, Kolkata - WBPCB"
24-Aug-2019 - 00:00,0.25,7.02,5.66,16.42,9.14,25.56,15.91,41.05,21.32,2.67,6.59,1.17,1.9,27.27,0.33,-0.0,114.84,87.81,72.36,,25-Aug-2019 - 00:00,997.87,"Rabindra Bharati University, Kolkata - WBPCB"
25-Aug-2019 - 00:00,0.2,15.74,6.06,12.76,9.06,21.81,12.48,32.8,20.59,1.11,4.33,0.28,0.71,27.25,0.81,-0.01,60.78,86.15,86.72,,26-Aug-2019 - 00:00,997.27,"Rabindra Bharati University, Kolkata - WBPCB"
26-Aug-2019 - 00:00,0.2,18.98,5.4,13.96,9.1,23.05,13.45,31.67,16.95,1.97,6.69,0.63,1.36,27.54,0.48,-0.01,118.88,85.56,132.01,,27-Aug-2019 - 00:00,996.98,"Rabindra Bharati University, Kolkata - WBPCB"
27-Aug-2019 - 00:00,0.28,14.99,6.09,19.17,11.01,30.2,12.59,38.15,25.13,4.26,9.2,0.75,1.57,28.18,0.42,-0.01,101.25,84.58,144.87,,28-Aug-2019 - 00:00,996.72,"Rabindra Bharati University, Kolkata - WBPCB"
28-Aug-2019 - 00:00,0.3,12.66,6.32,20.15,9.62,29.77,10.99,60.04,35.32,5.53,9.63,0.81,1.91,28.87,0.42,-0.0,97.0,80.77,146.68,,29-Aug-2019 - 00:00,997.97,"Rabindra Bharati University, Kolkata - WBPCB"
29-Aug-2019 - 00:00,0.29,11.47,5.57,17.75,11.38,29.13,11.09,35.15,20.22,4.32,8.75,0.97,1.93,27.97,0.41,-0.0,106.8,85.94,107.21,,30-Aug-2019 - 00:00,998.76,"Rabindra Bharati University, Kolkata - WBPCB"
30-Aug-2019 - 00:00,0.24,10.4,6.24,15.3,11.4,26.71,10.39,49.54,29.8,3.92,7.92,0.7,1.63,29.61,0.31,-0.01,116.69,78.45,171.79,,31-Aug-2019 - 00:00,996.9,"Rabindra Bharati University, Kolkata - WBPCB"
31-Aug-2019 - 00:00,0.23,12.46,5.79,14.16,9.6,23.76,10.82,49.03,29.44,3.28,6.15,0.43,1.06,30.05,0.34,-0.0,125.96,73.61,143.15,,01-Sep-2019 - 00:00,996.06,"Rabindra Bharati University, Kolkata - WBPCB"
01-Sep-2019 - 00:00,0.28,16.17,5.18,18.4,9.92,28.32,11.18,68.42,37.1,2.09,5.53,0.36,0.96,29.25,0.26,-0.0,181.01,79.53,101.64,,02-Sep-2019 - 00:00,996.57,"Rabindra Bharati University, Kolkata - WBPCB"
02-Sep-2019 - 00:00,0.25,11.58,5.51,14.4,10.55,24.95,11.99,39.58,18.35,1.94,4.89,0.41,0.94,29.27,0.45,-0.0,92.08,77.93,186.53,,03-Sep-2019 - 00:00,995.84,"Rabindra Bharati University, Kolkata - WBPCB"
03-Sep-2019 - 00:00,0.27,14.81,7.19,13.96,8.66,22.76,11.8,28.0,13.04,3.65,5.74,0.67,1.37,28.55,0.55,-0.0,44.1,83.54,124.93,,04-Sep-2019 - 00:00,994.6,"Rabindra Bharati University, Kolkata - WBPCB"
04-Sep-2019 - 00:00,0.21,14.23,7.63,10.86,8.83,19.69,10.54,30.71,15.61,2.52,5.5,0.41,0.93,28.48,0.59,-0.01,54.05,84.63,134.95,,05-Sep-2019 - 00:00,994.82,"Rabindra Bharati University, Kolkata - WBPCB"
05-Sep-2019 - 00:00,0.2,17.29,7.6,10.06,9.37,19.43,9.48,30.72,17.06,1.79,4.37,0.32,0.84,28.74,0.72,-0.01,50.84,81.56,115.37,,06-Sep-2019 - 00:00,994.66,"Rabindra Bharati University, Kolkata - WBPCB"
06-Sep-2019 - 00:00,0.17,20.76,8.07,9.12,9.83,18.96,10.1,28.15,13.79,1.26,4.54,0.26,0.61,29.2,0.72,-0.02,57.19,77.86,144.88,,07-Sep-2019 - 00:00,993.64,"Rabindra Bharati University, Kolkata - WBPCB"
07-Sep-2019 - 00:00,0.22,17.49,5.1,10.14,8.33,18.46,9.33,29.21,17.86,1.78,5.49,0.31,0.8,27.58,0.59,-0.01,56.7,88.61,76.72,,08-Sep-2019 - 00:00,994.49,"Rabindra Bharati University, Kolkata - WBPCB"
08-Sep-2019 - 00:00,0.23,15.9,4.26,13.67,10.47,24.15,10.07,33.53,18.96,2.06,4.99,0.43,1.15,27.65,0.29,-0.0,184.99,88.89,82.69,,09-Sep-2019 - 00:00,996.57,"Rabindra Bharati University, Kolkata - WBPCB"
09-Sep-2019 - 00:00,0.29,20.64,4.1,22.54,9.42,31.95,10.49,55.84,31.61,3.88,8.71,0.64,1.58,29.19,0.44,-0.0,210.77,80.86,136.03,,10-Sep-2019 - 00:00,996.66,"Rabindra Bharati University, Kolkata - WBPCB"
10-Sep-2019 - 00:00,0.28,21.31,4.04,21.06,7.76,28.92,10.48,74.01,36.08,3.71,8.64,0.72,1.67,29.3,0.43,-0.0,204.94,80.52,82.46,,11-Sep-2019 - 00:00,996.94,"Rabindra Bharati University, Kolkata - WBPCB"
11-Sep-2019 - 00:00,0.34,18.52,4.43,24.16,10.44,34.61,11.83,60.59,,2.99,9.36,0.56,1.47,28.37,0.35,-0.0,195.06,82.16,129.58,,12-Sep-2019 - 00:00,997.5,"Rabindra Bharati University, Kolkata - WBPCB"
12-Sep-2019 - 00:00,0.31,12.36,5.19,25.2,12.33,37.52,10.78,59.6,,4.77,11.22,0.76,1.8,26.64,0.42,-0.0,218.26,88.83,69.82,,13-Sep-2019 - 00:00,998.78,"Rabindra Bharati University, Kolkata - WBPCB"
13-Sep-2019 - 00:00,0.26,18.01,5.29,21.46,9.61,31.06,10.53,66.3,,5.22,11.25,0.76,1.78,28.08,0.57,-0.0,226.31,83.22,112.23,,14-Sep-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
14-Sep-2019 - 00:00,0.27,25.48,5.15,24.77,9.19,34.02,10.92,82.37,38.56,4.83,10.69,0.62,1.57,29.17,0.45,-0.0,225.1,78.52,123.89,,15-Sep-2019 - 00:00,999.88,"Rabindra Bharati University, Kolkata - WBPCB"
15-Sep-2019 - 00:00,0.21,35.84,10.39,24.17,8.84,33.01,11.28,86.64,38.29,2.38,5.21,0.38,1.04,29.78,0.49,-0.0,217.18,73.76,115.33,,16-Sep-2019 - 00:00,998.98,"Rabindra Bharati University, Kolkata - WBPCB"
16-Sep-2019 - 00:00,0.27,21.8,6.1,20.8,9.94,30.74,11.18,76.48,34.25,3.75,8.78,0.74,1.77,29.41,0.3,-0.0,214.12,77.1,109.13,,17-Sep-2019 - 00:00,998.52,"Rabindra Bharati University, Kolkata - WBPCB"
17-Sep-2019 - 00:00,0.2,14.84,5.38,11.98,8.78,20.76,11.6,52.67,25.19,2.38,5.17,0.49,1.16,29.99,0.29,-0.01,233.96,72.47,170.48,,18-Sep-2019 - 00:00,989.5,"Rabindra Bharati University, Kolkata - WBPCB"
18-Sep-2019 - 00:00,0.22,18.5,4.53,10.43,9.65,20.08,10.2,34.04,17.18,1.09,3.61,0.32,0.82,29.1,0.34,-0.01,110.96,77.28,130.04,,19-Sep-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
19-Sep-2019 - 00:00,0.26,14.52,4.9,15.69,15.73,31.43,11.75,38.97,19.31,2.73,6.33,0.54,1.28,29.74,0.36,-0.01,130.89,75.21,159.34,,20-Sep-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
20-Sep-2019 - 00:00,0.39,23.95,11.78,30.75,17.51,48.27,12.35,77.71,37.58,4.28,8.84,0.89,2.08,29.61,0.25,-0.0,210.4,74.12,158.51,,21-Sep-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
21-Sep-2019 - 00:00,0.41,20.18,12.51,34.5,18.35,52.86,13.51,77.72,38.79,5.34,13.14,1.24,2.7,27.81,0.21,-0.0,208.63,79.97,109.06,,22-Sep-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
22-Sep-2019 - 00:00,0.32,29.42,6.15,20.72,9.58,30.31,12.88,58.76,33.47,3.04,5.98,0.62,1.43,28.73,0.28,-0.0,150.78,76.21,171.34,,23-Sep-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
23-Sep-2019 - 00:00,0.29,29.2,5.66,14.56,8.55,23.11,13.4,42.88,20.86,2.07,4.44,0.52,0.94,28.46,0.65,-0.01,67.94,78.88,117.78,,24-Sep-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
24-Sep-2019 - 00:00,0.11,20.24,5.82,8.85,9.98,18.82,12.84,21.09,9.85,0.9,3.97,0.27,0.46,27.43,0.49,-0.02,96.14,82.97,131.34,,25-Sep-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
25-Sep-2019 - 00:00,0.53,11.62,5.75,23.95,12.86,36.81,14.6,46.2,25.86,4.47,7.7,0.93,2.18,25.45,0.31,0.0,54.87,92.03,66.03,,26-Sep-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
26-Sep-2019 - 00:00,0.39,17.12,6.36,23.73,11.81,35.54,14.39,52.28,30.14,4.4,11.43,1.37,2.21,25.46,0.37,-0.0,97.59,90.25,93.05,,27-Sep-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
27-Sep-2019 - 00:00,0.42,21.96,8.72,31.25,16.52,47.76,13.43,61.39,36.23,5.3,10.75,1.04,2.44,26.12,0.22,-0.0,118.61,86.06,96.55,,28-Sep-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
28-Sep-2019 - 00:00,0.41,15.03,7.98,25.06,15.8,40.86,13.42,50.53,30.3,5.58,9.7,1.09,2.38,25.36,0.28,-0.0,89.36,89.23,79.98,,29-Sep-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
29-Sep-2019 - 00:00,0.31,19.62,4.97,20.07,10.96,31.03,13.04,36.33,23.7,2.27,6.65,0.51,1.31,25.36,0.25,-0.0,151.27,89.18,102.17,,30-Sep-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
30-Sep-2019 - 00:00,0.41,21.64,13.11,32.07,15.29,47.37,14.68,55.98,28.48,5.29,10.76,1.01,2.39,26.82,0.37,-0.0,223.02,81.18,136.63,,01-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
01-Oct-2019 - 00:00,0.52,29.24,17.08,34.93,13.31,48.24,14.01,101.52,51.55,4.62,8.55,1.31,2.87,28.53,0.31,-0.0,229.68,75.49,172.36,,02-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
02-Oct-2019 - 00:00,0.47,41.17,12.06,33.49,11.17,44.66,12.82,123.02,68.11,4.41,8.39,1.03,2.3,29.37,0.22,-0.0,232.66,73.42,163.17,,03-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
03-Oct-2019 - 00:00,0.39,34.63,11.56,31.06,8.17,39.23,12.44,92.64,53.1,4.56,9.89,0.96,2.14,28.09,0.36,-0.0,187.06,80.75,158.06,,04-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
04-Oct-2019 - 00:00,0.35,39.69,16.35,27.86,7.86,35.71,12.36,85.33,48.29,3.46,6.88,0.69,1.7,29.07,0.36,-0.0,202.48,75.86,161.5,,05-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
05-Oct-2019 - 00:00,0.58,31.65,10.47,37.46,16.68,54.09,12.38,101.09,58.08,5.61,7.33,1.35,2.79,28.29,0.22,0.0,199.05,81.08,123.48,,06-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
06-Oct-2019 - 00:00,0.46,29.86,10.17,32.6,14.38,46.99,13.29,114.17,67.72,4.84,6.7,1.45,3.42,28.65,0.15,-0.01,199.18,80.97,153.09,,07-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
07-Oct-2019 - 00:00,0.47,36.06,6.33,26.43,7.65,34.08,12.03,74.67,47.44,4.75,5.19,0.71,1.68,26.86,0.18,0.0,176.19,82.45,60.6,,08-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
08-Oct-2019 - 00:00,0.41,25.89,5.01,22.33,12.97,35.39,12.06,56.96,31.08,3.52,5.27,1.07,2.35,27.16,0.29,-0.0,134.27,79.49,139.7,,09-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
09-Oct-2019 - 00:00,0.21,24.41,5.2,14.09,9.31,23.4,12.59,25.79,14.27,1.3,3.66,0.35,0.87,24.39,0.46,-0.0,120.99,92.73,79.9,,10-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
10-Oct-2019 - 00:00,0.53,10.26,3.52,22.66,10.9,33.56,11.83,48.08,29.56,2.93,6.85,1.25,2.79,26.33,0.21,0.01,169.81,83.56,81.71,,11-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
11-Oct-2019 - 00:00,0.63,26.04,5.24,24.64,24.53,49.18,13.97,73.85,40.73,3.88,7.99,1.41,3.1,27.49,0.24,0.0,141.45,78.42,166.66,,12-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
12-Oct-2019 - 00:00,0.64,32.92,3.65,32.83,24.21,57.04,13.67,131.16,73.56,6.75,11.74,2.5,4.95,27.89,0.25,0.0,156.82,74.58,162.23,,13-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
13-Oct-2019 - 00:00,0.4,50.49,9.89,27.07,7.42,34.5,12.77,139.86,82.57,2.91,4.57,0.53,1.39,28.27,0.3,0.0,185.78,70.2,128.01,,14-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
14-Oct-2019 - 00:00,0.32,81.07,8.22,22.23,6.43,28.65,13.64,169.71,93.41,2.04,3.6,0.36,0.99,28.09,0.36,0.0,146.62,63.38,220.72,,15-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
15-Oct-2019 - 00:00,0.44,80.82,14.84,33.87,5.02,38.99,21.11,121.02,71.0,3.83,7.46,1.08,1.94,29.77,0.26,-0.0,193.38,55.68,159.35,,16-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
16-Oct-2019 - 00:00,0.55,42.17,6.59,32.48,12.89,45.45,13.23,134.14,73.66,4.66,8.15,1.2,2.61,27.33,0.2,0.0,160.4,73.61,81.78,,17-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
17-Oct-2019 - 00:00,0.8,25.76,13.27,48.84,22.09,70.93,16.39,143.13,76.85,7.69,12.97,1.93,4.07,26.71,0.16,0.01,200.33,82.29,86.84,,18-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
18-Oct-2019 - 00:00,0.63,18.91,22.22,45.0,34.57,79.58,18.52,195.55,119.53,7.9,13.33,2.26,4.61,26.76,0.19,0.0,138.0,80.34,139.61,,19-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
19-Oct-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,20-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
20-Oct-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,21-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
21-Oct-2019 - 00:00,0.56,38.23,11.99,35.64,5.51,41.14,13.4,166.09,91.49,3.53,8.25,0.68,1.84,27.48,0.19,0.0,221.83,74.35,18.82,,22-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
22-Oct-2019 - 00:00,0.49,52.17,14.18,30.78,6.51,37.29,14.02,141.08,79.25,3.69,7.39,0.8,1.95,28.46,0.22,0.0,192.3,69.26,125.67,,23-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
23-Oct-2019 - 00:00,0.6,48.87,9.81,39.17,6.87,46.04,14.38,195.96,116.5,5.19,8.88,1.21,2.8,27.25,0.22,-0.01,139.77,74.69,78.23,,24-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
24-Oct-2019 - 00:00,0.31,46.34,4.91,16.5,6.85,23.34,15.0,67.77,43.49,2.09,4.2,0.33,0.75,22.86,1.01,-0.01,68.04,91.44,53.52,,25-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
25-Oct-2019 - 00:00,0.27,26.53,6.54,19.06,8.14,27.2,13.09,37.14,23.47,2.23,5.48,0.44,1.21,22.44,0.68,-0.01,120.83,93.97,63.32,,26-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
26-Oct-2019 - 00:00,0.38,18.59,10.51,25.51,12.64,38.15,15.63,65.01,35.73,2.48,6.23,0.71,1.73,23.26,0.2,0.0,232.29,88.07,87.93,,27-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
27-Oct-2019 - 00:00,0.42,29.4,17.92,24.87,12.81,37.68,15.13,152.89,112.07,2.54,5.39,0.95,2.27,25.31,0.17,0.0,199.2,76.74,154.19,,28-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
28-Oct-2019 - 00:00,0.4,41.4,16.84,30.6,8.4,39.0,17.35,203.16,155.66,2.57,4.37,0.67,1.67,25.44,0.3,-0.01,192.12,71.19,147.3,,29-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
29-Oct-2019 - 00:00,0.48,37.16,17.21,42.45,11.38,53.83,14.5,249.07,153.26,2.55,4.49,0.75,1.89,25.42,0.25,-0.0,258.21,69.37,146.97,,30-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
30-Oct-2019 - 00:00,0.6,41.97,17.49,44.74,17.14,61.89,18.49,219.19,122.78,3.99,8.41,1.12,2.61,25.7,0.2,0.0,241.69,71.47,140.09,,31-Oct-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
31-Oct-2019 - 00:00,0.81,52.07,14.13,52.36,21.03,73.39,18.2,240.63,134.35,5.95,12.65,1.54,3.41,25.83,0.19,-0.0,241.42,69.82,132.55,,01-Nov-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
01-Nov-2019 - 00:00,0.8,53.74,15.33,55.21,31.45,85.58,19.6,271.89,120.18,5.52,8.98,1.4,3.15,26.14,0.18,-0.0,244.88,70.36,131.83,,02-Nov-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
02-Nov-2019 - 00:00,0.59,49.58,19.88,45.3,11.15,56.45,22.53,205.52,88.13,4.73,6.64,0.81,2.04,26.73,0.27,-0.0,262.07,67.26,142.77,,03-Nov-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
03-Nov-2019 - 00:00,0.54,46.88,17.53,41.74,10.8,52.54,20.44,171.93,74.34,3.84,4.54,0.69,1.68,26.86,0.25,0.0,255.48,66.57,136.3,,04-Nov-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
04-Nov-2019 - 00:00,0.78,43.47,17.28,59.48,36.66,96.19,21.73,194.16,81.19,5.17,9.54,1.49,3.25,26.5,0.18,0.0,242.14,69.52,127.96,,05-Nov-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
05-Nov-2019 - 00:00,0.7,39.04,19.97,57.79,34.64,92.39,21.28,283.0,115.34,6.42,10.85,1.33,3.12,25.51,0.16,0.0,244.97,73.33,129.82,,06-Nov-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
