from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
12-May-2019 - 00:00,401.76,225.08,41.31,34.58,74.35,2.34,,31.44,13-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
13-May-2019 - 00:00,265.55,122.29,45.91,35.72,81.53,2.49,,35.74,14-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
14-May-2019 - 00:00,130.23,56.1,36.09,33.29,68.91,2.38,,44.85,15-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
15-May-2019 - 00:00,180.11,90.98,55.72,50.98,106.69,2.9,,49.3,16-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
16-May-2019 - 00:00,213.33,85.56,58.37,47.75,105.99,2.88,,45.1,17-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
17-May-2019 - 00:00,317.53,111.83,64.29,38.14,100.9,2.71,,45.74,18-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
18-May-2019 - 00:00,78.59,37.37,32.05,17.16,48.54,1.98,,49.68,19-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
19-May-2019 - 00:00,148.52,67.24,36.88,27.93,64.0,2.29,,39.2,20-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
20-May-2019 - 00:00,201.31,79.05,52.26,43.39,95.06,2.5,,34.31,21-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
21-May-2019 - 00:00,159.4,67.63,35.18,29.42,63.81,2.23,,30.88,22-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
22-May-2019 - 00:00,175.48,68.01,57.77,35.03,92.59,2.72,,33.72,23-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
23-May-2019 - 00:00,221.61,87.84,61.21,42.98,103.47,2.78,,47.82,24-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
24-May-2019 - 00:00,98.36,41.3,45.41,30.54,75.93,2.21,,54.45,25-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
25-May-2019 - 00:00,107.55,40.76,36.35,28.27,64.58,1.43,0.0,35.0,26-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
26-May-2019 - 00:00,125.95,49.33,37.97,29.91,67.36,0.36,,31.54,27-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
27-May-2019 - 00:00,161.74,58.35,46.23,40.12,85.42,0.35,,28.81,28-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
28-May-2019 - 00:00,174.79,58.85,50.74,45.51,95.13,0.3,,25.64,29-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
29-May-2019 - 00:00,174.04,70.62,55.32,55.96,108.77,0.43,,29.4,30-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
30-May-2019 - 00:00,206.17,79.51,80.51,64.64,143.64,0.64,,27.5,31-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
31-May-2019 - 00:00,274.1,106.57,56.38,49.86,105.52,0.52,,32.82,01-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
01-Jun-2019 - 00:00,244.79,100.22,80.79,43.24,109.18,0.58,,77.5,02-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
02-Jun-2019 - 00:00,166.72,68.83,34.77,20.21,25.05,0.43,,152.9,03-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
03-Jun-2019 - 00:00,214.1,61.69,37.68,13.89,30.36,0.41,,98.45,04-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
04-Jun-2019 - 00:00,136.98,56.64,39.79,34.7,52.61,0.34,,63.63,05-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
05-Jun-2019 - 00:00,174.55,68.95,43.69,35.59,79.28,0.4,,40.23,06-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
06-Jun-2019 - 00:00,199.31,68.58,40.42,32.68,73.1,0.35,,35.83,07-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
07-Jun-2019 - 00:00,129.47,53.91,41.22,33.88,75.11,0.3,,40.95,08-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
08-Jun-2019 - 00:00,156.13,67.05,45.59,36.7,82.29,0.39,,55.61,09-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
09-Jun-2019 - 00:00,206.91,81.94,49.08,37.93,87.02,0.48,,30.31,10-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
10-Jun-2019 - 00:00,214.44,76.81,44.31,31.92,76.23,0.51,,24.06,11-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
11-Jun-2019 - 00:00,425.69,120.07,41.78,28.48,70.27,0.39,,16.23,12-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
12-Jun-2019 - 00:00,182.81,50.28,45.99,29.27,75.26,0.27,,30.78,13-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
13-Jun-2019 - 00:00,137.11,49.0,57.64,34.14,91.78,0.24,,31.69,14-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
14-Jun-2019 - 00:00,167.53,61.04,37.39,23.59,60.99,0.28,,23.19,15-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
15-Jun-2019 - 00:00,221.62,75.52,34.15,22.73,56.88,0.28,,20.87,16-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
16-Jun-2019 - 00:00,144.45,44.15,39.25,24.1,63.35,0.22,,34.39,17-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
17-Jun-2019 - 00:00,125.9,39.66,54.99,33.57,83.85,0.24,,29.83,18-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
18-Jun-2019 - 00:00,67.52,28.56,60.68,34.04,94.72,0.29,,29.18,19-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
19-Jun-2019 - 00:00,161.71,68.23,43.81,51.6,94.38,0.31,,42.06,20-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
20-Jun-2019 - 00:00,119.28,40.21,30.44,68.57,99.0,0.31,,48.39,21-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
21-Jun-2019 - 00:00,140.45,62.09,34.05,84.77,118.82,0.39,,58.75,22-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
22-Jun-2019 - 00:00,154.76,65.96,29.32,87.54,116.87,0.37,,42.34,23-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
23-Jun-2019 - 00:00,94.37,37.18,18.47,55.43,73.9,0.33,,71.03,24-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
24-Jun-2019 - 00:00,57.39,21.52,23.05,57.45,80.5,0.32,,77.0,25-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
25-Jun-2019 - 00:00,108.02,48.89,23.86,61.18,85.05,0.4,,87.63,26-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
26-Jun-2019 - 00:00,150.46,66.99,26.89,58.5,85.4,0.45,,75.16,27-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
27-Jun-2019 - 00:00,182.34,67.76,27.93,85.59,111.86,0.33,,40.6,28-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
28-Jun-2019 - 00:00,179.15,63.93,32.63,69.72,102.35,0.24,,22.33,29-Jun-2019 - 00:00,"Burari Crossing, Delhi - IMD"
