from date,NOx,Ozone,PM2.5,SO2,Benzene,Toluene,Eth-Benzene,MP-Xylene,O Xylene,RH,SR,VWS,WS,NO,CO,WD,NO2,to date,BP,station
28-Aug-2019 - 00:00,19.98,28.88,28.71,5.45,0.49,3.23,,,0.3,77.46,101.42,2.8,0.05,7.18,0.86,104.27,26.76,29-Aug-2019 - 00:00,995.65,"Lalbagh, Lucknow - CPCB"
29-Aug-2019 - 00:00,17.52,30.76,33.38,4.09,0.48,2.73,,,0.36,82.6,58.09,2.82,0.06,5.76,1.14,93.33,24.28,30-Aug-2019 - 00:00,997.0,"Lalbagh, Lucknow - CPCB"
30-Aug-2019 - 00:00,20.05,30.01,34.06,2.16,0.66,2.47,,,0.03,77.21,86.31,2.64,0.05,5.59,0.98,149.06,29.28,31-Aug-2019 - 00:00,994.09,"Lalbagh, Lucknow - CPCB"
31-Aug-2019 - 00:00,50.66,27.69,34.41,7.19,0.94,7.0,,,1.33,85.49,47.41,0.87,0.05,41.7,1.93,100.54,31.34,01-Sep-2019 - 00:00,990.92,"Lalbagh, Lucknow - CPCB"
01-Sep-2019 - 00:00,18.02,33.25,43.59,6.27,1.66,9.5,,,1.37,88.31,50.82,0.73,0.07,4.01,0.86,114.74,27.76,02-Sep-2019 - 00:00,994.26,"Lalbagh, Lucknow - CPCB"
02-Sep-2019 - 00:00,15.23,34.93,28.03,7.46,1.18,11.36,,,1.9,76.42,86.75,1.96,0.07,5.96,1.01,156.9,19.67,03-Sep-2019 - 00:00,993.98,"Lalbagh, Lucknow - CPCB"
03-Sep-2019 - 00:00,14.42,29.09,34.06,5.05,1.22,8.49,,,1.4,78.14,48.93,3.8,0.07,6.82,0.66,133.41,16.86,04-Sep-2019 - 00:00,993.03,"Lalbagh, Lucknow - CPCB"
04-Sep-2019 - 00:00,13.91,27.21,28.56,7.48,0.82,4.91,,,1.05,78.15,61.95,2.99,0.05,6.41,0.72,104.68,28.19,05-Sep-2019 - 00:00,992.82,"Lalbagh, Lucknow - CPCB"
05-Sep-2019 - 00:00,9.1,36.67,31.36,6.89,2.61,12.8,,,2.79,82.65,35.22,3.8,0.06,8.42,0.79,95.35,18.32,06-Sep-2019 - 00:00,992.4,"Lalbagh, Lucknow - CPCB"
06-Sep-2019 - 00:00,24.01,34.46,36.14,6.58,0.7,5.24,,,1.49,80.84,51.03,4.71,0.06,15.07,0.85,95.41,9.32,07-Sep-2019 - 00:00,991.63,"Lalbagh, Lucknow - CPCB"
07-Sep-2019 - 00:00,23.89,23.03,26.46,6.22,0.04,1.92,,,0.59,84.05,64.56,4.75,0.07,15.08,0.78,85.59,9.39,08-Sep-2019 - 00:00,992.47,"Lalbagh, Lucknow - CPCB"
08-Sep-2019 - 00:00,23.89,24.86,20.88,6.41,0.3,2.16,,,0.51,80.15,54.65,3.0,0.08,15.06,0.81,69.25,9.36,09-Sep-2019 - 00:00,993.18,"Lalbagh, Lucknow - CPCB"
09-Sep-2019 - 00:00,23.76,21.84,30.57,7.01,1.22,4.71,,,0.88,80.98,46.23,3.69,0.07,15.52,0.76,63.51,9.4,10-Sep-2019 - 00:00,991.96,"Lalbagh, Lucknow - CPCB"
10-Sep-2019 - 00:00,23.94,41.67,39.57,6.24,1.78,5.43,,,0.7,78.99,46.7,3.78,0.06,15.17,1.56,85.75,9.34,11-Sep-2019 - 00:00,991.94,"Lalbagh, Lucknow - CPCB"
11-Sep-2019 - 00:00,23.74,34.51,47.24,7.55,1.62,5.56,,,0.96,82.84,36.26,4.27,0.06,15.16,1.41,82.61,9.48,12-Sep-2019 - 00:00,993.9,"Lalbagh, Lucknow - CPCB"
12-Sep-2019 - 00:00,23.91,22.68,45.34,4.26,1.78,3.34,,,0.79,86.34,29.73,1.65,0.06,15.07,1.48,106.87,9.42,13-Sep-2019 - 00:00,995.71,"Lalbagh, Lucknow - CPCB"
13-Sep-2019 - 00:00,24.0,15.75,16.48,4.89,0.17,0.26,,,0.0,91.06,26.74,0.78,0.07,15.12,1.48,75.51,9.4,14-Sep-2019 - 00:00,996.06,"Lalbagh, Lucknow - CPCB"
14-Sep-2019 - 00:00,23.95,23.7,26.49,5.6,1.36,1.54,,,0.34,87.88,77.33,1.7,0.06,15.07,1.38,91.1,9.39,15-Sep-2019 - 00:00,997.41,"Lalbagh, Lucknow - CPCB"
15-Sep-2019 - 00:00,24.0,17.27,28.49,3.73,0.06,2.05,,,0.18,86.18,54.65,2.57,0.06,15.12,1.35,126.85,9.4,16-Sep-2019 - 00:00,997.45,"Lalbagh, Lucknow - CPCB"
16-Sep-2019 - 00:00,23.9,19.6,23.19,4.96,0.66,4.65,,,1.23,89.77,40.65,2.89,0.07,15.14,1.62,178.5,9.35,17-Sep-2019 - 00:00,996.09,"Lalbagh, Lucknow - CPCB"
17-Sep-2019 - 00:00,19.91,26.07,33.74,3.81,0.84,18.19,,,3.59,86.97,47.54,1.75,0.06,10.6,1.37,125.98,13.15,18-Sep-2019 - 00:00,997.62,"Lalbagh, Lucknow - CPCB"
18-Sep-2019 - 00:00,16.15,32.31,19.01,5.32,0.04,0.13,,,0.08,90.19,14.47,1.53,0.06,9.59,1.34,99.44,16.46,19-Sep-2019 - 00:00,999.93,"Lalbagh, Lucknow - CPCB"
19-Sep-2019 - 00:00,15.86,24.34,15.62,5.63,0.02,0.49,,,0.11,89.04,11.07,1.24,0.08,9.28,1.48,132.2,16.14,20-Sep-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
20-Sep-2019 - 00:00,15.75,18.04,25.26,4.73,0.05,0.45,,,0.05,87.04,71.47,3.17,0.07,8.77,1.15,111.15,16.42,21-Sep-2019 - 00:00,999.46,"Lalbagh, Lucknow - CPCB"
21-Sep-2019 - 00:00,15.53,18.66,32.98,4.31,0.01,0.49,,,0.03,88.71,39.85,3.61,0.07,8.01,1.48,158.21,17.2,22-Sep-2019 - 00:00,998.94,"Lalbagh, Lucknow - CPCB"
22-Sep-2019 - 00:00,15.3,27.82,23.85,6.05,0.0,0.69,,,0.1,88.31,28.55,3.5,0.08,6.79,1.48,149.51,18.57,23-Sep-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
23-Sep-2019 - 00:00,15.31,23.34,28.24,4.93,0.03,1.65,,,0.4,88.26,34.68,3.94,0.09,6.75,1.49,151.4,18.64,24-Sep-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
24-Sep-2019 - 00:00,15.31,15.67,29.51,5.7,0.07,1.07,,,0.21,88.3,44.13,3.71,0.07,6.76,1.46,124.87,18.62,25-Sep-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
25-Sep-2019 - 00:00,15.29,17.07,26.23,3.79,0.0,0.52,,,0.14,85.56,54.28,4.22,0.07,6.71,1.51,77.27,18.65,26-Sep-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
26-Sep-2019 - 00:00,15.01,17.1,13.57,1.99,0.0,0.03,,,0.0,86.85,13.86,4.28,0.06,6.65,1.77,98.48,18.21,27-Sep-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
27-Sep-2019 - 00:00,16.99,19.78,8.79,8.76,0.13,1.01,,,0.07,87.22,13.0,1.77,0.05,7.48,1.19,116.23,20.68,28-Sep-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
28-Sep-2019 - 00:00,17.01,17.75,11.02,0.63,0.01,0.02,,,0.0,87.88,21.93,2.98,0.06,7.51,1.76,89.81,20.7,29-Sep-2019 - 00:00,999.92,"Lalbagh, Lucknow - CPCB"
29-Sep-2019 - 00:00,17.0,19.02,7.07,1.17,0.0,0.03,,,0.0,88.12,17.46,3.86,0.07,7.5,0.88,71.47,20.68,30-Sep-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
30-Sep-2019 - 00:00,17.0,18.26,14.31,2.38,0.06,1.29,,,0.32,87.27,20.3,4.56,0.08,7.5,1.0,80.92,20.68,01-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
01-Oct-2019 - 00:00,17.0,18.49,28.85,1.95,0.01,1.05,,,0.24,85.56,49.21,4.75,0.07,7.5,1.44,171.13,20.68,02-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
02-Oct-2019 - 00:00,17.5,23.17,32.57,2.11,0.28,4.93,,,1.11,86.72,22.49,4.15,0.07,8.74,1.29,124.11,19.75,03-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
03-Oct-2019 - 00:00,18.0,17.63,33.89,3.27,0.05,2.31,,,0.67,82.74,44.43,4.35,0.09,10.0,2.12,210.01,18.8,04-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
04-Oct-2019 - 00:00,18.0,16.78,41.76,1.89,0.81,9.79,,,3.3,79.19,46.77,6.87,0.08,9.99,1.83,257.97,18.8,05-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
05-Oct-2019 - 00:00,18.0,18.66,56.11,1.7,0.43,10.12,,,4.06,73.93,47.43,7.95,0.07,10.0,1.58,259.43,18.8,06-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
06-Oct-2019 - 00:00,18.0,22.16,66.35,0.84,0.17,3.9,,,1.1,69.21,55.4,6.63,0.07,10.0,1.22,251.73,18.8,07-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
07-Oct-2019 - 00:00,18.0,17.96,89.1,2.1,1.15,11.46,,,2.5,67.0,52.61,5.5,0.08,10.0,1.04,259.81,18.8,08-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
08-Oct-2019 - 00:00,18.0,19.73,81.64,4.53,1.02,15.45,,,2.31,70.84,50.76,4.58,0.07,9.99,1.35,240.48,18.81,09-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
09-Oct-2019 - 00:00,18.69,17.28,87.4,2.62,1.44,12.0,,,2.16,76.63,41.98,4.16,0.06,10.26,2.02,160.61,17.87,10-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
10-Oct-2019 - 00:00,17.95,21.68,56.36,4.32,0.45,5.9,,,1.67,71.64,40.46,4.22,0.07,9.95,2.0,203.36,18.79,11-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
11-Oct-2019 - 00:00,17.99,16.98,61.03,5.0,1.98,29.85,,,2.33,67.79,44.4,3.04,0.07,9.99,1.78,191.66,18.8,12-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
12-Oct-2019 - 00:00,18.0,17.05,47.2,3.2,1.98,20.02,,,2.19,61.32,47.51,3.35,0.06,10.0,1.53,211.64,18.8,13-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
13-Oct-2019 - 00:00,18.0,22.27,56.03,2.93,1.52,28.06,,,4.09,58.17,43.02,5.39,0.07,9.99,1.34,229.3,18.82,14-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
14-Oct-2019 - 00:00,17.01,19.94,53.88,4.61,2.1,23.65,,,2.35,64.81,38.25,5.98,0.07,9.18,1.48,169.26,18.17,15-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
15-Oct-2019 - 00:00,14.97,17.29,49.5,4.01,0.51,7.31,,,1.9,69.33,41.31,5.39,0.06,7.46,1.59,143.29,16.92,16-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
16-Oct-2019 - 00:00,14.97,29.38,55.08,9.46,1.08,7.91,,,1.17,68.92,41.55,4.41,0.07,7.45,1.77,139.1,16.95,17-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
17-Oct-2019 - 00:00,12.38,45.85,93.41,4.38,0.41,2.44,,,10.6,68.05,39.73,4.04,0.09,6.78,1.73,214.63,16.02,18-Oct-2019 - 00:00,999.99,"Lalbagh, Lucknow - CPCB"
18-Oct-2019 - 00:00,14.14,20.81,98.74,4.05,1.5,10.03,,,1.22,71.84,34.61,2.03,21.83,7.91,2.04,10.84,19.16,19-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
19-Oct-2019 - 00:00,22.65,17.2,97.77,7.67,0.75,17.11,,,2.43,75.28,23.38,0.28,30.59,13.11,2.15,15.8,22.88,20-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
20-Oct-2019 - 00:00,25.02,25.06,143.77,6.48,1.82,36.9,,,1.75,,15.77,0.15,31.15,16.27,2.39,0.52,22.58,21-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
21-Oct-2019 - 00:00,25.02,33.88,121.05,4.51,1.26,23.99,,,2.38,29.24,21.78,-2.87,15.18,16.26,1.95,109.09,22.58,22-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
22-Oct-2019 - 00:00,24.03,20.66,162.28,9.36,2.33,11.62,,,1.46,52.06,65.05,-1.84,0.75,16.95,1.63,206.49,19.69,23-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
23-Oct-2019 - 00:00,24.98,21.37,165.98,5.77,0.53,16.07,,,2.23,62.84,22.94,0.12,0.67,21.23,1.23,202.11,15.05,24-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
24-Oct-2019 - 00:00,23.85,23.82,144.12,3.53,0.6,5.92,,,1.88,67.94,32.66,0.12,0.46,21.57,1.46,135.82,15.78,25-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
25-Oct-2019 - 00:00,22.37,34.62,108.7,5.28,0.5,4.99,,,1.97,79.53,28.09,0.12,0.41,13.18,1.6,139.33,28.08,26-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
26-Oct-2019 - 00:00,46.44,24.82,76.22,7.17,0.52,5.73,,,1.24,76.71,29.94,0.13,0.58,25.68,1.39,159.75,48.69,27-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
27-Oct-2019 - 00:00,54.2,18.53,118.23,4.55,1.07,4.73,,,0.71,63.41,29.38,0.12,0.7,18.46,1.08,238.99,92.94,28-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
28-Oct-2019 - 00:00,53.28,18.41,147.97,5.96,0.55,4.62,,,1.36,64.96,18.64,0.12,0.71,12.41,1.89,203.83,81.5,29-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
29-Oct-2019 - 00:00,51.07,16.39,139.6,3.36,0.02,0.96,,,0.18,74.92,25.13,0.12,0.78,13.32,2.14,186.8,75.99,30-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
30-Oct-2019 - 00:00,47.83,17.73,135.5,3.8,0.11,2.42,,,0.49,82.72,18.37,0.12,0.73,10.37,2.27,237.82,74.32,31-Oct-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
31-Oct-2019 - 00:00,39.7,20.28,194.25,6.18,0.19,3.35,,,0.84,81.42,20.49,0.13,0.87,6.71,2.1,236.37,64.55,01-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
01-Nov-2019 - 00:00,22.89,18.46,270.28,7.73,0.69,92.5,,,3.21,72.59,22.62,0.12,0.89,4.65,2.85,231.0,36.03,02-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
02-Nov-2019 - 00:00,23.39,27.91,301.81,8.37,0.41,33.8,,,1.32,74.45,21.76,0.12,0.86,7.62,2.47,192.65,32.07,03-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
03-Nov-2019 - 00:00,26.6,25.5,217.11,5.19,1.79,47.95,,,0.77,63.95,11.14,0.12,0.41,8.28,2.07,221.57,40.51,04-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
04-Nov-2019 - 00:00,21.14,27.84,417.45,4.74,0.13,19.27,,,2.21,65.74,18.0,0.12,0.37,10.68,2.12,216.14,23.55,05-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
05-Nov-2019 - 00:00,20.32,40.24,230.31,6.61,1.02,8.09,,,1.5,56.07,25.99,0.12,0.43,11.81,1.44,235.38,20.46,06-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
06-Nov-2019 - 00:00,20.21,35.54,207.19,7.55,1.2,7.32,,,1.69,66.15,11.02,0.14,0.67,11.81,1.58,262.16,20.22,07-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
07-Nov-2019 - 00:00,19.81,38.49,156.7,8.79,3.15,34.46,,,5.04,69.37,21.96,0.13,0.75,11.99,2.6,174.59,19.21,08-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
08-Nov-2019 - 00:00,19.53,35.83,211.44,16.95,3.13,38.99,,,6.75,70.73,22.34,0.13,0.72,12.42,2.74,156.36,18.04,09-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
09-Nov-2019 - 00:00,19.57,35.45,165.8,11.73,1.07,7.11,,,1.85,71.81,22.41,0.13,0.7,12.63,2.38,213.67,17.79,10-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
10-Nov-2019 - 00:00,19.0,26.17,128.13,8.83,0.56,3.74,,,0.71,55.49,23.13,0.13,0.44,13.47,4.07,207.8,15.47,11-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
11-Nov-2019 - 00:00,15.47,36.27,148.66,6.39,2.41,28.56,,,2.44,48.02,22.24,0.12,0.31,11.44,5.09,208.37,11.91,12-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
12-Nov-2019 - 00:00,10.72,48.78,172.76,6.68,1.42,6.01,,,2.24,52.74,21.39,0.13,0.52,7.17,3.57,222.76,9.81,13-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
13-Nov-2019 - 00:00,9.62,38.28,195.1,10.31,0.42,10.88,,,1.35,59.93,18.79,0.14,0.77,5.92,3.92,194.66,9.26,14-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
14-Nov-2019 - 00:00,13.96,39.98,167.42,12.39,1.2,11.48,,,2.18,69.0,17.89,0.14,0.75,7.7,1.9,184.76,14.66,15-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
15-Nov-2019 - 00:00,14.56,30.31,161.21,9.28,0.15,1.42,,,0.08,68.99,20.42,0.14,0.8,8.59,3.15,232.87,15.3,16-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
16-Nov-2019 - 00:00,13.31,31.41,154.7,9.87,0.17,2.43,,,0.31,67.76,16.36,0.13,0.71,6.68,2.5,216.38,14.99,17-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
17-Nov-2019 - 00:00,13.17,29.89,115.95,2.02,0.04,0.75,,,0.08,61.3,20.01,0.13,0.33,6.7,1.35,205.95,14.68,18-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
18-Nov-2019 - 00:00,43.76,30.87,115.52,6.45,0.48,2.46,,,0.12,54.33,20.05,0.13,0.38,25.56,3.2,159.61,39.52,19-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
19-Nov-2019 - 00:00,55.51,24.75,150.21,4.66,0.7,4.12,,,0.25,55.21,18.46,0.14,0.64,14.52,2.89,238.12,82.58,20-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
20-Nov-2019 - 00:00,39.7,44.17,172.21,5.69,0.55,6.56,,,0.59,61.7,18.6,0.14,0.72,20.78,2.5,215.04,44.26,21-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
21-Nov-2019 - 00:00,19.34,35.88,190.25,7.1,0.83,5.56,,,0.7,71.27,17.6,0.14,0.83,16.14,1.46,187.66,12.34,22-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
22-Nov-2019 - 00:00,12.59,25.99,139.11,4.91,0.26,4.66,,,0.18,70.64,16.24,0.14,0.74,7.84,1.0,214.86,11.88,23-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
23-Nov-2019 - 00:00,18.8,21.79,174.68,3.56,0.7,8.51,,,2.47,59.91,19.09,0.14,0.6,8.23,1.55,220.21,23.06,24-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
24-Nov-2019 - 00:00,10.66,29.99,132.67,8.42,0.61,31.44,,,11.75,66.08,16.29,0.14,0.39,8.66,0.26,199.79,8.34,25-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
25-Nov-2019 - 00:00,24.33,16.91,171.5,6.56,0.48,8.91,,,3.29,76.6,11.36,0.14,0.66,19.12,1.29,192.63,38.86,26-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
26-Nov-2019 - 00:00,49.49,25.78,265.5,10.19,1.07,30.06,,,2.46,73.67,16.99,0.14,0.8,53.22,2.99,189.2,15.35,27-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
27-Nov-2019 - 00:00,23.55,33.88,252.72,4.23,0.51,4.0,,,0.27,80.4,14.84,0.14,0.63,17.03,2.35,139.87,18.68,28-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
28-Nov-2019 - 00:00,22.13,49.07,254.71,3.62,0.27,2.1,,,40.27,77.06,16.07,0.14,0.48,10.46,1.63,120.05,25.91,29-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
29-Nov-2019 - 00:00,34.96,35.33,88.11,7.33,2.55,2.18,,,1.83,81.67,4.91,0.15,0.51,23.39,1.75,168.76,30.54,30-Nov-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
30-Nov-2019 - 00:00,28.38,33.43,99.54,6.72,10.8,3.38,,,0.29,76.83,17.22,0.15,0.56,12.93,1.78,212.58,33.92,01-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
01-Dec-2019 - 00:00,22.76,44.17,93.34,6.01,5.21,1.73,,,0.16,77.37,16.78,0.15,0.39,8.4,1.92,223.35,30.16,02-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
02-Dec-2019 - 00:00,25.07,58.13,125.51,6.26,3.87,6.34,,,0.03,71.9,15.74,0.16,0.39,9.86,3.06,222.01,32.3,03-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
03-Dec-2019 - 00:00,27.34,56.07,113.69,6.17,5.35,3.42,,,0.04,69.42,16.9,0.16,0.48,9.42,3.98,238.66,37.23,04-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
04-Dec-2019 - 00:00,60.57,53.72,176.04,13.27,5.55,7.43,,,0.17,63.07,16.0,0.16,0.69,40.96,4.55,223.1,52.25,05-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
05-Dec-2019 - 00:00,66.85,51.82,187.97,9.35,5.31,5.3,,,0.43,70.0,15.9,0.16,0.84,40.29,1.63,178.54,65.08,06-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
06-Dec-2019 - 00:00,70.22,39.23,181.53,12.87,4.61,4.42,,,0.18,73.65,15.33,0.16,0.81,57.29,1.44,191.33,45.84,07-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
07-Dec-2019 - 00:00,91.91,28.94,155.09,13.06,1.88,32.78,,,0.43,78.55,13.71,0.16,0.8,86.26,1.09,161.18,43.06,08-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
08-Dec-2019 - 00:00,48.39,31.29,200.24,7.83,3.53,5.67,,,0.37,72.44,14.86,0.16,0.75,32.98,1.03,207.03,41.38,09-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
09-Dec-2019 - 00:00,34.08,38.41,126.74,8.11,3.5,10.79,,,0.21,70.13,14.65,0.16,0.73,13.98,1.81,230.4,43.05,10-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
10-Dec-2019 - 00:00,56.42,13.99,169.4,12.83,4.24,15.53,,,0.71,72.96,14.0,0.16,0.66,41.28,3.0,171.8,44.9,11-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
11-Dec-2019 - 00:00,70.3,23.7,201.82,9.12,4.45,16.6,,,0.29,71.05,14.07,0.16,0.79,50.09,2.75,196.74,56.82,12-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
12-Dec-2019 - 00:00,49.52,23.03,188.2,4.69,3.66,1.84,,,0.14,77.2,7.66,0.16,0.39,33.75,1.94,128.58,42.34,13-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
13-Dec-2019 - 00:00,15.23,17.6,109.02,3.55,3.99,0.46,,,0.0,90.87,5.17,0.16,0.24,8.84,0.65,167.64,15.33,14-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
14-Dec-2019 - 00:00,24.95,17.24,59.0,6.63,2.95,6.32,,,0.18,89.54,17.05,0.16,0.5,18.97,0.96,136.01,18.39,15-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
15-Dec-2019 - 00:00,21.29,14.02,63.9,4.37,4.13,0.96,,,0.03,85.63,21.57,0.17,0.6,12.65,1.33,248.37,21.0,16-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
16-Dec-2019 - 00:00,20.22,17.06,57.83,3.67,3.41,8.47,,,0.01,80.27,22.76,0.17,0.34,10.41,2.99,196.21,22.35,17-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
17-Dec-2019 - 00:00,16.22,16.81,89.14,3.82,4.45,0.26,,,0.0,90.49,6.88,0.18,0.23,10.98,3.08,266.74,13.97,18-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
18-Dec-2019 - 00:00,15.5,14.79,88.07,1.99,5.0,2.76,,,0.0,87.64,4.81,0.19,0.42,6.41,3.39,248.3,19.98,19-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
19-Dec-2019 - 00:00,20.84,12.63,147.32,3.29,3.88,3.92,,,0.0,80.28,21.11,0.18,0.43,7.37,1.35,184.69,32.99,20-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
20-Dec-2019 - 00:00,48.79,14.55,216.46,4.94,3.2,4.61,,,0.03,86.12,19.82,0.19,0.62,23.73,2.54,202.79,56.03,21-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
21-Dec-2019 - 00:00,64.84,16.21,286.78,6.33,3.24,38.88,,,0.46,86.9,19.07,0.18,0.72,31.23,2.44,207.43,74.81,22-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
22-Dec-2019 - 00:00,37.99,15.04,221.96,3.64,3.87,8.02,,,0.1,75.87,20.09,0.17,0.33,11.14,1.84,215.44,54.66,23-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
23-Dec-2019 - 00:00,16.8,13.12,161.27,3.48,3.04,5.05,,,0.01,90.27,13.92,0.19,0.53,8.03,2.02,182.59,19.31,24-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
24-Dec-2019 - 00:00,13.73,11.29,176.97,2.97,3.59,5.55,,,0.02,89.94,19.61,0.19,0.48,7.18,1.62,118.67,15.0,25-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
25-Dec-2019 - 00:00,14.29,11.54,195.25,5.09,2.11,10.82,,,0.03,90.63,26.14,0.19,0.59,8.74,1.59,191.54,13.72,26-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
26-Dec-2019 - 00:00,12.65,20.34,157.18,4.26,3.24,4.85,,,0.08,90.84,19.26,0.2,0.35,6.55,0.58,205.25,13.93,27-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
27-Dec-2019 - 00:00,26.37,43.38,202.42,5.01,4.19,11.98,,,0.31,86.1,18.46,0.2,0.49,11.09,0.92,209.52,32.89,28-Dec-2019 - 00:00,,"Lalbagh, Lucknow - CPCB"
