from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
01-Mar-2019 - 00:00,17.52,990.97,226.32,117.09,55.6,187.98,316.75,1.6,3.09,94.96,25.69,43.91,74.48,72.61,1.14,25.95,14.08,02-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
02-Mar-2019 - 00:00,16.07,991.4,240.25,145.17,73.33,33.44,154.61,1.1,5.98,85.82,37.93,75.92,112.23,95.65,1.47,7.3,15.93,03-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
03-Mar-2019 - 00:00,17.56,988.11,199.29,101.88,82.11,134.53,103.45,1.39,4.03,63.61,33.1,63.94,92.55,75.83,1.36,16.95,13.62,04-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
04-Mar-2019 - 00:00,19.13,985.13,238.69,134.25,79.4,149.34,272.34,1.56,4.81,67.87,43.46,75.7,96.31,65.13,1.14,20.22,14.18,05-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
05-Mar-2019 - 00:00,18.55,986.24,193.54,90.33,68.66,140.96,309.99,1.7,2.21,63.04,31.04,32.81,58.99,60.64,1.03,21.61,10.8,06-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
06-Mar-2019 - 00:00,19.19,987.21,239.0,114.56,59.42,178.56,307.43,1.58,3.17,78.29,30.25,58.71,86.58,72.66,1.21,24.4,16.04,07-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
07-Mar-2019 - 00:00,20.32,987.59,262.21,135.6,53.87,185.26,254.86,1.24,3.35,79.75,34.34,57.82,87.98,76.71,1.27,31.41,17.04,08-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
08-Mar-2019 - 00:00,20.74,989.32,253.36,94.48,54.75,164.18,160.6,1.4,2.74,45.94,35.56,33.73,64.2,69.06,1.35,29.76,16.9,09-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
09-Mar-2019 - 00:00,20.64,989.28,,85.25,53.67,189.7,312.81,2.04,2.55,46.18,33.23,23.83,49.09,55.81,1.53,27.45,17.79,10-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
10-Mar-2019 - 00:00,21.1,989.45,,93.58,45.57,212.91,260.36,1.42,2.14,50.84,27.18,46.56,80.23,79.36,1.08,39.78,21.88,11-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
11-Mar-2019 - 00:00,22.49,988.96,,106.31,48.63,142.67,129.36,2.08,4.1,41.74,38.82,58.25,94.52,88.38,1.23,36.05,26.83,12-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
12-Mar-2019 - 00:00,21.48,991.14,,57.19,52.7,158.58,167.9,1.89,2.71,41.05,32.23,16.68,42.65,54.63,1.0,30.66,16.25,13-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
13-Mar-2019 - 00:00,20.39,991.37,,101.3,51.14,84.06,161.13,1.2,4.14,23.17,33.78,32.91,64.18,70.24,1.34,24.02,24.99,14-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
14-Mar-2019 - 00:00,18.54,992.18,,123.4,67.18,107.94,200.02,1.8,2.51,16.89,39.3,43.96,70.75,65.61,1.25,17.03,21.75,15-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
15-Mar-2019 - 00:00,19.49,993.44,174.62,92.4,63.65,195.33,321.28,2.0,3.68,41.24,34.17,33.54,59.18,59.83,1.0,20.37,18.51,16-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
16-Mar-2019 - 00:00,20.61,991.78,185.44,82.96,54.14,187.03,312.84,1.75,3.29,40.76,28.55,20.53,50.95,64.24,1.03,35.41,16.53,17-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
17-Mar-2019 - 00:00,22.21,989.87,227.4,108.77,48.44,193.71,306.58,1.49,5.3,51.98,31.49,53.94,89.57,85.54,1.12,35.53,22.13,18-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
18-Mar-2019 - 00:00,22.46,989.38,264.04,120.79,50.89,186.85,298.88,1.34,5.1,73.95,32.04,41.21,76.08,79.84,1.27,39.56,22.75,19-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
19-Mar-2019 - 00:00,24.51,985.82,294.08,126.21,45.75,194.39,249.29,1.35,6.65,73.56,36.21,65.48,101.72,91.26,1.55,33.73,25.57,20-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
20-Mar-2019 - 00:00,26.9,984.19,337.33,109.02,40.19,169.23,162.74,1.58,7.51,55.14,44.0,68.8,106.14,94.1,1.49,30.4,25.81,21-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
21-Mar-2019 - 00:00,25.54,987.68,212.88,116.12,46.32,181.45,174.98,1.5,6.53,18.47,45.19,9.56,30.04,41.76,1.17,48.73,21.0,22-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
22-Mar-2019 - 00:00,23.94,989.61,146.6,41.5,39.54,205.18,321.65,2.31,2.6,17.47,24.11,11.84,38.7,54.59,0.79,48.29,14.14,23-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
23-Mar-2019 - 00:00,24.08,988.86,158.88,60.04,42.52,195.11,314.91,2.54,2.36,27.31,24.56,7.61,33.01,50.46,0.81,53.56,16.3,24-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
24-Mar-2019 - 00:00,24.72,987.24,162.81,63.44,46.31,186.62,312.09,2.07,3.04,62.38,26.71,35.41,62.6,63.09,0.86,34.13,23.19,25-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
25-Mar-2019 - 00:00,23.46,987.65,171.75,69.92,56.68,179.16,290.68,2.18,3.35,28.58,29.47,19.89,44.58,53.21,0.95,30.3,15.81,26-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
26-Mar-2019 - 00:00,23.98,988.89,206.83,91.63,51.5,194.48,322.64,2.22,3.6,35.48,25.2,24.63,55.0,65.74,1.07,34.36,17.18,27-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
27-Mar-2019 - 00:00,25.47,989.43,224.75,95.17,44.63,171.39,292.32,1.65,5.3,93.01,20.7,46.6,82.46,83.76,1.43,34.87,24.61,28-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
28-Mar-2019 - 00:00,27.85,987.34,350.33,156.23,44.1,178.99,269.41,1.07,8.66,93.73,26.59,101.91,135.9,99.29,1.86,48.59,36.38,29-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
29-Mar-2019 - 00:00,29.64,984.35,324.6,115.58,48.87,174.58,206.37,1.14,7.26,81.23,42.49,77.33,110.56,89.29,1.47,43.61,21.2,30-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
30-Mar-2019 - 00:00,31.09,983.32,285.45,106.48,43.98,172.59,119.17,1.22,6.55,48.68,43.81,48.05,87.16,90.1,1.22,50.98,24.16,31-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
31-Mar-2019 - 00:00,28.65,984.12,212.47,57.91,37.39,199.62,319.47,2.37,4.05,40.75,30.59,12.73,41.35,58.2,1.01,43.8,17.17,01-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
01-Apr-2019 - 00:00,27.45,984.34,222.28,77.97,35.79,199.11,311.04,2.22,4.26,35.3,25.62,25.98,58.98,71.02,1.15,44.71,22.64,02-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
02-Apr-2019 - 00:00,28.24,985.11,301.54,126.74,34.19,174.78,300.08,1.31,5.63,71.32,30.46,59.91,100.46,97.08,1.49,46.46,29.57,03-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
03-Apr-2019 - 00:00,29.3,984.05,270.75,106.17,34.15,187.45,248.1,1.46,6.36,86.2,14.26,66.92,106.27,97.22,1.53,42.02,28.7,04-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
04-Apr-2019 - 00:00,31.04,984.59,354.92,147.4,36.15,186.19,167.25,1.15,8.17,52.98,14.42,51.62,94.73,98.88,1.37,54.67,29.25,05-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
05-Apr-2019 - 00:00,31.99,983.58,383.29,142.94,36.73,200.42,197.11,1.24,8.43,76.31,43.05,75.11,116.02,103.1,1.87,35.15,33.56,06-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
06-Apr-2019 - 00:00,32.71,982.39,427.9,125.06,34.74,193.53,183.02,1.36,7.22,64.79,40.17,56.15,89.05,81.34,1.52,42.99,27.44,07-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
07-Apr-2019 - 00:00,30.65,981.7,480.45,195.46,52.05,153.06,139.01,1.99,9.73,56.46,65.42,52.25,84.86,79.41,1.22,37.99,22.91,08-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
08-Apr-2019 - 00:00,28.53,982.57,390.38,88.38,47.33,158.95,127.45,1.37,5.16,43.45,43.38,57.88,92.39,84.89,1.16,41.69,20.15,09-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
09-Apr-2019 - 00:00,30.1,982.33,326.25,116.06,41.71,198.3,77.49,1.17,6.96,39.02,48.14,70.24,107.84,94.76,1.27,51.13,24.36,10-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
10-Apr-2019 - 00:00,32.19,983.47,326.29,113.44,36.44,199.62,207.18,1.32,5.97,52.16,47.93,64.67,86.72,89.37,1.29,39.66,20.25,11-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
11-Apr-2019 - 00:00,32.87,983.11,274.08,76.31,31.62,191.76,214.16,1.48,4.17,43.68,37.73,31.09,61.86,68.76,1.33,38.39,19.48,12-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
