from date,NO,NO2,NOx,NH3,PM10,PM2.5,Benzene,Toluene,Eth-Benzene,MP-Xylene,Xylene,RH,WD,WS,SR,RF,SO2,CO,Ozone,to date,station
27-Apr-2019 - 00:00,12.19,15.37,23.39,45.43,238.55,72.27,2.47,3.92,0.54,1.24,1.54,22.41,299.1,3.0,463.69,0.0,51.81,0.49,54.74,28-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
28-Apr-2019 - 00:00,11.91,14.58,22.3,40.47,230.69,145.98,2.35,3.91,0.64,1.3,3.33,19.53,319.66,2.63,465.56,0.0,50.95,0.5,58.15,29-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
29-Apr-2019 - 00:00,13.42,20.29,30.93,78.31,231.94,129.7,5.52,8.94,4.1,4.66,7.35,17.49,220.58,1.14,461.2,0.0,45.23,0.59,57.63,30-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
30-Apr-2019 - 00:00,12.88,22.27,35.53,72.3,276.92,114.86,4.5,6.29,1.28,3.27,3.81,15.03,154.03,1.8,752.67,0.0,26.39,0.66,51.96,01-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
01-May-2019 - 00:00,11.95,13.33,19.85,45.81,196.1,110.24,2.27,3.7,0.49,1.32,1.41,20.08,171.96,2.16,724.72,0.0,17.17,0.52,61.75,02-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
02-May-2019 - 00:00,11.93,12.69,18.65,37.75,246.16,121.41,1.66,2.81,0.07,0.68,1.0,28.52,116.52,2.51,401.61,0.0,23.24,0.57,63.86,03-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
03-May-2019 - 00:00,11.89,16.36,17.09,36.23,126.84,74.07,1.73,2.82,0.37,0.83,4.05,33.26,168.15,1.82,448.1,0.0,25.01,0.55,60.83,04-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
04-May-2019 - 00:00,8.14,28.34,16.04,24.68,175.11,92.99,3.48,5.23,0.77,1.95,0.97,19.0,307.92,2.35,500.88,0.0,24.72,0.6,58.84,05-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
05-May-2019 - 00:00,13.02,41.51,28.14,12.01,190.13,106.45,5.25,8.09,1.97,5.23,2.66,11.21,266.49,1.51,507.93,0.0,16.86,1.01,47.41,06-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
06-May-2019 - 00:00,4.39,36.44,18.6,10.45,217.97,113.75,5.7,6.06,1.14,3.31,1.68,12.43,267.74,1.7,804.22,0.0,25.8,0.87,51.17,07-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
07-May-2019 - 00:00,15.26,47.49,33.08,9.76,281.51,112.47,8.49,13.03,4.0,9.48,5.84,13.73,217.41,1.35,764.27,0.0,26.25,1.13,35.61,08-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
08-May-2019 - 00:00,9.04,48.02,28.3,14.69,339.01,139.46,6.62,9.5,2.33,6.6,4.65,16.87,248.6,1.66,457.55,0.0,25.8,1.1,33.98,09-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
09-May-2019 - 00:00,4.62,30.33,15.58,11.9,351.48,170.6,4.42,6.34,1.28,3.74,1.69,17.05,268.82,2.12,443.43,0.0,26.17,0.81,44.97,10-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
10-May-2019 - 00:00,3.85,17.06,8.03,12.8,316.68,135.35,1.52,2.78,0.3,0.93,0.37,26.25,252.91,2.42,409.57,0.01,19.15,0.43,37.45,11-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
11-May-2019 - 00:00,4.38,30.74,15.59,17.96,157.17,97.22,4.4,4.73,0.76,2.4,1.44,33.91,241.93,1.81,408.32,0.0,31.98,0.74,41.75,12-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
12-May-2019 - 00:00,3.78,26.76,13.04,16.27,302.39,167.68,3.13,6.41,1.59,3.53,2.89,31.17,290.8,2.37,453.88,0.0,28.2,0.76,60.05,13-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
13-May-2019 - 00:00,4.13,25.75,12.79,18.0,229.85,138.09,4.87,4.33,1.37,2.54,5.32,33.68,257.62,1.72,301.16,0.03,42.08,0.88,59.48,14-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
14-May-2019 - 00:00,3.85,23.86,11.58,27.92,92.26,63.55,2.56,5.24,2.51,4.18,2.8,47.13,204.28,1.57,524.27,0.0,27.17,0.65,65.63,15-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
15-May-2019 - 00:00,4.5,29.2,14.88,33.42,138.55,94.26,3.86,3.22,3.3,6.7,3.05,51.21,133.18,2.47,467.68,0.08,19.89,0.78,60.68,16-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
16-May-2019 - 00:00,3.88,29.43,14.51,29.24,216.47,101.72,3.2,3.96,3.8,7.84,4.27,48.14,239.1,1.41,412.73,0.0,16.19,0.73,69.81,17-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
17-May-2019 - 00:00,4.4,21.91,10.99,28.72,131.62,90.93,2.95,3.82,3.85,8.12,3.95,52.5,248.65,1.96,417.31,0.18,15.5,0.56,61.39,18-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
18-May-2019 - 00:00,5.08,28.66,15.08,27.21,89.89,108.09,2.72,4.27,3.68,8.19,3.36,52.38,263.27,1.74,583.17,0.0,19.12,0.88,63.01,19-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
19-May-2019 - 00:00,9.1,44.56,26.6,27.02,157.47,82.7,6.69,4.64,5.8,13.57,5.03,42.1,251.55,1.1,542.35,0.0,25.74,1.02,69.5,20-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
20-May-2019 - 00:00,11.23,43.03,27.53,31.07,272.67,119.25,11.35,4.44,6.25,14.39,5.5,40.18,274.71,1.26,481.08,0.0,27.63,1.14,57.49,21-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
21-May-2019 - 00:00,4.54,30.35,15.52,23.41,149.3,102.37,9.11,6.85,34.64,37.86,18.01,23.15,266.11,1.38,523.84,0.0,28.6,0.75,71.45,22-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
22-May-2019 - 00:00,4.07,29.91,14.92,19.96,159.39,86.54,6.29,6.72,27.34,29.52,10.76,32.41,268.06,1.31,322.93,0.0,34.68,0.75,67.69,23-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
23-May-2019 - 00:00,4.74,35.35,18.27,26.76,181.44,95.87,11.39,5.23,11.43,16.74,6.61,40.03,160.7,1.49,361.34,0.0,43.22,0.81,60.04,24-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
24-May-2019 - 00:00,3.81,19.21,9.12,20.31,78.77,46.2,3.74,3.99,6.09,8.92,4.09,51.82,176.98,2.2,459.51,0.0,38.78,0.55,62.34,25-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
25-May-2019 - 00:00,3.62,17.24,7.93,13.88,95.35,45.37,2.23,4.38,5.61,8.73,5.32,41.08,295.56,2.23,538.7,0.0,36.84,0.52,83.06,26-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
26-May-2019 - 00:00,3.66,17.77,8.25,10.99,87.11,50.95,2.89,4.55,6.08,9.32,8.95,30.97,233.42,1.47,550.38,0.0,40.38,0.54,84.38,27-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
27-May-2019 - 00:00,3.56,19.38,9.01,11.4,113.84,57.13,3.57,4.2,5.92,9.34,8.95,22.65,313.28,1.94,543.33,0.0,43.1,0.56,87.95,28-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
28-May-2019 - 00:00,3.6,20.94,9.85,12.99,126.89,62.58,3.77,3.81,4.65,8.6,4.13,19.12,302.49,1.83,560.32,0.0,44.79,0.6,93.2,29-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
29-May-2019 - 00:00,4.86,27.99,14.54,17.83,164.31,86.06,5.4,4.62,7.13,11.22,7.75,21.82,231.71,0.97,505.36,0.0,44.97,0.72,80.05,30-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
30-May-2019 - 00:00,12.18,42.18,27.84,22.97,229.82,118.7,12.03,4.25,10.13,14.95,11.49,13.82,241.88,1.35,619.92,0.0,43.35,1.04,57.11,31-May-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
31-May-2019 - 00:00,11.62,28.2,20.15,17.16,360.29,113.4,5.14,12.64,9.75,14.61,14.13,16.84,282.49,1.86,496.32,0.0,27.8,0.63,53.21,01-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
01-Jun-2019 - 00:00,4.13,31.49,15.79,16.74,211.71,97.77,4.83,12.52,1.33,5.17,2.02,16.75,249.6,1.44,488.63,0.0,9.2,0.67,54.55,02-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
02-Jun-2019 - 00:00,4.02,29.89,14.87,31.38,230.95,95.39,5.4,9.7,4.05,4.7,6.59,33.95,149.74,1.54,446.52,0.0,17.43,0.91,72.51,03-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
03-Jun-2019 - 00:00,3.82,30.96,15.26,28.55,278.14,115.3,5.28,10.09,0.94,2.47,0.89,14.33,114.45,2.22,437.54,0.0,24.1,1.03,73.37,04-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
04-Jun-2019 - 00:00,3.98,21.09,10.23,20.04,222.42,75.44,3.11,6.17,0.62,1.68,0.65,25.1,99.01,2.4,613.27,0.0,21.87,0.73,78.7,05-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
05-Jun-2019 - 00:00,5.8,34.17,18.52,19.66,202.26,86.82,5.09,8.63,1.8,4.97,2.23,35.29,168.94,1.14,420.79,0.0,24.11,0.94,60.65,06-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
06-Jun-2019 - 00:00,3.81,20.47,9.78,15.61,213.59,88.33,3.18,4.96,0.83,2.85,1.53,25.43,245.12,2.12,504.12,0.0,21.47,0.39,75.31,07-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
07-Jun-2019 - 00:00,4.59,26.22,13.41,14.79,160.35,65.06,3.54,5.52,1.11,3.76,1.61,32.81,152.48,1.17,499.18,0.0,24.97,0.6,74.16,08-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
08-Jun-2019 - 00:00,4.57,37.18,19.11,18.61,207.53,105.5,6.4,9.92,1.81,6.35,3.21,24.92,232.53,1.37,489.26,0.0,29.51,0.63,78.4,09-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
09-Jun-2019 - 00:00,4.03,26.72,13.23,14.31,203.63,81.11,5.18,5.82,1.33,3.92,1.73,17.68,248.98,1.21,,0.0,29.32,0.51,80.14,10-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
10-Jun-2019 - 00:00,5.54,31.12,16.73,13.67,204.11,91.02,4.8,6.68,1.33,4.71,2.21,16.96,253.34,1.42,571.13,0.0,28.96,0.59,70.03,11-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
11-Jun-2019 - 00:00,7.58,22.82,13.44,15.34,256.13,139.5,4.6,5.25,0.87,3.55,1.23,19.84,226.64,1.86,496.32,0.0,23.83,0.31,50.96,12-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
12-Jun-2019 - 00:00,7.93,18.31,12.54,23.08,265.11,79.44,3.23,3.75,0.45,1.19,0.43,38.57,130.87,2.7,375.62,0.01,23.88,0.41,87.9,13-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
13-Jun-2019 - 00:00,6.62,21.46,13.07,27.79,238.41,73.74,1.86,4.3,2.0,3.12,1.2,40.95,230.06,2.38,458.35,0.0,21.27,0.41,82.85,14-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
14-Jun-2019 - 00:00,6.28,27.28,15.9,16.9,191.96,75.56,3.74,6.77,2.35,5.18,2.29,25.75,293.69,1.87,515.67,0.0,27.96,0.47,117.79,15-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
15-Jun-2019 - 00:00,6.29,18.66,10.99,16.22,257.59,92.41,3.19,5.77,0.74,2.62,1.57,19.92,288.36,2.64,556.6,0.0,24.67,0.32,93.48,16-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
16-Jun-2019 - 00:00,6.3,12.34,6.98,28.82,105.39,48.71,0.86,3.37,0.46,1.53,0.86,69.95,268.68,2.65,226.43,0.06,24.52,0.32,61.79,17-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
17-Jun-2019 - 00:00,6.45,18.3,10.24,28.05,75.95,36.01,1.51,3.14,0.45,1.75,0.56,67.48,199.16,2.17,289.02,0.02,30.5,0.35,62.5,18-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
18-Jun-2019 - 00:00,6.25,15.18,8.45,20.06,59.79,37.88,1.37,2.11,0.27,0.93,0.31,63.83,102.01,2.21,339.1,0.01,34.69,0.33,85.84,19-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
19-Jun-2019 - 00:00,6.85,23.72,13.39,22.24,167.15,80.37,4.54,3.52,0.51,1.78,0.61,55.89,107.42,1.03,585.79,0.0,36.3,0.47,55.82,20-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
20-Jun-2019 - 00:00,6.03,23.9,13.57,24.38,157.18,51.3,4.77,4.31,1.41,2.3,1.4,55.76,127.17,1.58,521.29,0.0,30.44,0.4,66.66,21-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
21-Jun-2019 - 00:00,5.65,27.6,15.78,18.41,109.88,52.07,2.47,3.71,0.52,1.78,0.67,49.79,152.1,1.62,485.52,0.0,18.75,0.48,82.47,22-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
22-Jun-2019 - 00:00,5.26,29.87,16.65,23.49,143.12,66.05,3.32,5.24,0.85,3.39,1.05,40.65,222.03,1.11,514.5,0.0,18.79,0.49,102.47,23-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
23-Jun-2019 - 00:00,5.4,24.53,13.97,23.53,141.76,65.05,2.61,4.06,0.55,1.27,0.59,44.02,118.25,1.64,481.07,0.0,21.72,0.48,111.55,24-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
24-Jun-2019 - 00:00,5.94,23.27,13.71,24.67,91.76,35.55,1.55,3.25,0.32,0.83,0.32,63.77,88.33,1.85,430.98,0.0,20.16,0.44,65.82,25-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
25-Jun-2019 - 00:00,6.63,33.22,19.5,33.93,97.6,51.23,2.51,3.89,0.65,1.31,0.56,62.2,170.6,1.16,422.33,0.0,8.29,0.45,80.62,26-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
26-Jun-2019 - 00:00,5.58,32.1,18.07,50.77,94.18,56.38,1.93,4.59,2.63,3.19,4.73,50.13,285.18,1.51,513.23,0.0,13.94,0.52,99.01,27-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
27-Jun-2019 - 00:00,6.68,41.58,23.92,43.44,370.34,87.07,2.85,6.03,1.09,3.08,2.14,40.11,206.48,1.63,246.6,0.0,19.62,0.46,90.26,28-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
28-Jun-2019 - 00:00,6.04,40.42,22.79,38.05,222.55,62.01,2.27,4.98,1.94,4.15,1.52,51.84,226.17,2.13,397.98,0.04,20.62,0.36,80.6,29-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
29-Jun-2019 - 00:00,11.94,39.94,26.84,31.64,399.55,106.12,4.51,9.92,5.63,10.98,5.79,46.46,246.04,1.61,477.25,0.0,19.16,0.55,54.7,30-Jun-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
30-Jun-2019 - 00:00,7.36,29.58,17.34,28.47,289.1,83.2,2.81,4.74,1.39,3.32,1.46,42.05,241.61,1.91,449.78,0.0,18.97,0.39,60.04,01-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
01-Jul-2019 - 00:00,5.6,17.67,10.19,23.1,203.83,66.4,0.78,2.85,0.35,1.36,0.54,44.65,226.35,1.53,441.47,0.0,20.18,0.29,59.7,02-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
02-Jul-2019 - 00:00,4.11,17.04,9.53,21.74,286.97,78.74,1.13,3.19,2.69,5.7,3.99,49.19,263.76,2.36,455.97,0.0,23.6,0.36,94.8,03-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
03-Jul-2019 - 00:00,4.44,27.68,15.37,33.04,156.31,66.48,2.88,4.0,0.69,2.29,0.9,48.73,118.55,1.16,395.42,0.0,26.21,0.53,74.55,04-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
04-Jul-2019 - 00:00,4.81,17.59,10.37,21.32,101.92,33.75,2.25,2.44,0.35,1.13,0.37,60.11,151.31,2.4,295.82,0.0,28.37,0.42,41.03,05-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
05-Jul-2019 - 00:00,4.77,17.27,10.16,18.76,125.91,44.52,3.36,4.88,0.8,1.6,0.6,67.76,149.16,1.92,390.93,0.0,31.27,0.46,36.65,06-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
06-Jul-2019 - 00:00,5.0,18.17,10.76,21.86,101.95,41.14,3.75,2.65,0.81,1.49,1.43,66.19,160.01,1.83,301.46,0.0,35.97,0.42,48.54,07-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
07-Jul-2019 - 00:00,4.96,17.94,10.55,23.63,92.09,40.12,1.35,2.16,0.29,0.88,0.32,64.42,191.55,1.23,405.99,0.0,38.14,0.39,47.4,08-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
08-Jul-2019 - 00:00,7.08,17.72,11.26,23.19,159.29,47.38,0.92,2.65,0.39,1.39,0.43,67.64,206.51,1.61,321.84,0.0,40.62,0.38,42.67,09-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
09-Jul-2019 - 00:00,10.58,18.66,13.98,20.65,111.5,52.75,1.44,2.52,0.36,1.4,0.41,79.03,156.95,2.59,221.4,0.17,36.27,0.41,32.77,10-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
10-Jul-2019 - 00:00,11.47,28.73,19.96,25.78,154.94,117.3,2.79,10.08,6.07,6.34,7.49,62.68,189.0,1.64,329.03,0.0,32.02,0.53,24.74,11-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
11-Jul-2019 - 00:00,10.79,27.53,18.78,31.43,438.64,162.34,1.53,3.39,0.58,2.52,0.79,52.6,200.75,1.58,311.27,0.0,33.45,0.41,21.75,12-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
12-Jul-2019 - 00:00,10.33,18.91,13.92,25.53,363.32,255.71,0.65,3.81,1.49,2.41,0.81,51.77,213.04,2.2,274.33,0.0,35.09,0.34,23.27,13-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
13-Jul-2019 - 00:00,8.77,16.4,11.94,30.23,404.33,159.96,1.09,7.62,5.3,6.21,3.78,48.79,196.15,2.34,311.03,0.0,26.83,0.32,25.84,14-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
14-Jul-2019 - 00:00,7.73,16.16,11.46,32.05,412.98,151.96,2.19,4.02,2.97,5.72,2.57,56.78,187.35,2.35,267.4,0.0,11.23,0.38,30.09,15-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
15-Jul-2019 - 00:00,8.28,20.67,14.27,33.15,165.86,62.24,2.18,4.0,2.87,5.87,4.3,77.11,132.33,1.9,165.7,0.03,15.21,0.45,30.93,16-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
16-Jul-2019 - 00:00,6.58,20.94,13.05,30.86,71.61,42.88,4.9,3.01,1.68,3.68,2.76,87.96,118.06,2.13,117.13,0.38,18.37,0.36,43.25,17-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
17-Jul-2019 - 00:00,5.54,22.08,12.81,26.27,45.67,28.12,,,0.0,0.0,,81.43,145.72,1.25,362.62,0.12,25.51,0.37,55.25,18-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
18-Jul-2019 - 00:00,5.73,22.91,13.32,24.97,65.18,37.69,2.95,0.11,0.27,1.11,1.28,81.68,147.02,1.95,283.97,0.01,16.16,0.43,41.54,19-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
19-Jul-2019 - 00:00,5.39,20.5,11.86,25.7,75.16,34.66,2.96,1.54,0.54,1.26,0.78,75.76,153.76,1.32,319.92,0.0,5.53,0.55,50.58,20-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
20-Jul-2019 - 00:00,5.8,24.64,14.35,50.88,102.85,47.21,3.24,8.33,0.45,1.28,0.92,76.89,132.94,1.44,380.88,0.0,9.42,0.54,57.91,21-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
21-Jul-2019 - 00:00,5.53,27.01,15.38,54.36,92.15,50.3,4.51,8.22,1.56,2.51,1.09,73.47,124.95,1.62,449.39,0.01,14.62,0.52,57.9,22-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
22-Jul-2019 - 00:00,5.29,26.22,14.77,50.32,86.35,56.45,2.79,7.86,6.96,4.21,8.9,73.94,206.34,1.69,427.48,0.0,18.6,0.38,55.37,23-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
23-Jul-2019 - 00:00,5.42,25.51,14.51,47.83,93.1,48.97,3.41,7.02,2.29,4.0,3.94,67.98,117.25,1.04,356.22,0.0,21.0,0.38,54.98,24-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
24-Jul-2019 - 00:00,5.35,22.07,12.66,44.17,90.78,38.31,1.73,2.8,0.45,1.13,0.88,74.28,163.41,2.1,133.91,0.02,24.12,0.24,49.98,25-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
25-Jul-2019 - 00:00,5.42,16.82,9.97,26.13,33.84,19.19,2.34,2.35,0.33,1.12,0.51,,170.09,1.75,,0.01,27.34,0.25,38.18,26-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
26-Jul-2019 - 00:00,5.83,21.57,12.77,28.3,50.13,27.58,2.66,3.92,2.18,3.35,1.41,62.21,173.99,1.62,162.65,0.0,27.51,0.26,29.09,27-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
27-Jul-2019 - 00:00,5.79,21.2,12.55,32.59,51.36,27.72,1.5,3.44,0.43,1.22,0.49,87.14,98.88,1.81,160.46,0.02,30.84,0.28,33.87,28-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
28-Jul-2019 - 00:00,5.95,20.2,12.15,36.39,48.09,28.6,1.09,3.63,0.97,2.17,1.12,88.62,84.84,1.89,202.52,0.2,33.29,0.28,30.54,29-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
29-Jul-2019 - 00:00,5.94,22.9,13.55,40.04,53.38,28.81,1.29,4.22,0.44,1.35,0.46,77.75,86.91,1.66,290.34,0.0,36.81,0.31,32.33,30-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
30-Jul-2019 - 00:00,5.88,25.24,14.73,53.63,70.11,35.51,1.58,5.44,0.6,1.64,0.94,76.25,103.98,1.75,351.69,0.0,39.83,0.3,35.75,31-Jul-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
31-Jul-2019 - 00:00,5.71,23.92,13.91,44.78,74.03,38.35,1.69,4.02,0.45,0.96,0.58,76.19,109.69,1.73,336.04,0.0,42.05,0.33,34.77,01-Aug-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
01-Aug-2019 - 00:00,5.45,22.83,13.13,49.36,74.49,41.87,1.59,5.16,1.08,1.7,1.08,71.57,147.66,2.33,434.28,0.0,45.91,0.32,54.41,02-Aug-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
02-Aug-2019 - 00:00,5.3,19.36,11.2,31.54,54.92,20.75,0.82,2.15,0.29,0.77,0.33,85.07,138.65,1.23,135.46,0.0,27.98,0.27,33.5,03-Aug-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
03-Aug-2019 - 00:00,5.5,20.86,12.13,43.15,63.53,36.07,1.53,3.86,0.38,0.79,0.3,80.2,85.9,1.31,666.8,0.0,10.09,0.32,40.46,04-Aug-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
04-Aug-2019 - 00:00,5.47,23.99,13.76,39.0,72.12,46.48,1.8,5.33,0.71,1.55,0.56,74.1,103.17,0.99,893.1,0.0,12.83,0.38,40.69,05-Aug-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
05-Aug-2019 - 00:00,5.47,26.78,15.12,46.92,80.35,46.78,3.19,5.28,1.09,1.61,2.28,71.16,162.39,1.35,348.54,0.0,8.12,0.39,40.15,06-Aug-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
06-Aug-2019 - 00:00,5.46,21.9,12.65,35.5,59.76,31.34,1.97,4.44,0.5,1.46,0.8,80.74,150.47,1.48,254.66,0.05,10.11,0.32,38.71,07-Aug-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
07-Aug-2019 - 00:00,5.8,26.0,15.06,40.0,64.38,40.14,2.26,8.13,1.25,2.09,0.9,78.62,97.3,1.51,384.79,0.0,13.27,0.42,37.35,08-Aug-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
08-Aug-2019 - 00:00,5.91,25.3,14.78,47.31,75.01,32.89,2.12,4.59,0.68,1.8,0.81,67.79,111.58,1.31,474.29,0.0,7.91,0.38,37.93,09-Aug-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
09-Aug-2019 - 00:00,5.75,22.3,13.09,44.33,79.29,29.45,2.75,7.26,2.8,2.91,3.51,70.13,83.02,2.62,353.31,0.0,8.96,0.28,34.49,10-Aug-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
10-Aug-2019 - 00:00,5.78,19.97,11.9,32.57,54.29,23.68,0.75,2.5,0.27,0.65,0.23,83.88,106.14,3.12,299.36,0.0,13.94,4.17,34.39,11-Aug-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
11-Aug-2019 - 00:00,6.03,20.54,12.4,37.27,57.58,31.72,1.51,4.82,0.52,1.17,0.45,85.13,139.27,1.53,498.83,0.0,16.97,0.29,32.13,12-Aug-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
12-Aug-2019 - 00:00,5.35,13.18,8.01,21.39,38.97,17.76,0.58,3.09,1.69,3.36,1.27,71.76,251.61,1.92,477.82,0.0,20.12,0.24,31.96,13-Aug-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
13-Aug-2019 - 00:00,5.33,11.31,7.02,27.13,63.01,23.85,0.55,3.02,1.49,2.31,3.95,68.98,269.05,2.34,417.54,0.0,23.78,0.24,35.42,14-Aug-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
