from date,NO,NO2,NOx,SO2,CO,Ozone,PM10,PM2.5,NH3,AT,RH,WS,VWS,WD,SR,BP,RF,Benzene,Toluene,MP-Xylene,Xylene,Temp,to date,station
14-Dec-2019 - 00:00,2.24,13.2,8.84,14.09,0.55,42.43,64.43,39.58,14.08,27.29,76.3,3.58,0.06,83.18,69.41,760.84,0.0,0.46,13.73,0.12,0.11,27.13,15-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
15-Dec-2019 - 00:00,2.6,17.8,11.58,19.82,0.66,41.6,78.07,46.88,13.88,26.51,77.21,2.66,0.03,85.24,68.22,760.12,0.0,0.65,10.15,0.2,0.19,25.56,16-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
16-Dec-2019 - 00:00,4.16,18.0,12.96,17.91,0.62,44.24,79.4,47.4,14.99,26.86,75.39,3.05,0.06,82.11,73.92,759.78,0.0,0.6,6.46,0.17,0.19,26.72,17-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
17-Dec-2019 - 00:00,4.4,26.09,17.45,12.32,0.87,48.28,109.72,69.52,20.11,26.89,74.03,2.68,0.06,80.08,71.02,760.7,0.0,1.24,9.92,0.36,0.25,25.82,18-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
18-Dec-2019 - 00:00,2.47,16.94,11.02,12.44,0.74,54.42,103.76,65.68,19.86,26.97,73.94,2.72,0.04,86.29,72.02,761.16,0.0,1.26,12.87,0.28,0.25,26.78,19-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
19-Dec-2019 - 00:00,2.47,17.77,11.48,17.35,0.77,48.94,121.95,85.01,23.26,27.01,77.43,2.11,0.04,109.6,61.74,759.83,0.0,1.34,14.7,0.17,0.13,26.75,20-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
20-Dec-2019 - 00:00,2.57,19.97,12.72,24.82,0.89,44.69,119.18,78.9,20.17,27.61,73.05,1.89,0.02,158.1,64.8,758.61,0.0,0.88,3.71,0.21,0.17,26.57,21-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
21-Dec-2019 - 00:00,1.81,15.64,9.79,17.13,0.83,51.74,116.84,82.44,19.4,26.65,75.85,2.23,0.03,125.19,66.73,759.09,0.0,0.92,4.06,0.14,0.13,25.75,22-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
22-Dec-2019 - 00:00,1.59,13.61,8.54,18.6,0.71,57.19,104.15,72.7,18.44,26.19,74.36,2.91,0.04,86.6,67.21,759.58,0.0,0.75,5.72,0.12,0.12,25.77,23-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
23-Dec-2019 - 00:00,1.9,13.52,8.73,11.27,0.69,57.71,104.41,72.47,17.55,25.82,74.91,3.21,0.04,93.59,64.16,759.79,0.0,0.94,4.72,0.13,0.12,25.95,24-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
24-Dec-2019 - 00:00,1.86,15.15,9.57,13.95,0.84,57.31,117.16,78.21,16.47,26.12,75.04,3.22,0.06,79.92,64.69,760.52,0.0,1.01,5.43,0.18,0.12,26.72,25-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
25-Dec-2019 - 00:00,1.72,12.7,8.16,17.74,0.93,53.12,117.74,82.54,14.48,26.35,75.05,2.51,0.03,103.92,67.8,759.97,0.0,1.16,3.14,0.12,0.1,26.09,26-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
26-Dec-2019 - 00:00,2.44,15.13,10.03,13.96,0.54,33.68,81.65,49.86,13.23,26.16,76.45,2.28,0.01,147.25,60.83,759.18,0.0,0.88,2.11,0.13,0.12,27.35,27-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
27-Dec-2019 - 00:00,3.51,18.12,12.49,14.41,0.68,29.28,73.82,42.35,13.76,26.73,75.7,1.63,0.01,145.06,58.22,758.04,0.0,0.73,2.5,0.21,0.14,27.59,28-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
28-Dec-2019 - 00:00,2.23,15.29,9.91,9.9,0.78,37.74,88.94,57.92,15.8,26.42,75.93,2.66,0.05,128.77,67.35,758.86,0.0,0.93,2.41,0.23,0.12,26.68,29-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
29-Dec-2019 - 00:00,1.52,12.66,7.97,19.1,0.76,59.74,110.39,73.86,16.6,25.27,73.17,3.07,0.09,79.76,55.02,759.81,0.0,1.04,2.28,0.13,0.15,25.91,30-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
30-Dec-2019 - 00:00,1.64,12.53,8.0,20.74,0.84,63.76,88.7,58.08,14.27,25.56,72.94,4.34,0.06,87.22,67.6,759.69,0.0,0.85,6.66,0.15,0.16,27.02,31-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
31-Dec-2019 - 00:00,1.4,9.9,6.35,14.1,0.53,59.8,57.0,35.0,12.15,24.15,79.0,4.05,0.0,98.0,15.0,761.0,0.0,0.5,1.2,0.1,,26.0,01-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
