from date,PM2.5,PM10,WD,WS,RH,SO2,NO2,NO,NOx,NH3,CO,Ozone,to date,station
25-Mar-2019 - 00:00,50.32,107.87,,,,7.1,9.24,8.85,10.18,19.02,1.1,58.07,26-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
26-Mar-2019 - 00:00,,,,,,,,,,,,,27-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
27-Mar-2019 - 00:00,,,,,,,,,,,,,28-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
28-Mar-2019 - 00:00,69.6,164.05,,,,7.08,20.02,8.53,28.56,40.93,2.33,47.59,29-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
29-Mar-2019 - 00:00,56.78,133.5,,,,7.73,18.29,2.12,20.14,24.11,1.69,53.25,30-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
30-Mar-2019 - 00:00,53.37,114.42,,,,6.3,9.22,0.24,9.26,23.62,1.21,56.53,31-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
31-Mar-2019 - 00:00,,,,,,,,,,,,,01-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
01-Apr-2019 - 00:00,41.6,99.92,,,,3.35,10.63,1.11,11.6,21.08,1.19,51.45,02-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
02-Apr-2019 - 00:00,70.28,164.24,,,,5.46,18.01,15.47,32.66,15.43,1.93,55.57,03-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
03-Apr-2019 - 00:00,51.85,136.25,,,,6.02,13.75,1.75,15.5,17.0,1.38,60.75,04-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
04-Apr-2019 - 00:00,40.47,100.69,,,,4.34,10.05,1.42,11.45,17.79,1.13,54.43,05-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
05-Apr-2019 - 00:00,32.36,63.58,,,,3.05,10.49,1.19,11.56,18.08,1.16,69.72,06-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
06-Apr-2019 - 00:00,35.84,77.81,,,,3.11,8.21,0.68,8.88,17.29,1.08,60.65,07-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
07-Apr-2019 - 00:00,42.74,106.91,,,,4.61,14.48,6.63,20.82,13.56,1.5,52.51,08-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
08-Apr-2019 - 00:00,50.84,138.04,,,,7.37,20.3,8.86,29.16,12.27,1.73,39.94,09-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
09-Apr-2019 - 00:00,38.43,102.31,,,,4.56,12.42,1.19,13.49,11.27,1.3,52.19,10-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
10-Apr-2019 - 00:00,34.29,98.54,,,,5.36,10.26,0.67,10.49,8.98,1.19,57.46,11-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
11-Apr-2019 - 00:00,35.83,90.62,,,,4.64,16.24,0.79,16.54,9.06,1.44,46.4,12-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
12-Apr-2019 - 00:00,37.24,100.23,,,,4.53,10.44,0.33,10.14,9.12,1.26,56.42,13-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
13-Apr-2019 - 00:00,28.35,74.02,,,,3.75,13.38,,13.07,8.91,1.3,62.88,14-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
14-Apr-2019 - 00:00,37.11,92.43,,,,4.75,16.84,,16.49,9.23,1.55,48.35,15-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
15-Apr-2019 - 00:00,40.85,113.34,,,,7.03,13.5,,13.14,7.75,1.43,50.3,16-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
16-Apr-2019 - 00:00,30.69,81.24,,,,3.99,6.53,,6.16,6.07,1.15,62.66,17-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
17-Apr-2019 - 00:00,,,,,,,,,,,,,18-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
18-Apr-2019 - 00:00,,,,,,,,,,,,,19-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
19-Apr-2019 - 00:00,30.95,88.36,,,,4.08,8.4,0.4,8.11,7.63,1.35,70.12,20-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
20-Apr-2019 - 00:00,27.87,77.06,,,,5.37,8.81,,8.44,7.71,1.22,55.72,21-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
21-Apr-2019 - 00:00,29.27,79.83,,,,5.01,6.42,,6.03,7.21,1.18,63.33,22-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
22-Apr-2019 - 00:00,36.03,108.27,,,,5.3,10.65,,10.28,6.62,1.38,62.78,23-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
23-Apr-2019 - 00:00,32.31,79.33,,,,5.05,10.27,,9.88,7.11,1.4,64.08,24-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
24-Apr-2019 - 00:00,33.87,94.65,,,,5.03,10.16,0.6,9.79,6.37,1.4,64.22,25-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
25-Apr-2019 - 00:00,39.83,102.01,,,,5.32,14.32,,13.95,7.04,1.55,56.85,26-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
26-Apr-2019 - 00:00,46.1,113.93,,,,6.23,12.24,,11.91,5.59,1.51,62.18,27-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
27-Apr-2019 - 00:00,52.06,150.61,,,,6.92,23.22,7.39,25.49,21.82,1.15,46.23,28-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
28-Apr-2019 - 00:00,50.15,116.34,,,,,22.92,1.49,24.41,2.79,0.22,44.88,29-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
29-Apr-2019 - 00:00,46.42,152.97,,,,1.76,19.32,1.46,20.78,4.93,0.24,40.26,30-Apr-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
30-Apr-2019 - 00:00,44.45,117.87,,,,1.58,10.5,1.24,11.71,11.36,0.21,41.38,01-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
01-May-2019 - 00:00,61.26,121.63,,,,1.52,8.04,1.53,9.57,4.26,0.13,36.72,02-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
02-May-2019 - 00:00,40.12,146.72,,,,1.63,6.76,1.12,7.89,1.29,0.09,42.06,03-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
03-May-2019 - 00:00,37.52,151.16,,,,1.47,5.82,0.95,6.77,5.14,0.07,43.83,04-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
04-May-2019 - 00:00,31.58,124.65,,,,3.01,6.71,1.45,8.17,11.17,0.27,34.35,05-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
05-May-2019 - 00:00,39.38,134.64,,,,6.99,8.7,2.03,10.73,8.85,0.17,28.46,06-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
06-May-2019 - 00:00,42.89,147.64,,,,8.25,16.32,9.49,25.8,7.84,0.68,31.44,07-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
07-May-2019 - 00:00,34.08,114.0,,,,7.67,11.17,1.25,12.41,6.2,0.06,28.9,08-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
08-May-2019 - 00:00,34.64,129.24,,,,7.59,16.31,2.11,18.42,11.62,0.14,46.93,09-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
09-May-2019 - 00:00,31.26,105.46,,,,6.99,14.45,2.04,16.48,9.32,0.06,38.13,10-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
10-May-2019 - 00:00,36.4,116.81,,,,8.27,21.9,3.52,25.43,9.43,0.27,36.95,11-May-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
