from date,NO,NO2,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,Temp,WD,WS,BP,SR,RF,to date,station
06-Mar-2019 - 00:00,4.96,32.18,21.14,29.13,16.55,0.56,41.83,74.44,127.32,0.56,0.6,18.17,27.6,60.56,3.01,740.84,93.19,0.0,07-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
07-Mar-2019 - 00:00,8.76,41.78,29.34,31.96,15.92,0.63,42.69,91.68,161.49,0.8,1.36,18.84,27.6,61.45,1.69,740.85,95.42,0.0,08-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
08-Mar-2019 - 00:00,2.3,34.98,20.47,35.45,17.98,0.64,24.13,89.83,165.02,0.81,0.54,19.87,27.97,53.8,2.03,741.0,80.04,0.0,09-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
09-Mar-2019 - 00:00,2.29,29.59,17.59,31.74,16.82,0.52,15.79,73.68,144.86,0.58,0.55,20.06,27.71,60.75,3.3,741.0,94.39,0.0,10-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
10-Mar-2019 - 00:00,5.38,33.33,21.88,31.61,15.29,0.57,23.58,68.36,131.26,0.59,0.49,20.14,28.83,67.84,2.15,741.0,99.4,0.0,11-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
11-Mar-2019 - 00:00,3.0,29.03,17.88,34.01,20.13,0.73,29.8,88.55,193.97,0.99,0.6,21.51,28.89,58.92,4.34,741.0,72.18,0.0,12-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
12-Mar-2019 - 00:00,2.39,22.73,14.03,28.63,23.58,0.5,23.44,60.73,127.72,0.65,0.48,21.63,29.66,61.62,2.97,741.05,80.5,0.0,13-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
13-Mar-2019 - 00:00,6.8,41.87,27.79,38.95,30.41,0.77,17.17,97.08,234.19,1.01,0.73,19.82,29.64,49.75,1.35,741.0,51.32,0.0,14-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
14-Mar-2019 - 00:00,11.82,32.19,26.73,37.32,22.73,0.72,14.46,101.53,193.52,1.03,0.65,17.04,29.68,51.4,2.73,741.09,51.62,0.0,15-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
15-Mar-2019 - 00:00,9.62,30.41,23.99,33.71,27.74,0.51,25.06,71.83,115.98,0.68,0.55,18.84,30.32,72.59,2.95,741.25,98.66,0.0,16-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
16-Mar-2019 - 00:00,2.36,24.52,14.96,32.99,22.94,0.53,30.12,67.57,113.71,0.53,0.43,20.07,29.88,68.78,3.46,741.03,96.9,0.0,17-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
17-Mar-2019 - 00:00,2.37,30.61,18.21,35.14,23.2,0.6,31.63,80.77,133.75,0.64,0.65,22.06,29.61,69.5,2.53,741.0,101.62,0.0,18-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
18-Mar-2019 - 00:00,7.31,38.58,24.8,40.4,23.43,0.55,24.59,78.1,147.54,0.75,0.6,21.77,29.58,67.5,2.01,741.0,96.59,0.0,19-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
19-Mar-2019 - 00:00,6.42,38.71,23.86,41.2,26.97,0.39,24.98,93.79,189.65,0.94,0.9,24.11,29.62,67.72,1.75,740.69,100.57,0.0,20-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
20-Mar-2019 - 00:00,2.63,37.61,21.08,41.4,39.44,0.51,31.23,113.17,253.82,1.79,1.14,27.07,29.73,59.16,2.88,740.55,80.01,0.0,21-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
21-Mar-2019 - 00:00,1.11,19.41,9.99,40.27,30.5,0.55,25.73,95.68,168.51,1.19,0.52,26.53,29.76,64.77,2.41,741.0,94.69,0.0,22-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
22-Mar-2019 - 00:00,1.03,18.75,9.72,33.11,23.22,0.09,31.4,43.76,131.14,0.49,0.43,23.8,29.67,72.35,4.26,741.0,108.86,0.0,23-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
23-Mar-2019 - 00:00,0.58,17.29,8.83,31.09,19.46,0.64,37.16,50.24,131.05,0.45,0.39,23.59,29.71,70.48,4.9,741.0,105.41,0.0,24-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
24-Mar-2019 - 00:00,0.58,19.96,10.2,30.75,23.57,0.97,23.9,48.92,111.95,0.48,0.45,24.73,29.71,68.54,3.84,741.0,101.57,0.0,25-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
25-Mar-2019 - 00:00,0.84,23.23,12.34,33.84,25.58,1.16,23.11,70.32,153.29,0.76,0.58,23.74,30.02,67.28,3.3,741.0,94.72,0.0,26-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
26-Mar-2019 - 00:00,2.02,24.76,14.41,38.74,20.24,0.93,40.9,76.68,147.54,0.74,0.51,24.04,30.38,73.31,3.58,741.0,106.0,0.0,27-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
27-Mar-2019 - 00:00,1.53,22.28,13.09,38.25,25.1,0.89,29.22,86.39,169.75,0.85,0.83,25.42,30.49,67.06,2.48,741.0,93.74,0.0,28-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
28-Mar-2019 - 00:00,8.39,34.0,24.91,42.96,25.15,1.33,70.51,117.08,216.17,1.16,1.7,28.36,30.21,69.88,1.23,741.0,99.7,0.0,29-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
29-Mar-2019 - 00:00,5.12,32.63,21.52,46.67,29.63,1.42,80.5,106.87,229.21,1.11,2.34,32.91,30.05,74.6,1.43,740.59,112.64,0.0,30-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
30-Mar-2019 - 00:00,4.36,30.23,19.63,47.99,31.79,1.41,104.46,115.75,254.72,1.23,2.04,32.8,30.49,68.78,1.32,740.46,97.23,0.0,31-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
31-Mar-2019 - 00:00,0.98,18.73,10.74,37.0,19.07,1.06,70.81,60.41,170.29,0.56,0.58,29.76,30.26,75.78,3.79,740.41,111.74,0.0,01-Apr-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
01-Apr-2019 - 00:00,0.81,19.48,11.02,34.35,15.68,1.01,86.25,50.08,161.18,0.52,0.6,27.62,31.05,79.15,4.18,740.67,112.58,0.0,02-Apr-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
02-Apr-2019 - 00:00,2.58,32.56,19.36,41.79,29.45,1.29,92.54,91.04,205.47,0.97,1.44,28.9,32.0,80.55,1.43,740.71,108.09,0.0,03-Apr-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
03-Apr-2019 - 00:00,6.61,35.82,24.3,44.33,30.25,1.38,86.61,108.19,220.39,1.11,1.02,30.0,32.09,81.45,1.95,740.6,108.34,0.0,04-Apr-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
04-Apr-2019 - 00:00,10.44,36.12,27.7,50.34,31.14,1.65,96.17,134.54,283.54,1.78,1.03,32.34,31.89,73.0,1.13,740.62,96.34,0.0,05-Apr-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
05-Apr-2019 - 00:00,14.87,35.38,30.91,54.66,32.15,1.63,63.97,118.78,273.03,1.67,1.23,33.91,32.33,75.52,1.31,740.52,98.82,0.0,06-Apr-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
