from date,PM2.5,PM10,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,WS,WD,AT,RH,BP,SR,RF,to date,station
22-May-2019 - 00:00,76.38,284.71,63.39,111.54,52.88,25.44,1.34,42.94,3.01,41.24,0.37,211.78,33.88,37.53,741.0,80.51,,23-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
23-May-2019 - 00:00,100.34,279.94,51.61,111.15,68.42,41.58,1.64,61.59,3.04,42.34,0.45,202.6,33.56,40.67,741.0,110.27,,24-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
24-May-2019 - 00:00,61.79,155.67,14.66,61.06,78.39,30.63,1.0,28.95,2.0,36.03,0.6,232.55,29.52,57.86,741.0,117.33,,25-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
25-May-2019 - 00:00,46.09,149.92,2.82,40.22,41.35,33.26,0.63,69.13,1.41,32.94,0.62,261.4,32.27,41.22,741.0,141.46,,26-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
26-May-2019 - 00:00,64.93,175.79,5.15,46.62,36.44,47.6,0.84,91.92,1.47,32.09,0.52,246.57,33.47,32.22,741.0,142.06,,27-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
27-May-2019 - 00:00,78.56,221.2,11.64,69.08,37.33,61.83,1.05,97.96,1.97,31.9,0.47,220.05,35.59,25.86,741.0,138.41,,28-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
28-May-2019 - 00:00,60.61,194.16,10.35,71.78,33.83,34.72,1.05,91.58,2.19,35.72,0.48,230.61,36.32,18.92,740.99,143.65,,29-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
29-May-2019 - 00:00,82.41,242.92,35.66,93.41,38.99,53.75,1.59,98.32,2.49,40.26,0.42,206.41,37.04,22.26,740.51,137.57,,30-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
30-May-2019 - 00:00,89.29,300.15,100.12,154.84,55.64,34.66,2.09,70.06,3.66,44.16,0.43,216.04,38.35,23.4,740.34,133.91,,31-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
31-May-2019 - 00:00,86.91,412.18,35.23,94.36,47.7,32.92,1.72,69.08,2.42,40.33,0.48,197.82,38.14,24.09,740.38,133.54,,01-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
01-Jun-2019 - 00:00,111.37,353.85,16.25,65.89,90.01,44.26,1.55,67.73,2.69,32.98,0.51,118.24,35.28,41.92,740.55,176.21,,02-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
02-Jun-2019 - 00:00,71.73,260.31,1.51,29.58,64.42,33.16,1.2,68.4,1.43,26.7,0.55,95.0,37.29,45.83,740.2,71.28,,03-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
03-Jun-2019 - 00:00,55.44,371.45,1.23,23.81,44.5,22.15,0.87,60.99,0.96,24.09,0.66,98.25,34.27,47.29,740.51,120.21,,04-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
04-Jun-2019 - 00:00,51.62,201.58,1.26,28.01,39.47,29.29,1.02,70.04,1.14,24.51,0.59,106.96,34.59,46.19,740.68,124.35,,05-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
05-Jun-2019 - 00:00,68.91,232.52,5.06,42.39,42.09,28.63,1.54,70.79,1.96,26.94,0.48,121.58,36.64,40.72,740.44,123.58,,06-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
06-Jun-2019 - 00:00,65.77,249.87,7.2,43.6,47.46,39.28,1.09,70.68,1.7,24.46,0.51,155.88,36.62,36.6,740.72,113.75,,07-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
07-Jun-2019 - 00:00,48.71,157.36,1.37,27.36,41.44,24.49,1.09,85.91,1.11,21.71,0.53,130.42,33.45,47.31,741.0,130.8,,08-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
08-Jun-2019 - 00:00,70.94,217.51,30.08,71.16,50.05,27.31,2.27,100.22,1.95,24.01,0.42,180.47,36.69,40.69,740.85,131.27,,09-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
09-Jun-2019 - 00:00,110.92,329.3,60.0,118.08,56.69,37.16,3.1,71.74,3.47,30.15,0.43,160.49,37.4,33.62,740.38,125.3,,10-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
10-Jun-2019 - 00:00,84.33,305.16,82.46,137.11,68.95,41.7,2.46,65.18,3.19,26.2,0.41,215.44,38.93,29.53,740.16,131.32,,11-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
11-Jun-2019 - 00:00,103.89,445.99,33.57,88.23,46.75,33.06,1.62,38.61,2.33,27.77,0.48,203.62,39.05,23.73,740.04,113.28,,12-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
12-Jun-2019 - 00:00,44.16,247.47,1.53,23.61,47.88,23.52,0.86,59.7,0.83,19.52,0.73,117.79,34.96,39.85,740.4,126.43,,13-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
13-Jun-2019 - 00:00,45.48,196.39,1.38,28.79,37.41,28.71,0.98,70.07,1.08,20.59,0.48,188.04,35.95,38.98,740.38,128.76,,14-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
14-Jun-2019 - 00:00,45.05,200.56,4.84,50.68,27.11,25.91,1.11,64.51,1.14,21.54,0.5,232.0,37.62,27.08,740.27,135.07,,15-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
15-Jun-2019 - 00:00,63.75,276.04,9.13,59.91,27.28,40.88,1.05,66.18,1.64,27.85,0.51,229.31,38.17,21.73,740.24,134.76,,16-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
16-Jun-2019 - 00:00,35.21,176.82,2.49,27.8,38.34,20.33,0.67,36.25,0.56,20.11,0.62,235.08,32.86,46.21,740.4,71.97,,17-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
17-Jun-2019 - 00:00,32.2,160.11,5.27,38.3,33.24,17.68,0.73,32.69,0.84,19.56,0.56,222.52,31.76,46.07,740.44,77.89,,18-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
18-Jun-2019 - 00:00,29.97,104.78,8.2,55.77,56.95,18.47,1.23,33.79,1.19,25.04,0.5,211.87,27.76,63.18,740.45,39.13,,19-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
19-Jun-2019 - 00:00,86.49,252.57,3.05,34.44,60.67,42.3,1.01,68.89,1.59,20.47,0.5,176.68,30.82,55.69,740.51,125.08,,20-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
20-Jun-2019 - 00:00,42.83,143.42,1.94,28.91,41.39,19.64,0.87,73.09,0.91,19.38,0.47,152.81,32.05,52.34,740.9,133.99,,21-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
21-Jun-2019 - 00:00,65.79,186.81,3.22,41.79,48.81,27.25,1.26,67.84,1.41,22.13,0.44,161.25,34.42,48.43,740.9,121.53,,22-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
22-Jun-2019 - 00:00,75.82,202.73,1.76,38.86,40.1,49.38,0.99,87.79,1.36,21.59,0.53,191.15,35.38,39.4,740.82,134.56,,23-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
23-Jun-2019 - 00:00,31.12,127.03,1.76,21.96,47.92,21.28,0.76,45.94,0.7,17.51,0.61,106.15,33.5,55.41,740.88,131.49,,24-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
24-Jun-2019 - 00:00,18.22,79.48,2.08,23.83,37.29,27.88,0.75,27.82,0.58,18.09,0.61,91.82,30.61,66.21,741.0,83.66,,25-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
25-Jun-2019 - 00:00,43.58,121.69,1.72,27.44,34.74,28.88,1.03,59.18,1.03,19.51,0.45,118.91,33.12,58.05,740.98,104.35,,26-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
26-Jun-2019 - 00:00,67.36,176.08,2.72,38.29,42.11,32.78,1.17,65.71,1.33,19.88,0.47,211.27,35.98,49.22,740.49,115.17,,27-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
27-Jun-2019 - 00:00,67.61,261.86,6.17,47.95,41.09,49.92,1.17,67.03,1.31,23.41,0.49,248.35,35.46,43.42,740.03,112.85,,28-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
28-Jun-2019 - 00:00,54.23,238.73,6.93,46.6,33.77,31.49,0.97,41.31,1.32,20.37,0.51,252.06,36.23,38.8,740.01,126.25,,29-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
29-Jun-2019 - 00:00,53.7,293.69,8.18,43.01,28.1,29.48,0.99,38.42,1.02,19.0,0.48,225.94,37.79,34.59,740.0,131.66,,30-Jun-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
30-Jun-2019 - 00:00,61.64,289.84,8.5,40.32,35.24,35.06,0.99,48.06,1.24,19.29,0.54,217.86,37.73,36.85,740.0,123.31,,01-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
01-Jul-2019 - 00:00,64.22,221.23,3.99,35.21,43.83,37.42,1.07,57.15,1.28,17.84,0.49,146.05,36.03,45.52,740.17,123.16,,02-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
02-Jul-2019 - 00:00,65.28,283.61,1.68,28.09,47.76,33.64,0.92,58.87,0.97,17.53,0.54,213.55,34.63,48.84,740.36,144.16,,03-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
03-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,04-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
04-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,05-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
05-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,06-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
06-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,07-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
07-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,08-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
08-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,09-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
09-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,10-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
10-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,11-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
11-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,12-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
12-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,13-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
13-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,14-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
14-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,15-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
15-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,16-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
16-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,17-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
17-Jul-2019 - 00:00,54.3,143.2,3.23,106.0,68.13,18.37,1.17,21.28,1.44,24.89,0.4,149.11,29.11,77.71,740.68,27.82,,18-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
18-Jul-2019 - 00:00,35.72,91.72,10.95,77.48,33.74,16.84,1.37,28.84,1.07,16.28,0.38,182.81,27.78,81.28,740.74,70.36,,19-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
19-Jul-2019 - 00:00,65.47,176.52,8.67,71.64,43.27,19.45,1.49,59.76,1.27,20.61,0.43,147.58,31.31,69.45,740.84,120.66,,20-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
20-Jul-2019 - 00:00,44.45,113.17,11.46,75.17,54.41,15.44,1.54,27.95,1.24,20.01,0.42,159.42,30.53,77.27,740.97,72.97,,21-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
21-Jul-2019 - 00:00,49.3,116.25,17.89,73.91,63.73,12.77,1.52,36.01,1.24,16.6,0.41,146.18,30.48,78.93,740.83,117.17,,22-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
22-Jul-2019 - 00:00,64.11,150.29,22.38,83.31,60.77,13.52,1.85,31.96,1.5,18.24,0.41,135.93,31.05,78.33,740.6,104.66,,23-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
23-Jul-2019 - 00:00,74.51,205.21,12.87,88.6,66.22,14.91,1.99,55.51,1.74,19.98,0.39,158.6,33.09,71.03,740.25,102.25,,24-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
24-Jul-2019 - 00:00,65.88,182.74,8.28,75.88,65.93,13.93,1.58,40.03,1.37,19.26,0.45,173.01,31.91,72.36,740.0,84.47,,25-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
25-Jul-2019 - 00:00,21.6,63.73,3.88,47.54,46.75,10.58,1.02,18.54,0.74,14.02,0.44,166.94,28.43,82.42,740.21,44.45,,26-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
26-Jul-2019 - 00:00,22.74,49.15,3.64,37.12,35.33,10.23,1.01,21.85,0.61,12.67,0.53,123.06,27.82,87.05,740.0,63.83,,27-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
27-Jul-2019 - 00:00,24.19,48.33,9.45,43.46,30.11,11.53,1.14,15.2,0.78,13.15,0.51,110.18,27.76,89.54,740.0,52.4,,28-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
28-Jul-2019 - 00:00,15.58,50.98,2.87,30.86,33.1,13.89,0.87,18.61,0.51,11.04,0.59,89.44,29.86,78.52,740.38,94.61,,29-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
29-Jul-2019 - 00:00,21.08,67.54,2.68,34.12,38.82,18.42,0.87,18.44,0.51,10.92,0.57,88.31,31.15,71.93,740.76,88.62,,30-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
30-Jul-2019 - 00:00,26.39,79.59,3.89,41.31,40.77,20.72,1.06,16.45,0.71,12.24,0.55,91.41,30.62,74.29,740.64,72.46,,31-Jul-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
31-Jul-2019 - 00:00,29.38,85.68,3.31,38.07,40.2,21.81,0.96,23.31,0.61,12.28,0.55,84.33,31.04,71.6,740.39,82.3,,01-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
01-Aug-2019 - 00:00,27.95,75.23,2.92,36.44,41.81,18.78,0.87,26.49,0.6,14.34,0.5,101.99,31.57,70.16,740.28,103.68,,02-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
02-Aug-2019 - 00:00,32.17,81.06,5.2,43.11,41.33,21.54,1.07,20.66,0.8,14.31,0.48,137.25,30.26,78.58,740.04,71.48,,03-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
03-Aug-2019 - 00:00,35.44,79.95,5.39,39.81,41.52,20.04,1.0,12.38,0.84,15.4,0.5,103.19,28.92,84.84,740.05,71.35,,04-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
04-Aug-2019 - 00:00,33.44,123.89,11.34,76.28,57.76,15.58,1.49,2.0,1.34,16.94,0.37,127.28,30.06,82.17,740.0,16.0,,05-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
05-Aug-2019 - 00:00,45.61,93.52,7.34,55.46,42.46,17.29,1.37,22.3,1.21,15.83,0.4,153.91,30.75,81.42,740.0,74.43,,06-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
06-Aug-2019 - 00:00,32.26,60.69,5.76,53.86,64.9,14.57,1.43,13.01,0.92,15.61,0.41,141.53,28.3,89.73,740.0,28.95,,07-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
07-Aug-2019 - 00:00,27.31,78.07,13.36,55.21,29.94,24.94,1.24,10.14,1.18,16.09,0.46,119.56,29.94,79.07,740.0,93.21,,08-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
08-Aug-2019 - 00:00,22.85,76.44,6.22,40.09,29.97,16.08,0.96,16.78,0.77,15.79,0.47,100.77,32.22,69.91,740.0,106.96,,09-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
09-Aug-2019 - 00:00,10.25,58.97,3.6,29.72,28.04,15.44,0.71,18.49,0.42,12.56,1.12,84.04,31.11,68.47,740.12,89.19,11.42,10-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
10-Aug-2019 - 00:00,13.46,43.2,1.9,28.89,25.16,20.83,0.77,18.71,0.47,13.24,1.06,103.88,30.1,76.84,740.2,70.18,3.0,11-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
11-Aug-2019 - 00:00,22.17,76.68,2.12,32.89,33.45,15.26,0.81,22.51,0.51,12.14,0.73,144.31,31.91,70.18,740.44,104.79,,12-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
12-Aug-2019 - 00:00,20.67,82.93,5.24,44.76,32.15,15.93,1.1,27.73,0.81,13.29,0.51,211.67,31.47,72.93,740.34,72.02,,13-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
13-Aug-2019 - 00:00,15.33,55.26,4.65,37.62,31.09,14.44,0.84,12.12,0.44,12.45,0.78,241.66,30.9,74.71,740.43,90.14,27.0,14-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
14-Aug-2019 - 00:00,45.27,89.35,16.84,71.58,44.62,16.57,2.08,53.54,1.42,17.31,0.55,183.06,31.42,77.89,740.84,134.9,5.0,15-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
15-Aug-2019 - 00:00,23.51,54.54,4.91,35.59,28.41,27.18,0.88,19.42,0.69,12.09,0.97,124.05,30.69,76.71,740.89,93.54,10.75,16-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
16-Aug-2019 - 00:00,12.66,41.93,3.78,27.23,19.91,16.71,0.78,17.75,0.36,11.24,1.12,87.34,29.34,77.99,740.38,76.03,,17-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
17-Aug-2019 - 00:00,5.87,16.57,2.96,23.64,19.3,14.58,0.69,9.48,0.32,12.46,1.05,120.35,27.09,90.46,740.01,43.06,2.2,18-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
18-Aug-2019 - 00:00,15.04,40.07,9.21,40.81,17.55,15.33,1.17,18.14,0.72,13.03,0.61,207.16,27.15,89.07,740.77,49.98,8.2,19-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
19-Aug-2019 - 00:00,42.3,98.59,14.31,53.66,30.45,14.98,1.45,47.02,1.05,17.39,0.59,210.19,30.02,77.71,741.0,99.35,,20-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
20-Aug-2019 - 00:00,40.78,107.45,9.98,48.75,36.69,16.87,1.21,31.58,1.04,17.61,0.75,236.76,30.84,73.48,741.0,96.29,,21-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
21-Aug-2019 - 00:00,46.59,139.79,5.93,45.6,37.7,17.54,1.17,37.03,0.97,15.35,0.75,251.88,31.71,69.7,741.0,104.15,,22-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
22-Aug-2019 - 00:00,52.04,145.01,17.16,61.75,38.6,25.92,1.56,23.42,1.41,18.18,0.61,205.6,30.16,71.96,741.0,78.56,3.0,23-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
23-Aug-2019 - 00:00,60.55,144.91,41.87,88.73,53.69,17.29,2.61,24.61,1.93,21.01,0.43,202.03,30.46,75.33,741.0,81.92,2.83,24-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
24-Aug-2019 - 00:00,78.3,173.26,81.56,127.02,84.54,20.44,2.82,15.47,2.97,32.12,0.39,201.9,29.99,81.7,741.0,55.96,17.12,25-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
25-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,26-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
26-Aug-2019 - 00:00,25.09,82.72,5.82,36.75,47.63,21.17,0.98,16.36,0.67,16.87,0.74,102.05,32.22,66.89,741.0,127.86,,27-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
27-Aug-2019 - 00:00,40.49,118.81,12.02,45.4,34.33,18.23,1.27,20.91,0.94,16.5,0.57,120.42,32.19,68.77,741.0,99.38,,28-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
28-Aug-2019 - 00:00,37.1,103.18,3.95,34.25,36.66,21.78,1.01,25.34,0.73,14.72,0.65,107.26,33.16,65.82,741.0,111.27,,29-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
29-Aug-2019 - 00:00,31.91,84.12,2.73,29.0,32.86,18.03,0.92,30.29,0.54,14.4,0.77,125.59,32.49,68.64,741.0,107.38,,30-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
30-Aug-2019 - 00:00,39.38,103.49,3.3,33.36,32.16,18.83,1.15,33.65,0.68,12.76,0.58,138.21,32.04,70.28,740.81,87.32,,31-Aug-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
31-Aug-2019 - 00:00,52.42,119.02,3.4,44.35,37.44,19.15,1.5,46.58,1.09,15.39,0.6,188.5,32.61,69.31,740.5,83.2,,01-Sep-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
01-Sep-2019 - 00:00,23.91,60.88,4.69,51.43,47.28,16.77,1.15,23.42,0.67,14.0,0.8,134.49,30.14,77.86,740.84,45.58,10.5,02-Sep-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
02-Sep-2019 - 00:00,44.08,91.52,3.64,52.22,40.55,27.59,1.23,48.13,0.71,13.26,0.62,169.5,31.49,72.91,740.93,94.7,,03-Sep-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
03-Sep-2019 - 00:00,53.27,108.47,4.0,44.8,28.7,40.86,1.33,41.66,0.83,13.83,0.59,207.51,32.35,70.55,740.81,85.96,,04-Sep-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
04-Sep-2019 - 00:00,61.88,124.36,3.13,40.3,35.17,23.77,1.23,38.73,1.82,21.33,0.73,131.28,31.25,76.84,740.71,70.01,,05-Sep-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
05-Sep-2019 - 00:00,30.22,78.7,4.15,29.33,24.4,25.36,0.74,26.73,2.57,45.89,0.78,100.14,31.03,76.16,740.71,90.31,,06-Sep-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
06-Sep-2019 - 00:00,32.54,80.29,3.48,28.89,24.62,17.96,0.79,22.04,3.22,46.07,0.75,119.67,31.65,74.01,740.51,87.34,,07-Sep-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
07-Sep-2019 - 00:00,30.21,76.99,3.79,30.63,25.16,10.02,0.79,22.32,3.38,49.86,1.23,128.95,30.69,77.3,740.44,81.99,,08-Sep-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
08-Sep-2019 - 00:00,28.26,66.48,4.13,28.64,22.83,28.92,0.78,28.92,2.64,40.67,1.71,170.25,31.41,72.98,740.92,89.69,,09-Sep-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
09-Sep-2019 - 00:00,55.81,124.49,4.49,29.93,22.81,44.83,0.88,48.0,3.66,41.48,1.69,234.08,32.57,68.02,740.76,87.76,,10-Sep-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
10-Sep-2019 - 00:00,65.66,139.79,3.16,30.22,21.56,54.23,0.97,58.87,4.23,45.69,1.17,224.27,32.9,64.38,740.64,88.6,,11-Sep-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
11-Sep-2019 - 00:00,70.46,155.85,3.18,33.6,27.85,22.94,1.03,60.72,4.25,55.72,1.13,145.7,33.78,63.2,741.0,88.02,,12-Sep-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
12-Sep-2019 - 00:00,43.3,97.84,2.48,24.13,27.05,17.49,0.78,38.18,3.05,43.39,2.12,129.48,32.2,71.38,741.0,86.76,,13-Sep-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
13-Sep-2019 - 00:00,29.07,74.53,2.89,21.14,21.99,12.04,0.69,29.48,2.31,44.43,1.91,110.62,31.7,71.22,741.0,89.41,,14-Sep-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
14-Sep-2019 - 00:00,25.15,64.96,2.38,18.61,18.08,13.85,0.7,29.58,2.09,40.72,2.44,97.29,30.71,73.78,741.0,80.41,,15-Sep-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
15-Sep-2019 - 00:00,35.23,73.44,3.52,21.83,17.24,17.41,0.75,26.59,2.56,44.15,1.74,120.61,30.17,76.45,741.0,64.2,,16-Sep-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
16-Sep-2019 - 00:00,61.15,129.83,4.55,30.56,23.09,17.9,0.99,52.01,4.34,48.49,1.42,187.18,31.79,69.9,741.0,73.08,,17-Sep-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
17-Sep-2019 - 00:00,66.38,137.33,3.28,27.92,25.94,20.74,0.93,65.28,4.06,45.6,1.59,193.33,32.21,65.49,741.0,80.79,,18-Sep-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
18-Sep-2019 - 00:00,30.31,81.62,3.02,19.56,24.52,18.83,0.62,44.01,2.19,38.89,2.22,108.45,29.94,66.22,741.54,97.05,29.0,19-Sep-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
19-Sep-2019 - 00:00,17.51,51.27,2.71,11.32,19.71,11.08,0.55,32.56,1.6,33.67,2.46,102.99,28.43,73.2,742.12,69.97,,20-Sep-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
20-Sep-2019 - 00:00,38.03,97.75,4.7,15.34,22.09,14.91,0.7,30.78,2.8,41.12,1.44,124.25,29.73,68.99,742.17,75.95,,21-Sep-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
21-Sep-2019 - 00:00,33.57,76.59,7.45,19.5,23.11,12.89,0.77,34.02,2.99,45.85,1.34,182.94,29.39,73.32,741.93,71.28,3.67,22-Sep-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
22-Sep-2019 - 00:00,24.89,56.06,5.12,19.6,21.91,14.0,0.65,15.51,2.98,47.03,1.82,120.89,26.66,79.29,741.78,48.99,,23-Sep-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
