from date,AT,BP,PM2.5,PM10,RH,SR,WD,WS,VWS,Benzene,Toluene,NH3,NO2,NOx,NO,CO,Ozone,SO2,to date,station
31-Aug-2019 - 00:00,31.93,977.16,59.12,148.69,76.49,142.27,159.12,0.69,,0.39,29.8,28.61,38.64,24.93,5.35,2.03,24.58,6.62,01-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
01-Sep-2019 - 00:00,29.71,979.41,33.67,92.15,80.58,149.59,111.49,1.27,,0.35,27.02,32.01,33.86,24.03,7.36,1.62,35.78,4.87,02-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
02-Sep-2019 - 00:00,31.79,979.51,47.71,127.06,75.11,199.79,132.71,0.93,,0.42,96.2,32.03,24.89,19.39,7.58,1.87,35.24,8.57,03-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
03-Sep-2019 - 00:00,31.87,978.31,67.88,157.4,77.62,130.22,172.41,0.59,,0.35,58.61,27.91,34.56,27.26,10.89,1.91,23.06,6.91,04-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
04-Sep-2019 - 00:00,31.07,978.06,58.19,125.48,83.04,164.99,132.44,1.16,,0.33,35.64,29.14,26.78,19.42,6.33,1.91,17.77,4.46,05-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
05-Sep-2019 - 00:00,31.07,978.19,37.58,104.54,80.67,180.14,107.44,1.33,,0.36,42.12,25.45,24.54,17.41,5.34,1.67,13.33,4.25,06-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
06-Sep-2019 - 00:00,31.7,977.22,34.99,100.3,75.54,189.59,136.14,1.15,,0.48,24.97,27.43,33.55,23.8,7.29,1.63,18.14,5.67,07-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
07-Sep-2019 - 00:00,30.89,977.83,38.53,114.49,78.71,145.94,122.81,1.16,,0.48,26.2,31.31,37.44,27.14,8.9,1.97,27.9,6.51,08-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
08-Sep-2019 - 00:00,31.48,979.47,38.54,117.3,75.19,172.3,69.89,1.03,,0.39,82.46,30.94,21.86,14.08,3.0,1.56,21.03,5.66,09-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
09-Sep-2019 - 00:00,32.72,977.97,50.83,162.78,69.55,196.89,226.19,0.86,,0.76,124.0,36.52,28.33,24.17,11.17,1.56,22.09,6.04,10-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
10-Sep-2019 - 00:00,32.49,977.58,66.8,186.89,68.84,158.24,112.81,0.82,,1.53,149.71,43.08,34.21,32.01,16.94,1.4,34.94,7.84,11-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
11-Sep-2019 - 00:00,33.41,978.85,92.51,249.22,65.88,166.31,107.14,0.85,,1.68,149.11,41.96,38.93,29.39,10.64,1.79,67.08,9.45,12-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
12-Sep-2019 - 00:00,32.2,980.25,57.83,155.88,74.7,156.88,120.09,1.35,,0.75,27.06,36.11,34.47,26.44,9.94,1.88,34.46,7.06,13-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
13-Sep-2019 - 00:00,31.87,981.28,35.26,100.67,73.13,171.76,105.93,1.27,,1.04,40.91,35.65,27.27,19.63,6.31,2.14,34.71,9.11,14-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
14-Sep-2019 - 00:00,31.09,982.05,25.39,77.0,74.24,168.49,101.61,1.48,,0.68,42.83,28.29,20.33,14.64,4.68,1.52,25.33,8.95,15-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
15-Sep-2019 - 00:00,30.18,982.15,24.25,67.99,79.82,155.36,97.98,1.19,,0.66,28.4,25.63,20.77,14.0,3.63,1.84,23.25,5.73,16-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
16-Sep-2019 - 00:00,31.54,980.52,54.71,159.1,72.09,162.15,200.46,0.85,,1.35,115.45,28.08,30.01,23.79,9.69,2.14,39.23,8.11,17-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
17-Sep-2019 - 00:00,32.2,981.39,53.94,164.45,63.64,184.86,175.01,0.79,,1.91,77.04,34.12,36.55,23.56,5.06,1.66,51.09,8.76,18-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
18-Sep-2019 - 00:00,30.3,985.4,32.95,105.52,66.07,189.92,117.62,1.51,,1.18,29.78,26.56,28.69,19.53,5.23,0.77,44.05,14.3,19-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
19-Sep-2019 - 00:00,28.4,987.65,21.81,72.3,75.14,131.14,108.51,1.66,,1.26,36.15,25.28,23.31,15.97,4.37,0.94,27.64,30.95,20-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
20-Sep-2019 - 00:00,29.5,985.87,48.83,141.52,71.35,159.15,101.26,1.11,,2.35,74.72,26.37,33.65,28.58,13.07,1.14,43.56,34.61,21-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
21-Sep-2019 - 00:00,29.35,984.59,47.8,123.23,75.81,149.44,144.29,0.75,,2.0,95.47,25.82,35.31,32.51,16.84,0.77,43.95,31.09,22-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
22-Sep-2019 - 00:00,26.11,986.82,25.0,73.6,86.64,112.1,108.36,1.36,,2.08,36.91,,28.79,28.96,16.76,0.77,22.23,30.27,23-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
23-Sep-2019 - 00:00,27.79,988.09,34.36,82.65,77.51,148.95,108.22,1.08,0.3,1.87,45.58,,29.39,23.47,9.61,1.23,8.85,26.54,24-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
24-Sep-2019 - 00:00,28.62,988.27,35.79,108.61,73.61,153.91,137.29,0.82,0.53,2.69,43.68,12.05,43.58,40.69,21.53,1.45,6.42,2.87,25-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
25-Sep-2019 - 00:00,29.12,989.54,33.27,105.43,72.73,189.89,100.56,1.27,,2.52,51.13,10.08,33.96,25.57,9.13,1.08,5.92,5.03,26-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
26-Sep-2019 - 00:00,28.92,989.83,26.48,87.02,74.43,148.12,105.52,1.5,,2.04,41.43,10.58,25.71,18.39,5.78,0.78,4.71,5.28,27-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
27-Sep-2019 - 00:00,27.86,988.72,15.94,69.74,77.67,133.15,98.7,1.49,,1.48,61.65,9.75,20.96,14.92,4.64,0.64,4.57,4.48,28-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
28-Sep-2019 - 00:00,27.2,986.99,23.17,81.92,80.54,139.63,89.51,1.46,,2.46,72.1,9.92,21.36,15.8,5.44,0.59,3.76,6.35,29-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
29-Sep-2019 - 00:00,26.65,987.56,19.48,57.8,82.68,109.37,101.06,1.41,,1.25,27.49,10.0,19.88,13.94,4.13,0.6,4.13,5.59,30-Sep-2019 - 00:00,"Narela, Delhi - DPCC"
30-Sep-2019 - 00:00,26.92,986.4,34.33,93.02,81.2,93.01,121.38,1.09,,2.27,45.54,9.86,32.08,24.69,9.38,0.86,5.37,5.7,01-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
01-Oct-2019 - 00:00,27.68,985.78,46.79,131.29,78.94,127.24,108.96,1.1,,3.09,85.29,9.58,34.99,30.72,14.95,0.91,6.49,8.02,02-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
02-Oct-2019 - 00:00,28.05,986.98,45.83,131.02,73.18,145.28,95.8,0.73,,3.03,49.16,11.28,34.04,43.7,30.45,0.93,7.46,9.18,03-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
03-Oct-2019 - 00:00,28.91,986.97,55.44,154.08,66.84,166.22,161.77,0.86,,3.06,109.84,15.72,32.85,28.94,14.06,0.8,8.4,11.75,04-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
04-Oct-2019 - 00:00,25.88,987.88,43.46,112.67,79.09,174.52,266.39,1.2,,1.81,132.65,16.14,28.0,17.69,3.44,0.6,5.74,7.99,05-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
05-Oct-2019 - 00:00,25.97,987.75,36.33,104.0,70.12,197.33,316.68,1.13,,1.55,63.08,14.87,28.2,17.83,3.44,0.59,5.57,6.01,06-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
06-Oct-2019 - 00:00,26.58,988.33,54.58,144.46,68.93,182.78,316.3,1.12,,2.04,72.16,16.31,24.6,14.19,1.35,0.67,5.74,6.98,07-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
07-Oct-2019 - 00:00,26.14,989.39,50.52,138.15,71.05,152.23,317.55,1.28,,1.92,59.75,16.75,22.78,13.61,1.84,0.66,5.38,6.62,08-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
08-Oct-2019 - 00:00,25.89,988.84,44.21,120.35,66.23,193.0,275.72,0.96,,1.76,44.76,16.34,23.86,18.83,7.58,0.72,5.54,7.86,09-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
09-Oct-2019 - 00:00,26.89,988.9,91.27,251.31,60.07,165.31,102.36,0.78,,3.23,122.57,18.09,44.67,55.12,38.43,1.06,7.16,16.29,10-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
10-Oct-2019 - 00:00,26.56,988.32,122.44,310.46,62.73,130.95,164.21,0.8,,4.75,151.27,25.9,45.84,38.36,17.17,1.06,6.55,16.0,11-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
11-Oct-2019 - 00:00,26.33,987.83,88.0,207.33,65.78,170.28,292.91,0.62,,2.98,47.21,28.86,34.92,21.56,3.67,0.85,5.28,10.34,12-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
12-Oct-2019 - 00:00,27.12,988.67,95.19,234.46,64.87,162.04,253.22,0.72,,3.06,104.45,24.95,42.02,30.18,9.59,0.98,5.46,9.38,13-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
13-Oct-2019 - 00:00,27.26,989.07,152.94,332.17,61.47,150.38,262.58,0.8,,4.57,112.7,27.74,46.2,30.8,7.6,1.18,4.64,11.98,14-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
14-Oct-2019 - 00:00,26.59,989.88,127.46,281.54,66.89,154.83,263.29,0.61,,4.04,123.05,26.14,49.78,66.56,49.21,1.38,12.34,9.13,15-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
15-Oct-2019 - 00:00,27.56,990.59,152.94,348.27,62.34,147.16,171.91,0.67,,5.82,140.7,28.96,60.89,63.53,38.22,1.43,60.4,12.92,16-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
16-Oct-2019 - 00:00,27.52,990.97,169.1,338.29,67.2,125.41,108.61,0.84,,5.77,122.12,35.4,50.53,56.96,36.86,1.53,72.93,10.1,17-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
17-Oct-2019 - 00:00,27.52,990.68,146.29,303.79,63.72,128.09,97.71,1.22,,5.15,92.31,33.69,36.13,22.12,3.56,1.13,55.45,12.56,18-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
18-Oct-2019 - 00:00,26.18,990.91,105.9,247.35,66.98,126.69,122.16,1.41,,3.88,86.21,30.26,37.68,25.45,6.59,0.98,60.8,9.87,19-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
19-Oct-2019 - 00:00,25.67,992.09,83.73,181.75,67.73,150.1,229.25,0.67,,2.66,81.69,29.89,38.69,28.99,10.38,0.91,54.54,8.51,20-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
20-Oct-2019 - 00:00,24.93,991.63,95.15,188.12,62.58,170.24,311.5,0.97,,2.51,62.51,28.61,29.38,17.93,2.8,0.81,50.04,6.79,21-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
21-Oct-2019 - 00:00,23.57,989.9,110.38,213.51,64.46,168.66,295.79,0.84,,3.39,26.39,18.58,42.49,31.81,11.39,1.33,32.92,7.36,22-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
22-Oct-2019 - 00:00,23.41,987.03,95.44,193.64,61.57,174.59,296.68,0.88,,2.53,21.75,13.37,45.07,29.05,6.23,1.42,49.87,10.81,23-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
23-Oct-2019 - 00:00,23.98,986.46,126.82,278.91,62.74,170.72,260.84,0.76,,4.27,62.71,15.19,55.73,68.1,47.17,1.62,53.43,11.03,24-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
24-Oct-2019 - 00:00,24.87,987.77,173.83,343.62,61.99,139.2,103.83,0.75,,6.85,166.99,23.72,64.4,67.58,40.91,1.7,60.55,16.49,25-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
25-Oct-2019 - 00:00,24.64,989.14,157.8,309.91,59.45,139.24,111.75,1.06,,5.25,90.87,26.54,62.18,51.82,23.04,1.38,59.0,12.99,26-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
26-Oct-2019 - 00:00,24.07,990.27,170.09,339.04,65.49,126.47,198.93,0.62,,6.24,64.97,30.65,68.0,79.78,53.41,1.64,54.11,11.74,27-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
27-Oct-2019 - 00:00,23.72,989.53,180.71,304.18,63.91,149.88,301.73,0.84,,3.99,17.85,31.26,32.91,20.81,4.03,1.31,64.14,11.58,28-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
28-Oct-2019 - 00:00,23.38,990.28,223.11,324.56,67.94,122.68,262.34,0.46,,4.31,25.89,24.68,33.71,25.86,9.72,2.19,61.0,11.3,29-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
29-Oct-2019 - 00:00,23.27,990.9,313.42,467.95,76.13,77.19,265.09,0.44,,5.97,39.36,32.47,49.6,54.72,34.76,2.61,32.82,11.24,30-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
30-Oct-2019 - 00:00,23.87,989.55,308.71,484.9,72.18,90.31,295.1,0.49,,6.53,50.15,41.53,57.81,50.67,24.42,2.18,27.96,12.66,31-Oct-2019 - 00:00,"Narela, Delhi - DPCC"
31-Oct-2019 - 00:00,23.42,988.85,362.72,585.67,69.34,95.04,284.86,0.49,,6.58,59.87,50.38,63.03,53.68,24.07,2.38,35.91,16.3,01-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
01-Nov-2019 - 00:00,24.55,988.95,370.48,636.72,64.56,102.2,246.42,0.59,,6.62,89.89,52.25,61.79,63.14,37.2,2.28,51.92,15.44,02-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
02-Nov-2019 - 00:00,23.07,990.61,326.96,555.44,77.49,71.68,291.37,0.71,,5.54,48.7,54.68,40.06,29.48,10.01,2.05,31.84,12.65,03-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
03-Nov-2019 - 00:00,21.76,991.51,689.1,649.05,87.66,51.35,293.69,0.57,,8.72,26.97,74.27,49.43,34.47,10.05,3.3,9.82,5.67,04-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
04-Nov-2019 - 00:00,22.91,991.01,305.69,455.39,68.14,130.9,317.56,1.02,,4.29,28.86,45.79,39.05,28.41,9.41,1.51,35.5,10.13,05-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
05-Nov-2019 - 00:00,22.71,988.2,191.56,430.66,63.58,147.48,295.2,0.93,,3.23,10.06,30.02,42.02,30.3,9.73,1.52,44.94,10.6,06-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
06-Nov-2019 - 00:00,22.54,986.28,99.36,237.41,56.73,127.59,196.02,0.59,,4.37,29.78,20.02,75.56,70.39,37.09,1.55,43.06,8.82,07-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
07-Nov-2019 - 00:00,20.71,987.92,155.51,335.0,74.21,53.38,126.1,1.11,,5.76,118.06,31.6,56.72,43.39,16.15,1.73,20.37,10.11,08-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
08-Nov-2019 - 00:00,22.83,990.31,128.77,308.77,65.04,121.03,248.21,0.75,,4.23,135.39,34.07,56.69,54.33,29.67,1.42,37.19,12.83,09-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
09-Nov-2019 - 00:00,22.07,990.81,131.49,260.27,60.01,150.33,316.48,1.22,,2.64,68.77,34.6,37.75,25.67,6.81,1.19,39.11,11.74,10-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
10-Nov-2019 - 00:00,20.91,990.85,175.0,329.52,49.56,126.04,303.48,0.83,,2.97,35.52,31.67,43.9,29.1,7.04,1.38,54.94,15.73,11-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
11-Nov-2019 - 00:00,20.52,989.72,230.1,437.48,47.6,118.99,310.51,0.89,,3.75,96.93,35.87,53.86,36.85,10.04,1.72,56.76,17.43,12-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
12-Nov-2019 - 00:00,19.16,990.59,341.26,555.34,57.8,118.18,302.1,0.73,,4.62,27.67,20.65,55.38,38.31,10.87,1.97,57.89,16.01,13-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
13-Nov-2019 - 00:00,20.63,992.6,333.68,537.67,60.93,100.72,286.9,0.66,,5.21,62.47,28.7,58.16,41.53,13.03,1.98,52.83,18.82,14-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
14-Nov-2019 - 00:00,20.84,993.36,281.8,484.77,63.77,90.34,242.32,0.58,,5.67,111.98,35.65,55.23,52.5,28.34,1.85,,14.97,15-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
15-Nov-2019 - 00:00,21.12,992.39,402.3,561.9,69.34,93.0,282.03,0.78,,6.26,97.55,38.04,54.23,40.83,14.71,2.25,20.16,15.1,16-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
16-Nov-2019 - 00:00,21.33,992.11,164.67,330.04,65.32,126.48,315.44,1.5,,3.15,92.52,22.69,40.3,26.34,6.01,1.2,50.9,15.71,17-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
17-Nov-2019 - 00:00,21.18,992.4,99.12,177.01,65.37,208.48,321.71,1.93,,1.16,24.12,21.42,22.06,15.04,4.06,0.94,48.55,9.23,18-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
18-Nov-2019 - 00:00,20.25,990.79,140.93,206.75,56.04,66.94,288.4,0.73,,0.99,21.38,,62.28,48.81,19.22,1.28,43.5,12.59,19-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
19-Nov-2019 - 00:00,19.29,991.03,154.96,234.78,65.17,121.77,297.09,0.62,,2.86,38.17,26.21,54.31,43.39,17.83,1.44,48.56,14.43,20-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
20-Nov-2019 - 00:00,21.01,991.55,216.14,380.28,55.6,95.19,174.16,0.37,,3.87,86.07,24.56,99.83,157.48,128.07,2.18,55.61,19.9,21-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
21-Nov-2019 - 00:00,19.57,993.56,237.83,450.58,60.32,94.93,133.07,0.61,,8.08,148.3,21.82,79.77,132.39,110.33,1.92,61.94,30.76,22-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
22-Nov-2019 - 00:00,18.8,994.14,235.55,431.06,69.85,133.33,235.78,0.46,,4.97,85.44,31.54,86.81,118.4,88.5,1.62,84.55,18.37,23-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
23-Nov-2019 - 00:00,23.79,992.51,120.88,205.89,49.16,117.63,325.07,1.17,,1.24,22.25,19.57,31.85,21.59,5.73,1.0,50.29,9.51,24-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
24-Nov-2019 - 00:00,,,102.81,180.69,,,,,,2.78,0.85,,,,,,,,25-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
25-Nov-2019 - 00:00,24.72,993.24,136.06,246.55,39.75,146.42,67.76,0.74,,7.11,109.69,20.53,46.8,40.24,18.78,1.07,76.63,28.38,26-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
26-Nov-2019 - 00:00,23.44,992.28,95.53,251.94,46.72,112.15,54.61,1.45,,6.26,264.4,24.16,35.93,23.07,5.23,1.06,58.0,31.85,27-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
27-Nov-2019 - 00:00,20.57,992.62,83.19,179.46,72.08,66.71,88.5,1.37,,3.65,208.3,18.75,4.29,2.54,0.33,1.0,41.28,,28-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
28-Nov-2019 - 00:00,17.74,993.88,33.26,77.72,84.98,67.08,95.76,1.52,,2.54,125.08,23.23,13.47,11.75,6.18,0.99,41.33,0.3,29-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
29-Nov-2019 - 00:00,18.07,994.2,59.49,123.46,81.16,123.57,135.54,0.95,,3.03,116.74,25.66,30.33,26.24,12.34,0.87,31.76,0.3,30-Nov-2019 - 00:00,"Narela, Delhi - DPCC"
30-Nov-2019 - 00:00,15.99,994.13,85.77,140.01,88.15,103.52,301.98,0.71,,2.43,31.74,26.9,29.9,25.61,11.88,0.8,26.93,26.55,01-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
01-Dec-2019 - 00:00,15.46,993.7,122.38,195.47,78.43,126.28,315.66,0.76,,2.3,22.87,26.63,31.63,21.34,5.54,0.73,51.21,58.39,02-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
02-Dec-2019 - 00:00,14.9,994.29,156.56,252.05,74.6,126.77,306.1,0.76,,3.33,33.19,28.72,44.84,33.39,11.68,0.95,46.63,48.5,03-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
03-Dec-2019 - 00:00,15.05,993.71,163.54,253.61,68.91,132.57,291.51,0.65,,2.91,18.67,30.98,45.17,43.41,23.77,0.93,44.08,15.93,04-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
04-Dec-2019 - 00:00,15.26,995.61,182.67,303.45,67.75,148.24,266.3,0.51,,4.87,126.44,33.37,44.56,61.03,45.85,1.22,47.17,32.99,05-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
05-Dec-2019 - 00:00,16.92,997.59,293.8,478.0,65.1,124.9,234.47,0.72,,6.75,135.14,39.54,73.39,58.68,24.17,1.94,67.8,,06-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
06-Dec-2019 - 00:00,16.34,997.0,229.44,352.62,79.6,116.03,271.33,0.73,,4.64,91.65,46.03,54.59,48.05,23.32,1.87,39.32,,07-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
07-Dec-2019 - 00:00,16.2,995.98,217.38,354.69,80.12,114.69,215.48,0.52,,4.72,122.53,62.42,49.33,70.56,54.35,1.45,45.24,130.49,08-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
08-Dec-2019 - 00:00,15.89,995.69,200.33,327.27,76.79,118.98,282.12,0.64,,4.32,67.85,60.0,46.46,56.84,39.41,1.12,41.37,4.42,09-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
09-Dec-2019 - 00:00,15.15,994.93,186.33,288.21,73.56,116.89,281.34,0.57,,3.71,60.32,56.55,50.7,50.87,29.28,0.99,48.64,8.89,10-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
10-Dec-2019 - 00:00,14.5,992.24,245.42,373.77,77.45,141.75,249.13,0.47,,4.95,44.21,61.31,59.84,87.68,68.57,1.49,45.62,4.71,11-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
11-Dec-2019 - 00:00,15.19,991.05,351.15,571.92,76.66,191.54,125.5,0.66,,7.43,170.92,69.18,89.44,140.12,113.69,1.91,69.19,5.89,12-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
12-Dec-2019 - 00:00,16.13,989.76,294.49,425.01,77.98,132.31,103.54,1.26,,5.92,73.14,61.64,59.19,44.75,16.29,1.19,31.79,6.12,13-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
13-Dec-2019 - 00:00,15.0,990.34,86.23,117.26,93.92,180.35,191.39,1.28,,2.18,22.54,34.64,29.66,24.68,10.89,1.23,35.35,6.5,14-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
14-Dec-2019 - 00:00,14.13,996.76,61.02,121.19,85.28,217.94,191.61,0.76,,2.1,65.3,27.24,29.11,25.08,11.8,0.71,29.5,3.17,15-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
15-Dec-2019 - 00:00,13.76,996.26,81.71,134.01,83.67,183.28,312.17,0.88,,2.09,16.39,33.04,22.13,18.5,8.26,0.87,28.51,11.74,16-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
16-Dec-2019 - 00:00,11.19,996.81,68.77,112.18,92.79,95.34,316.31,1.15,,1.86,8.93,34.13,17.37,13.64,5.4,0.44,25.46,11.75,17-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
17-Dec-2019 - 00:00,10.95,997.87,86.61,140.51,88.79,114.18,310.41,0.97,,2.37,20.17,50.57,19.85,20.86,12.62,0.92,26.77,10.64,18-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
18-Dec-2019 - 00:00,11.74,996.65,136.8,212.1,82.59,148.97,234.31,1.02,,3.33,100.31,56.12,27.61,20.87,7.58,0.69,38.28,10.74,19-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
19-Dec-2019 - 00:00,10.44,995.33,280.36,441.18,90.62,162.35,134.4,0.68,,7.01,84.34,66.8,54.81,89.51,74.01,2.0,21.14,9.29,20-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
20-Dec-2019 - 00:00,11.25,992.99,302.38,451.09,90.89,150.41,266.5,0.52,,7.52,64.64,69.1,50.17,45.37,22.66,2.96,13.16,11.35,21-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
21-Dec-2019 - 00:00,12.01,993.89,188.73,294.97,90.14,200.87,296.45,0.84,,4.05,31.05,77.74,32.54,27.82,13.09,1.68,8.94,12.26,22-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
22-Dec-2019 - 00:00,10.53,995.18,126.11,186.59,94.15,241.94,303.44,1.17,,3.32,30.63,64.81,24.51,17.96,6.05,1.63,19.85,10.17,23-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
23-Dec-2019 - 00:00,9.1,994.39,140.56,212.07,92.46,240.98,278.45,0.84,,3.62,44.16,54.6,24.86,38.88,31.46,1.45,18.58,11.78,24-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
24-Dec-2019 - 00:00,9.67,996.17,212.42,356.24,88.09,228.74,197.07,0.72,,5.02,56.31,54.4,41.41,44.01,26.96,2.21,13.38,10.29,25-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
25-Dec-2019 - 00:00,8.4,995.18,125.06,209.26,91.21,252.81,318.95,1.15,,2.76,33.49,47.94,25.52,20.42,8.4,1.7,14.97,8.22,26-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
26-Dec-2019 - 00:00,8.38,994.58,169.58,272.17,87.46,248.6,264.78,0.97,,3.32,88.27,56.7,30.59,25.54,11.37,1.4,13.59,14.13,27-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
27-Dec-2019 - 00:00,8.52,995.5,259.3,431.21,82.79,247.42,222.17,0.59,,4.93,97.79,53.36,46.51,51.77,33.14,1.58,9.85,6.24,28-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
28-Dec-2019 - 00:00,6.63,996.25,220.54,372.41,89.18,248.29,181.9,0.72,,5.95,143.35,47.58,41.13,52.03,37.01,1.85,9.43,6.23,29-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
29-Dec-2019 - 00:00,8.74,996.61,274.67,455.99,84.21,251.67,194.74,0.62,,5.97,66.02,47.42,51.4,41.43,17.24,1.51,22.26,10.18,30-Dec-2019 - 00:00,"Narela, Delhi - DPCC"
