from date,AT,BP,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,Benzene,Toluene,Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
25-Jun-2019 - 00:00,33.43,735.5,106.89,56.14,0.04,64.95,148.99,26.17,191.55,1.04,0.43,3.01,2.78,0.69,33.95,3.78,25.73,15.84,36.85,14.91,26-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
26-Jun-2019 - 00:00,37.34,731.41,178.71,77.86,0.0,55.19,156.57,26.54,120.53,1.66,0.55,3.2,2.63,1.16,38.4,2.74,29.28,17.8,78.94,14.3,27-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
27-Jun-2019 - 00:00,35.52,730.08,219.96,87.02,0.0,54.8,123.4,25.72,95.27,1.72,0.65,3.31,2.27,0.93,33.55,3.63,33.95,20.24,70.57,23.13,28-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
28-Jun-2019 - 00:00,36.58,728.88,207.04,55.07,0.0,50.63,140.19,26.96,77.64,2.05,0.54,2.98,2.23,1.45,37.75,3.96,30.13,17.36,76.61,37.53,29-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
29-Jun-2019 - 00:00,37.21,728.89,293.56,82.33,0.0,51.4,128.7,28.02,126.93,1.62,0.67,3.22,2.48,0.69,44.45,4.27,35.82,21.27,60.85,19.95,30-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
30-Jun-2019 - 00:00,36.66,729.73,211.25,67.65,0.0,59.55,152.32,31.92,249.7,1.96,0.38,2.1,1.85,0.78,74.48,2.72,16.29,9.79,84.88,8.82,01-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
01-Jul-2019 - 00:00,33.21,732.2,109.33,40.69,0.0,67.63,139.59,26.63,244.91,2.11,0.26,1.24,1.26,0.6,53.06,4.52,13.79,9.59,63.13,7.16,02-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
02-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
03-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
04-Jul-2019 - 00:00,34.35,730.33,120.17,45.35,0.0,68.87,132.38,26.72,159.5,1.91,0.45,6.9,4.64,0.98,38.01,2.54,17.48,11.24,36.56,8.11,05-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
05-Jul-2019 - 00:00,30.01,729.28,74.0,34.01,0.54,83.78,37.31,26.9,173.98,1.14,0.45,3.58,3.17,0.85,37.22,3.52,20.43,12.97,17.62,7.18,06-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
06-Jul-2019 - 00:00,30.22,728.86,69.34,23.9,0.0,79.98,93.65,27.03,223.08,1.37,0.43,3.53,4.11,0.7,33.73,3.64,17.67,11.58,30.1,6.99,07-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
07-Jul-2019 - 00:00,29.88,728.81,87.72,50.41,0.0,82.06,32.31,26.95,195.69,0.56,0.24,1.46,1.25,0.49,30.84,5.47,14.47,9.9,30.03,8.12,08-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
08-Jul-2019 - 00:00,32.98,729.59,74.64,27.88,0.0,72.91,146.55,27.56,235.76,1.27,0.3,1.99,1.71,0.86,34.33,2.79,14.25,9.84,47.24,13.52,09-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
09-Jul-2019 - 00:00,30.39,729.59,68.58,27.71,0.07,82.71,63.53,27.05,236.68,1.41,0.31,3.09,2.43,0.72,32.87,3.57,12.86,8.93,30.57,7.87,10-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
10-Jul-2019 - 00:00,31.94,728.47,130.19,43.77,0.14,77.53,103.84,26.87,135.55,1.29,0.31,2.33,1.84,0.7,31.36,3.57,15.39,10.4,39.3,5.31,11-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
11-Jul-2019 - 00:00,30.38,729.74,121.76,45.47,0.33,78.73,95.72,26.94,253.85,1.62,0.34,3.37,3.01,0.64,32.17,3.74,14.48,9.87,54.78,8.56,12-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
12-Jul-2019 - 00:00,32.19,732.17,170.32,46.86,0.0,72.88,113.48,27.38,118.33,1.13,0.4,3.97,3.13,1.99,33.29,2.59,18.01,10.72,32.12,20.32,13-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
13-Jul-2019 - 00:00,31.61,732.3,132.82,44.52,0.0,69.05,147.9,26.92,148.0,1.52,0.44,5.04,4.11,0.68,32.19,2.53,19.41,12.39,48.69,9.11,14-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
14-Jul-2019 - 00:00,32.33,731.15,195.94,66.87,0.04,67.47,106.84,26.97,139.71,1.42,0.4,3.72,2.8,1.66,43.73,2.56,16.18,10.69,44.23,12.48,15-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
15-Jul-2019 - 00:00,28.55,730.96,82.2,28.76,0.17,81.3,61.87,27.39,167.91,1.45,0.26,2.68,2.11,2.21,43.66,4.1,16.62,10.06,39.5,17.72,16-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
16-Jul-2019 - 00:00,27.44,734.42,90.07,49.05,0.32,84.97,52.02,27.54,199.97,1.47,0.4,3.84,3.13,1.45,38.24,4.37,24.18,14.97,30.17,19.07,17-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
17-Jul-2019 - 00:00,31.09,734.81,113.69,39.87,0.0,73.52,113.81,26.78,125.72,1.18,0.44,3.44,2.81,0.98,31.04,2.61,16.58,10.94,41.82,10.25,18-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
18-Jul-2019 - 00:00,30.8,734.7,109.28,53.23,0.06,78.3,83.58,26.99,163.92,0.98,0.41,3.32,3.07,0.96,29.67,3.56,16.08,10.75,38.61,8.55,19-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
19-Jul-2019 - 00:00,32.58,735.03,113.77,39.88,0.0,75.85,103.57,27.02,238.74,1.13,0.3,2.7,2.15,0.78,34.6,3.48,15.81,10.48,32.07,4.4,20-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
20-Jul-2019 - 00:00,34.02,735.48,124.88,44.25,0.31,68.02,196.9,27.37,232.42,1.54,0.38,3.69,3.47,2.84,47.24,2.33,16.21,10.4,48.3,13.78,21-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
21-Jul-2019 - 00:00,33.35,735.11,132.9,46.29,0.0,73.66,119.72,26.75,181.67,1.38,0.4,3.18,2.73,1.35,52.22,2.63,16.28,10.77,27.85,7.59,22-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
22-Jul-2019 - 00:00,33.39,734.17,115.57,49.87,0.0,75.82,96.9,26.95,202.64,1.24,0.42,3.94,3.3,1.8,52.89,3.59,16.65,11.55,34.14,6.51,23-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
23-Jul-2019 - 00:00,34.22,733.72,224.28,120.56,0.0,73.78,120.48,26.81,181.09,1.1,0.4,2.49,2.13,0.84,56.47,4.69,18.57,11.38,27.44,7.14,24-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
24-Jul-2019 - 00:00,32.69,731.16,148.11,64.94,0.0,77.95,107.84,26.51,272.68,1.84,0.33,3.31,2.59,0.72,45.26,2.56,10.04,7.44,33.04,5.34,25-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
25-Jul-2019 - 00:00,28.69,733.23,47.02,22.95,0.19,87.92,45.54,27.15,242.0,1.3,0.41,3.78,3.97,1.25,63.94,2.7,9.08,6.6,17.19,17.9,26-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
26-Jul-2019 - 00:00,29.27,731.59,58.67,16.32,0.07,84.98,59.74,27.12,235.52,1.63,0.32,2.59,2.73,0.84,44.72,3.61,11.1,7.31,26.43,3.02,27-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
27-Jul-2019 - 00:00,29.83,731.93,57.76,12.28,0.07,83.71,71.43,27.1,245.21,1.89,0.3,2.8,3.0,0.56,35.87,3.64,11.79,7.0,28.26,5.31,28-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
28-Jul-2019 - 00:00,32.06,733.82,53.99,4.89,0.0,74.76,134.47,26.59,244.36,2.3,0.23,1.58,1.54,0.42,31.9,3.64,10.41,5.36,24.55,5.65,29-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
29-Jul-2019 - 00:00,34.1,734.82,83.17,9.58,0.0,66.1,180.67,26.6,254.43,2.36,0.3,3.07,3.06,2.09,46.05,2.88,33.71,20.93,29.12,10.23,30-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
30-Jul-2019 - 00:00,31.7,734.61,109.18,45.15,0.05,76.21,81.43,26.7,218.68,1.84,0.42,3.47,4.26,0.66,40.54,3.46,11.7,8.43,22.51,5.66,31-Jul-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
31-Jul-2019 - 00:00,32.72,733.64,109.2,28.74,0.0,69.55,124.29,26.86,231.42,1.65,0.4,4.12,4.22,1.82,45.71,2.61,9.4,6.94,33.56,18.59,01-Aug-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
01-Aug-2019 - 00:00,32.05,733.21,140.31,55.32,0.0,75.88,73.35,26.88,219.04,1.28,0.42,3.53,3.79,0.59,43.17,3.61,19.26,12.16,20.61,7.11,02-Aug-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
02-Aug-2019 - 00:00,31.65,732.16,74.61,20.23,0.01,77.6,89.58,27.32,230.69,1.57,0.3,2.87,2.46,1.7,45.39,3.95,11.21,7.95,25.19,7.54,03-Aug-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
