from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,RH,SR,WS,WD,to date,station
06-Apr-2019 - 00:00,157.97,321.84,31.41,15.21,40.44,140.58,10.11,1.61,32.61,11.35,32.7,4.7,5.95,5.21,33.88,365.19,2.51,102.72,07-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
07-Apr-2019 - 00:00,173.67,318.92,5.82,14.53,25.56,171.89,7.41,1.41,28.84,7.09,47.27,2.23,3.27,2.91,52.81,281.87,3.3,117.78,08-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
08-Apr-2019 - 00:00,138.36,344.84,20.04,16.28,36.79,190.33,5.57,1.0,28.98,6.1,0.85,3.06,6.11,6.37,47.78,413.93,2.74,112.78,09-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
09-Apr-2019 - 00:00,86.41,209.38,34.23,9.77,34.86,152.54,5.87,1.13,31.2,8.16,1.04,3.56,7.31,6.39,41.54,451.71,2.81,84.58,10-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
10-Apr-2019 - 00:00,115.91,317.83,50.12,19.76,59.8,225.98,8.33,1.49,26.57,12.8,1.89,8.89,19.48,21.78,34.06,429.13,2.6,178.46,11-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
11-Apr-2019 - 00:00,103.0,296.25,47.82,26.16,52.92,224.03,9.56,1.35,22.45,10.99,1.28,9.28,20.65,24.2,28.73,445.08,2.6,179.74,12-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
12-Apr-2019 - 00:00,104.98,325.59,43.33,29.56,44.02,190.78,7.8,1.13,22.18,8.14,1.11,7.31,16.35,18.94,33.14,401.09,2.84,156.91,13-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
13-Apr-2019 - 00:00,88.65,291.28,40.92,31.96,43.88,191.28,8.31,1.04,18.09,8.64,1.2,7.27,17.24,21.09,31.19,485.05,2.95,188.61,14-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
14-Apr-2019 - 00:00,77.57,256.07,41.41,30.18,43.21,176.81,9.16,0.97,13.38,6.17,1.23,4.32,8.75,7.9,27.49,461.38,3.25,317.2,15-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
15-Apr-2019 - 00:00,89.98,265.6,43.72,52.31,56.6,161.32,7.66,1.44,12.4,7.77,1.45,7.23,14.49,13.69,24.95,457.11,2.91,299.72,16-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
