from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
24-Apr-2019 - 00:00,245.4,70.61,11.48,14.47,25.95,1.24,,31.34,25-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
25-Apr-2019 - 00:00,249.88,75.6,12.13,14.04,26.17,1.27,,22.18,26-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
26-Apr-2019 - 00:00,257.69,72.76,16.31,14.93,31.25,1.41,,16.28,27-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
27-Apr-2019 - 00:00,268.95,57.76,10.93,13.67,24.6,0.98,,13.63,28-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
28-Apr-2019 - 00:00,280.42,63.81,10.6,13.64,24.24,1.05,,12.95,29-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
29-Apr-2019 - 00:00,267.18,69.56,12.9,14.55,27.44,1.35,,16.05,30-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
30-Apr-2019 - 00:00,277.86,74.5,14.36,15.76,30.12,1.43,,23.4,01-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
01-May-2019 - 00:00,323.73,95.97,14.98,15.83,30.81,1.72,,33.05,02-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
02-May-2019 - 00:00,316.94,64.13,11.94,14.29,26.24,1.31,,24.8,03-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
03-May-2019 - 00:00,135.13,44.25,10.58,14.1,24.69,1.18,,24.25,04-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
04-May-2019 - 00:00,216.46,77.1,11.83,14.51,26.34,1.34,,15.85,05-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
05-May-2019 - 00:00,242.43,86.66,12.65,14.79,27.44,1.5,,19.68,06-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
06-May-2019 - 00:00,294.94,85.61,18.16,15.94,34.09,1.91,,19.13,07-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
07-May-2019 - 00:00,372.17,102.74,24.04,16.46,40.5,2.14,,11.66,08-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
08-May-2019 - 00:00,407.29,109.42,21.06,15.61,36.68,1.94,,12.71,09-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
09-May-2019 - 00:00,407.97,106.08,12.27,13.92,26.19,1.38,,13.77,10-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
10-May-2019 - 00:00,278.63,60.88,10.19,13.33,23.52,1.12,,10.12,11-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
11-May-2019 - 00:00,286.71,100.0,10.72,14.19,24.91,1.39,,16.5,12-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
