from date,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Eth-Benzene,SR,RH,RF,WD,WS,PM2.5,to date,station
27-Apr-2019 - 00:00,117.25,7.63,17.13,10.89,28.02,15.1,0.38,20.85,5.3,4.47,300.49,39.23,0.0,309.41,0.96,37.5,28-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
28-Apr-2019 - 00:00,191.75,12.71,17.13,11.53,28.65,15.1,0.41,23.5,5.3,4.46,207.19,29.63,0.0,305.93,1.16,60.77,29-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
29-Apr-2019 - 00:00,170.96,12.88,16.55,10.71,27.18,14.96,0.4,24.3,5.26,4.44,172.24,26.07,0.0,274.16,0.64,53.55,30-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
30-Apr-2019 - 00:00,137.07,6.71,16.66,11.52,28.19,15.08,0.4,26.44,5.3,4.44,167.77,26.58,0.0,197.06,0.71,43.89,01-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
01-May-2019 - 00:00,82.6,3.94,16.69,10.93,27.62,15.1,0.34,38.56,5.3,4.37,156.58,25.35,0.0,207.38,1.0,26.41,02-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
02-May-2019 - 00:00,125.67,12.67,16.97,11.23,28.19,15.11,0.48,32.76,5.3,4.37,247.17,33.89,0.0,225.17,0.91,40.23,03-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
03-May-2019 - 00:00,94.46,9.27,16.83,11.01,27.84,15.09,0.33,30.66,5.24,4.33,243.16,32.22,0.0,281.37,0.87,30.13,04-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
04-May-2019 - 00:00,135.71,17.76,16.76,10.99,27.75,15.09,0.36,31.88,5.3,4.39,169.94,22.91,0.0,297.09,1.05,43.45,05-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
05-May-2019 - 00:00,195.98,17.45,16.78,11.09,27.85,15.08,0.44,30.06,5.3,4.38,146.8,21.56,0.0,269.28,0.82,62.8,06-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
06-May-2019 - 00:00,202.53,12.85,16.89,11.14,28.03,15.11,0.46,26.37,5.3,4.39,244.53,29.25,0.0,248.86,0.78,64.83,07-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
07-May-2019 - 00:00,112.18,15.6,15.96,10.92,23.91,14.65,0.15,57.57,4.76,3.88,804.99,10.59,0.0,272.43,0.84,33.55,08-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
08-May-2019 - 00:00,147.6,12.88,16.8,11.1,27.91,15.1,0.33,35.45,5.3,4.34,709.23,19.08,0.0,263.84,0.74,47.25,09-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
09-May-2019 - 00:00,222.12,30.36,16.77,11.12,27.89,15.08,0.38,32.69,5.3,4.33,738.85,21.94,0.0,276.09,0.88,110.37,10-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
10-May-2019 - 00:00,280.47,23.07,16.84,11.12,27.97,15.08,0.26,32.16,5.3,4.32,761.2,20.5,0.0,261.31,1.23,90.25,11-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
11-May-2019 - 00:00,175.97,23.06,16.92,11.09,23.64,15.13,0.28,25.73,4.47,3.65,558.28,35.89,0.0,273.51,0.97,46.43,12-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
12-May-2019 - 00:00,162.77,,17.2,10.8,0.29,15.1,0.0,11.94,0.06,0.05,488.37,31.23,0.0,274.3,0.79,0.54,13-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
13-May-2019 - 00:00,153.13,22.51,16.78,11.36,14.74,15.05,0.14,59.55,2.78,2.26,484.12,31.89,0.0,183.64,0.57,21.47,14-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
14-May-2019 - 00:00,217.7,18.13,16.75,10.88,27.27,15.12,0.27,21.46,5.23,4.25,289.64,39.04,0.0,214.36,0.42,67.78,15-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
15-May-2019 - 00:00,136.18,11.46,16.44,11.15,27.59,15.0,0.28,16.68,5.3,4.32,341.43,48.85,0.0,179.21,0.57,43.48,16-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
16-May-2019 - 00:00,153.84,11.59,16.5,11.22,27.61,15.0,0.34,32.16,5.3,4.31,335.07,47.4,0.0,228.45,0.82,49.31,17-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
17-May-2019 - 00:00,176.1,9.86,16.8,11.19,27.98,15.07,0.34,12.67,5.3,4.32,520.75,69.08,0.01,232.59,0.75,56.25,18-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
18-May-2019 - 00:00,139.66,13.06,16.65,11.24,27.87,15.21,0.28,15.03,5.3,4.31,437.59,58.28,0.0,268.34,0.92,44.71,19-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
