from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,WS,WD,RF,to date,station
31-Mar-2019 - 00:00,1.87,106.04,21.5,27.09,5.59,15.12,49.0,1.02,13.2,1.74,32.8,0.05,0.02,0.0,40.03,,0.98,180.39,0.0,01-Apr-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
01-Apr-2019 - 00:00,18.88,121.36,12.59,18.21,5.71,12.95,19.01,0.5,27.88,1.63,34.26,0.07,0.13,0.02,29.12,232.83,1.19,211.04,0.0,02-Apr-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
02-Apr-2019 - 00:00,55.26,117.72,13.42,20.87,7.9,11.64,19.15,0.48,17.03,1.95,26.13,0.11,0.36,0.07,49.62,256.9,1.08,198.25,0.0,03-Apr-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
03-Apr-2019 - 00:00,51.13,109.05,14.8,24.01,9.69,10.24,21.03,0.51,20.94,1.17,26.97,0.02,0.28,0.02,49.88,208.93,0.96,179.85,0.0,04-Apr-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
04-Apr-2019 - 00:00,60.7,114.67,21.29,31.44,10.15,5.82,23.63,0.55,23.44,3.0,44.63,0.08,0.33,0.2,44.57,218.99,1.02,187.26,0.0,05-Apr-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
05-Apr-2019 - 00:00,37.25,89.15,26.67,44.11,17.44,7.25,17.5,0.48,12.62,3.52,80.42,0.16,0.53,0.12,48.94,161.56,1.37,191.39,0.0,06-Apr-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
06-Apr-2019 - 00:00,39.1,82.71,23.35,49.44,26.09,8.84,20.83,0.47,12.54,4.05,77.64,0.08,0.56,0.07,43.97,174.25,1.28,190.02,0.0,07-Apr-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
07-Apr-2019 - 00:00,37.74,78.8,22.3,49.63,27.31,8.83,20.26,0.56,12.46,4.21,79.39,0.08,0.53,0.06,49.75,162.49,1.3,189.7,0.0,08-Apr-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
08-Apr-2019 - 00:00,33.08,71.15,20.09,47.62,27.53,8.56,18.52,0.52,14.28,4.26,79.16,0.09,0.52,0.07,45.89,189.81,1.23,189.52,0.0,09-Apr-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
09-Apr-2019 - 00:00,38.26,80.63,19.0,42.42,23.42,7.47,21.11,0.47,15.14,4.57,76.74,0.13,0.8,0.47,43.19,242.41,1.16,191.0,0.0,10-Apr-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
10-Apr-2019 - 00:00,43.12,92.01,21.94,43.31,21.37,7.53,27.0,0.5,18.92,4.63,73.2,0.11,0.57,0.11,44.23,265.53,1.0,190.92,0.0,11-Apr-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
11-Apr-2019 - 00:00,49.89,94.78,22.38,46.87,24.5,8.41,19.33,0.46,14.02,3.1,79.08,0.11,0.55,0.08,43.21,182.31,0.91,192.04,0.0,12-Apr-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
12-Apr-2019 - 00:00,51.5,112.08,23.91,44.59,20.68,7.62,18.73,0.49,26.22,3.96,79.43,0.13,0.56,0.07,41.48,238.92,0.89,181.32,0.0,13-Apr-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
13-Apr-2019 - 00:00,47.82,107.39,23.79,46.89,23.09,8.35,22.85,0.5,21.94,4.54,80.86,0.13,0.59,0.09,35.56,189.66,0.83,196.17,0.0,14-Apr-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
14-Apr-2019 - 00:00,49.86,92.27,24.58,51.45,26.88,8.87,21.05,0.53,6.92,5.8,81.35,0.1,0.61,0.09,34.32,138.31,0.88,197.76,0.0,15-Apr-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
15-Apr-2019 - 00:00,56.67,68.65,25.6,48.5,22.9,8.07,23.09,0.52,14.69,4.9,76.12,0.1,0.57,0.14,33.32,109.21,0.96,226.85,0.0,16-Apr-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
16-Apr-2019 - 00:00,171.0,32.29,23.87,50.97,27.1,8.09,21.8,0.48,7.64,2.71,82.95,0.11,0.69,0.14,23.58,86.56,0.88,218.15,0.0,17-Apr-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
17-Apr-2019 - 00:00,33.47,,26.05,42.07,16.01,6.21,13.53,0.37,16.95,1.72,63.92,0.1,0.65,0.07,33.17,169.49,0.81,242.7,0.0,18-Apr-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
18-Apr-2019 - 00:00,38.09,123.71,26.36,46.09,19.72,7.29,20.31,0.46,20.03,4.55,87.82,0.11,0.58,0.4,37.62,164.11,0.67,188.6,0.0,19-Apr-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
19-Apr-2019 - 00:00,43.1,120.19,32.59,58.19,25.6,9.45,28.3,0.49,25.63,7.11,109.95,0.14,0.72,0.4,23.7,225.8,0.77,141.03,0.0,20-Apr-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
20-Apr-2019 - 00:00,47.87,112.28,30.73,71.81,41.07,11.72,19.51,0.57,29.74,11.09,117.85,0.21,0.9,0.55,21.88,180.36,0.87,200.88,0.0,21-Apr-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
21-Apr-2019 - 00:00,35.09,80.67,30.39,54.11,23.71,8.63,19.74,0.45,29.23,4.15,73.29,0.1,0.6,0.08,34.0,245.33,0.9,189.43,0.0,22-Apr-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
22-Apr-2019 - 00:00,38.69,92.64,28.39,55.77,27.38,8.77,19.14,0.42,24.87,3.8,72.02,0.22,1.13,0.17,37.08,257.98,0.93,197.2,0.0,23-Apr-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
23-Apr-2019 - 00:00,35.27,89.44,26.39,56.66,30.27,9.22,16.6,0.35,23.32,3.51,76.48,0.33,1.83,0.25,37.18,252.79,0.92,185.5,0.0,24-Apr-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
