from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,AT,SR,RH,RF,WS,WD,to date,station
27-Nov-2019 - 00:00,25.54,18.37,6.26,53.73,9.44,0.53,13.52,48.58,104.78,4.34,87.32,3.86,,4.41,18.55,81.99,73.79,0.02,0.44,98.01,28-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
28-Nov-2019 - 00:00,18.9,17.62,9.65,57.74,4.39,0.42,14.94,27.14,43.56,2.81,83.81,3.52,,3.92,15.78,66.15,90.39,0.19,0.58,98.14,29-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
29-Nov-2019 - 00:00,25.65,24.31,13.6,67.06,6.64,0.66,14.57,54.9,116.75,4.75,74.92,3.84,,5.55,17.39,122.03,73.99,0.0,0.48,194.19,30-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
30-Nov-2019 - 00:00,20.45,13.76,3.83,62.8,10.68,0.58,21.16,75.45,135.31,4.34,78.11,3.51,,4.5,17.01,122.57,74.9,0.0,0.67,272.34,01-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
01-Dec-2019 - 00:00,21.52,13.29,2.54,69.07,8.72,0.61,29.08,79.98,148.65,3.84,79.96,3.28,,3.8,16.21,119.64,69.57,0.0,0.77,258.92,02-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
02-Dec-2019 - 00:00,27.9,17.47,3.6,79.58,11.44,0.73,26.83,100.56,211.64,5.18,77.01,3.91,,5.51,15.72,183.89,67.84,0.0,0.68,259.87,03-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
03-Dec-2019 - 00:00,29.58,20.6,6.42,86.92,13.08,0.77,31.13,101.16,191.14,6.27,63.0,3.48,,5.51,15.76,102.09,65.05,0.0,0.7,247.93,04-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
04-Dec-2019 - 00:00,45.24,68.3,55.7,125.09,12.69,1.54,32.36,153.88,325.39,10.6,86.29,7.52,,13.55,15.21,52.56,70.94,0.0,0.35,171.27,05-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
05-Dec-2019 - 00:00,42.94,73.53,64.57,130.71,6.01,1.4,16.34,205.09,319.23,15.71,79.25,7.06,,11.17,12.95,86.77,88.2,0.0,0.33,123.07,06-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
06-Dec-2019 - 00:00,42.42,35.13,16.07,108.37,9.43,1.28,27.23,106.72,268.58,9.17,81.36,6.56,,12.76,19.06,118.71,67.65,0.0,0.41,238.34,07-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
07-Dec-2019 - 00:00,36.37,33.42,17.89,99.26,15.17,1.07,21.61,97.04,215.86,7.57,72.88,4.67,,7.86,16.52,103.45,69.57,0.0,0.29,218.65,08-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
08-Dec-2019 - 00:00,36.93,29.94,13.28,97.35,7.88,1.06,21.11,118.91,235.46,9.9,82.02,5.37,,8.81,16.07,100.63,65.9,0.0,0.46,260.33,09-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
09-Dec-2019 - 00:00,41.08,27.18,7.13,101.48,11.78,0.9,24.45,127.3,265.77,6.67,56.39,3.6,,5.71,15.91,147.85,67.03,0.0,0.51,237.55,10-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
10-Dec-2019 - 00:00,37.89,35.67,19.79,104.95,14.0,1.38,11.77,177.05,285.14,9.65,60.35,4.85,,9.38,14.96,160.87,74.52,0.0,0.44,223.74,11-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
11-Dec-2019 - 00:00,47.18,84.62,74.81,136.39,15.97,1.68,17.84,226.47,401.77,13.03,66.68,6.04,,11.86,14.54,119.89,76.85,0.0,0.27,120.93,12-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
12-Dec-2019 - 00:00,36.39,30.54,14.35,94.92,12.5,1.09,15.25,189.67,265.54,10.96,64.25,4.03,,6.78,15.18,53.15,83.14,0.03,0.43,94.72,13-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
13-Dec-2019 - 00:00,18.32,12.51,3.67,78.19,5.69,0.36,28.55,40.04,61.0,2.88,56.91,2.23,,2.03,13.66,47.5,91.59,0.1,0.77,123.78,14-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
14-Dec-2019 - 00:00,19.6,14.08,4.79,81.5,9.52,0.42,18.79,29.22,61.54,3.11,56.55,2.34,,2.75,13.94,88.29,84.1,0.0,0.37,182.14,15-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
15-Dec-2019 - 00:00,19.04,12.82,3.58,73.88,6.27,0.48,20.42,51.16,110.89,3.8,62.23,2.75,,3.02,13.67,96.0,88.12,0.0,0.78,274.84,16-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
16-Dec-2019 - 00:00,16.94,12.54,4.6,79.73,5.53,0.53,18.4,63.32,126.69,4.22,50.96,2.35,,3.3,10.99,58.44,92.36,0.0,0.97,274.79,17-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
17-Dec-2019 - 00:00,20.47,16.18,6.95,78.66,5.0,0.76,14.28,99.33,182.77,5.68,45.21,2.91,,4.93,11.11,76.33,88.57,0.0,0.69,279.42,18-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
18-Dec-2019 - 00:00,19.85,15.43,6.4,85.08,7.22,0.61,16.79,87.6,164.1,4.61,47.46,2.26,,3.39,9.98,97.44,89.47,0.0,0.61,200.77,19-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
19-Dec-2019 - 00:00,26.45,34.21,25.61,93.53,6.41,0.95,11.8,138.04,259.18,7.06,48.39,3.1,,5.28,9.76,156.75,85.06,0.0,0.37,151.54,20-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
20-Dec-2019 - 00:00,29.82,22.69,8.86,96.18,10.98,0.97,10.99,166.23,294.24,8.46,47.85,3.11,,5.66,11.54,151.58,84.51,0.0,0.5,264.71,21-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
21-Dec-2019 - 00:00,23.88,17.52,6.35,108.9,5.71,0.97,9.12,142.0,222.38,7.44,46.61,2.46,,3.97,10.64,168.26,88.0,0.0,0.67,283.45,22-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
22-Dec-2019 - 00:00,20.41,13.61,3.81,87.83,5.01,0.85,14.26,115.43,168.48,6.29,47.38,2.1,,2.96,10.64,168.26,99.33,0.0,0.8,280.36,23-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
23-Dec-2019 - 00:00,19.78,14.23,5.86,85.58,11.18,0.67,12.7,94.34,169.01,5.14,40.13,1.99,,3.18,9.24,158.54,95.34,0.0,0.55,281.69,24-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
24-Dec-2019 - 00:00,22.92,17.43,6.82,85.47,9.69,0.59,10.4,109.41,178.25,5.15,41.93,2.03,,2.84,10.39,109.41,87.29,0.0,0.42,203.64,25-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
25-Dec-2019 - 00:00,21.31,14.47,4.16,73.67,3.97,0.55,9.79,123.45,219.83,5.3,41.57,1.77,,2.39,7.64,,98.28,0.0,0.75,274.55,26-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
26-Dec-2019 - 00:00,20.98,14.17,4.24,73.1,11.78,0.57,15.0,130.14,210.47,4.84,36.72,1.7,,2.61,7.71,106.91,91.81,0.0,0.58,271.1,27-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
27-Dec-2019 - 00:00,24.22,22.21,11.67,76.98,6.48,0.69,8.01,163.3,251.7,5.67,37.27,1.96,,3.07,7.48,107.63,90.23,0.0,0.37,167.54,28-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
28-Dec-2019 - 00:00,23.41,19.82,10.35,71.63,12.16,0.6,10.93,135.28,208.44,5.18,29.79,1.24,,1.91,6.32,107.63,90.22,0.0,0.44,161.39,29-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
29-Dec-2019 - 00:00,20.02,13.59,4.06,64.1,24.01,0.68,14.33,118.83,171.75,5.16,29.64,0.72,,1.39,6.91,,79.56,0.0,0.43,210.07,30-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
30-Dec-2019 - 00:00,37.7,28.56,11.72,90.62,27.27,1.14,12.12,181.48,281.57,10.47,25.93,1.8,,4.02,7.32,132.39,90.66,0.0,0.5,144.89,31-Dec-2019 - 00:00,"Sector-12, Karnal - HSPCB"
31-Dec-2019 - 00:00,26.24,18.7,6.21,80.7,33.57,0.94,8.83,168.6,239.5,9.05,27.95,0.74,,1.6,6.28,,,0.0,0.64,99.79,01-Jan-2020 - 00:00,"Sector-12, Karnal - HSPCB"
