from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,AT,SR,RH,RF,WS,WD,to date,station
04-Mar-2019 - 00:00,18.32,18.9,10.49,33.35,22.53,0.47,26.92,45.29,92.15,4.32,2.74,3.87,8.8,8.37,,299.29,,0.0,0.85,260.43,05-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
05-Mar-2019 - 00:00,12.17,13.49,6.28,29.47,21.07,0.47,39.32,36.55,79.42,3.77,1.7,3.41,6.35,7.36,,346.87,,0.0,1.02,277.26,06-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
06-Mar-2019 - 00:00,10.75,12.7,4.74,28.9,24.8,0.51,46.53,38.58,88.18,4.14,1.85,3.77,7.04,8.01,,371.85,,0.0,1.17,290.93,07-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
07-Mar-2019 - 00:00,13.44,17.61,5.24,33.3,22.85,0.52,48.02,43.84,102.19,4.77,2.3,3.8,7.42,8.1,,374.0,,0.0,0.84,290.31,08-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
08-Mar-2019 - 00:00,20.11,28.59,6.43,28.84,22.89,0.56,38.3,53.53,141.15,4.77,1.27,3.48,5.6,7.45,,289.33,,0.0,0.66,215.98,09-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
09-Mar-2019 - 00:00,15.43,18.5,7.18,31.17,16.02,0.47,38.6,55.47,112.21,4.93,2.67,3.88,8.43,8.15,,413.12,,0.0,0.99,279.41,10-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
10-Mar-2019 - 00:00,22.89,19.69,15.53,27.94,19.98,0.52,49.93,42.99,102.32,4.22,1.98,3.34,7.05,7.2,,420.82,,0.0,0.9,266.21,11-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
11-Mar-2019 - 00:00,27.85,32.47,13.37,42.07,21.2,0.57,34.79,62.48,162.98,5.79,1.59,3.77,6.6,8.31,,188.35,,0.0,0.66,117.68,12-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
12-Mar-2019 - 00:00,19.71,27.49,6.7,65.11,22.9,0.42,38.29,43.44,121.63,3.87,1.68,3.39,6.25,7.15,,350.22,,0.0,0.8,188.2,13-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
13-Mar-2019 - 00:00,43.29,48.46,21.79,121.42,31.08,0.63,29.78,68.15,209.49,6.47,0.79,4.05,2.45,4.08,,179.94,,0.0,0.58,198.56,14-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
14-Mar-2019 - 00:00,43.0,40.13,26.04,88.89,20.68,0.75,18.36,63.83,150.51,5.73,1.32,3.88,5.73,8.34,,119.29,,0.02,0.66,187.88,15-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
15-Mar-2019 - 00:00,21.98,26.7,8.58,55.52,6.39,0.5,48.5,45.86,91.81,4.29,1.25,3.29,4.7,6.73,,386.7,,0.0,0.86,280.99,16-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
16-Mar-2019 - 00:00,12.57,18.32,2.28,40.26,14.19,0.5,58.4,40.74,93.01,3.73,1.4,2.94,5.04,6.34,,,,0.0,1.2,285.9,17-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
17-Mar-2019 - 00:00,9.62,14.35,1.2,34.53,20.31,0.48,71.49,44.24,101.03,3.67,1.5,2.63,5.16,5.62,,453.98,,0.0,1.0,288.7,18-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
