from date,NO2,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,WS,WD,RH,to date,station
06-Mar-2019 - 00:00,18.18,9.34,3.7,0.63,64.16,36.73,92.91,0.31,27.45,1.07,94.67,41.19,07-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
07-Mar-2019 - 00:00,38.51,8.37,3.99,1.37,49.14,49.39,134.23,0.55,26.35,0.91,85.17,28.95,08-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
08-Mar-2019 - 00:00,45.36,11.74,7.5,1.45,83.78,48.38,120.93,0.48,27.56,0.93,82.31,34.07,09-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
09-Mar-2019 - 00:00,29.18,16.76,4.12,1.41,72.56,49.4,110.99,0.41,26.07,1.2,90.07,55.83,10-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
10-Mar-2019 - 00:00,30.13,14.76,4.47,1.47,52.21,35.94,87.05,0.31,27.45,1.43,94.17,55.96,11-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
11-Mar-2019 - 00:00,33.99,10.08,7.78,1.21,55.18,32.94,85.15,0.35,26.24,1.51,93.0,48.1,12-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
12-Mar-2019 - 00:00,36.24,9.13,16.61,1.41,55.63,44.48,103.03,0.36,27.39,1.57,97.0,42.43,13-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
13-Mar-2019 - 00:00,32.34,6.41,13.56,1.18,40.84,43.69,108.97,0.42,26.39,1.6,99.5,36.82,14-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
14-Mar-2019 - 00:00,11.21,2.28,8.41,0.74,48.15,38.78,100.99,0.37,26.28,1.8,,33.34,15-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
15-Mar-2019 - 00:00,36.41,4.39,5.44,0.85,46.52,37.58,95.92,0.4,26.38,1.68,95.33,30.29,16-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
16-Mar-2019 - 00:00,61.08,9.64,4.34,0.96,46.58,43.5,110.33,0.43,27.31,1.9,96.92,36.64,17-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
17-Mar-2019 - 00:00,51.28,10.86,6.39,1.04,73.95,44.3,89.13,0.39,26.26,1.33,93.06,39.49,18-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
18-Mar-2019 - 00:00,49.34,14.2,5.17,0.92,66.97,43.38,93.83,0.42,27.35,1.29,95.67,48.62,19-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
19-Mar-2019 - 00:00,40.85,15.27,4.38,0.89,59.15,37.0,84.0,0.36,26.35,1.4,98.0,52.51,20-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
20-Mar-2019 - 00:00,36.93,14.06,11.16,0.76,67.62,36.88,85.0,0.32,27.23,1.4,80.0,51.34,21-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
21-Mar-2019 - 00:00,38.61,12.4,4.33,0.9,84.86,39.17,87.79,0.39,26.11,1.09,93.0,47.72,22-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
22-Mar-2019 - 00:00,44.94,11.42,7.27,1.13,62.64,39.04,90.07,0.42,26.5,1.26,84.0,46.69,23-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
23-Mar-2019 - 00:00,48.71,12.45,5.49,1.06,69.73,41.94,100.0,0.44,27.35,0.8,87.0,45.05,24-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
24-Mar-2019 - 00:00,33.8,13.46,5.75,0.91,77.41,33.5,90.33,0.31,26.2,0.8,90.88,47.36,25-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
25-Mar-2019 - 00:00,47.34,14.36,5.94,0.89,49.14,44.11,90.56,0.35,27.53,1.16,95.5,47.15,26-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
26-Mar-2019 - 00:00,52.01,11.29,9.63,1.2,60.98,41.84,93.61,0.4,26.24,1.02,95.25,38.39,27-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
27-Mar-2019 - 00:00,53.37,10.8,6.88,1.01,61.54,42.27,101.6,0.43,27.29,0.77,97.0,40.95,28-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
28-Mar-2019 - 00:00,61.55,10.53,11.13,0.97,56.48,46.95,112.67,0.48,26.46,0.76,91.23,37.35,29-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
29-Mar-2019 - 00:00,47.2,13.98,4.03,0.89,76.4,47.59,115.14,0.39,27.38,0.68,79.43,45.77,30-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
30-Mar-2019 - 00:00,51.7,13.45,8.14,1.17,63.15,46.77,110.67,0.49,26.17,0.58,96.5,43.16,31-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
31-Mar-2019 - 00:00,40.08,16.82,6.35,0.79,55.89,46.06,101.26,0.38,26.97,0.54,,51.02,01-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
