from date,NO2,NOx,NO,NH3,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WD,WS,SR,RF,SO2,CO,Ozone,PM2.5,PM10,to date,station
16-Dec-2019 - 00:00,2.5,3.21,3.71,3.02,4.14,0.38,1.22,2.53,1.01,188.28,5.3,,0.0,6.85,0.45,26.45,25.43,59.81,17-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
17-Dec-2019 - 00:00,2.67,3.23,3.57,3.01,4.53,0.35,1.25,3.01,1.19,187.36,5.09,,0.0,6.82,0.6,30.93,37.09,103.28,18-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
18-Dec-2019 - 00:00,2.56,3.14,3.58,3.05,7.38,0.31,1.78,4.49,1.69,188.9,5.4,,0.0,9.63,0.81,17.85,41.97,88.87,19-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
19-Dec-2019 - 00:00,2.71,3.19,3.48,3.03,6.18,0.25,1.44,3.2,1.23,188.46,5.28,,0.0,11.07,0.7,16.53,44.39,98.12,20-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
20-Dec-2019 - 00:00,2.57,3.17,3.6,3.03,7.33,21.84,1.63,3.35,1.38,188.44,5.28,,0.0,11.3,0.88,9.84,47.78,106.83,21-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
21-Dec-2019 - 00:00,2.02,4.83,5.58,1.9,7.34,57.46,1.65,3.47,1.47,187.7,5.13,,0.0,14.37,0.96,18.21,45.52,104.11,22-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
22-Dec-2019 - 00:00,2.58,5.13,6.67,3.78,8.22,0.42,1.87,3.8,1.59,188.77,5.36,,0.0,14.14,1.01,19.72,38.69,85.1,23-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
23-Dec-2019 - 00:00,2.6,4.94,6.42,4.07,7.81,0.22,1.48,3.03,1.14,188.98,5.43,,0.0,13.69,0.93,17.85,39.5,87.03,24-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
24-Dec-2019 - 00:00,2.65,5.1,6.58,4.01,5.51,0.19,1.13,2.32,0.96,188.21,5.27,,0.0,15.31,0.78,22.81,51.3,115.46,25-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
25-Dec-2019 - 00:00,2.56,5.05,6.58,4.03,6.09,0.26,1.44,3.28,1.65,189.07,5.46,,0.0,15.67,0.81,22.96,64.92,148.97,26-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
26-Dec-2019 - 00:00,2.55,5.01,6.54,4.06,6.97,0.28,1.45,3.02,1.35,189.59,5.56,,0.0,14.67,0.91,22.0,70.2,169.86,27-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
27-Dec-2019 - 00:00,2.68,5.1,6.56,4.01,7.1,0.28,1.44,3.03,1.2,189.72,5.57,,0.0,16.03,0.94,19.09,77.82,170.84,28-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
28-Dec-2019 - 00:00,2.74,4.84,6.3,5.09,7.62,1.18,1.55,2.87,1.13,191.12,5.86,,0.0,17.12,0.99,8.67,82.03,163.39,29-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
29-Dec-2019 - 00:00,2.64,5.1,6.6,4.01,6.35,2.14,1.51,3.37,1.67,190.62,5.75,,0.0,24.54,0.87,1.33,56.96,123.04,30-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
30-Dec-2019 - 00:00,2.65,4.98,6.44,4.06,5.53,1.87,1.3,2.78,1.57,190.38,5.7,,0.0,25.07,0.66,14.75,45.35,97.02,31-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
31-Dec-2019 - 00:00,2.76,5.14,6.58,3.97,6.44,2.34,1.55,3.33,1.71,190.47,5.72,,0.0,20.66,0.93,33.54,60.35,136.05,01-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
