from date,NO2,NOx,NO,NH3,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WD,WS,SR,RF,SO2,CO,Ozone,PM2.5,PM10,to date,station
08-Apr-2019 - 00:00,17.06,19.55,15.29,26.27,4.42,4.27,1.73,4.38,2.53,178.98,1.47,460.1,0.0,8.01,1.34,22.42,234.29,429.83,09-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
09-Apr-2019 - 00:00,17.68,17.57,12.42,22.64,5.48,11.6,1.67,4.03,2.6,178.59,1.44,480.06,0.0,9.22,1.45,37.29,75.85,188.02,10-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
10-Apr-2019 - 00:00,19.32,18.2,12.12,23.51,4.62,6.54,1.82,4.24,2.57,178.6,1.43,435.95,0.0,8.46,1.43,24.81,56.29,182.73,11-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
11-Apr-2019 - 00:00,19.55,19.88,14.08,26.01,4.43,6.31,1.8,3.87,2.38,178.11,1.4,292.91,0.0,6.36,1.38,16.5,51.59,138.7,12-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
12-Apr-2019 - 00:00,17.9,22.81,18.8,31.26,3.71,4.09,1.66,4.63,2.61,178.61,1.45,436.9,0.0,7.3,1.33,17.51,47.79,158.71,13-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
13-Apr-2019 - 00:00,12.9,16.82,14.6,22.0,3.29,6.5,1.33,3.4,1.94,178.58,1.46,342.11,0.0,7.91,1.31,12.57,37.09,88.23,14-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
14-Apr-2019 - 00:00,18.24,19.48,14.43,26.02,3.8,5.41,1.74,4.35,2.62,177.47,1.38,498.48,0.0,9.28,1.35,19.3,36.65,90.49,15-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
15-Apr-2019 - 00:00,16.98,14.22,8.69,17.66,3.3,8.75,1.58,3.91,2.57,177.99,1.39,370.48,0.0,8.18,1.31,19.05,44.21,126.79,16-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
16-Apr-2019 - 00:00,13.87,14.33,10.89,19.35,3.09,2.0,1.42,3.03,1.69,179.63,1.54,200.47,0.0,8.29,1.33,21.49,40.87,103.27,17-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
17-Apr-2019 - 00:00,16.4,15.55,10.73,18.54,2.49,0.95,1.37,3.21,1.71,179.81,1.59,242.31,0.0,8.49,1.29,17.38,27.35,57.44,18-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
18-Apr-2019 - 00:00,18.64,15.55,9.28,18.55,2.75,1.07,1.44,3.42,1.8,178.04,1.49,437.19,0.0,8.1,1.31,32.25,30.64,55.76,19-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
19-Apr-2019 - 00:00,14.37,11.08,6.48,12.95,3.61,1.74,1.35,2.86,1.58,177.02,1.4,514.64,0.0,9.14,1.36,28.36,48.12,77.86,20-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
20-Apr-2019 - 00:00,16.8,13.47,7.87,16.87,4.01,7.0,1.56,3.59,2.27,176.67,1.34,452.37,0.0,10.47,1.37,31.17,46.04,84.13,21-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
21-Apr-2019 - 00:00,20.87,14.86,6.96,18.48,4.15,5.8,1.68,3.32,2.09,176.52,1.31,524.38,0.0,8.42,1.41,37.57,44.77,90.7,22-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
22-Apr-2019 - 00:00,17.16,13.15,7.24,15.63,4.04,6.98,1.49,3.33,2.23,176.31,1.28,478.75,0.0,4.81,1.28,34.19,52.05,106.19,23-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
23-Apr-2019 - 00:00,13.65,11.38,7.15,12.36,4.19,4.74,1.57,3.77,2.31,175.93,1.25,471.18,0.0,5.13,2.02,34.81,58.53,137.58,24-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
24-Apr-2019 - 00:00,6.0,4.95,4.78,3.88,3.84,4.82,1.52,3.58,2.21,176.59,1.29,461.44,0.0,6.23,1.98,57.8,72.7,268.23,25-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
25-Apr-2019 - 00:00,3.46,2.86,2.69,1.26,3.14,6.54,1.15,3.73,1.69,176.91,1.33,398.92,0.0,8.7,1.0,41.06,50.11,116.51,26-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
26-Apr-2019 - 00:00,6.83,5.92,3.71,1.84,5.05,,1.07,5.33,2.5,175.56,11.05,429.42,0.0,8.25,0.27,38.93,53.21,129.2,27-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
27-Apr-2019 - 00:00,5.63,4.5,2.76,0.16,2.07,4.29,0.45,0.87,3.07,175.93,37.15,453.06,0.0,7.67,0.28,46.14,67.36,178.28,28-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
