from date,VWS,WD,RH,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,WS,SO2,Toluene,Eth-Benzene,MP-Xylene,O Xylene,Benzene,to date,station
06-Sep-2019 - 00:00,0.18,152.82,80.14,76.66,8.1,21.63,17.96,17.54,46.25,30.13,1.04,1.09,6.52,4.13,1.68,2.27,0.8,1.0,07-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Sep-2019 - 00:00,0.2,167.03,85.63,85.33,7.97,21.91,18.03,21.54,52.05,29.89,0.87,1.13,4.6,3.57,1.27,1.5,0.42,0.76,08-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Sep-2019 - 00:00,0.13,88.24,77.12,115.85,7.07,17.92,15.17,35.51,51.78,30.78,0.76,0.81,4.37,6.44,1.25,1.85,0.61,1.32,09-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Sep-2019 - 00:00,0.12,84.1,69.65,87.73,6.7,15.7,13.69,40.79,67.15,30.97,0.88,0.81,2.03,4.72,1.04,0.94,0.23,1.07,10-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Sep-2019 - 00:00,0.14,128.84,67.31,71.38,12.71,19.0,20.08,38.04,78.51,30.89,0.59,0.65,5.65,8.27,1.32,2.07,0.84,1.64,11-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Sep-2019 - 00:00,-0.08,156.01,66.5,73.62,8.5,25.9,20.57,50.89,85.02,31.34,0.71,0.64,5.8,4.77,1.42,2.25,0.82,1.15,12-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Sep-2019 - 00:00,-0.27,170.29,69.82,56.86,6.44,29.87,17.27,42.74,66.19,31.14,1.02,1.43,8.03,5.12,2.0,2.55,1.06,1.18,13-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Sep-2019 - 00:00,-0.33,159.83,70.86,67.84,6.55,17.44,14.48,33.47,47.72,30.88,0.7,1.21,3.66,2.24,0.83,0.33,0.09,0.54,14-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Sep-2019 - 00:00,0.49,135.4,70.79,60.83,6.1,13.78,12.19,37.0,39.4,30.83,0.65,1.29,6.45,2.75,0.71,0.41,0.08,0.65,15-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Sep-2019 - 00:00,2.05,151.73,78.57,62.74,10.14,21.15,16.63,39.0,42.44,30.24,0.71,0.99,7.31,3.43,0.69,0.95,0.3,0.79,16-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Sep-2019 - 00:00,1.44,149.78,63.98,72.04,10.21,16.98,17.19,34.97,60.65,31.17,0.64,0.72,5.11,4.85,1.16,1.64,1.87,1.06,17-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Sep-2019 - 00:00,0.19,137.95,68.64,73.33,7.6,19.38,16.26,37.14,56.95,30.59,0.97,0.73,5.79,5.13,1.27,1.67,0.69,1.27,18-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Sep-2019 - 00:00,0.81,158.19,65.63,72.69,8.1,20.48,16.67,33.01,51.72,30.27,0.82,1.51,12.26,2.44,0.87,0.43,0.05,0.49,19-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Sep-2019 - 00:00,0.59,154.59,72.21,50.17,6.34,16.76,13.98,24.71,46.05,30.23,0.5,1.6,8.46,1.98,0.6,0.56,0.16,0.25,20-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Sep-2019 - 00:00,0.33,169.14,70.55,65.7,8.52,36.41,26.19,18.44,42.93,28.55,0.47,1.08,13.01,3.3,0.97,0.99,0.25,0.59,21-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Sep-2019 - 00:00,0.78,151.54,74.36,59.66,12.04,20.81,20.7,27.18,47.37,26.54,0.8,0.89,11.86,4.54,1.81,2.56,0.8,0.91,22-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Sep-2019 - 00:00,1.16,154.21,81.33,53.52,10.97,28.74,23.15,20.13,38.17,26.21,1.09,1.18,15.59,3.11,1.23,1.37,0.28,0.55,23-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Sep-2019 - 00:00,0.45,148.0,71.54,56.78,6.74,21.62,16.89,30.52,46.85,27.84,0.94,1.09,12.19,3.83,1.0,0.8,0.19,0.73,24-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Sep-2019 - 00:00,0.14,156.11,70.29,51.04,7.33,25.34,19.34,35.51,48.41,27.69,0.97,1.17,10.51,3.19,1.14,1.08,0.24,0.61,25-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Sep-2019 - 00:00,0.09,141.35,70.95,57.2,7.39,20.7,16.68,38.2,40.05,27.38,0.92,1.19,11.11,2.98,1.05,0.68,0.05,0.66,26-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Sep-2019 - 00:00,-0.18,142.72,73.48,49.52,7.77,21.86,17.63,19.81,38.82,28.03,0.86,1.42,14.18,3.21,0.92,1.02,0.29,0.32,27-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
