from date,VWS,WD,RH,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,WS,SO2,Toluene,Eth-Benzene,MP-Xylene,O Xylene,Benzene,to date,station
22-Apr-2019 - 00:00,0.06,215.71,38.61,132.98,32.24,37.01,45.47,40.12,138.86,31.35,1.15,0.82,19.69,23.71,6.47,11.74,6.68,8.09,23-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Apr-2019 - 00:00,0.04,173.62,33.88,137.87,19.18,33.29,33.05,34.18,120.72,32.18,1.33,0.96,15.48,13.11,3.7,7.46,3.38,5.43,24-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Apr-2019 - 00:00,0.02,182.6,33.43,122.84,5.28,28.07,19.16,51.54,101.49,33.59,0.55,1.32,8.45,10.93,3.14,5.26,2.46,4.41,25-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Apr-2019 - 00:00,-0.04,154.05,39.25,114.69,4.51,18.65,13.53,56.67,114.82,33.28,0.54,1.56,9.02,7.64,2.1,3.47,1.58,4.24,26-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Apr-2019 - 00:00,0.07,204.15,30.11,141.12,11.98,26.17,23.5,31.43,110.12,32.83,0.55,1.11,11.5,10.5,3.2,4.43,3.02,4.35,27-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Apr-2019 - 00:00,0.23,257.33,22.0,137.64,6.44,21.93,16.82,33.71,123.29,33.0,0.52,1.74,12.54,6.27,1.28,2.56,1.33,2.1,28-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Apr-2019 - 00:00,0.26,229.39,17.09,139.64,8.41,23.54,19.25,33.71,125.99,32.9,0.74,1.44,15.12,6.67,2.07,3.63,1.73,2.61,29-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-Apr-2019 - 00:00,0.17,173.03,16.42,136.51,7.96,26.5,20.4,35.41,124.43,33.12,0.79,1.07,19.67,10.94,2.59,4.97,2.47,4.35,30-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-Apr-2019 - 00:00,0.11,163.23,15.42,128.71,10.4,33.09,25.92,33.93,113.56,33.71,1.0,1.33,13.62,12.6,4.11,6.86,2.99,6.69,01-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-May-2019 - 00:00,0.07,138.36,23.79,126.53,12.88,28.63,25.53,40.02,116.07,32.76,0.6,0.82,5.88,11.2,4.4,7.93,3.17,4.19,02-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-May-2019 - 00:00,-0.05,99.27,31.09,121.58,3.55,18.77,12.83,42.29,110.31,31.69,0.72,1.96,5.36,8.0,1.83,3.36,1.67,3.52,03-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-May-2019 - 00:00,-0.06,121.32,36.77,129.59,5.23,20.44,15.06,39.7,72.17,30.6,0.7,1.52,4.79,5.69,1.75,2.85,1.22,2.77,04-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-May-2019 - 00:00,0.14,227.91,24.26,149.67,4.58,19.4,13.91,27.95,102.31,31.48,0.76,1.29,7.64,8.99,2.53,4.03,1.82,3.32,05-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-May-2019 - 00:00,0.2,278.59,17.27,147.89,13.44,21.31,22.12,28.66,130.57,31.43,0.73,1.15,13.5,13.05,3.74,7.14,3.38,4.74,06-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-May-2019 - 00:00,0.26,254.17,14.75,145.43,9.76,20.35,10.33,25.17,140.24,32.11,0.43,1.14,6.46,3.75,1.18,2.56,1.16,2.61,07-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-May-2019 - 00:00,0.19,249.06,18.79,133.53,,,0.0,,160.51,32.25,0.0,1.17,2.1,0.0,0.0,0.0,0.0,0.0,08-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-May-2019 - 00:00,0.23,261.21,17.56,136.61,,,0.0,,179.56,33.06,0.0,1.21,,0.0,0.0,0.0,0.0,0.0,09-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-May-2019 - 00:00,0.18,271.37,18.7,131.93,3.59,21.42,14.26,9.1,177.31,33.4,0.74,1.24,6.72,0.91,0.32,0.43,0.22,0.17,10-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-May-2019 - 00:00,0.03,282.45,18.68,135.98,3.65,33.12,18.43,17.24,148.45,33.34,0.44,1.35,3.32,2.05,0.63,1.08,0.51,0.55,11-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-May-2019 - 00:00,-0.1,206.23,28.86,120.84,4.4,29.31,18.93,38.19,132.03,32.1,0.48,1.34,5.74,4.74,1.24,2.81,1.27,2.22,12-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-May-2019 - 00:00,-0.0,290.15,30.56,129.22,4.15,19.82,13.86,36.71,287.45,32.05,0.58,1.43,4.86,1.02,1.62,1.08,1.77,0.05,13-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-May-2019 - 00:00,-0.16,180.69,34.38,105.45,4.24,16.61,11.89,33.27,181.84,31.71,0.57,1.4,11.81,3.1,0.87,1.4,0.76,1.11,14-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-May-2019 - 00:00,-0.09,181.31,46.85,149.31,4.04,12.07,9.65,18.16,70.49,30.1,0.49,0.91,2.55,7.15,1.83,2.84,1.27,2.24,15-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-May-2019 - 00:00,-0.15,130.67,53.53,108.13,7.44,20.48,16.84,15.52,94.07,29.66,0.57,1.36,5.16,14.01,3.54,6.77,3.06,5.58,16-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-May-2019 - 00:00,-0.03,151.5,52.53,129.57,8.46,13.66,14.03,12.31,111.34,30.08,0.57,1.19,5.2,10.75,2.57,5.07,2.38,3.31,17-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-May-2019 - 00:00,-0.04,181.11,58.55,121.23,9.16,11.95,13.68,25.73,141.44,28.71,0.54,1.28,6.06,9.75,3.02,4.89,2.17,3.7,18-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-May-2019 - 00:00,0.03,287.91,62.31,163.92,4.11,9.75,8.48,36.58,55.37,28.14,0.48,1.14,3.0,3.99,1.37,1.77,0.81,1.22,19-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-May-2019 - 00:00,0.12,275.63,45.34,155.52,5.39,14.92,12.25,48.96,92.09,30.74,0.49,1.0,5.13,6.9,2.29,3.69,1.95,2.78,20-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-May-2019 - 00:00,0.18,262.49,37.05,148.98,9.37,16.98,16.53,43.66,117.81,31.93,0.91,0.99,11.8,6.43,1.78,4.0,1.79,2.86,21-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-May-2019 - 00:00,0.17,259.52,34.93,146.65,6.97,13.06,12.53,45.74,92.13,32.67,0.5,0.97,8.35,4.0,1.28,2.39,1.11,1.85,22-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-May-2019 - 00:00,0.12,215.16,39.86,81.21,13.2,13.18,17.57,30.57,88.49,31.88,0.59,0.78,8.75,5.56,1.81,4.43,1.69,2.26,23-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-May-2019 - 00:00,0.04,184.59,46.21,117.62,6.31,12.96,11.88,47.18,94.92,31.36,0.6,0.98,10.45,5.32,2.16,3.91,1.21,2.74,24-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-May-2019 - 00:00,-0.05,149.44,64.65,130.77,5.39,12.17,10.78,23.94,63.09,29.37,0.79,1.55,8.3,8.37,2.1,3.55,1.53,1.88,25-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-May-2019 - 00:00,0.15,249.81,44.9,161.97,3.51,9.86,8.06,52.31,73.55,30.86,0.58,1.68,6.58,3.62,0.75,1.7,0.71,1.13,26-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-May-2019 - 00:00,0.08,208.22,31.44,165.78,3.37,10.44,8.25,63.57,68.32,31.89,0.43,1.36,6.49,2.79,0.88,1.77,0.71,1.22,27-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-May-2019 - 00:00,0.11,191.97,23.56,160.77,3.73,14.0,10.43,60.17,79.32,33.56,0.73,1.26,10.18,3.44,0.99,2.49,0.87,1.53,28-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-May-2019 - 00:00,0.15,267.25,18.72,167.12,6.45,18.31,14.9,56.11,88.45,33.47,0.45,1.15,8.69,6.05,1.27,3.39,1.48,2.09,29-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-May-2019 - 00:00,0.12,222.96,21.21,139.79,6.61,18.2,14.97,56.74,92.93,34.02,0.47,0.97,8.43,4.46,1.12,3.02,1.12,1.99,30-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-May-2019 - 00:00,0.14,234.17,21.02,134.33,15.86,21.61,24.18,43.96,105.9,35.01,0.69,0.86,10.06,11.25,3.64,7.41,2.93,3.44,31-May-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
31-May-2019 - 00:00,0.18,246.69,18.37,128.71,8.09,14.8,14.34,43.14,137.87,36.1,0.48,0.98,9.66,4.55,1.22,3.52,1.58,1.84,01-Jun-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-Jun-2019 - 00:00,0.07,118.07,25.65,124.98,6.42,14.03,12.6,61.81,114.11,36.34,0.8,1.02,13.29,4.63,1.33,2.72,0.92,1.93,02-Jun-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Jun-2019 - 00:00,-0.07,135.15,45.52,119.71,3.34,7.91,6.88,62.79,99.95,35.49,0.42,1.79,7.02,2.38,0.6,1.4,0.46,1.35,03-Jun-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Jun-2019 - 00:00,-0.18,153.3,48.57,108.25,3.29,5.26,5.24,50.5,109.24,33.99,0.72,2.3,4.43,1.34,0.74,0.78,0.23,0.86,04-Jun-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Jun-2019 - 00:00,-0.13,146.4,45.09,123.16,3.33,7.79,6.67,62.71,121.44,34.21,0.64,1.8,3.79,2.3,0.59,1.2,0.48,1.03,05-Jun-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Jun-2019 - 00:00,0.01,147.52,39.35,115.72,3.59,10.13,8.25,55.46,106.35,35.34,0.62,1.23,6.92,2.57,0.73,1.64,0.54,1.41,06-Jun-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Jun-2019 - 00:00,0.08,196.16,30.66,108.7,4.6,10.2,9.1,48.3,101.5,35.26,0.49,1.28,6.94,2.31,1.04,1.5,0.55,0.93,07-Jun-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Jun-2019 - 00:00,-0.05,135.66,43.65,123.66,3.3,9.69,7.79,78.52,70.93,33.48,0.53,1.62,8.78,2.26,0.72,1.16,0.4,1.1,08-Jun-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Jun-2019 - 00:00,0.2,161.96,36.1,132.43,4.93,21.04,11.11,45.86,103.75,35.4,0.86,1.06,37.8,2.1,0.69,1.68,0.75,0.7,09-Jun-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Jun-2019 - 00:00,0.1,157.74,24.58,122.52,6.25,18.79,10.0,70.03,111.5,35.8,0.7,0.71,2.0,5.15,1.17,2.98,1.14,2.14,10-Jun-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Jun-2019 - 00:00,0.16,189.18,18.13,143.72,4.76,27.33,15.26,60.58,97.07,37.67,0.67,1.03,4.84,3.86,0.93,2.31,1.04,1.31,11-Jun-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Jun-2019 - 00:00,0.13,206.92,19.14,96.85,10.4,22.23,20.15,33.14,226.06,35.98,0.72,1.14,6.11,3.46,1.08,2.89,1.24,1.22,12-Jun-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Jun-2019 - 00:00,0.12,133.74,40.41,119.06,4.31,14.3,11.05,58.91,98.48,34.25,0.68,2.48,5.69,1.56,0.63,1.05,0.36,0.61,13-Jun-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Jun-2019 - 00:00,0.39,218.03,39.16,123.06,4.14,13.44,10.46,51.93,76.15,35.14,0.64,1.17,3.07,1.78,0.57,1.12,0.42,0.66,14-Jun-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Jun-2019 - 00:00,0.46,288.11,26.5,134.5,8.26,17.19,15.75,55.9,73.5,35.29,0.68,1.31,3.51,3.77,0.7,1.78,0.74,1.03,15-Jun-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
