from date,CH4,PM2.5,RH,SR,VWS,WD,WS,CO,NH3,NOx,NO,NO2,SO2,to date,BP,station
30-Oct-2019 - 00:00,,86.08,97.08,,-0.45,206.82,0.57,0.69,126.8,66.73,15.25,53.0,9.61,31-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
31-Oct-2019 - 00:00,,251.39,92.3,,-0.45,129.27,0.56,1.21,140.39,71.96,24.44,52.73,5.95,01-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
01-Nov-2019 - 00:00,100.0,81.78,86.16,,-0.46,283.39,0.61,1.17,153.58,87.66,75.5,43.06,6.51,02-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
02-Nov-2019 - 00:00,0.0,0.0,,,0.0,,,0.0,,0.0,,,,03-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
03-Nov-2019 - 00:00,,113.76,91.75,,-0.5,280.24,0.59,0.23,98.39,53.47,17.88,37.79,11.98,04-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
04-Nov-2019 - 00:00,50.0,130.5,83.45,,-0.48,268.44,0.63,0.95,75.04,30.46,11.79,23.49,12.55,05-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
05-Nov-2019 - 00:00,347.63,119.66,80.3,,-0.47,233.49,0.68,1.3,77.18,29.51,13.54,19.98,12.3,06-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
06-Nov-2019 - 00:00,,132.4,80.09,,-0.48,233.18,0.59,0.95,71.75,31.42,11.22,24.77,12.66,07-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
07-Nov-2019 - 00:00,,141.5,79.48,,-0.48,235.4,0.54,0.78,73.72,31.4,13.09,23.66,8.64,08-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
08-Nov-2019 - 00:00,91.71,186.95,78.07,,-0.47,160.96,0.64,0.93,68.0,27.93,11.74,20.1,6.26,09-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
09-Nov-2019 - 00:00,0.0,0.0,,,0.0,,,0.0,,0.0,,,,10-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
10-Nov-2019 - 00:00,,,,,,,,,,,,,,11-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
11-Nov-2019 - 00:00,,,,,,,,,,,,,,12-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
12-Nov-2019 - 00:00,,,,,,,,,,,,,,13-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
13-Nov-2019 - 00:00,,,,,,,,,,,,,,14-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
14-Nov-2019 - 00:00,,,,,,,,,,,,,,15-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
15-Nov-2019 - 00:00,,,,,,,,,,,,,,16-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
16-Nov-2019 - 00:00,,,,,,,,,,,,,,17-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
17-Nov-2019 - 00:00,,,,,,,,,,,,,,18-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
18-Nov-2019 - 00:00,,,,,,,,,,,,,,19-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
19-Nov-2019 - 00:00,,,,,,,,,,,,,,20-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
20-Nov-2019 - 00:00,,,,,,,,,,,,,,21-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
21-Nov-2019 - 00:00,,,,,,,,,,,,,,22-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
22-Nov-2019 - 00:00,,,,,,,,,,,,,,23-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
23-Nov-2019 - 00:00,,,,,,,,,,,,,,24-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
24-Nov-2019 - 00:00,,,,,,,,,,,,,,25-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
25-Nov-2019 - 00:00,,,,,,,,,,,,,,26-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
26-Nov-2019 - 00:00,0.0,117.1,76.88,30.72,-0.4,288.82,1.22,1.04,46.82,58.22,16.36,70.49,4.49,27-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
27-Nov-2019 - 00:00,1.52,63.49,81.43,163.22,-0.41,290.78,1.03,0.93,52.91,36.71,19.08,38.55,27.66,28-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
28-Nov-2019 - 00:00,,,88.72,60.56,-0.41,284.26,1.04,0.72,,41.96,4.81,54.6,9.34,29-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
29-Nov-2019 - 00:00,982.47,,86.96,83.62,-0.39,286.59,1.18,0.47,,22.05,17.63,13.92,12.82,30-Nov-2019 - 00:00,,"Manali, Chennai - CPCB"
30-Nov-2019 - 00:00,,,94.03,66.99,-0.42,281.03,0.9,0.45,,25.0,9.2,15.8,4.26,01-Dec-2019 - 00:00,995.96,"Manali, Chennai - CPCB"
01-Dec-2019 - 00:00,948.74,,96.37,15.69,-0.44,289.83,0.78,0.63,,25.05,9.05,16.0,12.5,02-Dec-2019 - 00:00,995.48,"Manali, Chennai - CPCB"
02-Dec-2019 - 00:00,66.42,,99.23,26.34,-0.43,285.14,0.86,0.46,,24.42,10.12,14.29,9.95,03-Dec-2019 - 00:00,,"Manali, Chennai - CPCB"
03-Dec-2019 - 00:00,136.98,,87.22,28.23,-0.41,287.71,1.01,1.2,,24.18,10.66,13.52,5.07,04-Dec-2019 - 00:00,,"Manali, Chennai - CPCB"
04-Dec-2019 - 00:00,,67.25,74.31,33.92,-0.39,288.2,1.3,0.46,,,,,6.7,05-Dec-2019 - 00:00,,"Manali, Chennai - CPCB"
05-Dec-2019 - 00:00,,64.45,68.54,18.74,-0.4,288.2,1.15,0.58,,,,,6.89,06-Dec-2019 - 00:00,,"Manali, Chennai - CPCB"
06-Dec-2019 - 00:00,,65.1,69.45,26.5,-0.4,280.91,1.16,0.83,,17.36,7.08,13.5,9.04,07-Dec-2019 - 00:00,,"Manali, Chennai - CPCB"
07-Dec-2019 - 00:00,37.09,47.26,95.92,25.47,-0.45,258.02,0.74,2.0,,22.61,4.93,18.41,8.56,08-Dec-2019 - 00:00,998.8,"Manali, Chennai - CPCB"
08-Dec-2019 - 00:00,965.5,43.57,82.35,31.76,-0.44,274.08,0.74,1.88,,68.56,7.13,61.46,3.23,09-Dec-2019 - 00:00,995.63,"Manali, Chennai - CPCB"
09-Dec-2019 - 00:00,997.7,35.52,78.27,44.03,-0.44,275.32,0.82,1.29,,53.88,8.01,45.91,6.79,10-Dec-2019 - 00:00,997.7,"Manali, Chennai - CPCB"
10-Dec-2019 - 00:00,,41.46,72.47,22.16,-0.43,284.06,0.93,0.62,,23.7,5.82,17.88,10.01,11-Dec-2019 - 00:00,,"Manali, Chennai - CPCB"
11-Dec-2019 - 00:00,913.9,49.2,77.02,24.64,-0.44,267.45,0.84,1.13,,34.92,8.23,26.69,9.82,12-Dec-2019 - 00:00,998.91,"Manali, Chennai - CPCB"
12-Dec-2019 - 00:00,994.4,36.93,73.62,60.47,-0.43,282.47,0.84,0.99,,21.5,5.47,16.03,10.44,13-Dec-2019 - 00:00,,"Manali, Chennai - CPCB"
13-Dec-2019 - 00:00,532.26,41.03,82.79,61.71,-0.43,283.35,0.87,0.9,84.16,25.29,6.42,19.58,22.36,14-Dec-2019 - 00:00,998.2,"Manali, Chennai - CPCB"
14-Dec-2019 - 00:00,958.46,53.76,88.96,68.27,-0.44,273.67,0.79,1.3,91.45,39.76,8.58,31.46,33.57,15-Dec-2019 - 00:00,996.96,"Manali, Chennai - CPCB"
15-Dec-2019 - 00:00,943.31,50.99,80.03,69.26,-0.45,278.32,0.76,1.18,95.82,41.66,8.43,33.47,8.24,16-Dec-2019 - 00:00,,"Manali, Chennai - CPCB"
16-Dec-2019 - 00:00,893.04,36.87,88.02,74.06,-0.44,267.69,0.8,1.27,64.25,27.35,5.34,22.61,5.4,17-Dec-2019 - 00:00,996.42,"Manali, Chennai - CPCB"
17-Dec-2019 - 00:00,961.67,59.49,76.56,52.85,-0.41,280.51,1.03,0.88,85.02,36.97,4.93,32.14,4.29,18-Dec-2019 - 00:00,999.2,"Manali, Chennai - CPCB"
18-Dec-2019 - 00:00,877.29,62.12,79.76,51.6,-0.41,283.74,1.05,0.82,85.4,37.13,5.96,31.21,13.99,19-Dec-2019 - 00:00,994.7,"Manali, Chennai - CPCB"
19-Dec-2019 - 00:00,953.13,68.58,74.85,57.83,-0.41,288.06,1.02,0.92,74.86,32.55,4.65,27.89,16.0,20-Dec-2019 - 00:00,,"Manali, Chennai - CPCB"
20-Dec-2019 - 00:00,662.91,86.85,76.57,26.19,-0.42,292.34,0.91,1.1,79.05,34.37,4.31,30.06,16.08,21-Dec-2019 - 00:00,,"Manali, Chennai - CPCB"
21-Dec-2019 - 00:00,621.87,95.07,78.37,41.2,-0.44,283.21,0.8,1.2,95.61,41.57,6.1,35.47,38.72,22-Dec-2019 - 00:00,995.07,"Manali, Chennai - CPCB"
22-Dec-2019 - 00:00,944.23,65.35,69.79,28.09,-0.43,293.24,0.86,1.12,84.17,36.6,5.08,31.52,43.45,23-Dec-2019 - 00:00,,"Manali, Chennai - CPCB"
23-Dec-2019 - 00:00,211.93,80.2,76.23,21.43,-0.44,268.37,0.8,1.34,99.76,43.38,6.36,37.02,13.34,24-Dec-2019 - 00:00,998.41,"Manali, Chennai - CPCB"
24-Dec-2019 - 00:00,895.8,64.0,83.95,9.34,-0.43,276.94,0.87,0.75,75.97,33.03,4.31,28.72,9.81,25-Dec-2019 - 00:00,,"Manali, Chennai - CPCB"
25-Dec-2019 - 00:00,,64.46,74.86,38.11,-0.43,285.53,0.89,1.42,85.23,37.06,5.44,31.61,17.22,26-Dec-2019 - 00:00,,"Manali, Chennai - CPCB"
26-Dec-2019 - 00:00,226.14,65.98,80.83,12.87,-0.46,275.98,0.66,1.13,95.12,37.47,7.08,30.39,49.13,27-Dec-2019 - 00:00,994.16,"Manali, Chennai - CPCB"
27-Dec-2019 - 00:00,901.1,43.78,76.45,24.9,-0.46,248.24,0.6,0.79,162.28,57.14,16.1,41.04,29.25,28-Dec-2019 - 00:00,994.41,"Manali, Chennai - CPCB"
28-Dec-2019 - 00:00,162.29,58.88,76.45,46.79,-0.45,272.83,0.72,1.08,106.5,50.71,10.54,40.18,28.29,29-Dec-2019 - 00:00,996.9,"Manali, Chennai - CPCB"
29-Dec-2019 - 00:00,971.34,74.7,82.42,23.25,-0.44,266.31,0.84,1.15,68.49,32.61,4.89,27.72,15.59,30-Dec-2019 - 00:00,998.8,"Manali, Chennai - CPCB"
30-Dec-2019 - 00:00,200.09,58.01,83.1,37.88,-0.42,266.95,0.89,0.78,55.46,26.41,3.98,22.44,28.11,31-Dec-2019 - 00:00,994.07,"Manali, Chennai - CPCB"
31-Dec-2019 - 00:00,199.85,75.6,81.04,0.45,-0.41,293.09,0.95,1.3,53.78,25.61,3.37,22.24,,01-Jan-2020 - 00:00,,"Manali, Chennai - CPCB"
