from date,NO2,SO2,CO,Ozone,PM2.5,PM10,NH3,Benzene,RH,SR,WS,WD,RF,to date,station
03-Apr-2019 - 00:00,47.38,14.79,0.25,13.47,40.14,102.9,9.2,,55.57,298.01,1.0,263.12,0.0,04-Apr-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
04-Apr-2019 - 00:00,38.45,5.91,0.28,13.55,36.88,93.38,9.58,,59.11,308.27,0.81,222.48,0.0,05-Apr-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
05-Apr-2019 - 00:00,46.85,6.91,0.36,14.33,58.88,143.89,9.03,,63.8,294.56,1.05,245.7,0.0,06-Apr-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
06-Apr-2019 - 00:00,35.3,7.1,0.24,14.5,46.54,117.72,11.97,,63.54,308.42,1.02,207.03,0.0,07-Apr-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
07-Apr-2019 - 00:00,34.54,7.0,0.28,13.19,23.07,79.66,11.0,,44.96,286.44,0.87,211.02,0.0,08-Apr-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
08-Apr-2019 - 00:00,33.36,7.52,0.25,12.82,41.43,124.74,10.48,,63.28,287.95,0.82,132.17,0.0,09-Apr-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
09-Apr-2019 - 00:00,38.98,9.38,0.26,13.37,38.27,99.1,9.29,0.0,60.35,305.89,0.56,219.72,0.0,10-Apr-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
10-Apr-2019 - 00:00,29.44,6.23,0.24,13.5,28.31,86.93,10.89,,51.79,300.77,2.17,287.63,0.0,11-Apr-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
11-Apr-2019 - 00:00,29.94,6.35,0.29,12.83,26.3,77.09,8.85,,46.28,303.83,1.69,316.66,0.0,12-Apr-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
12-Apr-2019 - 00:00,31.6,6.06,0.26,13.02,27.45,78.2,9.72,,52.51,273.3,1.87,317.58,0.0,13-Apr-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
