from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
17-Aug-2019 - 00:00,8.71,10.36,6.58,4.93,4.1,1.0,5.12,0.0,28.03,1.49,1.03,6.82,5.01,15.59,94.88,2.99,160.34,,0.0,18-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
18-Aug-2019 - 00:00,10.69,11.58,6.67,5.19,5.15,1.06,4.92,0.0,30.31,2.04,1.8,8.73,6.16,18.74,94.63,3.11,226.81,,0.0,19-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
19-Aug-2019 - 00:00,12.29,12.36,6.47,4.69,4.47,0.99,12.3,0.0,35.51,2.06,1.13,4.89,3.47,10.4,94.63,2.68,263.34,,0.0,20-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
20-Aug-2019 - 00:00,7.24,9.28,6.39,3.96,4.4,0.99,17.29,0.0,31.47,1.84,1.02,3.59,2.54,6.76,94.63,3.59,285.9,,0.0,21-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
21-Aug-2019 - 00:00,8.6,10.23,6.5,3.99,4.52,1.0,12.24,0.0,35.57,1.78,1.04,2.96,2.34,5.9,63.51,3.02,258.62,,0.0,22-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
22-Aug-2019 - 00:00,9.13,10.49,6.43,4.34,4.47,1.0,17.42,0.0,53.53,1.49,1.02,2.17,2.07,4.29,69.79,2.6,221.94,,0.0,23-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
23-Aug-2019 - 00:00,9.14,10.54,6.5,4.92,4.59,1.0,18.48,0.0,71.14,1.8,1.04,1.92,1.73,3.74,72.51,2.83,232.45,,0.0,24-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
24-Aug-2019 - 00:00,10.66,11.44,6.51,5.02,4.37,1.01,19.8,0.0,76.1,1.93,1.04,1.91,1.56,3.69,72.7,2.27,231.59,,0.0,25-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
25-Aug-2019 - 00:00,13.4,13.03,6.49,5.16,5.54,1.09,6.67,0.0,42.09,2.83,2.19,3.25,2.77,6.14,85.06,1.71,158.42,,0.0,26-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
26-Aug-2019 - 00:00,19.32,17.43,7.83,6.98,6.04,1.17,7.79,0.0,27.06,3.21,2.11,3.41,2.55,5.6,92.12,1.9,210.65,,0.0,27-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
27-Aug-2019 - 00:00,10.63,11.01,6.12,4.09,4.92,0.83,8.72,0.0,62.57,1.57,0.73,1.17,0.74,1.82,70.48,1.99,202.48,,0.0,28-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
28-Aug-2019 - 00:00,9.24,10.57,6.46,13.19,3.87,0.96,13.59,0.0,63.39,2.12,0.93,1.39,1.26,2.93,73.51,2.48,197.22,,0.0,29-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
29-Aug-2019 - 00:00,9.44,10.81,6.61,21.02,4.55,0.98,4.73,0.0,60.46,2.81,1.83,2.31,2.06,4.24,78.18,2.75,189.16,,0.0,30-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
30-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,31-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
31-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,01-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
01-Sep-2019 - 00:00,,,,,,,,,,,,,,,,,,,,02-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
02-Sep-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
03-Sep-2019 - 00:00,,,,,,,,,,,,,,,,,,,,04-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
04-Sep-2019 - 00:00,,,,,,,,,,,,,,,,,,,,05-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
