from date,BP,Benzene,O Xylene,Toluene,CO,Eth-Benzene,PM2.5,NO,NO2,NOx,Ozone,RH,SR,SO2,VWS,WD,WS,to date,station
26-Mar-2019 - 00:00,,0.09,0.0,0.16,1.22,0.12,74.8,2.72,20.34,22.91,81.13,21.99,75.6,2.02,0.08,101.76,0.81,27-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
27-Mar-2019 - 00:00,,0.14,0.0,0.25,1.46,0.19,78.46,3.3,21.82,25.12,61.3,32.31,199.28,2.64,0.08,132.68,0.64,28-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
28-Mar-2019 - 00:00,,1.14,0.02,2.04,2.57,1.56,73.08,4.05,30.33,34.38,58.93,24.8,208.09,2.37,0.08,148.67,0.43,29-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
29-Mar-2019 - 00:00,,1.43,0.25,2.56,1.9,1.95,87.97,3.8,26.71,30.88,59.4,38.33,189.62,4.14,0.08,170.78,0.52,30-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
30-Mar-2019 - 00:00,,1.01,0.02,1.81,1.35,1.38,80.77,3.21,25.57,28.26,56.95,34.65,187.5,1.92,0.08,162.86,0.54,31-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
31-Mar-2019 - 00:00,,0.27,0.0,0.49,1.26,0.36,84.88,3.22,20.32,23.04,49.47,44.99,185.23,0.98,0.08,183.23,0.62,01-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
01-Apr-2019 - 00:00,,0.41,0.0,0.72,1.35,0.55,77.17,3.02,18.85,21.74,55.26,38.01,170.81,1.23,0.08,170.05,0.63,02-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
02-Apr-2019 - 00:00,,0.85,0.01,1.51,1.18,1.15,90.04,3.53,25.16,28.69,45.69,42.37,135.24,2.04,0.08,162.74,0.42,03-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
03-Apr-2019 - 00:00,,1.41,0.02,2.52,1.35,1.92,81.92,3.7,22.89,26.58,49.72,36.7,79.6,1.11,0.08,128.19,0.56,04-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
04-Apr-2019 - 00:00,,0.25,0.0,0.45,1.45,0.34,59.02,2.58,18.1,20.56,54.75,36.28,191.83,2.08,0.08,127.25,0.95,05-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
05-Apr-2019 - 00:00,,0.91,0.02,1.62,1.3,1.24,68.99,3.74,23.55,27.29,58.05,35.15,169.43,1.49,0.08,165.28,0.62,06-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
06-Apr-2019 - 00:00,,0.19,0.0,0.35,1.37,0.26,65.11,2.78,18.88,21.63,58.71,35.85,180.48,1.44,0.08,159.96,0.48,07-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
07-Apr-2019 - 00:00,,0.26,0.0,0.46,1.43,0.35,71.5,2.91,17.92,20.83,53.54,32.47,174.52,1.65,0.08,150.69,0.46,08-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
08-Apr-2019 - 00:00,,0.0,0.0,0.0,1.34,0.0,51.82,2.7,15.76,18.39,50.52,44.1,210.37,1.16,0.08,141.92,0.61,09-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
09-Apr-2019 - 00:00,,0.68,0.01,1.22,3.63,0.93,37.45,3.26,29.32,32.49,42.54,41.89,256.1,2.33,0.08,200.43,0.44,10-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
10-Apr-2019 - 00:00,,1.0,0.01,1.79,1.35,1.37,79.17,3.35,27.9,29.54,40.9,39.43,170.06,1.34,0.08,129.6,0.47,11-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
11-Apr-2019 - 00:00,,1.07,0.02,1.92,1.3,1.46,69.31,3.3,22.0,25.29,29.98,43.53,183.33,1.39,0.08,147.27,0.46,12-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
12-Apr-2019 - 00:00,,0.33,0.0,0.58,0.96,0.44,61.22,3.61,21.76,25.37,31.62,33.93,192.42,2.52,0.08,159.46,0.49,13-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
13-Apr-2019 - 00:00,,0.21,0.01,0.38,1.26,0.29,64.75,2.94,18.23,21.18,31.2,34.57,207.66,1.76,0.08,128.83,0.65,14-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
14-Apr-2019 - 00:00,,0.0,0.0,0.0,1.2,0.0,63.52,2.93,15.68,18.62,28.18,32.7,204.98,2.12,0.08,145.66,0.71,15-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
15-Apr-2019 - 00:00,,0.33,0.0,0.59,1.5,0.47,68.07,3.12,21.99,25.07,20.97,30.98,207.7,2.3,0.08,163.4,0.55,16-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
16-Apr-2019 - 00:00,,0.3,0.01,0.53,1.5,0.4,55.56,3.53,24.74,28.27,16.4,37.03,204.76,1.81,0.08,185.38,0.61,17-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
17-Apr-2019 - 00:00,,1.46,0.57,2.61,1.82,1.99,57.71,6.53,34.03,39.04,13.94,59.65,158.82,0.85,0.08,202.73,0.57,18-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
18-Apr-2019 - 00:00,,0.9,0.1,1.6,1.25,1.22,49.32,3.93,30.35,34.28,11.89,51.93,183.79,1.4,0.08,179.64,0.47,19-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
19-Apr-2019 - 00:00,,0.3,0.0,0.53,1.43,0.41,37.32,2.99,20.69,23.67,8.63,55.11,176.11,1.07,0.08,181.66,0.6,20-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
20-Apr-2019 - 00:00,,0.38,0.0,0.68,1.68,0.52,44.41,2.81,20.6,23.42,6.62,58.78,167.09,1.51,0.08,177.45,0.66,21-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
21-Apr-2019 - 00:00,,0.16,0.0,0.29,1.79,0.22,33.87,2.91,18.95,21.86,5.51,53.79,188.36,1.19,0.08,186.92,0.57,22-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
22-Apr-2019 - 00:00,,0.21,0.01,0.37,1.51,0.28,54.34,3.36,24.95,28.31,6.02,60.89,157.91,1.26,0.08,186.55,0.64,23-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
23-Apr-2019 - 00:00,,0.38,0.01,0.68,1.52,0.52,64.91,3.04,23.2,26.24,23.82,47.88,186.75,3.55,0.08,156.35,0.52,24-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
24-Apr-2019 - 00:00,,0.4,0.01,0.72,1.24,0.55,79.7,3.19,26.85,30.04,55.54,37.67,208.07,1.26,0.09,136.09,0.46,25-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
25-Apr-2019 - 00:00,,0.63,0.01,1.12,1.25,0.85,114.07,3.3,28.15,31.44,51.39,34.68,199.15,1.4,0.08,120.11,0.42,26-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
26-Apr-2019 - 00:00,909.42,0.97,0.01,1.74,1.42,1.33,104.6,3.52,25.03,28.55,51.13,34.46,9.05,3.79,-2.42,145.24,0.32,27-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
27-Apr-2019 - 00:00,,0.83,0.01,1.48,0.93,1.13,107.55,2.98,22.48,25.46,57.66,36.45,217.43,2.65,-0.9,141.34,0.45,28-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
