from date,Eth-Benzene,Toluene,BP,PM2.5,PM10,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
13-Dec-2019 - 00:00,1.53,1.01,718.35,44.13,74.73,0.0,83.64,15.01,245.1,1.95,0.66,35.0,6.22,20.22,26.44,32.33,5.47,14-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Dec-2019 - 00:00,1.7,1.03,722.45,28.88,70.36,0.0,77.83,12.86,131.98,1.97,1.06,28.58,8.73,24.83,33.31,27.35,5.7,15-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Dec-2019 - 00:00,1.15,0.84,722.8,23.32,56.98,0.0,68.83,13.89,140.52,2.16,0.76,31.18,3.85,19.33,23.18,43.86,5.36,16-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Dec-2019 - 00:00,1.11,0.74,723.1,24.28,51.64,0.0,73.28,12.13,182.23,1.95,0.75,26.56,3.3,18.18,21.47,33.19,5.31,17-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Dec-2019 - 00:00,3.65,3.8,723.69,42.44,83.72,0.0,71.39,12.07,121.38,1.92,0.82,30.92,18.67,25.43,44.11,26.8,6.72,18-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Dec-2019 - 00:00,3.8,3.26,722.74,33.98,78.19,0.0,63.74,13.54,156.66,1.77,0.99,29.29,11.67,30.92,42.59,29.33,7.02,19-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Dec-2019 - 00:00,5.94,5.43,721.33,34.4,83.99,0.0,61.08,14.57,168.94,1.75,0.69,30.09,8.5,34.61,43.14,34.81,6.91,20-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Dec-2019 - 00:00,7.65,7.04,719.79,49.06,115.15,0.0,61.99,16.59,171.12,1.69,0.72,36.29,14.01,42.71,56.73,34.25,7.91,21-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Dec-2019 - 00:00,5.76,4.33,720.45,46.02,83.61,0.0,58.75,17.12,88.83,2.25,0.5,30.6,4.69,26.76,31.45,49.22,7.21,22-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Dec-2019 - 00:00,6.61,3.78,721.72,30.33,64.18,0.0,46.2,16.06,160.59,1.73,0.91,23.0,6.24,24.53,30.77,36.62,6.17,23-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Dec-2019 - 00:00,9.46,5.15,720.74,35.04,72.38,0.0,50.59,15.7,179.6,1.23,0.65,25.15,12.65,32.11,44.76,32.41,6.54,24-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Dec-2019 - 00:00,6.82,5.26,721.21,53.1,96.64,0.0,59.59,15.85,145.24,1.61,0.61,28.6,5.85,32.56,38.41,39.58,6.4,25-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Dec-2019 - 00:00,7.73,5.51,721.4,50.81,87.58,0.0,55.73,14.6,152.84,1.65,0.58,27.68,7.5,27.05,34.55,35.9,6.74,26-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Dec-2019 - 00:00,9.95,5.41,721.19,37.65,89.57,0.0,43.58,12.95,172.82,1.72,0.75,30.08,25.7,32.28,57.98,29.04,6.72,27-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Dec-2019 - 00:00,16.04,9.72,721.5,41.96,95.35,0.0,45.53,12.25,134.27,1.88,0.79,31.34,26.07,32.67,58.74,24.74,6.93,28-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Dec-2019 - 00:00,7.25,7.84,721.66,44.08,101.14,0.0,46.72,12.87,164.26,2.44,0.66,31.14,10.98,33.73,44.71,34.28,7.29,29-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Dec-2019 - 00:00,8.5,5.72,722.01,48.5,104.58,0.0,45.71,12.16,134.59,1.78,0.69,32.49,19.77,36.43,56.2,32.62,7.85,30-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Dec-2019 - 00:00,7.3,5.66,721.0,56.48,109.04,0.0,55.49,11.16,144.81,1.56,0.53,32.54,8.51,32.25,40.75,38.73,7.79,31-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
31-Dec-2019 - 00:00,4.75,5.85,721.16,73.05,119.7,0.0,75.75,8.98,280.24,0.98,0.9,34.84,3.5,19.38,22.88,24.07,6.9,01-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
