from date,Eth-Benzene,Toluene,BP,PM2.5,PM10,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
21-Feb-2019 - 00:00,1.44,20.5,765.4,45.8,78.03,0.0,53.94,22.23,223.49,3.22,0.31,35.41,4.71,26.35,30.0,41.24,9.26,22-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Feb-2019 - 00:00,2.63,24.57,766.54,25.28,51.72,0.0,49.27,18.88,257.54,3.4,0.41,30.16,2.02,14.5,16.51,54.91,5.05,23-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Feb-2019 - 00:00,1.38,19.85,762.88,31.76,58.25,0.0,33.76,17.27,170.0,2.53,0.32,24.3,8.77,22.74,31.51,60.19,5.69,24-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Feb-2019 - 00:00,2.5,25.2,759.43,45.6,88.87,0.0,30.09,18.73,227.61,2.12,0.35,30.39,12.42,32.35,44.76,51.87,5.61,25-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Feb-2019 - 00:00,1.75,22.11,758.67,44.26,87.51,0.0,29.06,18.88,203.48,2.4,0.34,29.35,9.97,29.97,39.93,53.53,5.71,26-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Feb-2019 - 00:00,0.29,19.29,758.25,38.38,84.38,0.01,34.46,17.78,149.24,2.53,0.36,23.6,2.25,19.63,21.42,68.95,5.25,27-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Feb-2019 - 00:00,0.31,20.01,757.62,29.79,59.51,0.0,46.22,16.15,204.7,3.39,0.33,28.35,2.5,21.09,23.62,57.32,4.84,28-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Feb-2019 - 00:00,0.62,20.56,759.81,43.13,75.69,0.0,37.32,16.29,169.31,2.87,0.25,26.92,5.19,26.01,31.15,62.4,5.44,01-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Mar-2019 - 00:00,0.35,26.98,761.47,38.32,78.1,0.0,28.03,18.1,154.25,3.35,0.25,21.22,3.37,21.8,25.12,73.1,6.18,02-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Mar-2019 - 00:00,1.43,20.05,760.11,43.24,86.5,0.0,38.45,17.48,97.83,3.68,0.3,21.76,4.85,14.18,19.03,76.52,9.9,03-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Mar-2019 - 00:00,0.51,33.08,758.23,62.57,118.96,0.0,55.03,17.92,123.47,2.96,0.59,33.12,12.42,27.68,40.37,36.26,8.5,04-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Mar-2019 - 00:00,0.61,33.35,757.51,74.38,120.76,0.0,53.56,18.87,237.21,3.47,0.34,32.98,9.17,26.01,35.18,61.33,8.23,05-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Mar-2019 - 00:00,0.26,23.28,758.55,38.36,154.63,0.0,44.27,18.77,203.83,2.77,0.35,30.3,12.73,34.22,46.96,53.21,7.44,06-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Mar-2019 - 00:00,3.07,26.05,759.17,35.6,84.03,0.0,34.17,19.02,189.01,2.31,0.33,29.65,14.33,36.63,50.96,52.59,7.15,07-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Mar-2019 - 00:00,0.96,4.21,758.75,37.75,80.18,0.0,24.95,21.03,178.83,2.05,0.19,26.72,10.94,35.55,46.48,57.84,6.68,08-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Mar-2019 - 00:00,1.86,8.1,759.67,45.34,91.83,0.0,28.44,22.6,190.0,2.68,0.32,28.95,13.06,34.23,47.29,58.97,11.71,09-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Mar-2019 - 00:00,1.85,8.04,765.72,42.65,85.31,0.0,36.21,21.07,168.28,3.25,0.31,25.46,5.97,17.11,23.07,91.09,5.13,10-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
