from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
24-Feb-2019 - 00:00,17.34,989.0,129.57,87.2,65.24,149.88,67.74,85.55,1.19,0.73,3.44,35.57,21.06,41.18,39.06,26.91,34.65,25-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
25-Feb-2019 - 00:00,17.73,988.02,113.12,77.62,63.94,131.37,102.38,203.92,0.96,0.75,5.08,37.21,39.75,50.74,59.38,33.0,35.52,26-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
26-Feb-2019 - 00:00,15.63,988.18,77.15,50.65,70.22,83.78,82.35,202.13,0.89,0.71,4.28,39.21,24.44,54.73,49.05,17.17,40.72,27-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
27-Feb-2019 - 00:00,12.9,988.85,121.48,60.65,87.53,77.76,77.17,112.78,0.73,0.73,3.6,37.86,19.83,39.33,37.09,11.96,33.9,28-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
28-Feb-2019 - 00:00,15.23,992.44,383.29,158.23,68.76,161.19,94.03,101.72,1.44,0.84,3.98,44.35,43.41,39.86,56.56,25.13,33.68,01-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
01-Mar-2019 - 00:00,16.79,992.82,301.53,157.81,61.77,173.81,62.04,90.32,1.33,0.91,3.07,41.23,20.74,38.27,37.34,25.09,24.84,02-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
02-Mar-2019 - 00:00,15.33,992.58,,156.93,81.25,34.11,106.52,238.36,1.0,1.3,6.82,39.1,30.12,60.02,56.44,13.88,17.34,03-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
03-Mar-2019 - 00:00,17.65,989.14,,79.42,82.42,140.0,79.48,233.29,0.96,,3.99,40.64,17.69,42.27,36.89,20.33,16.25,04-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
04-Mar-2019 - 00:00,18.01,986.62,,120.56,84.8,132.67,88.72,96.31,1.69,1.83,4.44,47.96,37.32,32.84,47.9,17.73,16.42,05-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
05-Mar-2019 - 00:00,17.43,987.81,,112.42,73.51,147.58,63.93,96.42,1.87,0.62,2.64,32.25,12.31,34.07,28.16,22.21,16.79,06-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
06-Mar-2019 - 00:00,18.47,988.75,,133.88,63.63,174.72,69.54,78.05,1.49,0.96,3.32,32.06,28.24,39.27,44.26,23.39,17.22,07-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
07-Mar-2019 - 00:00,19.67,989.13,,134.29,59.85,175.11,113.05,75.33,0.99,1.28,6.76,37.84,36.98,41.14,51.97,25.47,16.68,08-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
08-Mar-2019 - 00:00,20.31,990.79,415.78,134.38,60.02,173.73,127.81,104.61,0.93,0.9,6.76,40.11,32.5,40.97,48.19,21.09,16.97,09-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
09-Mar-2019 - 00:00,19.93,990.93,334.79,110.96,61.81,200.01,89.99,112.24,2.12,0.82,3.22,35.6,8.63,29.79,22.89,18.43,16.69,10-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
10-Mar-2019 - 00:00,20.85,990.98,334.89,97.02,49.11,217.53,73.27,124.54,1.31,0.71,2.62,29.52,12.36,39.93,31.33,37.12,14.32,11-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
11-Mar-2019 - 00:00,22.5,990.08,259.31,88.29,44.87,155.73,76.58,249.06,1.74,0.66,3.73,38.41,17.39,58.12,45.1,38.94,13.03,12-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
12-Mar-2019 - 00:00,20.67,992.66,195.88,85.75,61.15,161.57,53.39,100.33,1.42,0.56,2.31,39.56,10.96,36.29,28.21,21.57,19.99,13-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
13-Mar-2019 - 00:00,19.46,992.81,190.0,124.69,57.38,86.02,102.81,115.11,0.79,1.01,5.01,35.83,22.64,50.85,45.54,22.58,20.0,14-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
14-Mar-2019 - 00:00,17.32,993.69,97.98,86.52,77.71,99.91,84.62,127.2,1.45,0.93,4.34,47.45,27.58,45.13,46.48,11.6,17.49,15-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
15-Mar-2019 - 00:00,18.71,995.11,93.48,90.32,68.67,196.87,50.5,109.65,1.93,0.97,2.85,39.84,20.33,39.3,37.43,16.57,16.99,16-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
16-Mar-2019 - 00:00,19.97,993.45,235.32,109.44,59.48,186.53,47.14,106.1,1.88,0.91,3.15,32.05,8.5,33.63,24.81,29.58,20.7,17-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
17-Mar-2019 - 00:00,21.49,991.59,354.25,155.85,55.16,218.71,69.96,83.76,1.36,0.94,4.15,34.43,23.19,36.82,38.45,27.85,22.43,18-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
18-Mar-2019 - 00:00,21.77,991.09,398.26,159.12,57.88,212.27,84.49,89.04,1.26,1.11,10.33,41.42,27.2,46.54,46.91,26.31,23.15,19-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
19-Mar-2019 - 00:00,24.04,987.44,414.37,164.71,50.21,213.38,98.29,113.3,1.12,1.27,14.22,41.63,44.89,52.5,65.12,21.45,23.64,20-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
20-Mar-2019 - 00:00,26.54,985.64,298.15,96.38,42.07,186.72,80.91,200.9,1.52,0.81,9.01,39.72,31.31,53.38,53.93,31.18,18.17,21-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
21-Mar-2019 - 00:00,24.78,989.3,203.73,106.73,55.11,192.63,59.02,136.37,1.2,0.86,4.15,42.25,7.4,27.29,20.55,20.15,19.04,22-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
