from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,SO2,Ozone,CO,to date,station
17-Feb-2019 - 00:00,14.97,988.57,244.66,80.32,81.89,114.65,270.77,0.92,0.0,0.0,26.76,38.98,25.12,41.12,21.74,39.19,1.28,18-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
18-Feb-2019 - 00:00,18.74,984.08,279.78,47.61,66.32,115.53,149.62,1.21,0.0,0.0,31.1,53.56,26.28,49.89,25.01,39.36,1.21,19-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
19-Feb-2019 - 00:00,18.23,987.16,302.44,105.18,81.34,107.14,180.02,0.67,0.0,0.0,37.8,63.14,59.39,82.03,23.29,28.38,2.22,20-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
20-Feb-2019 - 00:00,18.4,992.15,209.03,94.41,86.09,40.62,83.73,0.97,0.0,0.0,42.61,62.28,46.78,71.3,22.43,6.99,1.66,21-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
21-Feb-2019 - 00:00,21.28,990.85,273.47,48.02,69.2,122.71,117.76,0.89,0.0,0.0,33.47,52.34,68.5,83.68,25.18,26.99,1.8,22-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
22-Feb-2019 - 00:00,18.6,991.21,151.6,60.32,76.09,101.21,313.17,1.28,0.0,0.0,34.75,26.18,8.02,20.47,20.07,32.01,0.91,23-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
23-Feb-2019 - 00:00,16.09,989.67,158.5,36.79,63.42,150.26,303.91,1.24,0.0,0.0,22.3,31.66,8.46,23.77,24.79,55.8,0.86,24-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
24-Feb-2019 - 00:00,16.56,986.53,278.96,47.41,68.68,142.27,244.81,0.9,0.0,0.0,24.5,46.14,28.39,47.72,34.43,,1.37,25-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
25-Feb-2019 - 00:00,17.61,985.76,220.26,42.25,66.36,131.13,116.0,1.0,0.0,0.0,26.5,57.77,49.37,70.95,22.14,73.38,1.31,26-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
26-Feb-2019 - 00:00,16.36,985.96,163.65,58.19,61.13,85.0,113.07,1.12,0.0,0.0,26.83,52.6,17.22,42.09,27.07,31.51,0.98,27-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
27-Feb-2019 - 00:00,13.5,986.49,139.83,51.12,84.53,64.24,88.71,0.97,0.0,0.0,22.76,45.78,12.94,34.89,23.66,18.93,0.96,28-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
28-Feb-2019 - 00:00,14.94,989.78,267.48,104.88,68.52,153.75,243.91,1.03,0.0,0.0,24.7,39.84,32.17,47.4,34.15,43.37,1.22,01-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
