from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,WS,WD,RH,SR,RF,to date,station
10-Jun-2019 - 00:00,78.62,195.76,43.59,115.52,115.39,61.36,7.99,0.68,89.11,7.51,1.03,6.19,6.48,10.27,2.45,213.78,28.01,448.66,0.0,11-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
11-Jun-2019 - 00:00,98.82,230.7,38.85,107.01,108.13,81.54,7.6,0.96,104.91,6.74,1.15,2.96,3.85,9.6,2.72,119.39,36.34,465.7,0.0,12-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
12-Jun-2019 - 00:00,72.77,152.99,39.05,69.25,60.91,83.74,4.94,0.66,108.15,3.8,0.66,2.14,2.62,6.47,3.51,126.89,38.54,319.07,0.0,13-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
13-Jun-2019 - 00:00,92.69,195.9,37.09,88.21,85.83,81.33,6.46,0.97,103.94,8.2,0.98,2.71,3.89,8.16,1.86,151.71,35.14,485.61,0.0,14-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
14-Jun-2019 - 00:00,99.78,233.92,32.67,77.7,74.64,97.97,4.41,0.8,95.08,6.93,0.92,2.54,3.88,7.31,2.87,205.39,33.92,551.17,0.0,15-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
15-Jun-2019 - 00:00,81.04,228.12,42.94,116.81,118.23,101.89,6.01,0.76,64.08,3.42,0.84,2.08,2.83,4.69,3.36,284.94,21.99,540.3,0.0,16-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
16-Jun-2019 - 00:00,65.5,179.42,41.66,87.27,81.68,67.3,5.07,0.42,44.73,1.44,0.48,1.1,1.56,2.45,4.19,262.45,42.54,235.71,0.0,17-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
17-Jun-2019 - 00:00,56.83,175.54,28.52,75.86,76.02,48.27,4.63,0.44,48.78,1.94,0.51,1.17,1.63,2.63,4.05,231.12,56.33,404.6,0.02,18-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
18-Jun-2019 - 00:00,42.13,86.39,26.59,87.19,91.41,49.47,4.81,0.48,46.64,2.44,0.61,1.57,2.14,3.46,2.38,239.73,66.04,220.36,0.0,19-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
19-Jun-2019 - 00:00,89.86,198.18,26.8,94.3,100.25,50.5,5.4,0.69,49.75,4.48,0.84,2.17,2.95,5.46,1.63,202.28,57.89,472.34,0.0,20-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
20-Jun-2019 - 00:00,91.33,191.68,17.33,32.34,29.04,41.95,4.89,0.85,46.49,5.88,0.69,2.34,3.1,6.28,2.23,159.61,63.04,458.59,0.08,21-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
21-Jun-2019 - 00:00,79.65,150.88,18.68,55.85,57.47,46.95,6.51,0.91,53.18,3.86,0.9,1.88,2.51,4.65,1.89,168.42,43.8,616.92,0.0,22-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
22-Jun-2019 - 00:00,83.64,173.42,22.33,42.78,39.08,40.57,9.44,0.89,54.43,5.11,0.84,2.28,2.88,5.88,1.66,162.57,48.59,252.52,0.0,23-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
23-Jun-2019 - 00:00,51.89,115.46,22.48,36.7,31.12,32.19,6.08,0.67,49.88,4.24,0.97,2.56,3.49,6.48,2.67,112.19,55.36,535.54,0.0,24-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
24-Jun-2019 - 00:00,38.07,97.24,16.97,34.16,31.54,21.59,5.29,0.59,34.69,3.87,0.7,2.2,3.12,5.62,2.63,112.42,61.94,463.98,0.0,25-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
25-Jun-2019 - 00:00,52.85,107.48,15.01,34.64,33.41,16.44,5.8,0.67,46.93,5.09,0.9,2.36,3.13,5.83,1.44,200.82,57.59,533.18,0.0,26-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
26-Jun-2019 - 00:00,48.95,130.06,13.29,39.99,40.46,22.62,4.26,0.6,67.74,3.7,0.92,2.19,2.99,4.71,3.12,193.36,47.72,543.53,0.0,27-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
27-Jun-2019 - 00:00,81.45,212.39,17.51,33.97,30.96,37.24,2.67,0.37,66.57,2.46,0.52,1.64,2.14,3.27,3.05,254.28,51.66,471.86,0.0,28-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
28-Jun-2019 - 00:00,67.95,169.93,17.84,42.02,40.77,37.65,3.4,0.49,68.11,3.07,0.62,1.84,2.23,3.75,3.4,247.16,49.86,512.86,0.0,29-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
29-Jun-2019 - 00:00,95.78,239.27,18.19,59.13,61.88,35.4,3.61,0.57,64.85,4.23,0.71,1.96,2.58,4.57,2.52,212.72,49.9,528.52,0.0,30-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
30-Jun-2019 - 00:00,99.46,221.2,17.34,80.85,89.52,37.61,3.93,0.68,68.28,4.61,1.1,2.23,3.34,5.78,1.86,149.62,50.12,599.52,0.0,01-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
01-Jul-2019 - 00:00,79.52,165.92,19.45,53.14,53.65,36.84,3.69,0.75,78.18,5.31,0.9,2.35,3.12,7.12,2.32,136.72,58.56,550.08,0.0,02-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
02-Jul-2019 - 00:00,69.15,149.12,19.87,47.14,45.84,39.07,3.68,0.76,94.66,5.13,0.79,2.22,2.96,6.51,2.5,133.5,56.63,757.29,0.0,03-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
03-Jul-2019 - 00:00,73.54,146.29,16.14,48.82,50.36,23.6,3.61,0.77,68.58,5.38,0.81,2.43,3.28,6.72,2.27,135.48,64.97,388.01,0.0,04-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
04-Jul-2019 - 00:00,64.69,105.65,7.63,75.25,88.87,19.92,3.94,0.73,37.58,3.05,0.67,1.59,2.35,4.1,1.96,131.26,89.87,50.59,0.53,05-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
05-Jul-2019 - 00:00,22.79,121.44,12.53,35.89,36.59,17.8,3.18,0.7,74.18,2.75,0.36,1.82,1.69,5.25,1.49,160.32,78.23,342.78,0.0,06-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
