from date,CO,RH,NO,NO2,NOx,NH3,Ozone,PM10,PM2.5,RF,SO2,SR,Temp,WD,WS,Benzene,Toluene,O Xylene,MP-Xylene,Eth-Benzene,to date,station
08-Apr-2019 - 00:00,0.69,64.14,3.01,29.66,32.67,27.33,38.51,44.99,26.2,,7.7,15.2,27.37,210.64,1.16,1.3,6.97,0.33,0.75,0.37,09-Apr-2019 - 00:00,"Victoria, Kolkata - WBPCB"
09-Apr-2019 - 00:00,0.72,74.83,3.81,29.56,33.36,27.97,27.27,42.36,26.77,7.6,5.84,15.2,26.61,200.53,1.17,2.48,7.56,0.44,1.03,0.6,10-Apr-2019 - 00:00,"Victoria, Kolkata - WBPCB"
10-Apr-2019 - 00:00,0.79,79.66,3.46,28.98,32.44,26.47,22.35,35.68,18.99,0.7,1.44,15.2,26.06,197.75,1.19,1.43,6.9,0.35,0.83,0.53,11-Apr-2019 - 00:00,"Victoria, Kolkata - WBPCB"
11-Apr-2019 - 00:00,0.77,81.09,3.73,19.28,23.02,22.42,17.43,43.28,27.47,,2.8,101.59,28.5,198.48,1.08,1.89,4.28,0.32,0.72,0.61,12-Apr-2019 - 00:00,"Victoria, Kolkata - WBPCB"
12-Apr-2019 - 00:00,0.71,79.25,3.25,21.94,25.19,22.26,17.02,44.48,27.74,,2.86,175.77,29.06,177.0,0.9,2.43,8.06,0.36,0.83,0.4,13-Apr-2019 - 00:00,"Victoria, Kolkata - WBPCB"
13-Apr-2019 - 00:00,0.76,71.16,3.8,25.2,28.96,23.48,32.62,57.59,32.22,,5.66,18.94,29.23,148.82,0.88,3.2,8.98,0.47,1.03,0.65,14-Apr-2019 - 00:00,"Victoria, Kolkata - WBPCB"
14-Apr-2019 - 00:00,0.71,77.08,2.33,16.42,18.76,21.18,28.72,44.9,32.18,0.2,2.85,12.38,29.23,195.5,1.13,1.37,7.67,0.31,0.66,0.3,15-Apr-2019 - 00:00,"Victoria, Kolkata - WBPCB"
15-Apr-2019 - 00:00,0.64,81.24,2.48,16.34,18.87,19.62,19.9,45.83,28.63,,5.01,12.0,29.68,197.29,1.24,1.1,7.65,0.29,0.64,0.25,16-Apr-2019 - 00:00,"Victoria, Kolkata - WBPCB"
16-Apr-2019 - 00:00,0.76,74.31,2.47,24.01,26.52,21.43,32.79,66.12,36.56,,7.61,12.32,31.06,159.41,0.8,2.66,8.65,0.43,0.97,0.55,17-Apr-2019 - 00:00,"Victoria, Kolkata - WBPCB"
17-Apr-2019 - 00:00,0.89,58.95,2.51,52.11,54.85,33.06,45.48,132.52,64.48,,18.32,11.1,29.83,100.19,0.49,2.52,6.44,0.46,1.01,0.67,18-Apr-2019 - 00:00,"Victoria, Kolkata - WBPCB"
18-Apr-2019 - 00:00,0.97,55.2,14.21,56.38,70.59,40.54,36.54,137.81,64.48,,16.43,11.56,29.21,186.03,0.3,6.62,11.78,3.16,4.18,3.52,19-Apr-2019 - 00:00,"Victoria, Kolkata - WBPCB"
19-Apr-2019 - 00:00,0.74,53.79,2.62,54.03,56.73,39.46,42.82,85.07,45.64,,16.05,12.4,29.22,246.9,0.56,3.48,7.33,0.69,1.47,1.22,20-Apr-2019 - 00:00,"Victoria, Kolkata - WBPCB"
20-Apr-2019 - 00:00,0.78,55.21,2.68,35.53,38.21,35.47,53.38,69.41,37.26,,15.85,117.56,29.1,234.81,0.62,1.63,6.22,0.35,0.78,0.47,21-Apr-2019 - 00:00,"Victoria, Kolkata - WBPCB"
21-Apr-2019 - 00:00,0.74,70.39,2.53,22.55,25.08,31.52,39.82,53.31,29.97,0.6,5.3,246.28,28.29,211.3,1.11,1.07,6.14,0.3,0.65,0.26,22-Apr-2019 - 00:00,"Victoria, Kolkata - WBPCB"
