from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,WS,WD,RH,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,AT,SR,RF,BP,to date,station
13-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Mar-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
14-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Mar-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
15-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Mar-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
16-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Mar-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
17-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Mar-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
18-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Mar-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
19-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Mar-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
20-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Mar-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
21-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Mar-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
22-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Mar-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
23-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Mar-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
24-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Mar-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
25-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Mar-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
26-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Mar-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
27-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Mar-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
28-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,29-Mar-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
29-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,30-Mar-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
30-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,31-Mar-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
31-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
01-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
02-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
03-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
04-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
05-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
06-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
07-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
08-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
09-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
10-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
11-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
12-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
13-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
14-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
15-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
16-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
17-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
