from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
03-May-2019 - 00:00,146.1,37.73,10.04,18.18,28.23,1.76,0.0,57.55,0.0,0.0,0.0,0.0,04-May-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
04-May-2019 - 00:00,234.08,44.48,10.26,21.37,31.64,2.68,0.0,27.1,0.0,0.0,0.0,0.0,05-May-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
05-May-2019 - 00:00,267.96,53.61,10.12,20.48,30.6,2.74,0.0,28.48,0.0,0.0,0.0,0.0,06-May-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
06-May-2019 - 00:00,311.51,81.8,11.99,21.91,33.9,3.44,0.0,22.79,0.0,0.0,0.0,0.0,07-May-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
07-May-2019 - 00:00,483.88,100.47,27.57,38.97,44.22,3.6,0.0,18.59,0.0,0.0,0.0,0.0,08-May-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
08-May-2019 - 00:00,487.67,130.6,23.71,36.82,60.49,2.28,0.0,18.24,0.0,0.0,0.0,0.0,09-May-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
09-May-2019 - 00:00,461.65,148.61,22.28,35.59,57.87,1.17,0.0,16.31,0.0,0.0,0.0,0.0,10-May-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
10-May-2019 - 00:00,329.66,62.61,22.03,32.27,54.3,0.58,0.0,20.75,0.0,0.0,0.0,0.0,11-May-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
11-May-2019 - 00:00,396.0,38.32,24.34,33.05,57.39,0.75,0.0,34.37,0.0,0.0,0.0,0.0,12-May-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
12-May-2019 - 00:00,705.58,44.8,13.03,31.65,44.69,0.96,0.0,35.41,0.0,0.0,0.0,0.0,13-May-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
13-May-2019 - 00:00,373.53,163.65,21.7,41.2,38.53,0.87,0.0,57.87,0.0,0.0,0.0,0.0,14-May-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
14-May-2019 - 00:00,151.84,56.67,22.02,32.73,23.26,0.86,0.0,42.99,0.0,0.0,0.0,0.0,15-May-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
15-May-2019 - 00:00,198.4,80.42,20.4,33.8,54.2,1.9,0.0,35.59,0.0,0.0,0.0,0.0,16-May-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
16-May-2019 - 00:00,276.52,75.0,22.38,40.3,62.68,2.15,0.0,36.7,0.0,0.0,0.0,0.0,17-May-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
17-May-2019 - 00:00,369.08,79.49,23.14,40.02,63.16,1.82,0.0,39.34,0.0,0.0,0.0,0.0,18-May-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
18-May-2019 - 00:00,165.52,48.99,19.84,41.58,61.42,1.96,0.0,33.46,0.0,0.0,0.0,0.0,19-May-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
