from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
13-Mar-2019 - 00:00,235.57,86.84,16.73,8.8,25.53,0.78,,61.78,14-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
14-Mar-2019 - 00:00,217.3,99.71,23.73,10.87,34.11,0.89,0.0,40.34,15-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
15-Mar-2019 - 00:00,142.07,46.03,11.62,6.7,18.32,0.77,,33.04,16-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
16-Mar-2019 - 00:00,132.0,54.13,6.82,6.06,12.89,0.71,,46.01,17-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
17-Mar-2019 - 00:00,179.97,86.89,14.37,8.21,22.58,0.79,,66.86,18-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
18-Mar-2019 - 00:00,189.6,83.53,14.51,8.44,22.95,0.79,,52.53,19-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
19-Mar-2019 - 00:00,237.61,89.34,21.64,10.31,31.96,0.9,,37.43,20-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
20-Mar-2019 - 00:00,207.66,79.74,19.48,9.2,28.68,0.8,5.98,41.85,21-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
21-Mar-2019 - 00:00,166.16,82.03,18.6,8.56,27.16,0.86,,54.73,22-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
22-Mar-2019 - 00:00,117.17,36.47,16.71,8.0,24.71,0.59,,60.28,23-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
23-Mar-2019 - 00:00,129.11,39.96,16.57,8.19,24.76,0.62,,60.05,24-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
24-Mar-2019 - 00:00,138.15,50.91,17.58,8.38,25.95,0.66,,53.28,25-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
25-Mar-2019 - 00:00,149.54,60.1,19.85,9.2,29.05,0.7,,42.35,26-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
26-Mar-2019 - 00:00,157.77,61.25,20.17,9.41,29.59,0.74,,40.88,27-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
27-Mar-2019 - 00:00,178.1,61.83,20.67,10.19,30.86,0.77,,50.43,28-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
