from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,VWS,BP,SR,to date,station
09-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Mar-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
10-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Mar-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
11-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Mar-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
12-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Mar-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
13-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Mar-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
14-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Mar-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
15-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Mar-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
16-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Mar-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
17-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Mar-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
18-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Mar-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
19-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Mar-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
20-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Mar-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
21-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Mar-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
22-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Mar-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
23-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Mar-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
24-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Mar-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
25-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Mar-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
26-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Mar-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
27-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Mar-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
28-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,29-Mar-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
29-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,30-Mar-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
30-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,31-Mar-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
31-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
01-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
02-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
03-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
04-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
05-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
06-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
07-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
08-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
09-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
10-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
11-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
12-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
13-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
14-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
15-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
16-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
17-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
18-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
19-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
20-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
21-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
22-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
23-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
24-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
25-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
26-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
27-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
28-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,29-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
29-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,30-Apr-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
30-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
01-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
02-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
03-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
04-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
05-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
