from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,WS,WD,AT,RH,RF,to date,station
07-Apr-2019 - 00:00,,,,,,,,,,,,,,,08-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
08-Apr-2019 - 00:00,,,,,,,,,,,,,,,09-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
09-Apr-2019 - 00:00,,,,,,,,,,,,,,,10-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
10-Apr-2019 - 00:00,,,,,,,,,,,,,,,11-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
11-Apr-2019 - 00:00,,,,,,,,,,,,,,,12-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
12-Apr-2019 - 00:00,,,,,,,,,,,,,,,13-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
13-Apr-2019 - 00:00,,,,,,,,,,,,,,,14-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
14-Apr-2019 - 00:00,,,,,,,,,,,,,,,15-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
15-Apr-2019 - 00:00,,,,,,,,,,,,,,,16-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
16-Apr-2019 - 00:00,,,,,,,,,,,,,,,17-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
17-Apr-2019 - 00:00,,,,,,,,,,,,,,,18-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
18-Apr-2019 - 00:00,,,,,,,,,,,,,,,19-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
19-Apr-2019 - 00:00,,,,,,,,,,,,,,,20-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
20-Apr-2019 - 00:00,,,,,,,,,,,,,,,21-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
21-Apr-2019 - 00:00,,,,,,,,,,,,,,,22-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
22-Apr-2019 - 00:00,,,,,,,,,,,,,,,23-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
23-Apr-2019 - 00:00,,,,,,,,,,,,,,,24-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
24-Apr-2019 - 00:00,,,,,,,,,,,,,,,25-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
25-Apr-2019 - 00:00,,,,,,,,,,,,,,,26-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
26-Apr-2019 - 00:00,,,,,,,,,,,,,,,27-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
27-Apr-2019 - 00:00,,,,,,,,,,,,,,,28-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
28-Apr-2019 - 00:00,,,,,,,,,,,,,,,29-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
29-Apr-2019 - 00:00,,,,,,,,,,,,,,,30-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
30-Apr-2019 - 00:00,,,,,,,,,,,,,,,01-May-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
01-May-2019 - 00:00,,,,,,,,,,,,,,,02-May-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
02-May-2019 - 00:00,,,,,,,,,,,,,,,03-May-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
03-May-2019 - 00:00,,,,,,,,,,,,,,,04-May-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
