from date,NO2,SO2,CO,PM10,PM2.5,to date,station
01-May-2019 - 00:00,7.65,7.78,0.22,91.65,58.06,02-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
02-May-2019 - 00:00,8.11,8.97,0.2,115.41,59.04,03-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
03-May-2019 - 00:00,7.92,8.47,0.22,71.9,55.12,04-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
04-May-2019 - 00:00,7.68,7.96,0.25,111.18,80.17,05-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
05-May-2019 - 00:00,7.84,8.38,0.21,121.64,74.79,06-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
06-May-2019 - 00:00,7.76,8.57,0.21,117.01,64.2,07-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
07-May-2019 - 00:00,7.68,8.94,0.23,147.44,80.7,08-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
08-May-2019 - 00:00,7.28,8.52,0.22,166.29,89.44,09-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
09-May-2019 - 00:00,5.33,10.27,0.21,144.06,85.6,10-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
10-May-2019 - 00:00,2.04,8.47,0.23,166.51,92.29,11-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
11-May-2019 - 00:00,5.72,9.35,0.25,79.19,44.77,12-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
12-May-2019 - 00:00,6.28,8.31,0.23,100.94,62.12,13-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
13-May-2019 - 00:00,7.82,8.87,0.2,135.76,77.43,14-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
14-May-2019 - 00:00,8.27,7.68,0.24,75.36,54.09,15-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
15-May-2019 - 00:00,8.82,9.11,0.16,132.35,79.95,16-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
16-May-2019 - 00:00,5.45,10.53,0.27,101.38,72.38,17-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
17-May-2019 - 00:00,0.21,8.47,0.19,108.19,74.35,18-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
18-May-2019 - 00:00,5.45,7.39,0.19,90.19,74.4,19-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
19-May-2019 - 00:00,9.64,8.44,0.2,99.21,67.12,20-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
20-May-2019 - 00:00,8.56,9.65,0.17,154.67,94.64,21-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
21-May-2019 - 00:00,5.42,10.43,0.25,151.98,102.82,22-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
22-May-2019 - 00:00,0.22,7.75,0.19,161.12,99.39,23-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
23-May-2019 - 00:00,,8.31,0.23,180.73,93.31,24-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
24-May-2019 - 00:00,8.86,8.53,0.18,94.07,48.05,25-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
25-May-2019 - 00:00,7.96,8.73,0.22,76.55,39.74,26-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
26-May-2019 - 00:00,6.56,8.35,0.25,76.21,43.35,27-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
27-May-2019 - 00:00,5.38,10.11,0.19,88.28,53.36,28-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
28-May-2019 - 00:00,3.82,7.81,0.22,111.72,65.64,29-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
29-May-2019 - 00:00,4.8,9.89,0.21,113.5,70.46,30-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
30-May-2019 - 00:00,1.78,11.13,0.25,105.58,102.91,31-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
31-May-2019 - 00:00,1.48,8.68,0.2,122.76,75.0,01-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
01-Jun-2019 - 00:00,2.28,11.38,0.23,138.37,122.65,02-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
02-Jun-2019 - 00:00,0.53,8.67,0.22,133.63,62.9,03-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
03-Jun-2019 - 00:00,0.42,8.3,0.21,210.1,85.04,04-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
04-Jun-2019 - 00:00,2.07,7.87,0.19,59.21,24.79,05-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
05-Jun-2019 - 00:00,2.11,9.02,0.21,121.58,62.77,06-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
06-Jun-2019 - 00:00,1.61,8.23,0.22,101.64,52.44,07-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
07-Jun-2019 - 00:00,2.34,8.65,0.19,78.81,43.5,08-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
08-Jun-2019 - 00:00,2.23,12.69,0.28,94.47,47.32,09-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
09-Jun-2019 - 00:00,0.06,9.88,0.2,84.26,44.51,10-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
10-Jun-2019 - 00:00,0.2,7.35,0.2,112.26,58.53,11-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
11-Jun-2019 - 00:00,2.33,9.76,0.21,122.74,65.37,12-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
12-Jun-2019 - 00:00,0.79,8.53,0.27,159.94,54.21,13-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
13-Jun-2019 - 00:00,4.46,7.74,0.24,64.56,36.67,14-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
14-Jun-2019 - 00:00,4.6,10.07,0.23,96.66,52.25,15-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
15-Jun-2019 - 00:00,1.99,8.63,0.27,132.21,55.94,16-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
16-Jun-2019 - 00:00,0.54,9.25,0.24,95.52,46.63,17-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
17-Jun-2019 - 00:00,0.28,8.62,0.22,136.27,52.14,18-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
18-Jun-2019 - 00:00,1.65,8.0,0.18,57.16,29.53,19-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
19-Jun-2019 - 00:00,1.63,9.11,0.21,128.48,64.71,20-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
20-Jun-2019 - 00:00,0.95,8.35,0.24,108.36,52.78,21-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
21-Jun-2019 - 00:00,3.51,8.41,0.16,305.54,48.87,22-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
22-Jun-2019 - 00:00,1.66,9.28,0.22,130.78,47.93,23-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
23-Jun-2019 - 00:00,0.6,8.53,0.2,95.3,32.47,24-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
24-Jun-2019 - 00:00,0.35,6.79,0.22,48.07,23.79,25-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
25-Jun-2019 - 00:00,1.72,5.06,0.2,83.07,31.93,26-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
26-Jun-2019 - 00:00,0.76,5.29,0.22,97.33,42.32,27-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
27-Jun-2019 - 00:00,0.63,5.2,0.23,131.86,51.05,28-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
28-Jun-2019 - 00:00,2.14,4.67,0.19,105.82,55.38,29-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
29-Jun-2019 - 00:00,0.45,5.13,0.2,132.77,61.49,30-Jun-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
30-Jun-2019 - 00:00,1.31,4.63,0.19,117.66,56.91,01-Jul-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
01-Jul-2019 - 00:00,0.61,4.97,0.24,104.41,49.54,02-Jul-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
02-Jul-2019 - 00:00,0.35,5.2,0.22,79.83,41.26,03-Jul-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
03-Jul-2019 - 00:00,0.99,4.97,0.22,97.87,56.19,04-Jul-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
04-Jul-2019 - 00:00,1.26,4.2,0.24,51.45,29.83,05-Jul-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
05-Jul-2019 - 00:00,1.96,4.7,0.21,56.33,28.62,06-Jul-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
