from date,NO2,NH3,NOx,CO,Ozone,SO2,Benzene,Eth-Benzene,Toluene,PM10,PM2.5,AT,RF,RH,Temp,WD,WS,to date,station
11-Aug-2019 - 00:00,4.44,15.41,3.63,0.7,38.38,6.49,0.0,0.0,0.48,38.67,17.67,26.57,0.03,86.8,30.15,215.72,4.21,12-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
12-Aug-2019 - 00:00,6.48,17.63,5.15,0.73,29.81,5.95,0.0,0.0,0.51,80.98,28.84,27.43,0.0,82.35,31.12,253.23,4.07,13-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
13-Aug-2019 - 00:00,5.25,20.36,4.08,0.65,37.25,5.23,0.0,0.0,0.53,64.47,28.03,27.09,0.37,86.59,31.27,249.78,3.17,14-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
14-Aug-2019 - 00:00,3.18,20.28,2.63,0.63,36.15,5.81,0.0,0.0,0.48,48.44,25.26,26.7,0.25,91.04,30.12,271.76,4.14,15-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
15-Aug-2019 - 00:00,2.14,14.21,1.93,0.87,41.49,5.68,0.0,0.0,0.34,26.57,14.96,26.0,0.43,91.67,29.77,260.86,6.36,16-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
16-Aug-2019 - 00:00,2.48,13.61,2.13,0.86,38.28,5.98,0.0,0.0,0.31,33.38,16.15,26.81,0.02,85.74,30.17,245.07,6.45,17-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
17-Aug-2019 - 00:00,3.96,15.09,2.9,0.81,35.92,6.51,0.0,0.0,0.37,45.25,18.83,27.2,0.0,82.5,30.12,236.38,5.16,18-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
18-Aug-2019 - 00:00,5.9,16.36,3.75,0.93,30.26,5.88,0.0,0.0,0.4,52.55,20.32,26.95,0.0,84.45,30.25,223.59,4.08,19-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
19-Aug-2019 - 00:00,5.59,21.39,3.95,0.67,36.16,7.26,0.0,0.0,0.51,45.27,20.1,27.3,0.17,84.86,31.31,250.0,3.08,20-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
20-Aug-2019 - 00:00,5.11,24.23,3.8,0.61,51.78,8.0,0.0,0.0,0.54,54.8,27.0,27.41,0.14,83.54,32.62,262.19,3.26,21-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
21-Aug-2019 - 00:00,4.78,23.55,3.45,0.56,61.64,7.92,0.0,0.0,0.48,56.72,30.45,27.72,0.07,80.09,31.24,269.28,3.94,22-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
22-Aug-2019 - 00:00,5.14,21.27,3.61,0.63,60.09,9.0,0.0,0.0,0.53,60.78,27.55,27.58,0.0,78.96,29.78,267.99,3.24,23-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
23-Aug-2019 - 00:00,6.26,20.72,4.27,0.65,52.35,9.07,0.0,0.0,0.57,66.33,32.07,27.38,0.0,81.65,28.64,271.82,2.65,24-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
24-Aug-2019 - 00:00,6.52,20.86,4.47,0.66,49.23,9.1,0.0,0.0,0.5,62.49,29.81,26.97,0.12,85.67,28.29,251.31,3.56,25-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
25-Aug-2019 - 00:00,6.29,18.6,4.2,0.62,54.52,8.78,0.0,0.0,0.56,35.44,18.75,26.44,0.3,89.48,28.41,256.42,2.55,26-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
26-Aug-2019 - 00:00,8.87,17.19,5.88,0.75,45.41,8.33,0.0,0.0,0.56,31.4,18.48,26.41,0.3,91.56,28.73,274.56,2.25,27-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
27-Aug-2019 - 00:00,5.16,15.58,3.75,0.68,42.87,8.28,0.0,0.0,0.53,22.95,11.57,26.5,0.38,91.06,30.51,252.55,3.13,28-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
28-Aug-2019 - 00:00,5.61,15.14,4.12,0.74,37.18,7.97,0.06,0.02,2.17,36.3,18.08,26.72,0.09,87.91,28.02,240.47,3.59,29-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
29-Aug-2019 - 00:00,5.35,19.48,3.97,0.76,34.69,7.93,0.16,0.03,7.38,38.3,16.69,27.59,0.0,82.5,29.18,244.64,2.48,30-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
30-Aug-2019 - 00:00,5.58,20.93,3.97,0.81,45.09,7.98,0.21,0.05,8.05,41.14,22.49,27.51,0.18,85.25,30.0,259.77,2.03,31-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
31-Aug-2019 - 00:00,6.88,20.5,4.7,0.79,41.19,8.27,0.2,0.07,8.5,39.14,20.42,27.87,0.01,84.07,30.52,261.27,2.3,01-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
01-Sep-2019 - 00:00,5.18,21.28,3.72,0.86,44.17,8.75,0.22,0.03,8.6,40.91,22.26,28.0,0.0,83.82,29.12,255.58,2.49,02-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
02-Sep-2019 - 00:00,5.11,18.89,3.79,0.75,41.09,8.59,0.16,0.02,8.2,32.88,14.95,27.88,0.0,81.81,29.3,251.44,3.59,03-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
03-Sep-2019 - 00:00,6.17,20.84,4.48,0.84,41.09,8.92,0.21,0.07,9.27,37.03,19.67,28.06,0.0,80.33,31.9,260.98,2.56,04-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
04-Sep-2019 - 00:00,5.84,22.3,4.06,0.8,52.13,8.3,0.24,0.08,10.08,42.54,25.23,27.49,0.09,87.03,33.01,248.23,2.15,05-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
05-Sep-2019 - 00:00,8.17,18.82,5.28,0.97,40.17,8.72,0.27,0.44,7.51,41.81,21.03,27.78,0.0,85.84,30.04,168.06,1.47,06-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
06-Sep-2019 - 00:00,6.0,19.06,4.17,0.92,37.84,8.71,0.23,0.16,8.68,34.27,18.18,27.87,0.01,85.74,29.98,242.66,2.07,07-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
07-Sep-2019 - 00:00,5.32,19.39,3.74,0.8,46.62,8.53,0.22,0.07,9.02,30.4,15.07,28.04,0.03,82.81,30.27,252.49,2.89,08-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
08-Sep-2019 - 00:00,6.36,18.86,4.36,0.88,35.81,8.38,0.24,0.11,9.73,25.51,13.07,27.17,0.47,89.92,29.47,228.08,1.94,09-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
09-Sep-2019 - 00:00,5.08,15.03,3.49,0.86,41.35,8.11,0.21,0.06,8.55,20.95,9.52,27.12,0.26,90.59,29.35,256.02,2.57,10-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
10-Sep-2019 - 00:00,5.99,15.14,3.92,0.88,54.98,8.38,0.21,0.08,8.35,34.54,20.24,26.93,0.02,89.45,29.07,229.39,2.25,11-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
11-Sep-2019 - 00:00,4.23,17.48,3.06,0.86,53.01,9.17,0.2,0.04,8.22,39.78,24.34,26.89,0.03,90.77,29.06,259.97,3.76,12-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
12-Sep-2019 - 00:00,4.66,14.3,3.21,0.76,57.53,8.22,0.15,0.02,6.46,26.59,13.76,26.55,0.49,90.3,30.01,262.6,4.68,13-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
13-Sep-2019 - 00:00,4.52,13.5,3.06,0.72,66.9,8.69,0.12,0.02,6.77,19.54,9.0,26.01,0.59,92.36,31.23,269.12,4.1,14-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
14-Sep-2019 - 00:00,4.26,12.18,2.87,0.68,61.74,8.02,0.13,0.0,5.82,20.57,10.23,26.28,0.8,90.46,29.78,275.72,4.77,15-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
15-Sep-2019 - 00:00,3.67,12.79,2.72,0.74,44.73,7.8,0.1,0.01,6.62,30.89,15.33,26.67,0.08,88.78,28.63,271.41,3.93,16-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
16-Sep-2019 - 00:00,3.9,15.43,2.92,0.77,39.96,8.61,0.13,0.02,6.77,41.86,19.21,27.28,0.0,86.86,30.11,271.75,3.65,17-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
17-Sep-2019 - 00:00,6.23,17.18,4.01,0.79,68.49,9.11,0.17,0.07,7.61,49.36,25.06,27.55,0.12,82.8,29.28,242.01,2.02,18-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
18-Sep-2019 - 00:00,10.23,20.38,6.27,0.95,69.44,8.04,0.24,0.19,6.44,47.38,25.78,27.88,0.24,76.76,30.69,105.8,2.61,19-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
19-Sep-2019 - 00:00,7.92,19.95,5.13,0.9,41.51,8.12,0.28,0.19,6.38,37.37,20.13,27.81,0.02,80.23,32.03,84.07,2.33,20-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
20-Sep-2019 - 00:00,9.36,22.76,6.09,0.91,47.71,8.04,0.34,0.23,6.71,33.92,21.04,27.4,0.27,83.04,33.95,94.69,2.37,21-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
21-Sep-2019 - 00:00,10.27,24.51,6.98,0.92,43.7,7.68,0.35,0.23,6.76,31.14,18.47,27.19,0.05,83.45,34.03,134.18,1.5,22-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
22-Sep-2019 - 00:00,9.22,32.71,6.78,0.99,48.3,7.7,0.57,0.27,7.99,30.5,17.09,27.77,0.0,79.18,32.01,164.57,1.96,23-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
23-Sep-2019 - 00:00,10.0,44.89,8.64,0.78,49.54,7.0,0.7,0.38,7.85,30.0,15.44,27.63,0.0,79.61,35.03,182.48,2.01,24-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
24-Sep-2019 - 00:00,12.66,28.11,7.69,0.84,45.35,7.7,0.28,0.25,6.94,36.91,19.56,27.78,0.0,77.66,32.67,90.51,1.69,25-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
25-Sep-2019 - 00:00,12.22,34.57,8.57,0.94,40.4,9.01,0.46,0.37,6.79,47.8,31.16,27.25,0.05,84.91,34.62,84.24,2.08,26-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
26-Sep-2019 - 00:00,15.69,33.36,11.41,1.16,38.02,8.84,0.66,0.44,7.89,37.73,22.91,27.55,0.0,80.64,31.58,132.27,1.75,27-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
27-Sep-2019 - 00:00,15.21,26.41,11.67,0.92,44.78,8.2,0.52,0.27,7.98,25.6,13.94,26.9,0.43,85.28,29.46,179.65,2.36,28-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
28-Sep-2019 - 00:00,8.8,23.65,6.67,0.76,37.94,9.05,0.18,0.08,6.63,20.59,10.29,26.33,0.17,87.42,31.9,249.67,3.87,29-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
29-Sep-2019 - 00:00,20.32,19.01,14.2,0.78,35.51,10.85,0.43,0.17,7.5,26.12,11.12,27.1,0.0,79.24,29.46,249.83,3.37,30-Sep-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
30-Sep-2019 - 00:00,14.26,26.61,10.37,0.83,37.6,11.15,0.48,0.2,7.87,26.0,13.21,27.47,0.0,76.17,30.94,205.34,2.41,01-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
01-Oct-2019 - 00:00,5.79,20.1,3.9,0.7,50.04,10.84,0.12,0.04,5.96,23.0,10.6,26.46,0.01,84.01,29.41,218.97,5.58,02-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
02-Oct-2019 - 00:00,10.2,18.31,6.28,0.84,64.91,10.88,0.18,0.11,6.99,39.22,21.73,26.86,0.03,79.01,29.35,231.67,3.07,03-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
03-Oct-2019 - 00:00,10.4,24.13,6.47,0.79,65.86,10.94,0.25,0.22,8.08,47.31,25.36,27.35,0.0,74.86,32.3,209.6,2.0,04-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
04-Oct-2019 - 00:00,10.66,26.01,6.57,0.78,62.66,6.77,0.26,0.21,7.61,48.68,29.86,27.13,0.09,77.65,31.28,201.14,1.8,05-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
05-Oct-2019 - 00:00,11.09,23.92,6.8,0.66,65.87,3.47,0.27,0.18,6.52,40.36,27.27,26.65,0.06,78.54,28.92,149.31,1.81,06-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
06-Oct-2019 - 00:00,15.07,24.27,9.21,0.74,52.78,3.07,0.31,0.22,6.97,47.44,33.0,26.57,0.04,80.53,28.97,149.52,1.5,07-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
07-Oct-2019 - 00:00,15.24,28.85,9.79,0.78,50.15,2.89,0.39,0.35,8.1,57.97,41.79,27.65,0.0,74.39,29.47,156.53,1.47,08-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
08-Oct-2019 - 00:00,17.96,23.08,10.33,1.03,69.96,4.76,0.37,0.42,7.94,99.6,52.11,28.28,0.0,64.81,29.04,94.02,1.45,09-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
09-Oct-2019 - 00:00,18.25,26.08,10.47,0.89,79.19,4.09,0.46,0.43,8.0,93.03,58.4,28.47,0.0,60.62,28.59,98.41,1.46,10-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
10-Oct-2019 - 00:00,15.61,26.1,9.13,0.79,77.39,4.03,0.37,0.28,8.13,87.08,56.69,28.56,0.0,60.69,28.58,130.92,1.43,11-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
11-Oct-2019 - 00:00,16.07,26.39,9.4,0.73,75.44,3.92,0.32,0.23,7.94,71.0,47.12,27.89,0.0,62.91,28.36,166.16,1.29,12-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
12-Oct-2019 - 00:00,24.4,25.93,15.36,0.9,63.97,4.98,0.45,0.41,8.0,82.54,48.83,28.2,0.0,47.6,28.14,111.77,1.37,13-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
13-Oct-2019 - 00:00,29.77,32.99,20.38,1.19,54.39,4.54,0.55,0.47,7.79,99.04,65.0,27.9,0.0,51.95,28.33,135.51,1.2,14-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
14-Oct-2019 - 00:00,26.21,35.6,17.28,1.01,48.48,7.74,0.59,0.48,9.25,103.57,70.01,28.5,0.0,49.59,31.69,157.99,1.33,15-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
15-Oct-2019 - 00:00,24.86,40.36,14.86,0.88,58.72,5.48,0.51,0.47,7.46,98.62,64.29,28.55,0.0,49.11,31.74,100.66,1.54,16-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
16-Oct-2019 - 00:00,21.3,31.85,12.4,0.82,79.96,2.51,0.46,0.4,6.63,97.56,65.5,28.16,0.0,48.22,28.6,100.16,2.0,17-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
17-Oct-2019 - 00:00,21.24,31.44,12.34,0.88,75.12,2.53,0.48,0.4,6.61,95.83,70.49,27.92,0.0,51.61,28.51,112.14,1.57,18-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
18-Oct-2019 - 00:00,23.27,33.98,13.79,0.95,67.1,1.64,0.53,0.53,7.74,93.04,72.04,27.93,0.0,53.4,28.43,106.67,1.53,19-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
19-Oct-2019 - 00:00,14.93,30.54,8.6,0.77,83.16,2.56,0.41,0.31,7.28,98.33,84.33,27.69,0.0,59.68,28.91,112.11,1.5,20-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
20-Oct-2019 - 00:00,16.91,31.99,9.74,0.9,64.03,1.89,0.45,0.33,8.1,116.11,104.0,26.73,0.0,73.01,29.02,123.06,1.4,21-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
21-Oct-2019 - 00:00,19.48,27.28,11.02,0.89,79.81,2.58,0.49,0.37,7.02,111.62,68.5,27.12,0.0,63.18,28.79,79.4,1.75,22-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
22-Oct-2019 - 00:00,20.43,28.36,11.62,0.86,68.66,2.84,0.56,0.51,7.21,120.04,58.0,26.83,0.0,64.07,29.78,98.23,1.46,23-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
23-Oct-2019 - 00:00,13.63,21.25,7.9,0.54,86.73,4.44,0.38,0.37,5.87,87.57,30.0,25.88,0.0,60.38,29.48,112.55,2.19,24-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
24-Oct-2019 - 00:00,15.45,23.17,8.94,0.57,83.22,3.76,0.37,0.45,5.36,97.68,41.22,26.82,0.0,52.38,33.03,92.44,2.09,25-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
25-Oct-2019 - 00:00,20.55,29.2,11.66,0.71,83.36,5.85,0.52,0.5,5.66,125.64,58.8,26.43,0.0,52.59,34.86,90.84,1.86,26-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
26-Oct-2019 - 00:00,13.45,23.87,7.78,0.64,79.02,5.54,0.39,0.29,4.45,93.34,47.3,26.84,0.0,55.14,31.46,89.03,2.08,27-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
27-Oct-2019 - 00:00,12.33,22.63,7.48,0.62,44.33,5.09,0.33,0.22,4.56,87.43,51.12,26.31,0.0,73.7,29.17,99.79,1.42,28-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
28-Oct-2019 - 00:00,9.47,21.24,5.66,0.49,45.91,5.45,0.22,0.13,4.25,55.39,26.86,26.64,0.56,77.19,29.25,120.26,2.0,29-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
29-Oct-2019 - 00:00,11.94,20.63,7.11,0.61,44.82,3.63,0.24,0.19,4.59,41.78,15.85,27.09,0.0,77.03,29.2,146.18,1.35,30-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
30-Oct-2019 - 00:00,12.51,21.82,7.41,0.62,54.7,4.12,0.26,0.19,4.69,56.71,23.52,27.69,0.0,69.52,29.38,128.3,1.4,31-Oct-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
31-Oct-2019 - 00:00,21.43,24.51,12.18,0.84,63.8,4.47,0.4,0.41,5.34,101.81,54.27,28.05,0.0,63.1,29.14,109.56,0.99,01-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
01-Nov-2019 - 00:00,23.16,26.48,13.0,1.14,57.43,5.56,0.45,0.6,5.79,110.61,58.43,27.97,0.0,64.29,29.14,109.74,0.81,02-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
02-Nov-2019 - 00:00,20.78,26.68,11.66,0.73,35.84,4.34,0.44,0.56,5.74,84.25,38.67,26.78,0.0,73.88,29.26,168.78,1.17,03-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
03-Nov-2019 - 00:00,15.27,22.31,8.62,0.63,41.34,3.25,0.31,0.3,4.64,56.08,24.38,26.36,0.01,78.3,29.13,118.98,1.54,04-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
04-Nov-2019 - 00:00,17.6,26.56,9.94,0.63,41.46,4.23,0.31,0.26,4.91,62.39,24.59,27.36,0.0,68.74,32.26,216.94,1.05,05-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
05-Nov-2019 - 00:00,17.12,28.29,9.73,0.99,64.17,4.03,0.37,0.26,5.13,77.55,42.45,27.76,0.0,62.11,35.25,141.53,0.99,06-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
06-Nov-2019 - 00:00,18.69,27.38,10.48,1.21,76.08,2.76,0.43,0.34,5.61,79.52,42.89,28.0,0.0,52.43,35.16,141.52,1.21,07-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
07-Nov-2019 - 00:00,15.19,28.82,8.63,1.04,62.05,4.21,0.32,0.25,4.94,68.55,38.57,26.61,0.0,73.14,30.88,175.71,1.83,08-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
08-Nov-2019 - 00:00,11.75,20.1,6.88,0.82,70.53,3.33,0.27,0.17,4.12,59.67,36.83,27.06,0.09,70.08,29.65,123.49,1.68,09-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
09-Nov-2019 - 00:00,15.51,20.47,9.36,1.05,101.62,4.43,0.35,0.21,3.91,102.29,68.28,27.16,0.0,60.29,29.01,68.35,2.28,10-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
10-Nov-2019 - 00:00,18.43,20.5,11.36,1.08,97.56,4.51,0.42,0.23,4.17,111.7,71.69,26.95,0.0,53.12,28.15,81.64,1.87,11-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
11-Nov-2019 - 00:00,30.11,28.72,17.52,1.14,58.18,3.92,0.44,0.44,5.19,110.48,63.23,26.93,0.0,54.5,28.08,154.14,1.32,12-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
12-Nov-2019 - 00:00,34.6,29.78,19.94,1.44,63.68,6.73,0.54,0.81,6.32,123.42,65.46,27.09,0.0,55.74,28.88,159.92,1.05,13-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
13-Nov-2019 - 00:00,32.16,34.77,18.63,1.26,73.47,6.6,0.55,0.76,6.71,113.33,61.27,27.15,0.0,54.95,29.59,131.44,1.18,14-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
14-Nov-2019 - 00:00,26.36,24.86,15.6,1.14,91.01,5.79,0.46,0.47,4.87,108.4,58.03,26.74,0.0,50.68,28.63,129.0,1.4,15-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
15-Nov-2019 - 00:00,24.03,26.29,14.39,1.12,90.39,4.48,0.46,0.39,4.83,113.18,60.52,26.39,0.0,49.18,28.26,97.04,1.66,16-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
16-Nov-2019 - 00:00,28.48,26.47,16.69,1.1,92.15,5.42,0.5,0.45,5.08,125.45,67.22,26.59,0.0,46.71,28.29,97.46,1.42,17-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
17-Nov-2019 - 00:00,17.79,24.36,11.06,0.84,125.74,5.96,0.43,0.26,4.18,123.38,73.47,26.24,0.0,49.45,28.32,67.56,2.19,18-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
18-Nov-2019 - 00:00,26.2,28.0,15.5,0.89,80.22,5.35,0.51,0.3,4.52,109.22,59.78,25.79,0.0,52.08,28.37,137.45,1.24,19-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
19-Nov-2019 - 00:00,32.76,32.59,19.13,1.02,75.17,5.11,0.58,0.63,5.97,112.76,53.72,26.19,0.0,50.25,28.55,157.38,1.04,20-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
20-Nov-2019 - 00:00,31.86,29.9,18.57,0.89,76.36,5.21,0.44,0.63,5.43,109.28,50.68,25.74,0.0,53.72,28.68,137.34,1.48,21-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
21-Nov-2019 - 00:00,32.61,26.19,18.9,1.17,88.92,6.57,0.53,0.7,5.68,112.46,51.11,25.99,0.0,49.73,28.37,112.4,1.21,22-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
22-Nov-2019 - 00:00,38.27,33.89,21.94,1.2,73.33,8.74,0.62,0.76,6.19,128.81,58.02,26.07,0.0,56.69,28.27,147.1,0.63,23-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
23-Nov-2019 - 00:00,29.94,31.79,17.4,1.03,90.35,6.34,0.55,0.55,5.47,119.46,49.71,26.34,0.0,54.18,28.27,116.98,0.54,24-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
24-Nov-2019 - 00:00,22.3,25.49,13.47,0.91,124.84,7.31,0.46,0.35,4.78,113.9,45.31,26.64,0.0,51.8,28.91,93.2,0.91,25-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
25-Nov-2019 - 00:00,28.51,24.4,16.81,1.02,108.71,7.07,0.47,0.44,5.17,113.49,41.86,27.29,0.0,48.71,28.59,120.76,1.26,26-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
26-Nov-2019 - 00:00,31.75,26.34,18.51,0.92,95.45,10.15,0.54,0.51,5.7,123.39,41.83,26.18,0.0,56.29,29.4,124.99,1.36,27-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
27-Nov-2019 - 00:00,33.77,1.28,20.5,1.42,67.96,6.88,0.63,2.99,3.46,125.62,37.03,23.96,0.0,75.18,,184.53,0.75,28-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
28-Nov-2019 - 00:00,35.42,11.3,21.3,1.51,61.41,7.99,0.46,0.6,5.28,128.79,33.65,,,,,,,29-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
29-Nov-2019 - 00:00,32.52,32.88,19.25,1.11,64.11,6.84,0.55,0.85,5.57,115.71,28.12,27.8,0.0,46.71,27.72,123.23,2.01,30-Nov-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
