from date,BP,PM2.5,PM10,RF,RH,SR,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Ozone,Toluene,CO,NH3,NO,NO2,NOx,SO2,to date,station
11-Jan-2019 - 00:00,762.62,209.14,379.54,0.0,60.43,64.28,126.06,0.46,0.51,0.4,0.72,0.72,12.53,0.76,1.01,14.56,14.18,45.22,57.83,30.04,12-Jan-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
12-Jan-2019 - 00:00,755.89,227.0,429.26,0.0,67.1,44.58,139.67,0.47,0.45,0.39,0.71,0.71,18.61,0.87,0.8,16.9,10.68,47.99,55.04,27.26,13-Jan-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
13-Jan-2019 - 00:00,757.75,248.63,390.94,0.0,64.65,61.67,217.54,0.85,0.54,0.38,0.75,0.74,22.05,0.81,0.92,18.14,14.33,57.56,71.88,58.78,14-Jan-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
14-Jan-2019 - 00:00,758.11,107.78,217.94,0.0,56.33,80.07,287.61,1.52,0.54,0.37,0.75,0.73,13.43,1.0,0.76,15.35,49.22,73.91,122.97,57.64,15-Jan-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
15-Jan-2019 - 00:00,756.95,91.28,197.03,0.02,56.9,81.72,256.95,0.99,0.49,0.42,0.75,0.7,13.27,0.9,0.68,13.58,33.72,67.71,101.25,44.4,16-Jan-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
16-Jan-2019 - 00:00,756.47,190.55,373.47,0.0,67.48,75.48,130.28,0.42,0.56,0.38,0.77,0.76,15.77,0.84,1.1,14.81,11.09,37.97,49.21,30.95,17-Jan-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
17-Jan-2019 - 00:00,755.51,233.41,413.96,0.0,67.62,81.17,208.85,0.67,0.48,0.38,0.76,0.74,19.12,0.96,0.95,16.17,13.0,56.28,69.27,46.51,18-Jan-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
18-Jan-2019 - 00:00,756.07,198.3,330.1,0.0,70.24,83.37,192.34,0.62,0.51,0.42,0.73,0.78,15.77,0.84,0.77,14.7,13.75,52.43,66.09,47.76,19-Jan-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
19-Jan-2019 - 00:00,755.67,181.11,363.84,0.0,67.16,86.89,174.97,0.52,0.5,0.37,0.71,0.7,18.94,0.71,0.84,17.77,13.46,43.18,52.97,31.05,20-Jan-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
20-Jan-2019 - 00:00,754.58,180.03,366.05,0.0,59.84,84.91,156.91,0.49,0.49,0.39,0.72,0.76,22.26,0.79,0.63,19.06,11.49,47.58,57.72,37.29,21-Jan-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
21-Jan-2019 - 00:00,758.25,103.95,199.97,0.04,69.87,35.91,115.77,0.57,0.53,0.38,0.73,0.73,23.84,0.84,0.7,17.31,2.38,32.88,35.26,27.97,22-Jan-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
22-Jan-2019 - 00:00,766.0,75.17,151.56,0.01,81.85,71.96,122.35,0.73,0.45,0.34,0.71,0.63,14.57,0.8,0.4,16.37,9.19,92.42,85.12,24.37,23-Jan-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
