from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
21-Mar-2019 - 00:00,20.63,14.12,2.73,50.04,8.4,0.33,42.7,30.49,91.59,3.41,95.48,4.85,4.37,49.39,1.59,233.47,321.75,0.0,22-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
22-Mar-2019 - 00:00,15.65,11.37,2.54,39.31,9.22,0.29,58.11,22.67,88.68,2.92,63.75,3.74,3.59,49.01,2.9,294.83,346.12,0.0,23-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
23-Mar-2019 - 00:00,17.43,12.28,2.52,38.64,16.75,0.4,60.73,30.73,99.84,4.02,62.06,4.3,4.42,44.79,2.91,290.58,402.59,0.0,24-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
24-Mar-2019 - 00:00,16.12,11.7,2.65,35.82,11.25,0.35,45.03,29.97,92.71,3.68,66.44,3.79,3.42,58.9,2.81,297.9,350.82,0.0,25-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
25-Mar-2019 - 00:00,22.31,15.52,3.39,40.73,16.19,0.59,24.84,46.69,110.57,6.11,68.29,4.6,5.31,80.81,1.83,297.12,109.54,0.0,26-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
26-Mar-2019 - 00:00,20.14,14.19,3.13,37.38,13.94,0.49,48.91,43.09,110.84,4.99,68.18,4.8,5.55,64.49,2.34,279.82,349.32,0.0,27-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
27-Mar-2019 - 00:00,19.53,13.65,2.86,38.59,19.57,0.53,56.39,45.67,125.07,5.25,65.7,5.46,6.28,59.58,2.0,284.18,297.08,0.0,28-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
28-Mar-2019 - 00:00,22.33,15.28,3.08,51.81,15.05,0.52,59.13,44.99,123.16,5.13,61.97,4.8,5.69,55.39,1.83,284.63,352.61,0.0,29-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
29-Mar-2019 - 00:00,26.64,19.28,5.21,68.6,14.19,0.61,57.23,44.18,129.78,6.19,76.54,6.31,7.45,63.06,1.3,257.21,340.16,0.0,30-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
30-Mar-2019 - 00:00,25.62,17.28,3.42,72.64,19.89,0.59,52.96,57.4,152.11,5.65,61.38,4.23,4.74,63.35,1.55,264.03,336.67,0.0,31-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
31-Mar-2019 - 00:00,20.91,14.35,2.84,61.99,14.01,0.38,61.2,40.41,126.75,3.85,58.98,3.41,3.32,48.26,2.65,295.1,371.12,0.0,01-Apr-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
01-Apr-2019 - 00:00,21.15,14.35,2.68,51.08,16.17,0.42,67.38,35.08,122.37,4.54,51.48,3.21,3.67,46.75,2.57,282.62,377.46,0.0,02-Apr-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
02-Apr-2019 - 00:00,26.05,16.93,2.71,49.47,23.86,0.56,69.43,52.29,143.37,7.04,62.7,9.04,9.75,50.25,1.59,182.61,350.4,0.0,03-Apr-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
03-Apr-2019 - 00:00,24.82,16.55,3.03,45.88,22.74,0.54,66.02,46.65,129.56,5.88,57.2,3.91,4.62,45.01,2.05,287.7,402.61,0.0,04-Apr-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
04-Apr-2019 - 00:00,35.53,24.56,6.04,40.71,26.46,0.68,68.87,60.08,161.29,7.43,67.8,4.43,5.14,50.6,1.61,235.18,394.32,0.0,05-Apr-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
