from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,NH3,NO,NO2,NOx,Ozone,SO2,CO,to date,station
04-Dec-2019 - 00:00,18.78,994.73,322.27,200.5,64.76,74.7,128.91,0.43,,7.39,65.5,40.25,66.86,68.8,91.11,11.14,15.06,2.24,05-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Dec-2019 - 00:00,18.46,996.8,531.1,366.23,72.47,59.7,88.03,0.39,,10.69,126.8,68.5,119.26,107.08,154.18,8.46,13.23,2.77,06-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Dec-2019 - 00:00,19.39,995.96,394.47,275.02,73.78,62.13,132.3,0.32,,10.62,83.82,67.1,54.73,75.81,84.94,,15.68,1.51,07-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Dec-2019 - 00:00,19.36,994.87,358.03,256.01,73.49,69.41,88.06,0.44,,8.35,77.81,59.22,111.39,75.86,131.17,15.86,13.95,2.91,08-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Dec-2019 - 00:00,19.26,994.58,432.54,302.8,72.84,66.31,111.93,0.37,,7.81,129.67,59.57,153.0,79.56,167.05,18.54,14.89,3.01,09-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Dec-2019 - 00:00,18.82,993.83,353.74,234.05,70.6,67.58,103.77,0.39,,9.2,80.31,52.8,100.21,80.63,124.58,19.16,15.91,2.68,10-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Dec-2019 - 00:00,18.44,991.12,428.28,291.68,71.52,65.71,109.31,0.43,,9.97,81.22,55.3,104.03,95.58,135.65,23.08,13.78,2.79,11-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Dec-2019 - 00:00,18.86,989.84,548.32,387.67,72.05,54.98,68.88,0.47,,8.99,108.06,64.91,130.59,102.98,161.24,30.44,15.31,3.68,12-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Dec-2019 - 00:00,19.8,988.7,499.64,353.44,67.97,38.86,61.86,1.15,,8.36,51.29,60.95,28.27,71.8,61.23,25.41,13.75,1.77,13-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Dec-2019 - 00:00,19.01,990.68,142.44,117.99,77.46,42.01,144.61,0.62,,3.12,14.46,29.03,7.72,38.03,26.52,17.63,12.81,0.13,14-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Dec-2019 - 00:00,18.17,995.96,163.18,108.61,77.93,60.76,76.24,0.59,,5.92,30.77,30.25,30.95,44.66,48.99,17.82,12.67,0.0,15-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Dec-2019 - 00:00,18.67,995.54,167.85,116.29,76.86,71.84,181.05,0.63,,5.93,27.53,31.87,28.93,44.46,47.22,15.14,10.9,3.31,16-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Dec-2019 - 00:00,16.84,996.1,135.08,98.29,80.9,18.11,181.44,0.79,,3.79,16.08,31.55,8.63,35.36,25.84,11.34,8.64,0.0,17-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Dec-2019 - 00:00,16.5,997.2,158.99,117.75,78.43,26.19,175.07,0.52,,4.62,18.93,43.86,19.62,37.21,35.79,13.5,9.68,1.47,18-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Dec-2019 - 00:00,17.0,995.93,234.94,170.9,75.03,78.65,139.38,0.66,,5.78,19.98,46.37,17.37,45.85,38.55,9.1,9.63,0.83,19-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Dec-2019 - 00:00,16.06,994.57,446.97,328.22,83.1,55.17,76.2,0.65,,10.94,42.03,54.58,50.06,60.82,73.16,22.51,12.5,1.39,20-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Dec-2019 - 00:00,17.18,992.23,532.57,396.0,81.3,57.12,134.95,0.55,,11.87,64.25,53.38,38.27,70.18,68.53,22.32,8.89,1.24,21-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Dec-2019 - 00:00,17.86,993.13,363.57,273.44,79.66,65.44,165.86,0.41,,8.54,33.68,57.34,36.15,52.21,57.25,11.6,8.17,0.81,22-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Dec-2019 - 00:00,16.49,994.41,209.38,162.9,82.57,39.12,195.2,0.45,,5.96,16.59,50.73,15.13,38.74,32.93,10.61,7.41,0.57,23-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Dec-2019 - 00:00,15.57,993.67,245.84,188.17,80.57,53.92,168.04,0.53,,6.59,30.56,41.28,22.22,36.62,37.6,9.41,9.7,0.85,24-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Dec-2019 - 00:00,15.95,995.37,409.93,278.92,79.62,59.16,93.34,0.61,,9.19,38.69,42.64,24.14,46.16,44.23,9.8,11.59,0.93,25-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Dec-2019 - 00:00,15.01,994.48,250.23,165.69,80.89,60.11,207.57,0.57,,5.51,17.83,35.35,12.95,32.56,27.88,7.54,8.14,0.61,26-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-Dec-2019 - 00:00,14.9,993.92,300.35,210.06,77.3,60.2,156.13,0.59,,5.66,16.77,64.55,10.67,34.95,27.29,10.09,7.89,0.68,27-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Dec-2019 - 00:00,14.68,994.82,402.56,272.62,76.39,61.15,86.11,0.56,,6.68,19.47,58.22,16.58,39.64,34.6,9.68,9.0,0.79,28-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Dec-2019 - 00:00,13.12,995.58,451.94,287.98,83.4,52.31,87.16,0.59,,9.9,29.88,55.12,54.14,37.29,63.98,8.15,9.95,1.22,29-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-Dec-2019 - 00:00,8.47,995.91,487.65,329.06,78.95,63.21,58.49,0.67,,9.34,28.03,54.99,20.63,46.06,41.3,12.59,10.19,1.03,30-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-Dec-2019 - 00:00,7.73,995.23,530.92,380.79,87.32,15.52,64.18,0.8,,12.75,36.71,54.63,47.92,44.07,62.5,4.82,12.0,1.34,31-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
31-Dec-2019 - 00:00,7.4,995.65,376.0,267.0,82.85,1.25,65.9,0.9,,7.55,11.1,40.6,3.25,24.8,15.85,3.65,9.2,0.2,01-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
