from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
22-May-2019 - 00:00,0.42,0.0,0.0,0.0,752.89,90.6,35.58,0.0,28.1,35.37,262.27,1.21,0.73,12.36,10.7,13.14,23.83,30.86,6.96,23-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
23-May-2019 - 00:00,0.45,0.0,0.0,0.0,751.68,89.39,34.91,0.0,25.19,36.56,253.0,1.58,0.71,11.26,10.34,10.82,21.15,26.89,7.03,24-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
24-May-2019 - 00:00,0.11,0.0,0.0,0.0,752.62,119.26,45.73,0.0,22.06,36.54,286.27,2.22,0.67,9.6,10.16,8.23,18.39,25.21,6.6,25-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
25-May-2019 - 00:00,0.49,0.0,0.0,0.0,752.96,153.79,60.66,0.0,26.33,35.55,216.36,1.32,0.67,11.27,10.75,14.17,23.98,34.4,10.94,26-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
26-May-2019 - 00:00,1.18,0.1,0.26,0.04,751.94,119.81,50.95,0.0,19.67,36.03,217.27,0.92,0.78,9.95,12.82,20.24,33.06,28.28,10.67,27-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
27-May-2019 - 00:00,0.45,0.03,0.1,0.01,751.34,119.64,44.33,0.0,17.64,37.44,239.77,1.6,0.64,11.52,11.94,15.92,26.52,27.84,11.48,28-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
28-May-2019 - 00:00,0.24,0.0,0.0,0.0,751.22,112.35,43.68,0.0,15.58,37.99,222.21,1.54,0.67,9.13,10.9,14.95,25.06,29.69,12.4,29-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
29-May-2019 - 00:00,0.3,0.0,0.0,0.0,750.4,123.16,50.63,0.0,18.24,37.77,210.89,1.31,0.68,9.45,11.91,17.15,29.06,27.35,17.64,30-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
30-May-2019 - 00:00,0.28,0.0,0.0,0.0,749.65,150.16,46.79,0.0,18.99,37.77,249.44,1.69,0.74,9.39,10.69,13.56,24.25,27.82,11.5,31-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
31-May-2019 - 00:00,1.8,0.46,1.05,0.28,749.68,122.83,55.83,0.0,20.65,37.32,192.56,1.41,0.88,10.37,14.21,24.79,38.83,26.68,10.64,01-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
