from date,Benzene,MP-Xylene,O Xylene,Toluene,CO,NO2,NO,NOx,NH3,Ozone,PM10,PM2.5,SR,Temp,WD,WS,SO2,to date,station
11-Mar-2019 - 00:00,12.89,16.38,12.54,108.23,1.31,40.46,6.13,25.07,4.3,9.63,131.18,50.89,252.75,26.21,197.7,0.78,25.01,12-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
12-Mar-2019 - 00:00,7.21,14.09,6.42,64.54,0.82,29.18,3.05,17.02,5.97,17.83,101.43,40.13,225.05,26.65,202.27,0.95,37.11,13-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
13-Mar-2019 - 00:00,8.51,14.98,10.64,69.52,0.81,27.03,2.45,15.58,6.64,26.34,106.08,39.6,225.42,25.98,202.72,0.92,28.47,14-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
14-Mar-2019 - 00:00,9.4,14.83,8.12,51.56,0.89,34.04,2.91,19.83,4.16,20.17,108.22,43.7,242.22,26.21,170.46,0.7,35.28,15-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
15-Mar-2019 - 00:00,10.38,18.15,9.24,90.41,0.93,31.38,1.54,17.51,3.42,31.38,128.34,50.43,250.99,28.05,172.27,0.79,31.0,16-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
16-Mar-2019 - 00:00,18.47,22.08,14.16,109.17,1.61,64.33,4.88,37.57,1.89,37.4,182.88,77.84,228.97,27.51,219.28,0.85,30.49,17-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
17-Mar-2019 - 00:00,15.0,18.24,10.05,106.58,1.32,37.38,2.35,21.22,3.32,36.6,163.31,60.15,221.59,27.52,212.15,0.89,26.8,18-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
18-Mar-2019 - 00:00,16.27,19.4,9.41,103.27,1.37,45.95,4.94,27.59,4.15,30.97,187.1,78.15,264.82,29.16,191.95,0.86,34.56,19-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
19-Mar-2019 - 00:00,21.63,27.62,10.61,95.04,1.73,63.81,9.75,39.73,3.33,26.27,203.14,69.84,224.94,27.42,215.68,0.91,28.37,20-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
20-Mar-2019 - 00:00,20.4,19.07,15.63,65.27,1.43,51.91,8.94,32.84,2.86,12.52,160.13,51.88,212.87,26.41,215.27,0.96,23.42,21-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
