from date,PM2.5,RH,SR,Temp,CH4,CO,NH3,NO,NO2,NOx,SO2,to date,BP,station
02-Nov-2019 - 00:00,22.36,70.46,111.61,26.19,,1.46,23.92,5.1,30.79,35.89,5.34,03-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
03-Nov-2019 - 00:00,21.22,68.64,147.78,26.41,,1.09,22.25,2.73,27.32,30.05,4.46,04-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
04-Nov-2019 - 00:00,30.87,53.87,185.29,26.44,876.58,1.48,26.44,6.8,43.21,50.01,4.46,05-Nov-2019 - 00:00,998.26,"Peenya, Bengaluru - CPCB"
05-Nov-2019 - 00:00,37.44,55.25,167.4,26.4,,1.65,25.89,6.3,48.53,54.82,4.38,06-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
06-Nov-2019 - 00:00,39.3,57.99,149.18,26.67,,1.47,23.11,2.87,40.13,43.0,4.2,07-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
07-Nov-2019 - 00:00,46.31,61.46,108.78,26.47,,1.54,24.29,3.16,40.36,43.52,4.29,08-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
08-Nov-2019 - 00:00,35.96,75.2,96.49,25.94,,1.44,24.38,3.16,33.78,36.93,4.13,09-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
09-Nov-2019 - 00:00,29.76,68.9,128.45,26.47,,1.24,23.78,2.84,30.5,33.33,3.88,10-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
10-Nov-2019 - 00:00,33.37,70.11,113.41,26.47,,1.25,23.18,2.92,26.46,29.38,3.78,11-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
11-Nov-2019 - 00:00,39.97,65.29,130.27,26.35,,1.33,24.75,3.12,31.38,34.5,5.19,12-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
12-Nov-2019 - 00:00,26.04,64.29,150.4,25.83,,1.15,22.28,2.77,29.8,32.57,7.5,13-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
13-Nov-2019 - 00:00,28.76,62.63,163.54,25.77,,1.11,21.56,2.65,31.34,33.98,7.23,14-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
14-Nov-2019 - 00:00,23.1,73.81,72.79,24.93,,1.07,21.93,2.75,31.2,33.94,7.31,15-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
15-Nov-2019 - 00:00,22.15,80.67,84.43,25.24,,1.28,24.83,4.21,32.03,36.23,7.17,16-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
16-Nov-2019 - 00:00,22.02,72.74,140.22,26.05,,1.29,23.85,3.2,28.96,32.17,6.89,17-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
17-Nov-2019 - 00:00,23.93,66.11,144.07,25.98,,0.99,21.39,2.71,25.09,27.79,6.67,18-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
18-Nov-2019 - 00:00,26.59,70.83,112.74,26.11,,1.27,22.64,3.17,28.08,31.25,6.9,19-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
19-Nov-2019 - 00:00,23.22,69.67,122.64,26.03,,1.18,23.21,3.3,27.92,31.19,6.93,20-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
20-Nov-2019 - 00:00,22.05,79.03,107.77,25.28,,1.18,23.19,3.39,26.31,29.64,6.73,21-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
21-Nov-2019 - 00:00,32.74,76.16,71.34,25.16,,1.3,26.51,4.49,31.35,35.81,6.82,22-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
22-Nov-2019 - 00:00,31.82,73.06,103.09,25.31,,1.14,22.47,3.11,27.15,30.19,6.77,23-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
23-Nov-2019 - 00:00,24.85,63.32,183.72,25.37,981.23,1.11,21.89,2.85,31.47,34.25,6.84,24-Nov-2019 - 00:00,999.76,"Peenya, Bengaluru - CPCB"
24-Nov-2019 - 00:00,11.93,66.51,171.66,25.33,,1.16,19.94,2.63,28.85,31.44,7.02,25-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
25-Nov-2019 - 00:00,11.94,68.35,109.26,25.18,,1.17,20.73,2.72,30.2,32.91,6.69,26-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
26-Nov-2019 - 00:00,12.05,64.38,179.87,25.19,994.05,1.06,20.24,2.8,29.92,32.69,6.82,27-Nov-2019 - 00:00,999.9,"Peenya, Bengaluru - CPCB"
27-Nov-2019 - 00:00,21.23,74.2,93.55,25.21,,1.24,24.14,3.45,32.58,36.01,6.24,28-Nov-2019 - 00:00,989.1,"Peenya, Bengaluru - CPCB"
28-Nov-2019 - 00:00,20.9,74.16,87.99,25.26,,1.2,24.68,3.06,35.43,38.48,5.13,29-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
29-Nov-2019 - 00:00,25.18,74.55,63.35,25.22,,1.1,21.78,3.0,33.15,36.07,4.81,30-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
30-Nov-2019 - 00:00,29.21,81.6,50.45,24.5,,1.12,20.99,3.36,30.12,33.44,4.48,01-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
01-Dec-2019 - 00:00,18.98,90.13,28.67,24.18,,1.13,20.67,2.81,24.47,27.22,3.45,02-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
02-Dec-2019 - 00:00,20.05,84.04,48.57,24.27,,1.07,21.81,3.1,25.13,28.22,3.28,03-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
03-Dec-2019 - 00:00,31.52,76.01,54.5,24.3,,1.1,21.79,3.02,27.92,30.92,4.37,04-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
04-Dec-2019 - 00:00,41.7,72.06,125.84,24.59,,1.01,20.62,2.7,27.8,30.45,4.32,05-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
05-Dec-2019 - 00:00,53.01,69.37,122.55,24.08,,1.03,20.01,2.6,30.66,33.23,5.03,06-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
06-Dec-2019 - 00:00,58.12,72.33,88.63,23.87,,1.15,19.62,2.5,31.62,34.1,5.17,07-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
07-Dec-2019 - 00:00,47.23,80.62,63.13,23.41,,1.27,20.5,2.73,34.23,36.95,4.39,08-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
08-Dec-2019 - 00:00,31.06,80.9,40.81,23.6,,1.14,20.23,2.64,30.32,32.95,3.88,09-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
09-Dec-2019 - 00:00,30.58,68.18,168.17,24.47,,1.2,20.17,2.87,32.29,35.12,4.8,10-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
10-Dec-2019 - 00:00,27.77,70.73,197.44,23.97,,1.05,19.4,2.58,31.38,33.7,4.19,11-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
11-Dec-2019 - 00:00,33.11,52.51,120.63,26.08,988.67,1.16,20.97,3.19,38.32,41.5,4.22,12-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
12-Dec-2019 - 00:00,32.44,64.95,138.64,24.63,,1.13,19.37,2.41,35.37,37.77,4.98,13-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
13-Dec-2019 - 00:00,37.28,69.82,145.93,24.67,,1.12,19.58,2.53,33.91,36.43,5.39,14-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
14-Dec-2019 - 00:00,30.59,77.5,71.43,24.63,,1.1,19.67,2.57,29.77,32.32,5.89,15-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
15-Dec-2019 - 00:00,25.04,65.3,128.29,24.7,,0.98,18.73,2.43,28.62,31.02,9.67,16-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
16-Dec-2019 - 00:00,30.11,70.89,131.95,24.71,,1.07,19.85,3.13,31.36,34.45,13.37,17-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
17-Dec-2019 - 00:00,30.34,69.01,110.71,24.7,,0.97,19.43,2.73,30.95,33.66,12.74,18-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
18-Dec-2019 - 00:00,45.78,69.78,105.6,24.48,,1.16,20.01,3.1,33.28,36.33,13.41,19-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
19-Dec-2019 - 00:00,38.29,70.93,55.26,24.18,,1.21,20.32,3.08,32.59,35.64,7.2,20-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
20-Dec-2019 - 00:00,45.42,69.98,123.65,24.08,,1.2,20.66,3.23,37.24,40.45,1.78,21-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
21-Dec-2019 - 00:00,50.02,69.85,132.83,24.76,,1.18,19.4,2.5,31.48,33.95,3.29,22-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
22-Dec-2019 - 00:00,47.41,64.5,153.77,24.95,,0.98,18.37,2.36,29.01,31.33,3.42,23-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
23-Dec-2019 - 00:00,49.1,68.06,117.21,24.52,,1.11,19.18,2.85,33.3,36.03,2.95,24-Dec-2019 - 00:00,999.3,"Peenya, Bengaluru - CPCB"
24-Dec-2019 - 00:00,41.22,72.21,114.19,24.89,,1.2,19.64,2.68,33.04,35.68,3.48,25-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
25-Dec-2019 - 00:00,39.51,77.51,43.73,24.66,,1.3,20.49,2.74,31.27,33.95,2.97,26-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
26-Dec-2019 - 00:00,47.15,70.99,105.94,25.28,,1.26,21.06,2.92,31.89,34.74,3.22,27-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
27-Dec-2019 - 00:00,46.45,67.88,135.95,25.58,,1.16,21.33,2.97,32.76,35.66,3.5,28-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
28-Dec-2019 - 00:00,41.57,65.12,138.37,24.96,,0.96,19.7,2.56,30.1,32.59,3.41,29-Dec-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
29-Dec-2019 - 00:00,39.02,62.66,134.64,24.76,,0.99,18.65,2.33,29.3,31.58,2.95,30-Dec-2019 - 00:00,999.62,"Peenya, Bengaluru - CPCB"
30-Dec-2019 - 00:00,41.95,66.3,143.98,24.62,,1.16,18.93,2.34,31.99,34.26,3.19,31-Dec-2019 - 00:00,999.47,"Peenya, Bengaluru - CPCB"
31-Dec-2019 - 00:00,39.33,82.3,0.91,23.37,,1.07,18.2,2.21,25.82,27.79,3.21,01-Jan-2020 - 00:00,,"Peenya, Bengaluru - CPCB"
