from date,Temp,RH,VWS,WD,WS,SR,PM2.5,CO,CH4,NO2,NO,NOx,NH3,SO2,NMHC,to date,BP,THC,station
11-Dec-2019 - 00:00,16.78,68.48,-0.41,209.97,0.2,93.84,342.2,1.12,865.5,155.24,23.88,73.65,20.98,21.32,120.49,12-Dec-2019 - 00:00,,909.69,"Talkatora District Industries Center, Lucknow - CPCB"
12-Dec-2019 - 00:00,16.91,75.62,-0.26,114.89,0.31,43.66,140.51,0.85,725.28,148.8,24.1,67.02,5.24,29.82,275.03,13-Dec-2019 - 00:00,,773.61,"Talkatora District Industries Center, Lucknow - CPCB"
13-Dec-2019 - 00:00,16.09,94.25,-0.03,128.76,0.79,20.14,147.41,1.29,582.86,19.51,16.57,23.14,1.45,18.69,288.93,14-Dec-2019 - 00:00,,868.0,"Talkatora District Industries Center, Lucknow - CPCB"
14-Dec-2019 - 00:00,17.08,88.56,-0.26,85.54,0.23,74.37,87.93,1.19,572.24,4.96,11.19,11.52,1.4,14.56,297.35,15-Dec-2019 - 00:00,,869.59,"Talkatora District Industries Center, Lucknow - CPCB"
15-Dec-2019 - 00:00,16.77,83.43,-0.38,170.34,0.25,111.45,99.71,1.18,601.1,5.26,10.54,11.02,1.34,20.62,293.35,16-Dec-2019 - 00:00,,894.45,"Talkatora District Industries Center, Lucknow - CPCB"
16-Dec-2019 - 00:00,15.04,80.6,0.55,320.07,0.78,146.59,125.4,1.06,600.85,5.67,7.78,8.92,1.11,9.93,293.22,17-Dec-2019 - 00:00,,894.06,"Talkatora District Industries Center, Lucknow - CPCB"
17-Dec-2019 - 00:00,11.83,87.57,0.73,308.21,0.89,29.86,129.44,1.12,601.24,5.74,7.75,9.14,1.14,6.6,294.24,18-Dec-2019 - 00:00,,895.48,"Talkatora District Industries Center, Lucknow - CPCB"
18-Dec-2019 - 00:00,10.58,84.68,0.21,273.37,0.55,24.51,145.8,0.96,599.17,6.06,7.54,9.04,1.13,6.38,294.39,19-Dec-2019 - 00:00,,893.56,"Talkatora District Industries Center, Lucknow - CPCB"
19-Dec-2019 - 00:00,11.05,76.17,0.17,240.07,0.51,93.37,202.19,1.3,602.44,6.86,7.26,9.12,1.14,17.56,294.61,20-Dec-2019 - 00:00,,897.05,"Talkatora District Industries Center, Lucknow - CPCB"
20-Dec-2019 - 00:00,11.77,84.74,0.06,303.16,0.48,92.49,224.98,1.09,601.31,6.13,11.49,11.92,1.43,26.72,294.88,21-Dec-2019 - 00:00,,896.19,"Talkatora District Industries Center, Lucknow - CPCB"
21-Dec-2019 - 00:00,13.14,87.03,-0.08,275.27,0.38,101.63,166.39,1.13,598.41,5.72,11.14,11.66,1.41,71.86,294.68,22-Dec-2019 - 00:00,,893.1,"Talkatora District Industries Center, Lucknow - CPCB"
22-Dec-2019 - 00:00,17.39,65.97,0.64,307.35,0.87,155.14,176.28,1.05,594.64,6.59,6.28,8.18,1.06,27.52,296.05,23-Dec-2019 - 00:00,,890.56,"Talkatora District Industries Center, Lucknow - CPCB"
23-Dec-2019 - 00:00,11.17,90.74,-0.13,208.12,0.34,73.41,113.38,1.19,598.28,5.95,9.32,10.27,1.28,23.44,294.02,24-Dec-2019 - 00:00,,892.3,"Talkatora District Industries Center, Lucknow - CPCB"
24-Dec-2019 - 00:00,9.93,90.8,-0.13,123.62,0.31,73.69,327.55,0.97,595.98,7.69,7.9,10.27,8.05,33.98,290.98,25-Dec-2019 - 00:00,,886.97,"Talkatora District Industries Center, Lucknow - CPCB"
25-Dec-2019 - 00:00,10.03,91.95,-0.29,197.49,0.4,,342.25,1.3,603.06,0.9,6.2,5.44,15.25,62.32,288.71,26-Dec-2019 - 00:00,,891.75,"Talkatora District Industries Center, Lucknow - CPCB"
26-Dec-2019 - 00:00,7.66,91.06,-0.01,254.33,0.55,,273.65,1.0,602.46,3.72,4.73,5.76,12.47,19.44,290.66,27-Dec-2019 - 00:00,,893.12,"Talkatora District Industries Center, Lucknow - CPCB"
27-Dec-2019 - 00:00,8.64,82.99,0.18,306.76,0.58,142.88,251.11,1.65,549.76,14.11,4.51,11.87,15.22,15.06,292.85,28-Dec-2019 - 00:00,,842.58,"Talkatora District Industries Center, Lucknow - CPCB"
28-Dec-2019 - 00:00,7.25,91.11,-0.26,223.38,0.38,76.05,254.45,1.17,596.78,19.25,4.42,13.77,32.91,24.34,286.27,29-Dec-2019 - 00:00,,883.04,"Talkatora District Industries Center, Lucknow - CPCB"
29-Dec-2019 - 00:00,7.63,87.69,-0.02,230.44,0.42,81.83,231.64,0.96,601.88,19.39,4.05,13.55,32.72,24.35,287.4,30-Dec-2019 - 00:00,,889.27,"Talkatora District Industries Center, Lucknow - CPCB"
30-Dec-2019 - 00:00,7.16,87.43,-0.23,144.62,0.29,62.02,254.25,1.38,559.89,18.98,6.15,14.94,32.57,17.88,290.3,31-Dec-2019 - 00:00,,850.19,"Talkatora District Industries Center, Lucknow - CPCB"
31-Dec-2019 - 00:00,4.68,95.0,-0.36,269.49,0.27,10.85,309.1,1.08,586.75,18.05,17.23,23.38,38.18,73.19,284.8,01-Jan-2020 - 00:00,,871.5,"Talkatora District Industries Center, Lucknow - CPCB"
