from date,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,SO2,WS,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,to date,station
14-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,15-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
15-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,16-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
16-Aug-2019 - 00:00,0.28,118.15,76.47,745.61,112.34,5.54,26.52,18.51,12.93,24.32,31.72,1.39,8.61,1.25,1.6,5.97,2.48,0.88,0.62,17-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
17-Aug-2019 - 00:00,0.24,137.18,,745.75,105.98,6.97,24.38,18.49,6.39,26.76,29.51,1.09,8.7,0.34,0.34,2.54,1.3,0.14,0.11,18-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
18-Aug-2019 - 00:00,0.14,203.81,84.55,748.05,92.35,15.11,20.25,22.46,8.17,36.81,29.54,1.36,9.72,0.29,1.35,7.86,4.69,1.89,2.08,19-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
19-Aug-2019 - 00:00,0.13,174.88,72.65,747.11,157.6,28.98,28.32,35.2,14.88,42.13,30.15,1.31,8.86,0.35,1.81,11.13,5.14,3.48,1.97,20-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
20-Aug-2019 - 00:00,0.14,272.76,76.22,744.71,186.41,16.61,23.7,25.67,19.65,53.24,29.04,1.34,9.81,0.5,1.39,10.22,3.1,3.73,1.29,21-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
21-Aug-2019 - 00:00,0.12,229.3,72.85,743.74,185.96,11.55,30.03,25.13,18.62,63.19,29.76,1.68,7.36,0.58,1.4,9.97,3.05,2.9,1.14,22-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
22-Aug-2019 - 00:00,0.12,212.35,72.6,744.09,148.64,25.75,32.73,34.77,15.38,50.76,28.43,1.23,6.96,0.62,2.73,11.42,4.03,2.36,1.82,23-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
23-Aug-2019 - 00:00,0.12,193.94,80.69,743.83,161.34,50.72,18.76,40.24,15.39,71.46,28.76,1.26,9.45,0.43,3.74,14.2,7.36,3.86,3.37,24-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
24-Aug-2019 - 00:00,0.13,136.73,88.2,744.1,107.74,56.39,28.89,43.23,14.6,90.01,27.92,1.78,9.94,0.57,3.22,13.59,6.79,3.38,3.23,25-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
25-Aug-2019 - 00:00,0.36,125.7,89.44,744.5,130.2,11.78,38.31,29.78,11.26,45.07,26.68,1.42,8.3,0.72,1.06,5.45,2.59,0.82,0.99,26-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
26-Aug-2019 - 00:00,0.29,99.28,77.56,744.22,176.28,18.72,20.49,24.96,15.07,48.32,28.58,1.41,8.63,0.93,2.16,7.02,3.11,1.42,1.23,27-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
27-Aug-2019 - 00:00,0.35,107.61,70.03,743.57,149.72,13.81,26.64,23.16,23.24,50.13,30.19,1.34,8.35,0.59,1.22,5.64,2.24,0.53,0.68,28-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
28-Aug-2019 - 00:00,0.3,122.0,63.54,744.16,133.56,4.36,50.45,30.02,27.43,64.31,31.62,1.11,7.37,0.82,1.79,11.51,18.46,8.02,5.14,29-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
29-Aug-2019 - 00:00,0.3,145.03,68.25,744.75,152.4,3.92,50.34,29.47,28.35,45.6,30.6,1.32,9.52,0.97,0.97,6.92,9.06,4.13,2.45,30-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
30-Aug-2019 - 00:00,0.35,144.52,70.34,743.21,144.02,11.05,59.13,40.2,29.49,67.32,30.18,1.17,7.7,0.58,1.43,7.26,4.42,1.66,1.34,31-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
31-Aug-2019 - 00:00,0.63,163.57,73.85,741.93,143.25,18.96,70.84,52.75,27.38,69.99,30.2,1.54,10.22,0.44,4.61,19.76,7.4,4.43,3.45,01-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
01-Sep-2019 - 00:00,0.38,115.04,82.64,743.37,118.88,9.92,52.26,35.66,20.85,65.14,28.05,1.36,10.39,1.0,1.78,8.99,4.77,1.82,1.85,02-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
02-Sep-2019 - 00:00,0.28,110.42,74.05,743.42,155.43,11.5,35.75,24.03,37.02,64.78,29.8,1.13,10.25,0.58,1.47,9.63,3.55,1.52,1.1,03-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
03-Sep-2019 - 00:00,0.14,120.08,74.2,742.73,103.39,12.2,57.95,40.45,28.44,87.46,30.24,1.04,7.61,0.45,2.11,11.12,4.56,2.7,1.91,04-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
04-Sep-2019 - 00:00,0.13,111.66,80.25,742.46,103.39,10.21,45.57,32.36,28.61,75.23,29.58,0.86,6.16,0.84,2.53,12.61,6.45,3.09,3.29,05-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
05-Sep-2019 - 00:00,0.14,130.1,78.5,742.56,112.58,9.56,37.86,27.75,24.53,52.68,29.38,0.94,6.94,0.99,1.33,9.12,4.99,2.07,1.69,06-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
06-Sep-2019 - 00:00,0.15,141.98,76.39,741.97,107.51,13.02,29.88,26.29,27.1,52.79,29.52,1.11,7.28,0.83,1.42,7.45,3.56,1.14,1.09,07-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
07-Sep-2019 - 00:00,0.17,151.35,84.63,742.42,132.63,11.21,28.25,23.93,21.71,41.32,28.5,0.96,8.1,0.86,1.17,7.37,4.08,2.2,1.36,08-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
08-Sep-2019 - 00:00,0.19,72.14,78.87,743.41,131.16,11.78,40.16,30.71,17.8,42.18,29.49,0.53,7.88,0.66,1.4,7.01,3.71,1.18,1.2,09-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
09-Sep-2019 - 00:00,0.65,137.52,69.9,742.49,133.83,10.55,64.53,42.63,22.78,58.67,30.62,0.48,8.07,0.44,1.16,10.85,4.71,3.46,1.53,10-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
10-Sep-2019 - 00:00,0.21,96.37,63.77,742.18,137.5,9.62,70.52,44.93,32.69,107.53,30.89,0.67,8.91,0.46,1.57,13.21,5.21,3.3,1.83,11-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
11-Sep-2019 - 00:00,0.2,135.11,59.61,742.96,132.88,9.84,76.62,48.49,51.95,159.93,31.75,0.87,7.61,0.44,1.9,10.1,5.51,2.68,2.01,12-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
12-Sep-2019 - 00:00,0.24,152.86,72.02,743.9,124.44,6.11,61.95,37.62,30.27,48.91,30.41,0.85,7.34,1.08,1.29,5.63,3.51,1.03,0.96,13-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
13-Sep-2019 - 00:00,0.27,134.53,72.69,744.57,156.63,6.56,59.93,36.99,23.22,27.81,29.92,0.69,7.39,0.93,0.56,3.44,1.74,0.91,0.34,14-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
14-Sep-2019 - 00:00,0.28,109.55,73.02,745.07,153.06,4.79,53.92,32.33,24.51,28.73,29.19,0.8,6.62,1.17,0.93,3.97,4.13,1.86,1.23,15-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
15-Sep-2019 - 00:00,0.27,135.32,82.68,745.24,112.66,8.3,59.01,37.69,23.52,82.45,28.07,1.38,7.87,0.78,1.06,5.0,2.68,0.78,0.65,16-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
16-Sep-2019 - 00:00,0.33,136.48,71.56,744.22,133.39,28.59,78.84,64.7,27.87,50.59,29.78,1.37,8.38,0.49,1.58,10.36,3.89,2.28,1.68,17-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
17-Sep-2019 - 00:00,0.27,156.08,65.03,744.79,121.04,10.5,76.99,49.2,37.31,66.71,29.77,0.97,8.08,0.64,3.6,8.0,3.58,2.13,1.69,18-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
18-Sep-2019 - 00:00,0.19,140.12,63.46,747.37,153.74,4.16,61.43,35.43,42.48,30.82,28.62,1.21,9.75,1.23,0.78,3.8,0.9,0.17,0.86,19-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
19-Sep-2019 - 00:00,0.22,137.29,74.59,748.87,127.83,9.93,56.61,29.71,34.11,26.18,26.83,1.21,7.09,1.31,0.46,3.37,0.72,0.21,1.13,20-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
20-Sep-2019 - 00:00,0.27,149.71,68.61,747.69,152.57,9.44,62.43,40.71,28.57,32.77,28.14,1.75,6.4,0.87,0.51,4.81,1.04,0.36,1.12,21-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
21-Sep-2019 - 00:00,0.39,172.91,76.25,746.99,161.04,11.93,67.67,45.51,30.54,33.3,27.36,1.57,7.62,0.66,1.05,6.67,1.72,1.1,1.57,22-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
22-Sep-2019 - 00:00,0.77,139.63,83.86,748.33,101.74,8.58,70.83,44.51,21.0,29.52,25.36,1.81,6.78,1.07,0.75,4.98,1.03,0.47,1.76,23-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
23-Sep-2019 - 00:00,0.23,125.14,78.36,749.14,93.61,6.17,72.43,43.42,35.39,40.54,26.21,1.75,7.41,0.78,0.94,5.99,0.95,0.41,1.5,24-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
24-Sep-2019 - 00:00,-0.43,139.07,76.09,749.14,130.95,13.55,73.01,49.64,28.3,29.07,26.44,1.38,10.16,0.74,0.98,5.5,1.61,0.8,1.72,25-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
25-Sep-2019 - 00:00,-0.15,110.76,75.57,749.93,135.88,7.58,69.91,43.24,30.62,38.58,27.01,0.88,13.79,0.91,0.94,4.89,0.57,0.28,1.54,26-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
26-Sep-2019 - 00:00,0.11,113.4,74.4,750.1,129.35,5.36,62.73,37.63,22.37,22.39,27.47,0.8,12.44,1.25,2.55,7.2,1.21,0.67,1.33,27-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
27-Sep-2019 - 00:00,-0.23,103.0,78.78,749.41,95.02,5.05,64.11,38.02,22.18,29.07,26.21,0.37,14.51,1.2,1.71,6.96,0.64,0.13,1.26,28-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
28-Sep-2019 - 00:00,-0.17,87.11,80.8,748.27,93.86,8.8,65.14,40.21,19.58,28.52,25.82,0.7,13.14,1.11,1.59,7.85,1.6,0.64,1.76,29-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
29-Sep-2019 - 00:00,-0.31,120.15,82.79,748.72,94.91,3.09,62.35,27.48,20.57,25.89,25.22,0.7,10.99,1.16,0.57,4.83,0.64,0.27,1.39,30-Sep-2019 - 00:00,"Shadipur, Delhi - CPCB"
30-Sep-2019 - 00:00,-0.15,142.03,83.2,747.99,91.61,6.26,36.83,21.04,25.43,28.85,25.41,0.59,8.62,0.87,1.52,7.75,2.29,0.8,1.99,01-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
01-Oct-2019 - 00:00,0.02,143.97,80.55,747.56,102.19,13.42,57.21,40.44,24.53,42.34,26.06,0.74,10.33,0.94,0.9,5.76,1.15,0.45,1.88,02-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
02-Oct-2019 - 00:00,0.23,127.45,72.68,748.35,116.4,8.38,55.26,36.04,31.63,53.84,26.63,0.81,10.36,0.51,2.7,8.01,3.07,1.44,1.99,03-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
03-Oct-2019 - 00:00,0.27,140.35,68.35,748.4,125.88,10.38,55.85,38.0,40.42,63.36,26.94,0.87,10.52,0.52,4.0,14.73,5.28,3.21,3.34,04-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
04-Oct-2019 - 00:00,0.21,251.17,77.17,749.11,110.57,14.46,48.6,36.67,27.14,38.1,25.05,0.7,10.43,0.68,1.42,14.38,2.62,5.21,2.74,05-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
05-Oct-2019 - 00:00,0.12,251.19,60.76,749.06,185.12,8.98,45.88,31.54,31.26,43.19,25.42,0.69,10.61,0.44,0.98,16.17,3.16,5.59,2.01,06-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
06-Oct-2019 - 00:00,0.07,270.24,62.33,749.4,209.19,6.71,47.78,30.79,37.3,56.46,25.91,0.71,9.89,0.5,1.09,12.82,1.44,1.65,1.92,07-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
07-Oct-2019 - 00:00,0.26,287.52,63.3,750.05,116.13,6.63,46.78,30.18,36.53,55.2,25.8,0.72,8.59,0.63,1.01,7.72,0.81,2.35,1.25,08-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
08-Oct-2019 - 00:00,0.44,233.65,55.48,749.74,167.71,13.68,60.01,42.86,36.95,59.45,25.31,0.86,10.49,0.56,2.09,9.19,2.98,2.31,1.53,09-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
09-Oct-2019 - 00:00,0.29,124.01,53.98,749.69,115.59,43.79,84.7,80.04,42.42,89.13,25.86,1.25,12.05,0.52,4.09,15.9,7.15,4.31,3.59,10-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
10-Oct-2019 - 00:00,0.07,131.81,50.32,748.68,109.14,30.94,94.43,74.94,46.4,109.36,26.03,1.19,10.59,0.4,3.5,23.61,6.47,7.31,4.42,11-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
11-Oct-2019 - 00:00,-0.07,147.9,53.57,747.97,104.78,20.77,89.33,63.83,48.02,93.76,25.86,1.1,10.66,0.33,3.77,27.49,6.56,5.24,3.75,12-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
12-Oct-2019 - 00:00,-0.07,158.47,56.74,748.5,100.09,28.41,90.73,70.98,40.6,91.5,26.22,1.15,10.52,0.35,3.54,26.29,7.18,7.2,3.91,13-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
13-Oct-2019 - 00:00,-0.01,169.56,54.3,748.85,93.13,62.6,97.36,101.87,38.38,126.12,26.03,1.45,12.97,0.33,5.34,31.06,9.99,6.37,4.96,14-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
14-Oct-2019 - 00:00,0.03,152.22,56.42,749.36,99.13,59.27,95.03,97.88,37.53,118.75,26.17,1.63,12.18,0.35,5.47,36.57,12.64,8.63,5.89,15-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
15-Oct-2019 - 00:00,0.04,132.85,54.98,749.75,100.17,81.86,104.62,121.08,47.55,129.97,26.76,2.06,13.82,0.45,8.67,33.8,16.17,9.22,7.87,16-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
16-Oct-2019 - 00:00,-0.11,135.8,57.18,749.06,102.22,18.35,104.78,70.4,50.08,110.84,26.93,1.44,10.53,0.57,5.21,21.73,8.67,3.88,6.05,17-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
17-Oct-2019 - 00:00,-0.01,125.05,49.69,748.2,91.39,6.89,85.64,50.96,52.52,87.49,26.92,0.81,11.22,0.71,4.8,15.17,4.4,1.87,3.36,18-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
18-Oct-2019 - 00:00,-0.04,148.63,46.93,748.32,109.4,7.64,75.36,46.16,46.1,73.69,26.3,0.91,11.01,1.04,1.91,8.14,1.41,0.59,2.26,19-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
19-Oct-2019 - 00:00,0.22,145.12,47.24,749.3,97.42,21.88,98.63,69.96,50.07,65.02,25.52,1.01,12.66,0.44,3.25,22.34,4.32,6.48,3.27,20-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
20-Oct-2019 - 00:00,0.03,236.33,43.9,749.14,105.42,20.42,92.02,65.2,38.56,66.74,25.03,1.05,10.44,0.41,2.6,13.05,4.13,3.45,2.93,21-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
21-Oct-2019 - 00:00,0.25,248.06,41.34,748.07,115.08,11.34,94.24,59.02,43.63,77.6,24.34,1.02,8.87,0.49,2.85,14.29,3.3,5.38,3.28,22-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
22-Oct-2019 - 00:00,0.05,252.41,41.96,746.28,119.16,47.06,96.99,89.2,40.19,69.12,23.81,1.22,12.98,0.71,9.47,38.22,11.91,11.69,10.43,23-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
23-Oct-2019 - 00:00,0.0,216.22,46.74,745.83,114.93,84.76,108.6,125.38,40.92,114.41,24.0,1.87,13.83,0.47,7.9,41.38,16.38,12.91,10.07,24-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
24-Oct-2019 - 00:00,-0.05,122.44,53.23,746.48,102.23,137.31,121.38,176.24,37.99,155.15,24.41,2.34,14.65,0.43,15.52,55.94,25.26,15.78,14.46,25-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
25-Oct-2019 - 00:00,-0.02,123.41,45.03,747.37,108.16,32.81,73.02,65.07,48.57,114.49,24.22,1.71,10.1,0.64,7.04,26.71,10.7,5.47,6.52,26-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
26-Oct-2019 - 00:00,-0.04,153.5,51.97,748.21,97.6,60.7,90.12,96.5,41.97,131.78,23.92,1.77,10.08,0.49,7.52,33.72,13.96,7.8,8.06,27-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
27-Oct-2019 - 00:00,0.04,229.71,53.31,747.87,106.53,77.16,81.03,104.82,38.8,160.06,23.61,1.76,5.67,0.47,6.05,20.25,9.24,5.3,5.43,28-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
28-Oct-2019 - 00:00,0.06,203.36,56.67,748.34,92.59,86.25,79.45,111.25,34.23,241.79,23.12,1.91,15.69,0.37,5.9,17.11,8.95,5.02,4.17,29-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
29-Oct-2019 - 00:00,0.24,190.61,67.25,748.73,74.58,111.92,98.68,142.03,21.71,210.42,22.98,2.27,8.39,0.26,7.54,37.05,15.52,9.31,9.09,30-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
30-Oct-2019 - 00:00,0.17,203.36,61.23,747.85,81.97,143.39,82.62,170.5,24.81,181.27,23.67,2.36,21.23,0.32,9.83,51.45,18.54,13.06,11.4,31-Oct-2019 - 00:00,"Shadipur, Delhi - CPCB"
31-Oct-2019 - 00:00,-0.09,178.97,59.52,747.45,95.21,182.22,86.3,189.04,24.02,242.16,23.46,2.6,43.47,0.27,13.58,67.36,23.74,16.9,13.79,01-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
01-Nov-2019 - 00:00,-0.08,146.03,56.8,747.44,88.68,100.46,104.91,136.17,38.4,269.06,24.09,1.88,45.91,0.32,9.21,47.96,17.6,11.75,11.2,02-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
02-Nov-2019 - 00:00,-0.1,208.87,65.81,748.53,78.26,38.2,90.35,78.58,17.9,217.23,22.95,1.54,6.8,0.38,6.09,17.81,6.32,4.72,3.77,03-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
03-Nov-2019 - 00:00,-0.07,231.33,75.9,749.13,91.5,29.5,80.23,66.25,16.63,341.06,22.07,1.23,9.57,0.62,3.41,7.56,1.52,1.38,1.86,04-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
04-Nov-2019 - 00:00,-0.04,265.48,58.57,748.89,86.54,26.21,69.0,57.61,17.08,175.09,23.0,1.15,6.04,0.52,3.53,11.16,3.63,2.04,1.67,05-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
05-Nov-2019 - 00:00,0.05,244.8,47.77,747.11,80.0,50.66,62.6,73.77,33.62,151.09,22.79,1.24,8.93,0.78,6.5,28.46,9.68,7.0,7.49,06-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
06-Nov-2019 - 00:00,0.32,182.88,41.55,745.71,53.49,73.99,75.58,99.37,27.19,93.51,23.07,1.27,20.62,0.58,3.93,21.33,8.98,5.18,6.08,07-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
07-Nov-2019 - 00:00,-0.03,108.75,63.57,746.7,28.32,33.73,85.98,72.6,14.07,133.65,20.42,1.29,9.79,0.76,6.66,21.63,7.1,4.07,5.5,08-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
08-Nov-2019 - 00:00,0.06,135.26,59.21,748.34,46.13,57.27,91.92,94.7,32.5,117.95,22.08,1.31,18.98,0.34,5.17,35.88,8.54,9.17,5.14,09-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
09-Nov-2019 - 00:00,0.06,275.01,48.72,748.72,59.17,18.53,71.71,52.94,41.03,100.59,22.11,0.94,7.77,0.55,2.72,16.85,2.53,3.48,2.55,10-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
10-Nov-2019 - 00:00,0.26,224.65,34.33,748.78,54.15,21.33,90.21,64.25,36.44,116.35,21.36,1.2,1.42,0.38,2.58,9.32,2.23,1.47,1.99,11-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
11-Nov-2019 - 00:00,0.14,192.02,32.5,748.09,56.8,23.63,104.49,74.36,43.81,170.61,20.75,1.49,8.23,0.34,3.02,21.99,4.87,4.01,3.91,12-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
12-Nov-2019 - 00:00,0.01,187.1,40.1,748.71,57.33,34.24,106.98,84.26,51.22,246.14,19.97,2.08,7.34,0.43,4.6,25.48,6.81,5.79,4.78,13-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
13-Nov-2019 - 00:00,-0.03,158.78,49.63,749.93,48.53,62.4,116.76,112.0,34.4,271.06,20.52,2.49,7.61,0.33,10.87,39.73,10.76,6.75,6.19,14-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
14-Nov-2019 - 00:00,0.07,166.04,60.69,750.35,40.44,113.75,125.93,157.98,24.61,286.32,20.57,2.27,14.62,0.32,15.78,61.06,18.48,12.32,11.62,15-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
15-Nov-2019 - 00:00,0.0,211.69,59.38,749.76,45.94,49.36,89.97,87.34,21.95,283.22,20.85,1.99,13.42,0.38,15.07,35.88,9.58,8.54,6.73,16-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
16-Nov-2019 - 00:00,0.08,302.08,52.56,749.6,60.3,15.08,66.37,47.35,9.8,127.5,21.33,0.52,13.09,0.68,3.44,10.55,1.84,3.25,2.38,17-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
17-Nov-2019 - 00:00,0.2,296.09,50.4,749.63,58.81,11.34,55.42,38.49,16.91,75.39,20.79,0.55,12.48,0.83,2.21,5.47,0.77,0.34,0.84,18-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
18-Nov-2019 - 00:00,0.09,252.56,58.01,749.31,53.54,34.05,64.91,61.75,26.91,76.57,19.59,1.02,9.2,0.74,4.14,14.66,4.5,2.59,2.63,19-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
19-Nov-2019 - 00:00,-0.13,222.94,53.84,748.94,53.11,78.67,80.95,105.97,31.27,97.32,19.44,2.1,7.45,0.44,8.2,29.07,9.45,5.85,7.17,20-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
20-Nov-2019 - 00:00,-0.05,173.7,50.62,749.23,38.87,145.94,92.24,165.79,42.64,152.61,19.62,3.19,12.41,0.34,11.47,44.61,18.93,12.2,11.57,21-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
21-Nov-2019 - 00:00,-0.01,126.22,47.63,750.47,26.07,115.34,103.56,118.11,37.45,195.98,19.89,3.1,13.97,0.35,10.21,44.26,20.47,11.59,10.85,22-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
22-Nov-2019 - 00:00,-0.01,162.27,48.81,750.51,34.85,43.53,133.37,66.14,44.77,150.65,20.26,2.25,16.54,0.38,6.86,38.26,12.7,11.71,6.9,23-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
23-Nov-2019 - 00:00,-0.01,257.37,48.95,750.14,50.91,34.05,126.01,93.94,32.55,89.97,20.13,1.36,20.51,0.72,6.47,22.4,3.69,2.52,2.97,24-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
24-Nov-2019 - 00:00,-0.0,282.0,50.25,749.7,47.22,15.66,70.96,49.8,42.51,77.8,20.49,1.3,21.79,0.49,2.1,7.99,1.48,0.66,1.48,25-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
25-Nov-2019 - 00:00,-0.03,113.4,46.41,750.07,58.22,40.09,72.39,68.98,36.29,109.15,20.43,1.75,24.75,0.42,4.62,17.06,6.17,3.59,3.84,26-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
26-Nov-2019 - 00:00,-0.05,75.8,41.2,749.69,42.79,16.02,66.16,30.83,30.2,101.62,21.34,1.04,20.63,0.82,3.85,17.06,2.94,2.17,3.38,27-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
27-Nov-2019 - 00:00,-0.04,86.96,60.06,749.69,42.44,22.71,56.31,47.19,32.5,55.11,19.78,0.81,8.38,0.98,2.48,16.44,3.62,3.05,3.01,28-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
28-Nov-2019 - 00:00,-0.02,89.51,74.62,750.4,48.49,9.22,55.23,30.43,38.11,31.6,17.64,0.68,3.66,1.36,2.09,11.93,1.03,1.19,1.72,29-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
29-Nov-2019 - 00:00,-0.02,117.92,76.09,750.72,59.55,30.29,68.13,59.82,31.44,45.86,17.72,1.33,5.49,0.67,2.48,22.01,5.03,4.78,3.26,30-Nov-2019 - 00:00,"Shadipur, Delhi - CPCB"
30-Nov-2019 - 00:00,0.02,251.1,82.53,750.87,60.24,29.84,68.71,60.19,26.52,86.82,16.76,1.2,6.51,0.58,7.16,30.0,6.64,3.71,4.08,01-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
01-Dec-2019 - 00:00,0.14,254.38,63.9,750.71,61.26,26.11,79.24,62.91,43.86,110.1,16.46,1.13,6.26,0.49,5.6,15.1,2.67,1.27,2.72,02-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
02-Dec-2019 - 00:00,0.14,241.8,56.98,751.13,55.43,42.53,77.78,74.92,32.42,118.55,16.06,1.62,8.56,0.51,4.53,20.13,7.74,6.3,3.91,03-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
03-Dec-2019 - 00:00,0.04,230.29,47.36,750.76,56.03,46.09,71.93,75.08,23.93,133.41,16.16,1.75,11.77,0.62,5.83,20.54,6.54,4.18,4.0,04-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
