from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,Ozone,SO2,CO,to date,station
24-Feb-2019 - 00:00,24.03,990.26,177.46,97.32,56.23,132.42,293.33,1.65,2.62,28.06,42.17,79.83,58.64,90.2,51.02,32.92,2.24,25-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
25-Feb-2019 - 00:00,24.02,989.79,175.58,90.16,64.95,94.03,181.6,1.03,3.38,37.61,43.5,94.75,117.22,146.75,36.24,30.18,2.52,26-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
26-Feb-2019 - 00:00,25.53,989.94,124.88,59.29,46.24,70.05,128.51,1.33,2.03,27.9,39.23,88.94,40.47,80.27,28.19,30.74,2.04,27-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
27-Feb-2019 - 00:00,25.82,990.16,89.7,45.63,73.89,47.1,229.07,0.77,1.62,23.69,32.08,72.31,31.26,63.86,11.68,27.49,1.92,28-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
28-Feb-2019 - 00:00,25.61,993.7,166.75,89.56,66.35,141.65,300.68,1.74,2.66,30.02,33.99,72.63,118.28,135.06,35.94,30.0,2.38,01-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
01-Mar-2019 - 00:00,25.24,994.07,181.2,93.27,56.69,149.67,301.41,1.29,2.79,33.09,35.56,87.82,105.02,132.32,41.1,29.05,2.45,02-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
02-Mar-2019 - 00:00,24.76,994.25,169.56,97.35,74.98,32.84,168.61,0.95,3.8,44.1,41.36,120.23,111.14,154.47,8.45,31.2,2.55,03-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
03-Mar-2019 - 00:00,23.22,990.87,118.26,68.98,56.45,98.7,129.8,1.21,2.29,32.09,40.38,79.58,72.96,101.82,25.1,29.15,2.43,04-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
04-Mar-2019 - 00:00,,987.7,207.51,115.09,39.64,117.55,298.88,1.68,4.03,34.69,44.65,66.36,134.47,179.08,39.64,27.15,2.94,05-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
05-Mar-2019 - 00:00,,988.91,134.59,71.95,62.03,113.58,300.31,1.98,2.27,24.49,36.73,70.61,48.2,76.84,40.61,24.4,2.2,06-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
06-Mar-2019 - 00:00,19.98,989.49,170.23,84.82,57.93,154.89,294.1,1.88,2.88,27.31,34.05,85.82,102.77,128.95,34.58,27.12,2.47,07-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
07-Mar-2019 - 00:00,18.35,989.53,208.05,101.49,40.19,150.22,295.4,1.2,3.57,38.88,35.12,98.52,153.66,177.59,39.44,29.63,2.78,08-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
08-Mar-2019 - 00:00,19.56,991.29,186.96,80.64,55.46,127.74,247.4,0.87,3.36,33.77,35.45,99.29,113.81,145.53,36.37,28.55,2.44,09-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
09-Mar-2019 - 00:00,19.88,991.17,150.63,61.14,42.74,144.48,303.4,1.94,2.13,25.77,34.76,80.93,30.65,68.04,33.41,28.37,1.97,10-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
10-Mar-2019 - 00:00,19.34,991.47,157.36,72.98,23.66,159.24,251.85,1.27,2.2,24.81,35.7,92.86,54.93,94.11,53.68,29.69,2.04,11-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
11-Mar-2019 - 00:00,21.39,990.77,219.2,77.44,14.73,118.32,133.64,1.82,2.69,25.66,39.19,115.41,75.37,122.82,38.72,31.79,2.39,12-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
12-Mar-2019 - 00:00,21.28,992.75,119.01,44.48,5.02,117.63,289.54,1.28,2.08,25.42,38.55,68.69,8.56,43.49,40.58,26.77,2.03,13-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
13-Mar-2019 - 00:00,19.54,993.11,256.97,80.71,8.01,66.63,243.46,0.66,3.27,32.21,39.09,133.6,98.16,141.6,23.93,34.68,2.62,14-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
14-Mar-2019 - 00:00,18.16,993.87,226.36,102.9,30.17,90.25,261.94,1.58,1.19,8.82,47.07,97.8,110.51,148.4,22.63,27.03,2.63,15-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
15-Mar-2019 - 00:00,18.89,995.19,121.19,76.8,27.41,149.66,306.95,1.87,0.0,0.0,42.36,80.32,58.12,90.14,33.86,30.08,2.11,16-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
16-Mar-2019 - 00:00,19.81,993.67,145.79,62.42,24.15,145.26,299.32,1.97,0.0,0.0,36.06,74.28,26.99,61.49,50.07,29.26,2.04,17-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
17-Mar-2019 - 00:00,20.79,991.77,198.69,89.9,3.17,152.19,293.67,1.57,0.0,0.0,40.2,79.61,57.71,89.34,46.8,34.24,2.26,18-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
