from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,WS,WD,RH,BP,RF,SR,to date,station
14-Feb-2019 - 00:00,33.94,4.46,21.58,59.6,7.65,1.08,14.64,174.84,239.96,0.95,4.58,17.83,3.8,121.52,60.53,742.0,0.04,51.06,15-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
15-Feb-2019 - 00:00,47.54,8.74,32.39,48.32,13.82,1.19,21.59,119.55,171.92,0.75,3.86,18.03,2.28,92.66,59.68,742.0,0.0,69.17,16-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
16-Feb-2019 - 00:00,52.04,6.2,32.72,44.79,15.0,1.58,28.65,136.76,202.67,0.72,4.17,15.85,3.07,65.42,64.83,742.0,0.0,44.33,17-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
17-Feb-2019 - 00:00,57.22,8.06,36.99,38.62,13.48,1.05,46.65,109.8,181.67,0.62,3.16,16.34,2.49,52.02,60.41,741.65,0.0,80.74,18-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
18-Feb-2019 - 00:00,56.25,10.95,38.82,36.22,22.26,1.28,42.54,108.56,182.62,0.69,4.41,17.89,2.5,103.06,56.25,741.14,0.01,60.56,19-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
19-Feb-2019 - 00:00,65.81,23.27,51.39,41.44,19.44,1.36,46.56,113.63,205.25,0.76,3.36,19.18,1.48,105.44,59.28,741.66,0.0,67.47,20-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
20-Feb-2019 - 00:00,48.45,6.15,30.78,38.97,15.92,1.09,22.98,86.71,147.92,0.6,2.59,18.87,1.97,102.12,61.21,742.0,0.0,29.84,21-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
21-Feb-2019 - 00:00,60.3,21.2,49.31,31.16,15.38,1.18,31.98,69.83,179.58,0.66,3.16,21.57,1.97,107.01,54.89,742.0,0.0,72.42,22-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
22-Feb-2019 - 00:00,46.14,14.19,36.08,38.78,12.8,0.96,47.23,83.94,170.25,0.6,6.52,20.15,4.11,61.02,55.97,742.0,0.0,84.14,23-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
23-Feb-2019 - 00:00,38.44,2.92,22.82,22.99,15.66,0.62,68.13,43.67,110.27,0.39,3.39,16.87,3.7,77.25,49.99,742.0,0.0,71.95,24-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
24-Feb-2019 - 00:00,68.28,13.77,47.51,31.17,22.2,1.58,64.52,91.12,186.54,0.7,4.54,18.01,2.0,78.31,48.48,741.31,0.0,88.0,25-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
25-Feb-2019 - 00:00,61.36,11.56,42.04,32.8,29.91,1.18,62.41,103.23,189.42,0.69,4.5,17.61,1.77,86.85,52.5,741.28,0.01,81.17,26-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
26-Feb-2019 - 00:00,44.12,6.51,28.77,27.12,21.67,0.93,40.86,50.22,87.12,0.41,4.14,14.69,2.37,95.67,57.69,741.18,0.04,44.43,27-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
27-Feb-2019 - 00:00,45.92,8.66,31.47,27.35,27.15,0.89,45.57,57.36,118.12,0.44,6.46,14.33,2.41,73.36,59.61,741.21,0.0,68.98,28-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
28-Feb-2019 - 00:00,71.44,30.47,62.77,31.25,20.95,1.44,56.53,98.17,192.75,0.76,7.69,14.59,2.22,80.54,55.45,741.72,0.0,93.02,01-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
01-Mar-2019 - 00:00,77.57,22.83,59.83,30.6,27.61,1.35,51.37,96.16,206.04,0.7,8.78,16.68,1.99,80.32,49.79,742.0,0.0,93.0,02-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
02-Mar-2019 - 00:00,77.59,26.85,63.1,38.11,24.67,1.57,21.84,102.34,173.57,0.83,8.1,15.24,1.37,88.73,61.82,742.0,0.05,28.16,03-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
03-Mar-2019 - 00:00,48.65,24.55,45.84,29.69,19.37,1.2,38.42,64.22,96.33,0.5,3.17,16.09,1.73,119.82,66.59,741.42,0.02,60.99,04-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
04-Mar-2019 - 00:00,73.01,34.62,66.97,39.9,14.71,1.42,49.72,130.56,213.71,0.91,10.43,18.38,1.51,85.31,64.76,741.0,0.0,60.3,05-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
05-Mar-2019 - 00:00,47.67,8.25,32.07,29.31,15.64,0.82,57.75,69.69,137.21,0.45,2.92,18.24,2.44,64.57,55.95,741.2,0.0,86.48,06-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
06-Mar-2019 - 00:00,75.71,30.96,65.44,28.55,18.09,1.2,49.6,81.54,194.62,0.76,6.99,18.4,2.35,86.51,51.51,741.32,0.0,98.83,07-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
07-Mar-2019 - 00:00,86.06,33.89,73.33,32.4,20.29,1.61,51.48,103.98,238.38,0.93,10.89,19.26,1.66,79.91,50.38,741.48,0.0,98.59,08-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
08-Mar-2019 - 00:00,85.16,30.3,69.92,37.63,33.15,1.59,79.01,111.7,266.17,0.92,11.14,20.38,1.84,65.76,50.01,741.72,0.0,88.81,09-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
09-Mar-2019 - 00:00,43.48,3.92,26.31,31.55,30.41,1.07,64.07,73.97,185.08,0.54,6.49,21.54,3.55,58.24,46.44,741.86,0.0,89.34,10-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
10-Mar-2019 - 00:00,55.7,5.04,33.72,32.23,25.41,1.09,72.74,76.66,185.25,0.53,4.38,21.35,1.94,55.11,44.67,741.83,0.0,100.39,11-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
11-Mar-2019 - 00:00,43.11,3.81,26.03,32.88,22.51,1.27,69.3,76.66,190.17,0.59,3.44,22.91,3.31,114.93,45.9,741.93,0.01,89.12,12-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
12-Mar-2019 - 00:00,38.55,3.86,23.65,33.84,27.81,0.93,54.17,62.25,154.71,0.56,5.51,22.28,3.21,72.88,48.17,742.0,0.0,78.34,13-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
13-Mar-2019 - 00:00,67.58,10.21,44.24,36.43,40.72,2.45,43.66,97.42,270.62,0.91,9.23,20.45,1.72,74.14,48.98,742.0,0.0,48.34,14-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
14-Mar-2019 - 00:00,58.9,19.45,47.14,43.42,37.13,1.32,42.62,123.53,273.04,1.06,11.73,18.77,3.58,80.1,54.65,742.0,0.0,66.49,15-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
15-Mar-2019 - 00:00,49.74,7.62,32.66,34.63,28.97,1.1,67.72,65.54,142.0,0.58,8.07,20.2,3.14,56.41,50.93,742.09,0.0,101.76,16-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
16-Mar-2019 - 00:00,55.04,8.62,36.29,31.26,22.22,0.62,81.55,64.12,152.58,0.53,4.75,21.44,2.54,45.98,46.62,742.0,0.0,99.61,17-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
17-Mar-2019 - 00:00,76.32,21.69,58.23,35.37,23.07,1.25,67.68,87.53,207.96,0.73,7.38,22.4,1.98,55.6,46.41,742.0,0.0,103.0,18-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
18-Mar-2019 - 00:00,74.54,15.52,52.27,37.68,24.91,1.09,55.54,99.39,233.46,0.74,6.71,22.77,1.79,57.05,46.23,742.0,0.0,98.93,19-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
19-Mar-2019 - 00:00,80.97,21.24,60.33,37.75,27.65,1.4,62.86,96.88,237.67,0.87,8.67,24.43,1.84,67.23,45.67,741.36,0.0,100.82,20-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
20-Mar-2019 - 00:00,36.41,2.71,21.57,37.39,26.36,1.04,69.38,80.93,187.96,0.72,2.57,26.56,2.87,122.85,43.96,741.17,0.0,96.94,21-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
21-Mar-2019 - 00:00,28.01,2.26,16.74,36.19,26.17,1.11,66.01,80.17,157.33,0.8,2.61,26.02,2.23,61.41,43.67,741.7,0.0,97.25,22-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
22-Mar-2019 - 00:00,23.61,1.73,13.97,23.39,20.06,0.63,82.77,34.16,132.04,0.32,1.54,25.49,4.36,67.7,37.78,742.0,0.0,109.01,23-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
