from date,PM10,SO2,NOx,CO,WD,Temp,RH,SR,to date,station
22-Apr-2019 - 00:00,74.22,43.56,53.69,2.24,168.0,32.68,70.88,28.01,23-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
23-Apr-2019 - 00:00,83.65,43.93,54.12,2.23,219.9,32.78,70.88,28.03,24-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
24-Apr-2019 - 00:00,125.44,45.35,55.14,2.29,208.44,33.9,70.88,28.16,25-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
25-Apr-2019 - 00:00,121.15,45.33,55.14,2.28,156.29,33.87,66.87,28.16,26-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
26-Apr-2019 - 00:00,131.1,45.95,55.25,2.25,189.71,34.84,60.87,28.28,27-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
27-Apr-2019 - 00:00,173.17,46.07,55.28,2.27,250.45,35.04,61.07,28.3,28-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
28-Apr-2019 - 00:00,153.99,46.34,55.33,2.28,203.77,35.47,61.49,28.35,29-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
29-Apr-2019 - 00:00,132.44,44.98,55.07,2.4,285.59,33.32,59.34,28.09,30-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
30-Apr-2019 - 00:00,136.25,44.47,54.97,2.34,273.89,32.45,58.48,27.99,01-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
01-May-2019 - 00:00,134.69,44.17,54.91,2.36,272.99,32.03,58.05,27.93,02-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
02-May-2019 - 00:00,151.52,44.69,55.86,2.47,287.72,32.04,58.07,27.94,03-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
03-May-2019 - 00:00,142.6,44.99,56.86,2.69,278.12,31.59,57.62,27.88,04-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
04-May-2019 - 00:00,136.92,45.33,56.93,2.67,256.9,32.13,58.15,27.95,05-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
05-May-2019 - 00:00,119.53,45.42,56.94,2.59,254.25,32.28,58.3,27.96,06-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
06-May-2019 - 00:00,114.12,45.4,56.94,2.58,211.59,32.25,58.27,27.96,07-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
07-May-2019 - 00:00,95.62,45.17,56.9,2.89,274.01,31.88,57.9,27.91,08-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
08-May-2019 - 00:00,107.76,45.4,56.94,2.61,276.25,32.25,58.27,27.96,09-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
09-May-2019 - 00:00,96.96,45.26,56.91,2.83,233.25,32.01,58.04,27.93,10-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
10-May-2019 - 00:00,92.54,44.88,56.84,2.68,228.7,31.8,57.44,27.86,11-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
11-May-2019 - 00:00,100.4,45.44,56.95,2.58,333.28,32.3,58.33,27.97,12-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
12-May-2019 - 00:00,115.48,45.89,57.03,2.55,283.5,33.01,59.03,28.05,13-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
13-May-2019 - 00:00,123.6,46.22,57.1,2.8,288.09,33.53,59.56,28.12,14-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
14-May-2019 - 00:00,109.95,46.36,58.41,2.74,292.75,32.24,58.27,27.96,15-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
15-May-2019 - 00:00,113.6,47.45,59.88,2.72,260.59,32.47,58.5,27.99,16-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
16-May-2019 - 00:00,116.55,47.42,59.88,2.68,153.95,32.43,58.45,27.98,17-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
17-May-2019 - 00:00,127.59,47.56,59.91,2.67,135.33,32.56,58.58,28.0,18-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
18-May-2019 - 00:00,132.63,48.19,60.03,2.58,158.0,33.65,59.68,28.13,19-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
19-May-2019 - 00:00,109.74,48.63,60.11,2.54,179.0,34.34,60.37,28.22,20-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
20-May-2019 - 00:00,94.68,47.59,59.91,2.6,119.8,32.7,58.72,28.02,21-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
21-May-2019 - 00:00,,,,,,,,,22-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
22-May-2019 - 00:00,,,,,,,,,23-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
23-May-2019 - 00:00,,,,,,,,,24-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
24-May-2019 - 00:00,,,,,,,,,25-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
25-May-2019 - 00:00,,,,,,,,,26-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
26-May-2019 - 00:00,,,,,,,,,27-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
27-May-2019 - 00:00,,,,,,,,,28-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
28-May-2019 - 00:00,,,,,,,,,29-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
29-May-2019 - 00:00,,,,,,,,,30-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
30-May-2019 - 00:00,,,,,,,,,31-May-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
31-May-2019 - 00:00,48.86,47.17,59.83,2.48,,32.03,58.06,27.93,01-Jun-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
01-Jun-2019 - 00:00,95.7,47.98,59.98,2.68,298.0,33.31,59.34,28.09,02-Jun-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
02-Jun-2019 - 00:00,99.52,48.04,60.0,2.6,292.87,33.41,59.44,28.1,03-Jun-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
03-Jun-2019 - 00:00,95.93,48.33,60.05,2.72,202.7,33.86,59.89,28.16,04-Jun-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
04-Jun-2019 - 00:00,81.34,47.05,59.81,2.6,260.0,31.83,57.86,27.91,05-Jun-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
05-Jun-2019 - 00:00,92.32,48.24,60.03,2.54,256.5,33.68,59.71,28.14,06-Jun-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
06-Jun-2019 - 00:00,91.19,48.3,60.05,2.58,119.0,33.83,59.86,28.15,07-Jun-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
07-Jun-2019 - 00:00,95.14,48.21,60.03,2.74,304.93,33.69,59.71,28.14,08-Jun-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
08-Jun-2019 - 00:00,97.09,48.05,60.0,2.55,154.75,33.42,59.45,28.1,09-Jun-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
09-Jun-2019 - 00:00,102.12,48.79,60.14,2.72,190.69,34.61,60.63,28.25,10-Jun-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
10-Jun-2019 - 00:00,102.74,47.26,60.9,2.71,133.27,32.18,58.21,29.05,11-Jun-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
