from date,O Xylene,WD,RH,SR,NO,NO2,NOx,Ozone,Temp,CO,WS,RF,PM10,PM2.5,NH3,SO2,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
18-Mar-2019 - 00:00,,147.87,53.17,101.98,12.88,26.3,23.79,42.5,20.43,0.97,0.7,0.0,243.25,128.69,24.97,13.78,4.58,,,1.32,19-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
19-Mar-2019 - 00:00,,135.03,49.06,104.04,18.72,33.95,33.04,37.76,21.68,1.18,0.66,0.0,252.76,120.63,29.69,13.25,5.68,,,3.24,20-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
20-Mar-2019 - 00:00,,129.41,41.38,92.42,24.32,37.02,39.13,40.7,23.64,1.7,0.77,0.0,254.46,93.69,32.73,12.38,9.59,,,6.49,21-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
21-Mar-2019 - 00:00,,119.32,48.5,99.49,10.41,24.64,21.43,42.45,22.76,1.1,0.61,0.0,188.98,98.24,24.02,12.3,5.26,,,1.15,22-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
22-Mar-2019 - 00:00,,166.4,39.36,114.57,8.94,22.29,19.0,57.74,21.88,0.33,0.99,0.0,124.8,46.43,22.71,10.65,1.63,,,0.09,23-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
23-Mar-2019 - 00:00,,169.57,42.57,108.9,8.52,22.93,19.02,67.09,21.83,0.5,1.22,0.0,155.0,70.88,22.98,13.96,2.61,,,0.03,24-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
24-Mar-2019 - 00:00,,160.76,44.16,104.55,10.16,25.47,21.68,48.05,22.52,0.47,0.89,0.0,139.12,57.15,24.88,11.85,2.34,,,0.05,25-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
25-Mar-2019 - 00:00,,159.63,53.15,98.07,11.08,26.65,23.04,36.06,21.78,0.6,0.75,0.0,158.16,74.98,26.11,13.23,3.1,,,0.25,26-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
26-Mar-2019 - 00:00,,157.46,50.18,113.89,11.26,29.44,24.66,46.2,21.88,0.81,1.06,0.0,191.67,93.79,27.4,13.67,4.01,,,0.54,27-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
27-Mar-2019 - 00:00,,140.18,45.42,100.27,13.83,37.09,30.79,43.62,22.56,1.02,0.83,0.0,230.17,105.55,31.8,15.84,5.55,,,0.89,28-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
28-Mar-2019 - 00:00,,133.84,44.38,107.84,23.18,48.96,44.59,37.04,24.39,1.74,0.61,0.0,290.51,140.32,41.83,22.8,13.09,,,1.34,29-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
