from date,PM10,PM2.5,NOx,CO,SO2,to date,station
23-Jun-2019 - 00:00,14.09,0.6,1.11,0.88,20.56,24-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
24-Jun-2019 - 00:00,98.26,2.6,1.93,1.49,19.72,25-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
25-Jun-2019 - 00:00,67.28,2.33,31.16,1.45,17.94,26-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
26-Jun-2019 - 00:00,64.79,1.65,42.02,1.28,17.93,27-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
27-Jun-2019 - 00:00,46.45,1.89,19.81,1.36,21.74,28-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
28-Jun-2019 - 00:00,54.14,2.48,1.35,1.49,23.95,29-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
29-Jun-2019 - 00:00,88.32,4.61,6.57,1.3,24.59,30-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
30-Jun-2019 - 00:00,33.91,2.08,3.34,1.31,23.4,01-Jul-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
01-Jul-2019 - 00:00,26.77,0.81,1.31,1.32,24.85,02-Jul-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
02-Jul-2019 - 00:00,20.1,1.54,1.05,1.51,25.01,03-Jul-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
03-Jul-2019 - 00:00,33.05,1.9,0.0,1.17,26.17,04-Jul-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
04-Jul-2019 - 00:00,85.74,27.03,0.0,1.47,26.65,05-Jul-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
05-Jul-2019 - 00:00,54.58,3.5,0.0,1.44,27.86,06-Jul-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
06-Jul-2019 - 00:00,35.4,-5.45,0.0,1.36,27.55,07-Jul-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
07-Jul-2019 - 00:00,24.81,-8.54,0.0,1.36,26.54,08-Jul-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
08-Jul-2019 - 00:00,36.63,-2.06,3.02,1.59,26.31,09-Jul-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
