from date,NO2,NOx,NH3,NO,SO2,CO,PM2.5,PM10,Benzene,O Xylene,MP-Xylene,Toluene,Ozone,Temp,VWS,SR,RH,RF,WD,WS,to date,BP,station
04-Oct-2019 - 00:00,24.88,37.76,6.14,13.11,3.25,0.53,24.22,53.96,2.04,0.16,2.63,4.65,20.93,25.99,0.01,198.11,83.56,0.0,146.48,0.91,05-Oct-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
05-Oct-2019 - 00:00,18.88,23.24,2.26,4.37,3.18,0.6,28.27,46.72,1.31,0.17,1.91,4.04,28.39,25.41,0.01,164.04,87.11,0.08,130.6,0.86,06-Oct-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
06-Oct-2019 - 00:00,24.76,37.84,1.58,13.09,3.33,0.83,37.0,69.47,2.09,0.22,4.1,6.16,18.66,25.84,0.01,168.95,85.35,0.0,120.09,2.91,07-Oct-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
07-Oct-2019 - 00:00,22.61,33.95,1.0,11.35,3.29,0.75,28.7,59.1,2.26,0.15,3.8,5.8,21.62,25.03,0.01,174.17,88.16,0.63,136.65,0.53,08-Oct-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
08-Oct-2019 - 00:00,26.71,34.76,1.14,8.05,3.32,0.74,16.44,38.95,2.11,0.16,4.27,6.01,27.7,23.89,0.01,92.33,87.57,0.01,108.28,0.59,09-Oct-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
09-Oct-2019 - 00:00,18.37,23.59,3.75,5.25,3.33,0.55,18.21,52.77,1.57,0.13,2.53,4.33,24.7,24.64,0.01,169.05,83.27,0.0,132.14,6.83,10-Oct-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
10-Oct-2019 - 00:00,9.55,12.83,6.31,3.3,3.21,0.4,18.1,34.58,1.04,0.07,1.02,2.97,24.54,25.04,0.01,228.15,85.04,0.0,183.66,2.82,11-Oct-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
11-Oct-2019 - 00:00,9.01,11.83,4.54,2.96,3.11,0.31,13.78,29.12,0.87,0.06,0.85,2.63,28.94,24.71,0.01,208.99,85.91,0.02,107.01,0.63,12-Oct-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
12-Oct-2019 - 00:00,12.38,16.74,3.38,4.37,3.5,0.46,31.66,59.48,1.75,0.13,1.62,3.85,24.71,25.04,0.01,199.12,84.98,0.0,156.26,0.36,13-Oct-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
13-Oct-2019 - 00:00,12.51,16.83,2.93,4.55,3.51,0.47,40.56,76.75,1.94,0.16,1.93,4.16,28.66,24.71,0.01,195.32,83.72,0.0,176.32,0.43,14-Oct-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
14-Oct-2019 - 00:00,17.35,23.57,4.58,6.24,4.61,0.55,36.58,68.6,1.49,0.12,1.52,3.39,24.67,24.91,0.01,231.42,78.98,0.0,206.33,0.39,15-Oct-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
15-Oct-2019 - 00:00,20.37,31.5,6.94,11.25,3.93,0.63,24.96,61.23,1.32,0.18,2.15,3.94,26.21,25.63,0.0,240.85,71.59,0.0,171.57,0.57,16-Oct-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
16-Oct-2019 - 00:00,21.35,32.1,5.74,10.76,4.42,0.66,22.4,61.44,1.34,0.35,1.81,3.58,26.03,25.52,-0.0,206.38,70.85,0.0,178.38,0.54,17-Oct-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
17-Oct-2019 - 00:00,19.49,31.59,4.38,12.13,4.24,0.72,32.58,76.36,1.52,0.49,2.32,4.26,25.76,25.47,0.01,225.06,77.39,0.0,179.69,0.45,18-Oct-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
18-Oct-2019 - 00:00,17.02,28.13,4.5,11.07,3.64,0.57,48.74,87.32,1.79,0.25,1.95,3.6,26.82,25.65,0.01,225.48,78.67,0.0,252.28,0.31,19-Oct-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
19-Oct-2019 - 00:00,6.57,14.99,8.27,8.45,3.94,0.57,51.67,91.12,1.49,0.18,1.55,3.24,28.02,25.07,0.01,175.9,79.86,0.0,198.03,0.37,20-Oct-2019 - 00:00,868.38,"Ward-32 Bapupara, Siliguri - WBPCB"
20-Oct-2019 - 00:00,6.16,11.71,8.99,5.58,3.82,0.5,64.67,103.12,1.78,0.16,1.29,3.43,24.91,24.87,0.01,130.55,83.71,0.0,204.15,0.32,21-Oct-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
21-Oct-2019 - 00:00,4.32,9.07,10.1,4.71,3.56,0.61,73.79,107.51,2.09,0.1,0.67,2.51,20.38,24.48,0.01,139.9,88.09,0.0,211.7,0.24,22-Oct-2019 - 00:00,854.97,"Ward-32 Bapupara, Siliguri - WBPCB"
22-Oct-2019 - 00:00,7.51,16.37,11.3,8.97,4.38,0.76,85.05,130.33,1.81,0.18,1.53,4.94,22.41,24.46,0.01,156.35,83.09,0.0,198.16,0.34,23-Oct-2019 - 00:00,997.5,"Ward-32 Bapupara, Siliguri - WBPCB"
23-Oct-2019 - 00:00,13.92,33.87,9.68,20.21,5.03,0.88,100.4,150.25,1.7,0.23,2.34,4.97,25.37,23.82,0.01,124.42,85.16,0.0,175.67,0.42,24-Oct-2019 - 00:00,997.5,"Ward-32 Bapupara, Siliguri - WBPCB"
24-Oct-2019 - 00:00,17.0,24.07,9.11,5.84,4.81,0.66,71.72,106.5,2.19,0.11,1.36,3.34,30.69,22.99,-0.0,68.79,85.45,0.0,47.63,1.1,25-Oct-2019 - 00:00,997.5,"Ward-32 Bapupara, Siliguri - WBPCB"
25-Oct-2019 - 00:00,12.97,18.85,10.06,4.91,4.04,0.45,29.01,53.49,0.9,0.09,0.98,3.11,38.27,21.78,0.0,101.12,79.44,0.0,67.35,1.05,26-Oct-2019 - 00:00,997.5,"Ward-32 Bapupara, Siliguri - WBPCB"
26-Oct-2019 - 00:00,12.05,17.9,10.06,4.77,5.01,0.41,28.54,57.46,1.26,0.13,1.17,3.63,30.51,22.84,0.01,156.41,80.35,0.0,158.57,0.38,27-Oct-2019 - 00:00,997.5,"Ward-32 Bapupara, Siliguri - WBPCB"
27-Oct-2019 - 00:00,15.91,22.88,8.27,5.97,13.62,0.47,87.81,117.48,1.37,0.12,1.63,3.32,25.9,22.84,0.01,106.62,82.97,0.0,54.68,0.57,28-Oct-2019 - 00:00,879.79,"Ward-32 Bapupara, Siliguri - WBPCB"
