from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,NH3,NO2,NO,NOx,Ozone,SO2,to date,station
25-Oct-2019 - 00:00,23.9,989.17,350.61,176.34,59.02,139.72,149.7,180.71,0.84,0.52,36.1,64.31,9.2,41.67,68.06,8.37,26-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
26-Oct-2019 - 00:00,23.69,990.49,396.42,222.59,60.9,130.76,122.64,173.92,0.66,1.07,41.41,58.77,29.95,55.75,58.64,10.82,27-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
27-Oct-2019 - 00:00,23.39,989.95,350.44,237.1,60.61,147.36,,146.77,1.06,0.9,45.58,39.83,3.91,24.38,55.47,13.17,28-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
28-Oct-2019 - 00:00,23.17,990.63,356.56,258.17,62.03,123.96,,218.43,0.69,1.0,42.16,37.84,4.97,24.18,58.02,11.82,29-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
29-Oct-2019 - 00:00,23.25,991.24,441.34,316.92,66.6,81.78,128.26,157.35,0.5,1.07,50.42,68.62,17.29,50.52,27.54,9.52,30-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
30-Oct-2019 - 00:00,23.74,989.96,491.48,334.26,63.93,95.5,115.62,150.14,0.65,0.95,54.89,110.29,48.73,98.37,31.11,11.05,31-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
31-Oct-2019 - 00:00,23.24,989.26,610.36,437.62,63.1,99.46,119.22,113.81,0.62,0.81,50.93,119.52,33.23,90.61,35.31,14.53,01-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
01-Nov-2019 - 00:00,24.39,989.33,763.0,462.72,60.45,108.43,106.75,161.2,0.69,0.71,48.54,96.85,12.78,61.97,58.92,14.7,02-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
02-Nov-2019 - 00:00,22.85,991.04,678.6,417.17,68.32,76.79,117.15,144.17,0.8,2.84,53.25,70.25,12.85,47.84,28.31,11.01,03-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
03-Nov-2019 - 00:00,21.92,991.89,607.07,703.0,72.94,60.21,,153.87,0.74,3.18,59.79,81.76,14.07,54.96,14.26,7.96,04-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
04-Nov-2019 - 00:00,22.45,991.57,427.08,324.17,64.72,127.09,,78.5,1.0,1.75,37.94,70.31,12.96,47.95,39.27,10.21,05-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
05-Nov-2019 - 00:00,22.42,988.77,333.88,246.78,60.01,152.88,110.08,138.9,0.99,1.66,28.5,66.52,19.2,50.96,52.76,,06-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
06-Nov-2019 - 00:00,22.89,986.66,262.6,139.42,54.54,134.25,106.47,267.47,0.98,1.39,22.17,94.34,18.96,65.57,56.35,,07-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
07-Nov-2019 - 00:00,20.76,988.07,313.31,207.42,64.37,56.36,137.16,137.94,1.21,1.55,31.85,100.32,10.21,61.67,28.92,10.95,08-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
08-Nov-2019 - 00:00,22.28,990.7,264.75,163.67,61.54,124.41,191.61,97.51,0.76,1.24,30.37,92.12,14.06,60.47,48.62,12.56,09-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
09-Nov-2019 - 00:00,21.7,991.31,263.74,185.76,58.86,154.33,,61.98,1.19,1.54,27.75,69.09,5.64,41.35,45.0,12.93,10-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
10-Nov-2019 - 00:00,20.48,991.31,336.33,243.42,54.85,130.47,105.4,65.01,0.82,1.92,24.47,63.85,6.04,38.87,55.5,16.74,11-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
11-Nov-2019 - 00:00,19.8,990.17,426.08,305.17,55.0,121.64,197.56,70.29,0.81,1.77,23.76,61.37,8.08,39.25,61.3,17.57,12-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
12-Nov-2019 - 00:00,18.79,991.07,617.96,492.38,59.48,120.74,139.5,90.74,0.71,2.06,33.24,64.67,6.84,39.89,58.41,18.45,13-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
13-Nov-2019 - 00:00,20.17,993.0,588.88,458.58,60.22,104.1,140.92,122.54,0.68,1.93,48.99,78.58,9.46,49.5,58.11,19.73,14-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
14-Nov-2019 - 00:00,20.67,993.71,512.42,371.3,60.77,98.82,180.29,125.11,0.64,1.75,55.22,75.5,17.74,54.62,57.48,18.02,15-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
15-Nov-2019 - 00:00,20.88,992.82,576.56,519.38,63.39,100.87,159.79,59.37,0.84,2.32,66.52,80.89,14.75,54.99,48.21,11.56,16-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
16-Nov-2019 - 00:00,20.8,992.63,352.32,222.74,62.21,132.12,132.55,59.48,1.51,1.4,42.61,53.38,5.65,33.01,43.18,12.42,17-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
17-Nov-2019 - 00:00,20.33,992.62,166.2,118.74,60.56,145.98,,46.03,1.49,1.24,31.6,43.94,3.56,26.27,42.86,9.58,18-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
18-Nov-2019 - 00:00,18.93,992.0,,117.15,64.8,131.06,,80.15,1.03,1.43,33.2,57.38,18.03,45.25,44.43,11.77,19-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
19-Nov-2019 - 00:00,18.88,991.32,,163.78,62.36,125.73,136.9,151.29,0.81,1.44,33.56,72.46,23.2,57.44,46.14,13.67,20-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
20-Nov-2019 - 00:00,18.7,991.79,,259.07,61.41,117.1,237.8,198.3,0.53,2.17,43.26,83.84,41.23,78.24,38.81,15.93,21-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
21-Nov-2019 - 00:00,19.64,993.71,,264.39,56.87,99.97,280.04,172.37,0.67,2.45,49.65,78.07,30.72,66.56,47.11,21.01,22-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
22-Nov-2019 - 00:00,20.03,993.81,,260.58,59.04,98.29,201.81,164.85,0.54,2.23,62.06,67.46,30.61,60.83,62.97,16.56,23-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
23-Nov-2019 - 00:00,20.19,993.32,,143.78,59.57,89.72,110.75,87.33,1.06,1.23,41.13,34.01,4.34,21.63,35.99,11.57,24-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
24-Nov-2019 - 00:00,20.31,992.68,,128.55,60.84,108.91,,42.14,1.01,1.14,36.58,33.29,3.39,20.45,41.0,10.33,25-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
25-Nov-2019 - 00:00,20.49,993.21,,175.09,56.88,97.67,164.13,143.88,0.68,1.41,38.88,42.1,7.83,28.78,52.64,17.14,26-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
26-Nov-2019 - 00:00,21.97,992.77,,128.56,52.95,80.97,164.58,150.88,1.26,1.25,37.52,49.71,5.69,31.11,56.35,16.98,27-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
